http://movie.douban.com/subject/2148820/	岁月风云
(3星)	 内地部分明显跟不上节奏            
(3星)	 因为是TVB和CCAV合拍的吧所以港味儿淡了不少~也是头一次看到演员表里出现杜燕歌苏柏丽等老牌配音员的名字~灰常鸡冻啊\(≧▽≦)/  现在只要看超过三十集的剧就会嫌弃冗长的不得了……卡司太猛烈了~不过从大陆派出的阵容来看明显不如香港对回归大戏的重视啊。            
(3星)	 事实证明 tvb和内地合拍是没前途的 那样就不是tvb了            
(4星)	 台庆，差强人意吧~印象深的是两地合作，国粤双全。            
(NA)	 不用看就知道会是失败之作，看了更加确定而已。            
(NA)	 去掉内地部分就好了。            
(3星)	 刘松仁实在太灵了！！！            
(5星)	 合拍大戏。            
(3星)	 几十年如一日的水准,真是佩服            
(4星)	 强强联合，正正得负～最满意的就是峰佘的感情戏了            
(3星)	 林峰。            
(2星)	 给大陆擦鞋            
(NA)	 有林峰在就有吴卓羲，有吴卓羲就有林峰。。。╮(╯_╰)╭            
(4星)	 这个,..貌似是和大陆合拍的吧..总之不喜欢佘诗曼..喜欢胡杏儿那个角色。            
(1星)	 国语配音害了你            
(3星)	 实在是太长了            
(3星)	 皆因林峰            
(3星)	 实在没期待的好            
(3星)	 我不能昧着良心说好看，但是也并不是好看。真怀念以前的TVB剧集。            
(NA)	 这才叫剧啊            
(3星)	 最大的困惑：为什么要用那么烂大街的歌做插曲呢？            
(3星)	 很一般            
(NA)	 囧，意识里总是分不清《岁月》和创世纪。。。这个才是吉利车的纪录片            
(4星)	 光看排场就好            
(2星)	 别让合拍强奸了港剧！            
(3星)	 TVB的大剧台庆剧大都不招我喜欢,讨厌这剧纯粹因为佘诗曼,我太讨厌她了            
(4星)	 还不错，就是有点说教气            
(4星)	 演员都很有看头~两仔爷皆有型！            
(NA)	 跟着我爸看了一点点。那种生活离我真远            
(2星)	 很烂很烂，和大陆合拍的水准就是要打折扣            
(3星)	 我只看风邦恋            
(3星)	 跟内地合拍的实在是不行 还是怀念以前的创世纪            
(4星)	 刘松仁。苗侨伟。宝刀未老。            
(1星)	 不知道这部片子拍来有什么意义？！            
(NA)	 我是唯一一个看完此剧的，我该庆贺下么            
(NA)	 看了一半            
(4星)	 ……让人看得有点纠结，我还是很讨厌佘诗曼            
(3星)	 就當是我不懂你的藝術吧，感覺非常一般的所謂大制作。            
(4星)	 喜欢阿佘            
(5星)	 我爱的2R和阿佘都在.我花了3天看完.一天20集的速度.我佩服我自己.            
(NA)	 很喜欢刘松仁..            
(3星)	 虽然说是庆香港回归的，不过剧情还蛮单薄的            
(4星)	 在旁边寝室偶尔蹭着看-08年。在电视台再看，09年。献礼香港回归10周年的作品。有一点主流特色，里面的内地演员有点格格不入。            
(4星)	 大牌很多            
(3星)	 熟悉的情节和人物反复出现            
(NA)	 这是一部相当值得看的一部片子，无论是工作，爱情，亲情，友情，还是人的战斗力，需要好好看的，能体会不少的一部好剧            
(4星)	 只是结尾非传统港剧结尾            
(3星)	 奇瑞大型广告片。。。。            
(3星)	 三哥好老公啊啊啊啊            
(NA)	 【2007-07-16】            
(3星)	 这个片子真的很一般            
(NA)	 央视播了，感觉是……主旋律坑爹啊……            
(2星)	 这算是大陆与香港携手的大制作了，群星云集，只是好有改革开放的味道啊，而且太长了，有喜欢的演员也看不下去。            
(3星)	 看的是林佘剪辑版 所以大部分冗长和不能忍的配音去掉了 内地要不要这么不给力啊 反衬港剧？事后发现还有恶心的冯绍峰            
(4星)	 北京第二次搬家后不能上网的日子看的一部长剧            
(NA)	 跳着把所有雯女的戏看完了~ 三哥真是个好男人！            
(4星)	 合拍的也放在港剧里。忽略了勾心斗角，我唯一在意和关系的只是华振邦和俩个女人之间的感情纠葛。我喜欢秉怡，也许单恋得不到默默付出这样内敛委屈的女生总是容易让我弃械投降，也一直希望华振邦可以和她在一起，只是也到底是个希望而已。林峰演的华振邦，入木三分，印象深刻。            
(3星)	 你知道  我从来没有羡慕过你住大房子开汽车。            
(3星)	 广告好多。。。            
(4星)	 大爱风邦在巷子里的那场戏            
(4星)	 不至于经典，但作为合拍剧算诚意之作了。            
(2星)	 合拍的悲剧            
(2星)	 真是...为了拍而拍的悲剧。可不可以不要林峰搭佘，搞什么啊。            
(3星)	 雖然非常抱大腿，有時又很可笑，但至少演員陣容不讓人眼冤。            
(3星)	 完全社会主流            
(3星)	 很一般，太对不起台庆剧了。。。            
(5星)	 华振邦            
(3星)	 TVB的商战剧没落了……            
(NA)	 鄧萃雯大好，苗僑偉還是那麼帥。佘詩曼大好，紅髮look惹人愛。始終沒有辦法喜歡宣萱。            
(3星)	 其实是有点乏味的            
(3星)	 纪念香港回归10周年了。            
(3星)	 跟朝廷台凑一堆太好笑了，每次那些山寨网络歌曲出现的时候我就很想砸电视= =            
(4星)	 雯女的大小姐重生经验真是值得借鉴，三哥四十年如一日，SS的秀风确实有料，大爱危天行！！！            
(2星)	 很拖沓            
(5星)	 还可以，一口气看完            
(3星)	 岁月风云            
(3星)	 编剧绝对不是正常人，这么无语的剧情都编得出来，难为一班演员的认真演出了，难得看港剧，每一个悲剧场景居然台词都很搞笑。。。            
(3星)	 被央视强奸了，咋个好看得起来！            
(3星)	 还行。            
(2星)	 就从这时下坡路了            
(4星)	 好吧……我是那种只看某人剪辑版的废材（瘫）            
(4星)	 不知道为什么很多人不喜欢，我觉得不错，我学生觉得那是相当好看。            
(3星)	 有点不伦不类            
(4星)	 还可以吧，大制作，看帅哥哦。            
(NA)	 不港不中的··好怪 好无聊            
(2星)	 合拍的就是不行。。            
(3星)	 没太认真看~盘有点小问题~断了几集没看~马德钟什么时候可以演好人啊……            
(3星)	 真浪费了这么多演员..            
(2星)	 跟CCAV合作就的杯具 我就不应该看            
(3星)	 风邦恋！很励志的一部剧 虽然很商业~~            
(4星)	 喜欢危天行！！！            
