http://movie.douban.com/subject/2287747/	骗中传奇 騙中傳奇
(5星)	 我竟然喜欢的是钱宝儿~~爱死她了            
(4星)	 原来是老片啊。。。。。。。。。。不过看张家辉还是很舒服的            
(NA)	 原来我看过 ==            
(3星)	 BL、GL、BG何等齐全的一部剧啊            
(4星)	 8分。            
(3星)	 好看            
(NA)	 给萱萱配音的定是个老太太            
(NA)	 内时候被停播了，不是因为收视..不过也难怪            
(3星)	 最后钱宝儿会怎么。。存在幻想。。            
(3星)	 张玉珊好漂亮            
(5星)	 最喜欢的家辉，最喜欢的TVB，最喜欢的电视剧            
(4星)	 张玉珊确实挺有味道的。            
(4星)	 不错的呀！            
(3星)	 前半段倒是蛮好笑的            
(3星)	 一般般吧,我都是边开着文档码字边看的,ms因此粤语听力也有所进步.主要是看张家辉和钱嘉乐，两女主一个也不喜欢，不过这部戏里的几个老戏骨配角是一大亮点，廖启智的演技啊，赞            
(3星)	 前半部分比较好看            
(4星)	 我挺喜欢香港古装片的呵呵            
(3星)	 每一部牛B闪闪的烂剧里都有一个奇贱无比最后从良的女子外加一个蠢到极致拖尽后腿的莽夫。            
(5星)	 超好看！            
(4星)	 原来我看过= =今天在PPS上看到人气很高，看了第一集，看到廖启智的断手，我就想到了当年看过的他是演断手的，然后有雕什么观音的手，百度一搜，看到了张玉珊，我再看情节，又想起了验明处子之身用守宫砂的，额，我原来一直以为是状王宋世杰里的情节、、、原来是这里的、、、、、、、、            
(4星)	 好看好看            
(5星)	 oo的书生装扮很惊艳。            
(4星)	 发现自己没听过张家辉原本的声音。。。。            
(4星)	 香港早期拍的几部类似古装都还不错，起码比张导毁内地名著强=_=开始还以为是新片，萱萱还是男装好看-_-            
(5星)	 这里已经是我全部的家财了，再加上我的精神、爱情、我的生命，以一个破釜沉舟的姿势奉献给你。            
(4星)	 太不好意思了 三个演员我喜欢 扯谎nia白的我喜欢             
(3星)	 我还以为是新片= =。            
(5星)	 好片子呀~！            
(3星)	 一般            
(4星)	 十年前的TVB和现在，简直没差。就是漏洞有点多。            
(2星)	 萱萱那感觉还是很萱萱~ 情节也太牵强了吧~瞎忽悠~话说回来，钱宝儿那贱人演的还真不赖，最后她把药拿给玉麟的时候还蛮好的、其实古代不流行同性恋的嘛~哈哈 她们也配的嘛^^            
(4星)	 以那个年代的片子来说还行~            
(5星)	 飞快的看完了，话说张家辉和关咏荷真是夫妻脸啊            
(5星)	 原来小时候看过的啊。记得那一段“孤独的人千杯不醉”超级感动！            
(3星)	 挺扯的            
(3星)	 我喜歡的            
(4星)	 看过看过            
(NA)	 挺好看的            
(4星)	 挺逗的，张家辉配宣萱矮了点            
(3星)	 20            
(4星)	 宣萱的男装，里面比试那段印象很深。。            
(4星)	 很搞也很可爱            
(5星)	 宣萱和张家辉果然是要多搞有多搞……唯一一部觉着张还行的片子。            
(3星)	 智叔一死..后面就难看了            
(4星)	 童年时期喜欢的剧            
(3星)	 编剧糟蹋演员。。快进看完的。            
(3星)	 额。。。宣萱你又震惊到我了            
(4星)	 红火到连续5年在年初一都看到这部戏~我也很无语~            
(4星)	 牙人！桥段很老，但是喜欢。            
(5星)	 牙行            
(3星)	 n年前在电视上看的，只记得宣萱的大眼镜。            
