http://movie.douban.com/subject/2997321/	僵尸道长2
(4星)	 回家这几天就靠这个度日了~~            
(4星)	 林正英的僵尸系列已经算是无法超越的经典港影了。            
(5星)	 小时侯凤凰卫视            
(4星)	 英叔真不愧是僵尸开山之祖啊·。。。            
(3星)	 当年好喜欢看的啊~~~天天追天天追~~            
(4星)	 好讨厌阿初啊，讨厌得看不下去，油嘴滑舌整天吊儿郎当一点正经事不干，投机取巧好吃懒做，欺负善良人又爱吹大牛。。。因为他是毛师傅的徒弟，所以比大三元更讨厌他~！玫瑰姐姐虽然很贪心但是也很可爱，小虾米更是聪明伶俐又可爱~！玫瑰征婚那段笑晕了~愚昧无知的村民整天跟着瞎起哄。。。            
(5星)	 比第一部好多了！这次真的具有林师父一贯的僵尸片的味道了！弟子也是标准的一个傻，一个精。而且剧情也不像第一部一样的杂乱无章。美中不足的是太少了。不过瘾啊！林师父真是英年早逝。哀悼。            
(5星)	 最爱最爱，反复观看            
(4星)	 英叔的僵尸片我都爱            
(4星)	 ！！！！！！            
(4星)	 这个经典~~小时候看完不敢睡觉~            
(5星)	 英叔的片子最好看了！            
(4星)	 找不到粤语字幕版，看着国语版感觉不如第一部。感情线能呕死人，每次看毛师父的傻徒弟为了个女的越来越NC就很无语（第一部也这样）。道术的部分胜过1，先给它4星吧/有些地方差强人意，最不喜欢的就是林文龙喜欢的那个舒宁，不加分了            
(3星)	 程东  程东            
(4星)	 小胡子 玫瑰姐            
(4星)	 还记得那会儿吃饭的时候天天看这个，搞的我妈很没胃口，我吃的津津有味            
(4星)	 童年回忆。            
(2星)	 很雷            
(3星)	 还好            
(4星)	 很怕            
(4星)	 小时侯凤凰卫视，主题歌            
(4星)	 四星只是给英叔            
(4星)	 林正英的僵尸系列已经算是无法超越的经典港影了。            
(3星)	 小时候很迷僵尸剧，各种僵尸，林正英很棒，这也是香港特色            
(5星)	 ATV CALSSIC            
(4星)	 第一部更好些            
(4星)	 好好看哦  那一阵子的香港僵尸电影            
(4星)	 夜静更深对朗月 朗月清辉亮            
(5星)	 当时好希望杨恭如和尹天照能在一起呢，可怜的蛾妖（杨恭如）最后烧死自己，我觉得她好可怜啊！可惜，后来看《我和僵尸有个约会》爱上了马小玲！            
(5星)	 小时候            
(3星)	 他的剧大多太雷同了,如果你不是马上看完来写评论你会马上和别的剧混淆的.            
(5星)	 现在找不到这样的电影了            
(4星)	 读小学时每天一放学就守在电视机旁，记得那时是凤凰卫视播的，里面有几个故事挺吓人的！越怕越爱看！            
(5星)	 可惜没有三……怀念道长……            
(3星)	 有点绵！            
(3星)	 很小的时候觉得好看.            
(4星)	 英叔系列 经典            
(4星)	 我觉得香港的僵尸片好搞笑，僵尸一蹦一蹦的好可爱            
(4星)	 想到僵尸就想起林正英，怀念那段和臭臭一起看这些的日子。这应该算是我看过为数不多恐怖片里面的经典了吧。            
(4星)	 英叔～～～            
(3星)	 突然想起毛正英道长带来的那些回忆。            
(5星)	 彻底爱上林正英            
(4星)	 一眉永在我心，            
(4星)	 小时候可喜欢看林蜀黍的鬼片了~            
(5星)	 英叔            
(3星)	 就道士电影而言，林正英真是很经典啊。我也是好傻，跟电视剧较真。            
(3星)	 没有第一部好看。            
(NA)	 童年就没学好            
(5星)	 想当年在家~我可是每集都追踪的~再次感谢凤凰卫视！！！            
