http://movie.douban.com/subject/1968618/	无名天使3D
(5星)	 一部戏扭转我对三个女人的印象 也看过太多遍了            
(3星)	 当年tvb最骚的三个女人            
(4星)	 咱当年爱得死去活来的片子啊            
(4星)	 郭羡妮很帅噶~我家ssm有点傻喔~最后干脆都变成les算了，三个人老是那个样喔~嘎嘎~            
(4星)	 TVB            
(4星)	 郭羡妮在这里面异常惊艳啊！！！可惜烂尾。。。。所有警匪片里这部的感情戏拍得最好。            
(3星)	 三星半~            
(3星)	 开始添加TVB...            
(4星)	 都市独立女性最有型            
(2星)	 tvb渣攻去死去死一万遍            
(5星)	 美女们啊。。。            
(NA)	 佘扮相好看            
(4星)	 MADAM最高~            
(NA)	 内容忘记了            
(2星)	 我买的碟片，那个阿花是我最喜欢佘的角色了            
(3星)	 和姐姐一起看的...男主角太傻了...受不了            
(NA)	 自此我才知道 我喜欢长得像小狗狗的男生            
(3星)	 美女。。。            
(3星)	 三个大美女哦            
(NA)	 索爆.            
(1星)	 一群演技很烂的女人在那里装模作样            
(3星)	 沒有内容。。。            
(4星)	 不错看~            
(NA)	 2【004-05-24】            
(4星)	 小时候好喜欢...特别是杨思琦好灵的            
(3星)	 为了佘买的碟，果然也只看了她的段就扔着生灰了。            
(2星)	 还以为是警匪片 主角们都不干正事儿 编剧很神经            
(5星)	 没办法 喜欢佘诗曼            
(4星)	 姚丽花太经典了！            
(3星)	 我咋没觉得好看呢……不过郭羡妮在这里比《古灵精探》里漂亮多了！            
(2星)	 唉……            
(4星)	 多一颗星是给里面的欧锦堂的！            
(2星)	 佘诗曼和郭羡妮的造型美得。            
(3星)	 除了杨mm，另外两个都蛮好看的。            
(4星)	 诶呀呀我居然看过啊            
(NA)	 3个女人的坚强。            
(4星)	 超爱阿佘！第一次觉得欧锦棠的角色不讨厌~呵呵~            
(4星)	 欧锦棠在里面简直帅到爆！爱死他了~            
(NA)	 由此剧开始喜欢阿佘。            
(2星)	 泡沫剧            
(4星)	 当年就是因为这部爱上佘佘的            
(4星)	 我还就是喜欢郭羡妮。            
(5星)	 美女啊~~~可是为什么会同时爱上那么个傻男人呢~~            
(4星)	 欧锦棠在这里闪亮了            
(NA)	 很经典很经典,为什么不红?            
(5星)	 两个女人！！！都很赞！推荐推荐            
(5星)	 霹雳娇娃啊~~~~~~~好看！            
(5星)	 三个女仔都很帅气阿，很好看。            
(4星)	 结局很让人无语。超喜欢这部剧里的阿佘。靓到不行。            
(4星)	 这部片子虽然模仿痕迹甚重,但对于情节一直拖沓的港剧而言,总算是难得紧凑的作品,三个女人的形象都非常不错!            
(3星)	 剧情有点模仿的痕迹，唯一的记忆点是让我开始对佘诗曼改观。            
(3星)	 http://www.imdb.com/title/tt0852723/            
(NA)	 三位靚女            
(3星)	 我喜歡 sonija在這部戯裏的個性。            
(3星)	 就开头还可            
(4星)	 喜欢佘佘~~~            
(3星)	 港剧很少看，好像当时觉得还行            
(4星)	 2005            
(3星)	 其实。我好似忘记左结局            
(5星)	 从此开始狂爱,超爱,巨爱TVB.            
(4星)	 第一部看的全粤语片，深刻印象            
(4星)	 喜欢那三个女人．            
(5星)	 经典            
(4星)	 佘诗曼 / 郭羡妮 / 杨思琦            
(5星)	 三个有个性的帅气Madame            
(3星)	 佘姐也可以这么T....            
(4星)	 欧锦棠很出彩，希望他可以红起来            
(3星)	 剧情在哪里啊失望……            
(5星)	 三个美女，还觉得郭和一男朋友回家，郭要男的洗完碗才睡，男的还是死皮赖脸的把她睡了，然后郭到厨房，发现了蟑螂。            
(5星)	 地道的港剧            
(5星)	 觉得特别好看，尤其是对打的时候很帅，姚丽花比Madam马好多了！男女主角都喜欢            
(3星)	 郭羡妮惊艳了！            
(3星)	 这结局。。。嗯 不够童话~            
(3星)	None
(5星)	 三个女人都好漂亮！            
(3星)	 因为三大美女联合参演才看的这部片，没想到看完之后只记得欧锦棠了，太帅了，石修也很不错啊，最近特别喜欢老男人~            
(3星)	 丽花，你选天华多好啊，欧锦棠超赞啊            
(4星)	 朋友买的片 第一次看碟看的TVB呢 从此爱上TVB 爱上刑侦片            
(3星)	None
(4星)	 其实故事挺新颖的，只可惜TVB好像只尝试了这么一次            
(3星)	 这三个女人真的都好有个性,都挺喜欢的,但是剧情模糊了            
(4星)	 那时候的佘诗曼.....            
(1星)	 烂片，模仿霹雳娇娃，但是很差劲            
(NA)	 萌到屎佘詩曼的時代。            
(4星)	 杨思琦太可爱了，呵呵            
(3星)	 这三个女人各有特色，挺赞的，其他就将就点了            
(3星)	 3.5分            
(3星)	 最后一集生生毁了一星。。发现这种面冷心热的男人就是我的死穴啊死穴，见一个爱一个，太不堪了，欧锦棠这个角色整个颠覆他以前的形象啊啊~~~争分夺秒里很爱谭耀文，可惜再没看到能与之相比的角色了。阿花这个比法2那个可爱太多了~~案子还算不错吧，在法3的洗礼下，刑侦剧挺挺好看的            
(3星)	 就看了14-20~只为欧锦棠而来~~不过阿舍和郭羡妮都演得很好诶~~~超级帅~~            
(4星)	 连学文事件，就是连被阿花迷了，herman默默难过，阿花身份揭穿，herman豁出去要干掉她不幸自己被干掉了，连出狱后做的一切就是为herman报仇，让你杀我小忠犬！让你杀我小忠犬！我弄死你！（于是说女王忠犬主仆搭配真是太萌了，herman那时的小表情真是虐死叔了……            
(5星)	 当时超喜欢~            
(4星)	 女人应当如此！            
(5星)	 这剧改编阿佘在我心中的形象~明明巡礼剧有第二部但是为什么这么久都看不见啊啊啊啊啊啊啊啊啊啊啊            
(3星)	 女人们都很漂亮            
(5星)	 帅气啊……            
(4星)	 女娇娃 结局比较新颖 以为有续集             
(3星)	 6/10            
(3星)	 好小的时候看的            
(3星)	 反恐女警花，还是不错的，但感情戏花的篇幅太多，我基本是一边做其他事一边看，不然实在太无聊了            
(4星)	 好好好            
(4星)	 以前看过每个案子都记得就是忘了结局。。又是瞎了前面十九集。。            
(NA)	 结局不是tvb的俗套结局 我喜欢~~            
(4星)	 美女快来抓我把~            
(NA)	 TVB             
(NA)	 三个女人。            
(3星)	 哈哈 我见过的最美的佘诗曼就是这里            
(3星)	 不好看。。            
(NA)	 被棠哥秒杀！秒杀！秒杀！于是很帅的三女主 很有款的黑帮大佬连学文 窝囊到死莫名其妙的男猪谭耀文 可以全部无视了&gt;_&lt;            
(4星)	 除了外场比较局限外，题材还是可以的~            
(4星)	 当时看觉得还不错的，其实这样的题材可以拍成系列，每系列加新人或者换人做也无所谓。            
(NA)	 不太好看的，编剧太烂了。            
(3星)	 挺酷一片子，就是感情戏太囧            
(5星)	 于是以前各种的喜欢这部剧哟            
(4星)	 TVB比较有鲜明风格的一部戏            
(2星)	 因为欧锦棠~            
(NA)	 阿佘其实蛮适合演那种8婆女的····哈哈            
(3星)	 好久以前看的，结局一直都没时间看，啥时候得抽个时间看了！            
(4星)	 破案的 美女们 还有我爱的佘佘 挺有意思的            
(3星)	 三个女人一台戏,还都是陀枪师姐阿.            
(3星)	 不喜欢            
(4星)	 快速的香港味            
(NA)	 对佘诗曼改观的电视剧            
(2星)	 确实不怎么样，里面的感情戏更是无语。。。            
(2星)	 看郭美人 和佘佘 争谭耀文 这狗血的            
(3星)	 哪天补齐~            
(3星)	 以前一直讨厌佘诗曼，是这部以后才开始喜欢的            
(3星)	 还行~            
(4星)	 电视剧版霹雳娇娃            
(3星)	 因为后半部分的原因，减一颗星            
(3星)	 模仿《霹雳娇娃》，佘诗曼在里面的大卷我喜欢！~            
(4星)	 前面才是笑死了了。。想当年怎么会错过这部剧？？            
(5星)	 爱 欧锦堂~            
(NA)	 除了男的，其他挺满意的。            
(NA)	 一定要再看            
(3星)	 郭羡妮真好看~            
(2星)	 没个我喜欢的男人……居然让佘和郭去争谭耀文这种男人……只是觉得三个女主角的现代装很干练清爽~ 剧情很一般            
(2星)	 开篇不错~可惜往后直走下线，最后终于迎来了一个极度狗血倒胃口的结局。            
(4星)	 最最最最最帅气的阿佘 少有的卷发造型 大大咧咧的花姐~            
(5星)	 爱上阿佘的第一部剧。可见我有多另类。            
(4星)	 话说这部剧是我比较喜欢的~也喜欢上了欧锦棠~            
(4星)	 大赞。推荐。大爱花姐。            
(4星)	 里面的男主角其实很弱- -石修和欧锦棠太抢镜了            
(5星)	 哈哈            
(4星)	 煲完，要看什么纯真爱情的这戏不适合，男女关系莫名其妙乱七八糟。但每个case都很刺激。P.S.欧锦棠真系好型仔啊！！！主角我反而都没感觉。            
(3星)	 男的再好点就好了……            
(3星)	 虽然开局精彩，但过程一般，结局也一般，跳跳停停的看完了。            
(3星)	 很有型，但很假。蛮喜欢她们三个的~~            
(2星)	 无聊死了            
(4星)	 人物亮眼剧情狗血            
(3星)	 只记得三个女人打起来很帅 特别是我的阿佘            
(1星)	 爆破和枪的效果做的太差了，每次去酒吧也就是去一家，那家还跟雪糕店似的，经费不够就不要拍那么多镜头嘛，看着笑死人了假的很呀，演对爱情潇洒又迷人，人见人爱，花见花开的高级警察，真是没有那个气场呀。都不如国产的“好想好想谈恋爱”里的毛纳            
(4星)	 三个女人一台戏。。原来CTU都可以咁型既喔~            
(4星)	 姚丽花真是笑死我了。我爱花姐。            
(4星)	 结局不好。            
(4星)	 蛮精彩的。。            
(3星)	 这个  破案有点新意            
(4星)	 佘诗曼演的很好很突破 就该演这种角色            
(NA)	 还不错哦            
(3星)	 觉得佘诗曼很好            
(4星)	 美女，我喜欢            
(3星)	 三個美女。            
(2星)	 借鉴的是好莱坞的霹雳娇娃吗？反正是没什么好口碑诶。            
(4星)	 谭耀文的表演很不错，很搞笑~            
(4星)	 当时觉得真是唔错噶。            
(3星)	 仿佛跟探案没有关系            
(3星)	 还真是看人啊。。。？            
(3星)	 花痴欧锦棠            
(3星)	 为了杨思琦看的，估计是某长脸蛇的上位作品，感觉郭和47都是陪衬，看不下去了，鲜花衬托狗尾草？？            
(3星)	 帅            
(3星)	 很久以前看的片子了，估计是它刚出来的时候就看了的吧，那还是我很迷恋TVB电视剧的时候，不可否认，当时的感觉是很好的，，可到现在，或许真的就觉得是不咋地的了，，是长大了？还是真的不如从前了？？            
(4星)	 三美女，好看！！            
