http://movie.douban.com/subject/1951081/	金牌冰人 金牌冰人 / Better Halves
(3星)	 那誰穿女裝我還真受不了- -            
(3星)	 盖鸣晖您还是继续唱戏比较有前途            
(4星)	 难得男女主角的人选我都还比较控~            
(3星)	 女主角好烦= = 女二号和男二号超赞！            
(2星)	 TVB             
(4星)	 aha¬¬¬ 当时和妹妹无聊看的，张可颐在里面还是恨13的说~~古装非武侠港剧么，几乎都蛮喜闻乐见的说~~            
(3星)	 家里蹲时无聊看的...盖鸣晖真是不错...            
(3星)	 为了maggie啊maggie            
(4星)	 挺喜欢的，欢乐。喜欢乔装反串戏码==+            
(5星)	 张可颐惊艳过我两次 一是顾清华 二是连百合            
(3星)	 其实长知识的            
(NA)	 哈~            
(2星)	 叽叽歪歪，哼哼叽叽            
(3星)	 冲着张可颐看的，却发现了盖鸣晖这个厉害人物。貌似以前演的《寻秦记》中的龙阳君。            
(3星)	 小孩子看的            
(3星)	 鸟~            
(3星)	 天平男+双鱼女，白羊男            
(2星)	 冰人就是媒婆啊～            
(3星)	 不喜欢张可颐。。。很奇怪的女人            
(3星)	 很好玩滴~            
(3星)	 这个世界姻缘不可少，当然需要媒人来帮忙。官与民的不同方式，让挑战升级。让我看到了一个不熟悉的演员，盖鸣晖很有实力，和张可颐一样给本剧添彩。            
(5星)	 满好看的，看了三四遍呢~            
(5星)	 重看一遍，依然别有风味。虽然没什么营养，但让人忘忧，高斐一直吟诗的样子好欠扁啊            
(3星)	 马浚伟 张可颐            
(3星)	 一对好爱侣，一生好伴侣            
(2星)	 貌似寒暑假里看了不少这样的片子。看来我也是看电视剧起家的。            
(NA)	 曾经沧海难为水太经典了            
(5星)	 我爱张可颐。            
(3星)	 jiabiyi好美的             
(NA)	 当年好爱看！每晚六点守电视！真的想说好喜欢这种类型的TVB剧！            
(NA)	 看见那个女扮男装的谁谁谁就烦            
(3星)	 完全是为了张可颐看的@@            
(4星)	 收拾日志的时候想起了这个剧，想起4年前我第一次看这个片儿的时候~~ 嗯。。。我觉得这是马浚伟发挥得最好最好最好最到位的一部喜剧了。。。。。            
(4星)	 这个真的搞笑..笑死我了            
(NA)	 红娘的故事            
(4星)	 隔了几年再回头看，还是挺好看的。成功的小品喜剧。            
(4星)	 好久以前很喜欢            
(3星)	 打发无聊的人生            
(3星)	 原来媒人叫冰人            
(4星)	 搞笑剧            
(3星)	 年少回忆。            
(4星)	 为了张可颐 就四星了！            
(4星)	 马浚伟傻乎乎的，很可爱            
(3星)	 马浚伟还是乖。            
(NA)	 我认识了一个词：“冰人”            
(3星)	 满有劲的 张可颐很棒            
(NA)	 成事在人            
(NA)	 搞笑            
(4星)	 好搞喔！            
(3星)	 一般般，有点憨            
(NA)	 知道冰人是啥了            
(4星)	 很有喜感~~马仔~张可颐~冤家变恋人~            
(4星)	 tvb就是喜欢胡搞乱七八糟的古代职业            
(3星)	 其實偶真的蠻討厭馬浚偉            
(5星)	 特别可爱的一部戏，没想到我会这么地喜欢，唉，毕业那年的夏天            
(5星)	 很聰明的喜劇，編劇和演員都很棒            
(5星)	 里面张可颐那对实在可爱.说话速度极快又极度能吵架极度能哄人.实在很赞.冰人是个好职业.            
(2星)	 见不得盖鸣晖这个扮相,再加上向来见不得陈毫。(明明丑男不是么!!)            
(3星)	 有点搞,boy&#39;s love就算了.            
(4星)	 不知道为什么就是认定了这部剧充满了BL的味道。。。            
(5星)	 很好笑，百看不厌            
(3星)	  马浚伟我喜欢的呀             
(3星)	 令狐喜看得我冷汗直冒；非常喜欢想想            
(NA)	 初三暑假...            
(4星)	 有喜欢的马仔和可颐~~~不过看完了觉得还好吧~~~            
(4星)	 欢喜大结局~            
(5星)	 喜欢            
(NA)	 搞笑.看通宵看完的.那个时候觉得TVB好好看.^_^            
(3星)	 这个还是不错的            
(4星)	 愿得一心人，白头不分离。其他不予评价，剧中的桥段很多令我感动。            
(4星)	 好喜欢连百合啊~            
(4星)	 新年起来大早上看这个！！！其实还是不错的 蛮喜气的。。            
(3星)	 张可颐还行            
(5星)	 港剧的魅力就是几个眼顺的主角，换汤不换药的剧情和台词，但总能觉得很温暖            
(4星)	 好吧…… ╮(╯-╰)╭ 盖鸣晖怎么看都是男人。            
(4星)	 那时候多喜欢看的            
(3星)	 忘了哪年看的……            
(4星)	 欢喜冤家套路            
(NA)	 久远到我只记得我看过 内容都忘记了            
(3星)	 盖鸣晖阿姨你还是干脆变性吧。            
(NA)	 马浚伟和张可颐相当不错，其他乏善可陈，另外一对太丑，倒扣分。            
(4星)	 不用动脑子            
(3星)	 古装轻喜剧            
(4星)	 重温一遍！！            
(4星)	 妈妈喜欢盖鸣晖            
(4星)	 看似没营养的肥皂剧，细究还有很多历史知识，挺好玩的。喜欢这个女人，盖明辉，粤剧文武生，演男演女都很盖。            
(3星)	 我觉得挺好看的            
(4星)	 当时真的觉得港剧的服饰好美            
(4星)	 一直很喜欢张可颐            
(3星)	 福頭&amp;百合各種牙尖嘴利異常精彩。            
(3星)	 大学的某个夏天，消磨暑假的慵懒午后。            
(2星)	 那个女扮男装还是男扮女装的人恶心死算了。。            
(4星)	 喜欢看他们斗嘴            
(3星)	 挺好看的。就是结尾太仓促，前戏太长。            
(3星)	 那个令狐喜 我一直觉得太诡异了 居然还跟陈豪搞到一起了            
(3星)	 据说很好笑，但实践下来不怎么样，不过貌似演员还是很卖力的            
(4星)	 不在其他 让我很开心            
(NA)	 爲了看馬浚偉誒！那時候我還是馬浚偉的飯，同時恒久不變張可頤。            
(4星)	 算是港剧里好看的一部分……还有bl情节……哎哟哟            
(5星)	 马浚伟啊。。。为啥配了龙阳君额！！！！            
(5星)	 我就喜欢说话快的娃儿！            
(5星)	 搞笑0 0            
(4星)	 老少咸宜的轻喜剧。            
(3星)	 那个谁还是演男人吧。            
(5星)	 蓋鳴暉姐姐美，如果演的不是偽郎而是偽娘那就perfect了，姐姐絕對有這個實力啊！陳豪該去攪基，去吧。不是很喜歡馬浚偉，但是他和張可頤是一對……            
(5星)	 陈毛毛此时还是个愣头青啊…            
(3星)	 应该是这部剧认识张可颐???            
(4星)	 冤家宜解不宜結。            
(3星)	 还行            
(4星)	 TVB很多剧包括这部它们的剧情尤其是结尾部分都是很狗血的。不过TVB里我最喜欢的男演员是刘松仁与马浚伟，女演员则是张可颐和唐宁。冲这两主演为此剧打四星，可以放松心情的轻喜剧。            
(3星)	 某年夏天的回忆            
(3星)	 其實有點無聊好像            
(3星)	 很麻麻            
(3星)	 依旧是跟着电视看得 话说主角并没有特别对我胃口的 也就没怎么上心             
(5星)	 超级好笑啊，中学的时候看了好几遍～            
(3星)	 记得最清楚的是，这部剧结束之后就有《十月初五的月光》看了，那是初一的暑假，3颗星            
