http://movie.douban.com/subject/4046891/	刑警
(4星)	 疯狂的石头：Mad &amp; Stone            
(4星)	 靖哥哥和杨康主演的死亡笔记            
(3星)	 这件事情教育我们，当地下判官闷头去干就行，不要在人前宣扬信念、不要妄想取得别人的支持和理解，这个地球是很危险的，作为火星人要懂得隐藏和自保。            
(NA)	 出了一个王浩信            
(4星)	 29集看的想抽宣萱。。不信自己男朋友。。还将证据给坏人。天！            
(4星)	 郭靖同杨康喔            
(5星)	 就是爱宣萱            
(4星)	 苗侨伟演得挺好的。剧情一般。            
(5星)	 到了24集劇情依然緊湊，以今時今日的TVB而言已經是難得一見的刑偵劇佳作，即使兇手和作案手法還是很好猜。華哥三哥撐得起整部戲，小定既靚且型，王浩信終於上位，唯一缺憾是四十歲的宣萱依然瞪大雙眼飾演成事不足敗事有餘的無知女一號。            
(4星)	 我爱3哥            
(NA)	 我心目中的Mr.Right始终都是黄日华呀            
(5星)	 黄日华的演技真是出神入化到变态啊！看到我都为他痛心疾首啊！            
(4星)	 看不到那几个讨厌的演员，8错8错！！            
(4星)	 黄日华跟苗爷飚戏好过瘾！！！！！！！不过黄日华后面由于演技过佳，导致我现在脑海全是他的变态形象。。。Carson死了我很伤心。胡定欣真的好适合浓妆！            
(4星)	 这部戏比谈情说案好看            
(3星)	 我讨厌胡定欣            
(4星)	 三哥啊！！！！！！！！            
(3星)	 stone sir的妈跟他和他老婆看上去一般大。。。汗死。。。不太想追了            
(4星)	 岁月催人老            
(4星)	 下雨天看看，很给力的剧情啊~            
(4星)	 改编自真实案例。原形为2007年香港三宗开枪引致四人死亡案件的凶手，原香港警察徐步高。鉴于近来TVB出的都是些跟太剧有的一拼的&#34;纯萌&#34;剧集，《刑警2010》算不错的了。不过郭靖演不坏杨康演不好也挺愁人的。            
(4星)	 米安定人马座？！那我猜石东升天蝎座！            
(4星)	 苗侨伟和宣萱还是蛮搭的~            
(4星)	 说实话，三哥还是那么有味道，最心疼卡神，最后死了，好大的遗憾，对文诗那么好，一个女人一生遇到一个对他那么好的男人不容易啊            
(4星)	 TVB拍警匪剧，大部份都是不错的，这部也不例外。黄日华久休复出，个人觉得他就真如其角色名字一样，有点生硬了，不过整体上他还是保持水准。由王浩信和胡定欣负责的副线挺亮眼的，两人的配对不错，王浩信的表现也越来越好，TVB可以多多力捧此君。            
(4星)	 黄日华扮的stone sir 不知道是他演的好 还是他本来就长得一副让人想揍的样子  反正就是很想揍他的feel            
(5星)	 car诗~宣萱和苗侨伟不错~            
(4星)	 MAD为毛会看上KIM。。为毛啊为毛！！！            
(4星)	 两位老戏骨，演技确实没话说            
(4星)	 靖哥哥和杨康主演的死亡笔记 tvb的编剧啊 每次不是把我喜欢的男二号给写死就是写死还是写死 敢不敢有次不写死呢 感情不是靠男主为女主中枪步步推进的 换个方法吧 不然男人追上个女人得多疼啊             
(4星)	 很不错的剧集啊！剧情算紧凑，一个连一个的案子（不过案情不是太给力，那个密室杀人的柯南演了好多遍了好伐），贯穿着stone的心理变化，逻辑通，两叔叔主角都很有型，演的也很好！（苗侨伟叔叔帅的好可爱）            
(4星)	 苗侨伟！！！            
(2星)	 黄日华太恶心人了            
(NA)	 把carson还给阿诗还给我们呐混蛋！！！！！！！！！            
(5星)	 虽然重案组的案子都没什么亮点，但我就是冲着宣萱和苗侨伟这对去的~            
(3星)	 魔鬼之路，可以是由善意铺成的。            
(3星)	 不能走极端啊，千万不能！            
(3星)	 终于追完了····啊····你怎么变坏人了····啊 ·····毁了你的形象·····            
(5星)	 案情都挺劲爆的            
(4星)	 Mad + Stone 瘋狂的石頭            
(3星)	 三哥 劲！            
(3星)	 魔鬼之路，是可以由善意铺成的。苗僑偉和黃日華演技自不必說，案件也不錯，算是一部中規中矩的劇情片。            
(5星)	 一直没有为刑警写点什么。这部电视剧是一定得看的。            
(3星)	 剧中香港警察依然没有跟踪天赋，跟一次丢一次，人格分裂这种老套桥段依然一演再演，案件依然保持着TVB固有的超低水准，结局依然那么皆大欢喜，嗯，完了。            
(4星)	 看完了，东升好可怜。。。            
(NA)	 收尾有点俗，黄日华做得好出色            
(3星)	 看下老演员的演技，结果看得全身美剧的影子            
(3星)	 抄橋！三哥頭好大~            
(4星)	 3哥苗侨伟，我喜歡。難得年尾還出了這部我會追看的TVB劇            
(4星)	 我希望最后宣萱被炸死，mad sir永远醒不来，阿诗照顾他一辈子，stone进监狱。可貌似结局被强制篡改了。另，我很讨厌宣萱和黄日华。            
(5星)	 为了黄日华~~怎么我都要给到5            
(4星)	 魔鬼之路，也可能是从善意铺成的！这部比谈情说案的案件好看多了。可惜又好又帅的carson死了。            
(4星)	 重口味            
