http://movie.douban.com/subject/3114226/	皆大欢喜古装版
(5星)	 死了记得烧这个碟子给我            
(5星)	 无聊的时候最靠他！            
(4星)	 嘿呀嘿呀嘿嘿呀嘿呀嘿!            
(4星)	 这个长度的轻喜剧，最重要的是塑造一群个性鲜明既不至善也非至恶的小人物。故事虽然必定失真，但轻松丰富喜感有节奏，一点都不拖沓不烦人。ps，赵学而作品不多，但都挺出彩；廖碧儿的角色算讨喜，但演技真是和第一部戏这件事很相称，可是经过这么多年的磨炼，还是每部戏都演得像第一部真是吐槽无能            
(5星)	 当初看得可欢乐了～            
(5星)	 我最喜欢的电视剧！！！！！！！！！！            
(5星)	 童年回忆。小时候和爸爸妈妈住在员工宿舍，小房间里面的小电视九点零五开始放家好月圆，可是我九点钟必须睡觉，于是躲在被窝里悄悄看。妈妈发现了之后说算啦算啦让你看完再睡吧。            
(NA)	 好长啊。            
(5星)	 太喜欢啦            
(5星)	 難以超越的經典            
(5星)	 经典            
(4星)	 只能说每~一~天都很热闹。            
(3星)	 和妹妹一起看的……            
(5星)	 非常好笑            
(4星)	 意外，本来以为是低配版公主嫁到，台词居然非常精彩，谢天华意外潇洒，林文龙意外儒雅，薛家燕没杨康他娘讨厌，廖碧儿居然可爱，莫名其妙的看了70集一刚～～            
(4星)	 当年做作业的背景音乐            
(4星)	 囧剧            
(5星)	 真长啊            
(3星)	 搞笑            
(3星)	 妈妈说廖碧儿气质甚佳。            
(NA)	 回忆啊            
(3星)	 香港制造。            
(5星)	 jinghua~            
(NA)	 拍那么长你烦不烦啊            
(5星)	 最喜欢的古装            
(NA)	 名字都很有喜感的            
(5星)	 看了好多年了 乐死我了            
(NA)	 没全看完            
(5星)	 就是很经典~            
(5星)	 这是我唯一看过的集数如此之多的TVB 大半年看下来广东话都会讲了... 一个个都是演技派啊 凌公公把太监的西腔演的太赞了！对靓仔的爱对皮肤的保养什么的笑死了 台词嘈 客串酱油帝多 还有各种补脑小剧场想太爆笑了~无聊了看看老赞了            
(NA)	 【2001】            
(4星)	 搞笑古装~~~我爱电信机顶盒~~            
(5星)	 默默看了很多次            
