http://movie.douban.com/subject/2361028/	恶灵05
(4星)	其实以当时来看，算好看的片子，恐怖气氛也做得不错。虽然最后实在有点扯。
(4星)	再次重温 发现好多casting都在康熙上现过
(3星)	TAE。。。OMG啊。。。
(3星)	不喜欢女猪脚和女配角
(4星)	结尾也太草率了吧，不过还是蛮不错的~
(4星)	难得一追的台剧，前面挺不错的，可惜虎头蛇尾叻。。。3星半。
(4星)	那时候看的，那一个怕啊。。。但是还是想看类似剧目
(4星)	好害怕好紧张好刺激
(4星)	由不得你不信命
(4星)	很早前久看过，前面很不错。后面就烂尾了。
(3星)	06年看的吧。主题曲非常喜欢。对前世今生的故事很难忘。
(5星)	看完了!~超愛~~``
(3星)	05年情感大剧。。热泪盈眶。。
(4星)	很惊悚
(3星)	最后一句看不下去 了
(4星)	以前看得时候还觉得蛮好看的，主题歌也很好听。
(3星)	哪一年的暑假看的。印象中太长又太蛇尾。里面有小倩的七夜的影子。也是个苦命的人物啊。话说前世今生的事情。真的不是可以随意揣测的。善和恶都是因果报应。
(4星)	大学2年纪的回忆。。。
(4星)	额 我只想说创维酷开上有这片，正好打发了我一下午的无聊时光，如果用台湾偶像剧的智商去看待这片其实还不错。
(4星)	好久没看台湾偶像剧了，这部很难得，比我想象中好。可能我比较偏爱这种题材的吧，起码比那些狗血的爱情、漫画改编的剧情好多了……前部分有日式鬼片的经典元素，我看得时候都有点怕怕的，整体感觉不错，就是结局比较无语。配乐不错~！！推荐啦……
(4星)	觉得还不错的台湾偶像剧……有密宗的时尚恐怖元素所以当时看得很入迷，节奏和悬疑掌握得还好，虽然有些不靠谱，记得玛旁雍错旁边竟然是竹林。结局忘记了。洪小铃，这里面觉得不怎么好看，到《放养的星星》里面就很耀眼了。另外觉得林立雯挺漂亮的，那时候的李威看着也挺顺眼……
(3星)	本来前面多好的。。。
(3星)	还OK吧 不是那么激情和好看
(5星)	那几年的偶像剧我还是挺爱看的哈哈哈=。。=（这片烂尾了。。）
(3星)	一点也不恐怖，失望啊
(4星)	虽然情节老套，像是把几部恐怖电影集合到一块了。结局好悲。
(4星)	配乐很好听，只可惜虎头蛇尾
(NA)	05年看了个开头。
(NA)	我長大了，不怎麽愛看這種片子了...
(4星)	前面拍得真挺恐怖的（结合了n多恐怖片元素）。如果不是结尾虎头蛇尾应该是很成功的片子，不晓得为什么没什么名气。
(3星)	不过是幼时追星看的片子罢了 有几分惊喜 也有几分失望 THE WALK是首好歌
(2星)	弱智
(3星)	让我记住了玛旁雍错湖这个地方。
(5星)	当年很喜欢的前世今生的剧，顺带着悬疑和鬼魂的刺激。最爱的歌THE WALK
(5星)	非常好看的2011电视剧
(3星)	画面不够清晰
(4星)	恐怖？！！！还好还好啦……
(2星)	剧情？那是啥？可以吃么？TAE卖萌倒是很给力
(4星)	多好的一个剧啊，烂尾了。。。
(3星)	鬼吼鬼叫的，吵死了
(4星)	很不错，中国西藏的佛学对抗恶灵，恐怖感渲染的很好，节奏也很紧凑。不过后面剧情稍微差点，结局也很意外。
(3星)	清明休假三天正好看完，第一天晚上看了几集还觉得有点后怕，丢脸。结尾就烂掉了。。。台剧难般的灵异片，林佑威暴帅，女主怎么看都假的不行。剧情不谈，演技不谈，没啥好谈了
(4星)	18岁以前的遗憾 今天补回来了/看完后晚上上厕所摔了一跤
(3星)	看到结局完全凌乱啊
(5星)	看过的最好看的恐怖电视剧！
(4星)	还不错还不错！就是结局好像太仓促了点。。。
(2星)	开始的ghost故事，很恐怖~~~拜亚洲的ghost形象本身就很恐怖所赐。台湾的电视剧怎么总是虎头蛇尾，《第八号当铺》也是如此。结局让人觉得，这个最后的头头怎么就那么马虎，甚至不堪一击。
(NA)	超级好看，超爱tae，帅啊！！！！
(4星)	看过的台湾偶像剧难得一部有印象的，氛围营造不错，剧本可行，演员可行，遗憾的是~~烂尾了（难道是为了续集？！）P.S.  另两部有印象的是《斗鱼》系列和《我在垦丁天气晴》（强推后者）
(4星)	算还可以的了
(5星)	极力推荐
(4星)	吓死我乐
(4星)	主题曲很好听 电视剧太能抄袭了 都抄的经典鬼片的
(4星)	前半段还可以　后半段有点狗尾了
(4星)	虽然粗糙 但还是喜欢这种灵异鬼怪剧集 也学会了实用性咒语ongmanibeimeihong
(NA)	好看 先是喜欢里面的歌——地平线  然后才找的这电视剧
(5星)	挺特別的台灣電視劇  但是怎麼沒紅挺不錯的e
(3星)	无意中发现这部电视，因为喜欢看恐怖片，所以决定看它，一个人在寝室花了两天时间把它看完，剧情貌似沿袭了很多恐怖片的事件，像鬼来电~~而且结局有点草草了事的感觉~~~3星半吧~~
(4星)	刚开始还挺有感觉的，越到后面越无厘头了
(3星)	恐怖的部分挺好的 感情的部分可以忽略它其他的恐怖片海报都太恐怖 以致我的豆瓣都不敢加
(3星)	以为会挺好看的片子，其实也就一般。让人纠结的其实是n角恋。看的心力交瘁，orz。
(4星)	我讨厌演员李威的后来，那时候他还算正常。作为台湾偶像剧，这部剧总算是跳出了偶像剧的俗烂与台。其实还蛮想再看一次的。
(4星)	前面很不错，结局太匆忙，喜欢剧里的洪小玲
(3星)	恐怖的不错
(5星)	我老喜欢洪小玲类~~~
(NA)	每天看都是很惊悚
(4星)	驚悚片
(5星)	美丽的玛旁雍错湖畔    有点想去看看
(NA)	起初还算有质感，主题歌很不错
