http://movie.douban.com/subject/2303257/	蒲公英
(NA)	就。。。。实在是不明白啊。。。。。
(5星)	孙莉是亮点@！
(3星)	我们家黄磊的老婆。
(NA)	那时候第一次看胡歌 那个惊艳啊！太TM帅了吧讨厌孙莉演的妹妹 喜欢关颖演的姐姐
(5星)	很舒服的文藝范
(5星)	喜欢胡歌所以把这片看了 好感人 冰这是个可怜的女子
(5星)	一颗星给胡歌 一颗星给他的处女作 一颗星给程灏 一颗星给夏冰 一颗星给某人
(3星)	只为胡歌,恶补作品中
(4星)	初见胡歌，青涩。结局不喜欢。
(4星)	总是想起夏冰，程灏担不起她的爱
(4星)	在喃青葱的高中摘抄本里 居然发现了 这个剧@！！证明喃肯定看过！！
(5星)	因为这部戏喜欢胡歌 那时他大二
(5星)	很喜欢很喜欢博深对冰的感情，不离不弃，不管发生什么事，一如既往的付出，比她自己还了解她
(3星)	故事真心狗血。孙莉、袁弘加上眼睛版胡歌演员的颜倒真的是很有爱。
(3星)	又老又狗血但是一点没妨碍我当年对着还不是老胡的小胡的青葱帅脸直流口水。。。。
(3星)	為了孫莉看的。說實話故事很俗，但孫莉的角色算比較有發揮
(3星)	我还蛮喜欢孙莉的~
(4星)	有大连拍摄的部分，很多一望便知的地方
(4星)	这部电视剧还不错，尤其喜欢胡歌演的程颢，我心目中的完美好男人！！！！！！（我的择偶标准基本就是指的他：有责任心，体贴，上进） 电视剧的美中不足是情节太老套（三大灾难齐全：车祸、失忆、白血病）不过还好情节安排不算俗气……
(5星)	又是伤心的剧
(3星)	很久之前看的 当时对结尾印象深刻
(4星)	那时候的胡歌帅气逼人，那时候的孙莉伶俐可人，那时候的关颖内敛温婉，那时候的袁弘....完全不记得有他-0-
(5星)	看这个电视剧的时候，我妈总说孙莉演的夏冰是个神经病。哈哈，我最爱的就是夏冰这个角色。
(5星)	听说是老胡的处女作才看的，其实那时候这样的矫情应该还不算矫情吧，那么清新的老胡，难得的，演技虽不怎么样，但那时的他那样的角色已经够了。。。原以为是配的音，那么WW调，却不是，看来他的台词功力真的不是一般的好哦。。。
(3星)	老早的片了...
(4星)	胡歌处女作哦
(4星)	多么偶像的国产偶像剧啊...咳...很喜欢是因为孙莉和袁弘，果然就只看人了...坚持不一定是胜利，也不一定不胜利。
(5星)	当年都好青葱啊，谁会想到他会是那个御剑飞行的李逍遥呢？？
(4星)	孙莉。
(3星)	好久才反应过来是胡歌演的。。。
(5星)	超好看
(3星)	真没认出来是胡歌。。
(2星)	当时看过剧觉得孙莉是配得上黄磊的
(NA)	太韩板了……虽然喜欢胡歌，但是这么漫画的东东还是少拍啊，不然走不出偶像的定位……造型有点像哈里波特……嘿嘿
(4星)	喜欢胡歌看的这片，看完了喜欢孙莉，黄磊眼光真好呀~
(4星)	这不是我初中看过的么...胡歌也曾儒雅...
(1星)	镜头用光等等竟然还挺讲究，当然这一切都阻挡不了神一样的脑残剧情。单纯看人，本色演出青春年少，是好看的。
(2星)	狗血的集大成者啊，孪生姐妹，车祸，失忆，白血病，山崩……就老袁的那个角色还是不错的……
(4星)	当年看的时候这四个人都没有红  汪博深居然是老O！！
(3星)	我一直以为是心理片= =
(5星)	想起袁弘~~~~
