http://movie.douban.com/subject/1453238/	海贼王 ワンピース
(5星)	 “OP是用猫和老鼠的搞笑方式，机器猫的想象力，阿拉丁神灯的奇妙历程，来表达肖申克救赎的人生观，阿甘正传的世界观，从而引发出辛德勒名单般的人性史诗。”            
(5星)	 关于自由和梦想豪气干云的冒险史诗，充满世故人情的耐人寻味的童话，宏大的世界观和精彩的伏笔，富有想象力的设定及饶有趣味的神话传说取材，使得OP成为当之无愧的少年动漫NO.1。这些光彩夺目的少年，高唱“宾克斯的酒”，乘风破浪，一路万里阳光~            
(3星)	 不能想象人气比火影还高，看着此种过于夸张的画风，一直提不起任何兴趣，于是揣测一定剧情非常特别，便强忍着开始追加。进入伟大航路之前的剧情实在太过低幼简单，直至乔巴出现才开始渐入佳境，角色亦现丰满，到了水之都堪称精彩，可惜100集之前真是太太太水了，会丢失大量没耐心的观众。            
(5星)	 这绝对是最值得看的热血动画片之一.            
(5星)	 乌索普 【Usopp】 One Piece是神作，其他漫画跟他无法比。成长期最爱的一部。            
(5星)	 没有比这个更让人感动得了。追到中年我也认了。            
(5星)	 夺走我最多眼泪的漫画，奇怪的是它居然是热血少年漫画，HOHO~~            
(5星)	 男人该看的漫画。            
(3星)	 让人受不了的拖沓            
(5星)	 我也很想一辈子为梦想而活 有这样一群朋友 大声笑大声哭 永远也不会厌烦这样的冒险 因为我有你们            
(5星)	 路飞和乔巴怎么可以这么可爱啊。            
(5星)	 梦想是世界语言            
(5星)	 也许有一天我会陪着我孩子一起看OP            
(5星)	 我的命啊 = =            
(1星)	 莫名其妙            
(5星)	 成长动画，很经典，还在连载。            
(NA)	 作为一个姑娘，我还是很喜欢sanji kun地/。            
(5星)	 呵呵，为什么我喜欢的都好长。。。            
(5星)	 前无古人后无来者，划时代的作品！            
(4星)	 太长了不追了。。。            
(NA)	 蛇姬不赖啊            
(5星)	 大爱中..追看            
(NA)	 我的最爱之一            
(3星)	 看到一句话说不喜欢海贼王的唯一理由就是没有看过海贼王，真心觉得这话说的有点太绝对了，说句不喜欢就要莫名其妙被喷被指NC。世界又不是以你为中心，你觉得好看难道就不许别人说不喜欢么。生命梦想追求的意义哪个热血片不强调 称之为神级也太过勉强了吧， 看了弃，弃了看，越来越没意思。太墨迹了            
(4星)	 看过六年，现在剧情发展到哪完全不关注了。            
(NA)	 289            
(5星)	 next 521  620  国庆一口气补了两百六十多话，整整5年的量。打算再养5年再回来             
(5星)	 和！！同！！伴！！一！！起！！去！！寻！！宝！！            
(3星)	 我是被迫的。我是被迫的。我是被迫的。            
(3星)	 果断弃！！！            
(5星)	 追到100多集，真是破记录了            
(5星)	 压力&gt;_ _ _&lt; ！看不完啊看不完···头大            
(5星)	 眼泪淹没了它…（2010-08-05 我已经不再年轻，被热血漫画冲昏头脑之余，竟想的是他有多么白痴）            
(4星)	 一时半会儿没心情继续看了，姑且算看过~            
(5星)	 你若不是从第一集到现在看过他们的成长你不会明白，你若不是从东海道伟大航路到新世界一步一步走来你不会明白，这么多年唯一一部让我前秒笑后秒哭的动漫，最伟大的神作，没有之一。            
(5星)	 赛高            
(5星)	 我也想 吃 果實 果實 果實            
(5星)	 追到200多，太慢，漫画已经赶上进度了所以就放弃动画了            
