http://movie.douban.com/subject/3025152/	聊斋 聊齋
(4星)	 看不惯翁家明的脸啊，鹿三太子何苦当红娘不做男主角。            
(5星)	 蒲松龄先生告诉我们，为不爱自己的人守节是搞笑的。如果得不到男人的爱，拒绝富户跳进坟坑以死明志也没有什么高风亮节，因为48岁的张于旦最后还是抱得18岁的卢含珠美人归，迟暮的张大夫上马不得还是凤姐儿子托的屁股，凤姐知道了应该晚上来勾尔等的魂啊。可参《聊斋志异*鲁公女》原文及tvb剧本            
(4星)	 秋月还阳那一处居然还有什么“上月四川大地震突然多了二十万冤魂”的胡话，果真预言帝啊            
(3星)	 老版还是挺经典，最爱秋月还阳那一出。            
(3星)	 就记得这一版的            
(4星)	 刚回顾完~~点开视频~听到主题曲的时候起了满身鸡皮~。记得小时候好喜欢看来着~            
(4星)	 俞小凡那部印象最深刻            
(4星)	 小时候每天守着看 好好看！！            
(5星)	 真尼玛好看！！！！            
(3星)	 能更狗血一点么。。。。。            
(5星)	 最好看的还是香港拍的最老版的聊斋            
(5星)	 咸亨利贞。。。            
(3星)	 1996            
(4星)	 初中的回忆            
(3星)	 演员重复的好厉害~故事很有意思~主题曲好好听~            
(5星)	 小翠            
(4星)	 扯淡扯淡，天天翡翠台在播！            
(5星)	 寒假TVB中午重播啊，惊喜，最爱这系列的主题曲了            
(5星)	 看过的最好的一个版本            
(4星)	 童年记忆            
(5星)	 好看X n次            
(5星)	 小时候一部充满玄幻的剧集，现在回顾，少了一份玄幻感，但满足了好奇心，还是值得一看的            
(5星)	 光是第一個單元《流光情劫》已經值五星!!!!            
(5星)	 情节都不记得了，只记得痛和伤            
(4星)	 看过，不错。主题曲甚佳。            
(5星)	 惊为天人            
(5星)	 小学时候和爸妈一起看的。花仙变火妖的时候我倒在床上念叨：完了完了。            
(3星)	 当年看录象带            
(5星)	 最喜欢看的TVB电视剧。            
(4星)	 让人念念不忘的剧集，拍得精致优美，经典之作            
(5星)	 距离第一次看已经十年了吧，还是忘不了            
