http://movie.douban.com/subject/4889475/	爱在路上 ดอกรักริมทาง
(3星)	 这部剧的主角是狗狗啊狗狗！            
(3星)	 个别演员们，你们长的好奇怪。            
(NA)	 改名叫哼嘟传奇好了= =            
(3星)	 伪BL+狗血剧情            
(NA)	 狗是亮点            
(5星)	 狗血 可是我喜欢            
(5星)	 巴达伟一星 潘雅兰一星 亨嘟一星 阿唐一星 华珍一星 五星             
(4星)	 有人说，开始看泰剧也就是人堕落的开始。不过还是喜欢bie和vill这一对，狗狗也很可爱            
(3星)	 哼镀太可爱了，不过阿唐更可爱啊            
(NA)	 還不錯啦~            
(3星)	 狗狗好可爱            
(5星)	 亨嘟好有爱~~~啊雅也不错~~~就是后面拖了点-。-（俺很是喜欢那个泰国土狗常旺）            
(NA)	 女主還是短髮好看，我最中意的還是那個狗狗            
(NA)	 年轻帅气版郭靖安加上异国情调版文颂娴            
(4星)	 可惜是台普话配音。。。。            
(3星)	 伪BL，虽然男主有点做作，但很嫩。女主讨厌。。。            
(3星)	 演员真难看-  -还有要是真的是男的就好啦....            
(3星)	 2011.04 狗是亮点！            
(4星)	 下午在安徽卫视看了点，还挺带感，就是太拖沓了&gt;&lt;（男猪爱上了女扮男装的女猪，要真是男的就好了哇，更狗血啊=0=            
(3星)	 狗狗好可爱，男女主角好做作！            
(4星)	 1，男主很帅。2，疑似断背情节很搞笑。3，泰国的狗都会演戏，亨嘟好可爱。            
(4星)	 很哈女扮男装            
(NA)	 无聊的时候看看电视是愉悦的            
(4星)	 太可爱了。。那只狗狗~~            
(4星)	 我又看泰剧了啊啊啊。这次真的是“狗”血剧情。。。            
(NA)	 看了不止两遍了，我妈比我更爱看。BIE是我和我妈都喜欢的泰星。里面的大狗会说话，聪明又忠诚。我家的坏皮皮很笨，该叫的时候不叫，不该叫的时候乱叫，欺负弱小的猫咪，但他永远是我们捧在手心里的小坏蛋。            
(4星)	 非常狗血的一部剧，男帅女靓~哈哈哈            
(NA)	 work。男主角唱的主题曲挺好听             
(4星)	 神犬嗷            
(4星)	 泰国富二代瞎了我的眼啊，我是土逼NO.1啊，，，，，狗狗好可爱~            
(3星)	 我也庸俗了一把  哈哈哈~~看到“强攻和正太受”就感觉太有爱了！            
(4星)	 超可爱的狗~            
(NA)	 安徽卫视- -            
(3星)	 剧情还行，拍的太慢太拖沓太夸张了，看得我又急又累的。。狗狗最棒~            
(5星)	 狗狗加一星~~~~            
(3星)	 狗血剧，各种狗血，可这能扯，不过泰国人有一种莫名的喜感。哈哈哈哈哈。            
(3星)	 咋一眼看，以为男主是何润东，很大只拉            
(2星)	 节奏太慢 剧情脑残            
(4星)	 这只叫哼嘟的金毛一只就可以有三星，男猪太可爱，男二也很有爱，喜欢女三。可以忽略拖沓和离奇的剧情和哭不停的女猪。            
(4星)	 男1的下巴很像何润东，女1像袁咏仪和雪儿的结合体，狗狗是最佳男主角；喜欢男1，男2，和反派两姐妹。最讨厌女1和女3，两个大花瓶，一个只会懦懦嗫嗫哭哭啼啼，拜托你现在是在假扮男生好么！另一个只会吧咋吧咋。20集以后全是拉着进度条看的，2小时看完10集            
(4星)	 伪BL＋会自言自语说话的狗狗！！太恶了！要是真BL我就给五星！            
(4星)	 安徽卫视在放，放到男主对女二说“我会负责，因为我是个男淫”~~我：“噗~~”麻麻“噶矮。。。”。。= =~~狗狗好阔爱。。。。啊哈哈哈哈哈哈哈哈            
(NA)	 狗才是主角~男主角好帅呢~            
(3星)	 男主还是不笑比较好看~喜欢狗狗~~            
(4星)	 不死神犬、男二居然没喜欢上女一、有钱的都不用工作、坏人拖延症严重，情节虽然拖拉老套但是好歹给腐女们派了好几集的福利，亲热戏神马的都是男男模式啊亲            
(3星)	 狗是亮点            
(4星)	 主要那条哼嘟得加一星～            
(3星)	 我只愛那隻哼嘟            
(4星)	 主角其实是金毛哼嘟~这四星全都给狗狗~人类演员都是浮云~~~            
(3星)	 传统偶像剧的固定模式，千篇一律，纯属卖颜之作，无任何演技可言。贵族富豪们所谓的真爱，实在难以引起共鸣。本片唯一的亮点就是那条聪明的狗，增添了不少欢乐气氛和童真色彩。            
(NA)	 有萌点有卖点，啊啊啊又是完美男2号~还记得上部里你小攻的形象捏            
(4星)	 亨嘟真是只聪明的狗 不仅喜欢BIE  也中意阿唐哥这样的男朋友 哈哈哈哈！！            
(NA)	 亨嘟太抢戏了            
(4星)	 小太阳            
(5星)	 颠覆！彻彻底底对以往狗血式剧情的颠覆！            
(4星)	 hungtu太可爱了。            
(3星)	 狗很可爱            
(4星)	 狗狗是亮点~！！八过这种狗血剧我也爱~MUA~            
(4星)	 这个假期追着看的电视剧。还不错。我和妈妈一起看的。            
(4星)	 其实剧情不错的，但是节奏着实的慢啊。两天后再去看，还在讨论同一个问题或者还在同一个场景。愁死我了。            
(3星)	 陪奶奶。。。            
(2星)	 编剧你这是作死啊还是作死啊            
(NA)	 金毛啊~好想养一只!            
(3星)	 女主真的不好看，男主好像发胖的陈晓东。倒是哼嘟很可爱            
(3星)	 咦这不是小时候印象中的何润东和内田有纪嘛。。。。。            
(3星)	 女主角长得好像年轻时的老妈呀            
(NA)	 妈妈带俺看泰剧。。。            
(NA)	 安徽卫视看之= =狗狗好聪明的~            
(2星)	 就一泰国版的偷偷爱着你！还打bl擦边球！            
(4星)	 我勒个去！！泰剧神马的。。。陪奶奶看的。其实男猪脚长得不错哇            
(3星)	 Bie和狗狗            
(3星)	 配乐赞，哼嘟很可爱。            
(3星)	 outgrew cheap love stories            
(2星)	 春节无聊时看的片子~本来剧情就狗血~貌似泰国除了明争暗斗家产以及美女配老头争夺继承人就没其他题材了一样~相比其他泰剧，男女主角都不够靓~因此实在看不下去了            
(NA)	 超级狗血！！！！！            
