http://movie.douban.com/subject/1968568/	雪山飞狐
(4星)	 老港片都很有味道。            
(4星)	 陈锦鸿 佘诗曼            
(3星)	 把几本书揉在了一起编得很不高明，到处有别剧的影子，郎剑秋和幺一一是我爱的角色，像胡斐这样喜欢控制别人的人，我很不爱！            
(NA)	 这一版的真好看，刘江演的闫基印象深刻            
(4星)	 佘诗曼太美了            
(4星)	 经典。            
(NA)	 佘诗曼那会儿还没长开            
(2星)	 我挺佩服编剧的一点是竟然可以把程灵素的角色换成个疯子。。。还长得那么鬼斧神工。。。            
(NA)	 匪夷所思的改编也是一种...才华啊....望天            
(NA)	 陈锦鸿            
(2星)	 真糟蹋李添胜            
(NA)	 张学友唱主题曲的。            
(5星)	 很久看的 但很喜欢！！ 陈锦鸿好帅啊            
(2星)	 就是不喜歡黃日華            
(3星)	 少见拍得很正经很内敛的金庸剧...            
(4星)	 张学友歌不错~多给一星吧~            
(4星)	 挺感动的~            
(NA)	 莫名其妙啊。。。            
(4星)	 黄日华戏路果然很窄。            
(3星)	 当时佘诗曼还不错啊。。。            
(3星)	 还行            
(3星)	 张大树唱的主题曲哦，连同滕滕一起爱了。            
(3星)	 只记得节奏挺慢            
(4星)	 初中时午休只有一个小时，急忙跑回家看完就没时间吃饭了.            
(3星)	 胡一刀永远耀眼过胡斐            
(5星)	 我一直记得主题曲怎么唱，还有佘诗曼的苗若兰。            
(NA)	 反正係三年级前睇嘅..            
(3星)	 那时候觉得嗲精很美很美~            
(3星)	 断断续续，断断续续...            
(5星)	 陈锦鸿的演技真的不咋地，給佘配音的人TTMD  JP了            
(3星)	 99,还是99.            
(NA)	 不喜欢这部，所以《金庸群侠传》里面胡斐弱的很            
(4星)	 給回憶.            
(NA)	 【1999-01-18】            
(3星)	 其实整个金庸系列里  我最欣赏的是苗人凤=。=             
(4星)	 佘诗曼唯一看着水嫩的戏            
(3星)	 改动颇多            
(NA)	 那时候的佘诗曼真是漂亮。            
(3星)	 胡一刀那里蛮不错的！            
(4星)	 苗若兰。苗若兰。苗若兰。当然，还有桑青。            
(5星)	 这个是挺大的时候看的了，初中吧~怀旧一把系列~相当的怀念！            
(3星)	 哎呀哎呀，各种不喜欢佘诗曼啊~怎么办！特别是搭陈锦鸿，衰做一对的！            
(2星)	 改的神马啊？？乱七八糟的！！！            
(4星)	 喜欢张学友唱的片尾曲            
(2星)	 唉……            
