http://movie.douban.com/subject/2157146/	孝庄秘史
(5星)	 邬倩倩演的皇后死之前对多尔衮说，要善待福临，他毕竟是无辜的。多尔衮抬起头，满眼是泪，说，四嫂，我又何辜！            
(4星)	 出乎意料的还算好看的剧。刘德凯果然还是很有型。马景涛终于MAN起来了，不墨迹了。宁静果然是实力派。很好看哇咔咔            
(NA)	 宁静不美的话中国也就没有美人了。多尔衮让我爱到疼，如何有这样一个男人。            
(4星)	 我居然因为这部剧而有一阵子看马锦涛极顺眼            
(5星)	 好像是我看到現在最喜歡的一部清宮劇寧靜和馬景濤的演技都是不錯的            
(5星)	 当大玉儿和多尔衮相对蹦出豆大的泪珠时,我被演员的演技折服了.虽然没看全..            
(4星)	 我记得屠洪纲唱的那一句：梦一回那曾经心爱的姑娘。宁静在这里的形象让我第一次觉得她怎么那么漂亮。            
(5星)	 娘的！我小学的时候怎么不觉得多尔衮有这帅列？？！！            
(5星)	 人生太深奥了，走过的人太多，明白的人太少。             
(5星)	  原谅我，即使心碎了又碎，也不能把血色涂抹在你的脚边；原谅我，不能为你而活，只能为你而死，终究还是把你一个人，抛在这滚滚红尘。昔日横波目，今成流泪泉。今生已过矣，结取来生缘。下一次我再看见你一身白色盔甲，站在草原的尽头冲我微笑，我一定不再松开，握住你的手，下一次，我不要再为责任而            
(5星)	 毛泽东曾说，清朝历史上有两个女人，一个好女人一个坏女人，好的是孝庄坏的是慈禧。大玉儿的一生与三个爱新觉罗的男人纠葛不清，她爱着恨着隐忍着绸缪着，心死了又麻木了。当周遭上演了太多的悲欢离合和阴晴圆缺，她也看开了，人生的路就变得长而宽了。努尔哈赤说过：人非得先制伏自己，才能制伏敌人。            
(NA)	 多而衮用尽了一生，去爱他的宛转娥眉大玉儿。            
(5星)	 多尔衮啊多尔衮。。            
(4星)	 是老马的一部突破剧            
(4星)	 不错，让我对小马哥有了一定的改观，那样的感情，让我不想再看一遍，因为会再经历一次心痛            
(4星)	 就爱多尔衮            
(4星)	 第一部让我如痴如醉的电视剧。只为那个深情的多尔衮。            
(5星)	 Perfect的爱情~都说小马哥演戏太那啥~可我觉得不错呀，那个时代的人似乎演戏都很用劲，总比现在一些人顶着个所谓漂亮脑袋在我面前晃来晃去地演技僵硬好得不得了哈~宁静相当的漂亮~小时候的大玉儿和苏末儿也演得相当水灵哈~除了福临这个角色我都爱，有这种儿子真叫人悲哀！            
(3星)	 一直觉得多尔衮帅的呢。            
(4星)	 一想到多尔衮和孝庄我就内牛满面~            
(5星)	 他娘俩都欠多尔衮的            
(NA)	 前些天还浮起那个画面，大玉儿哭着说，他真的犹豫了。            
(4星)	 马景涛终于冷静了一些，不似以前那么咆哮了。其实他长得挺帅的。斯琴高娃的老年孝庄，潘虹的中年孝庄，宁静的青年孝庄，是我认为最成功的。宁静本就是少数民族，在草原上很有一种不羁的草原姑娘的野性！            
(3星)	 这段野史已成我心中佳话            
(5星)	 感动我的是多尔衮。            
(5星)	 这剧我居然百看不厌，太喜欢里边的宁静了。            
(4星)	 爱上多尔衮            
(3星)	 怎么就没跟大玉儿在一块呢！！！！！！！恨死皇太极！            
(4星)	 我很喜歡看歷史劇，尤其是野史，在劇中我真的不討厭多爾袞            
(4星)	 蓝蓝的白云天 悠悠水边柳 玉手扬鞭马儿走 月上柳梢头 红红的美人脸 淡淡柳眉愁 飞针走线荷包绣 相思在心头 风儿清 水长流 哥哥天边走 自古美女爱英雄 一诺千金到尽头 风声紧 雷声吼 妹妹苦争斗 自古红颜多薄命 玉碎瓦全登西楼 －《美人吟》            
(5星)	 只因为宁静，感动得要死要活。思君令人老，岁月忽已晚……            
(4星)	 我喜欢多尔衮            
(4星)	 宁静很有气质!            
(5星)	 看了几集电视剧 没有细看但是看了书 非常佩服大玉儿的智慧 和胸襟 也非常同情她和多尔衮的爱情。。。            
(5星)	 第一次看一个作品眼泪会像断了线的珍珠似的。先看的书，止不住的眼泪，再看的剧，又一番咸泪……多尔衮与大玉儿的爱情……从未有这种感觉            
(4星)	 少数让我觉得小马演得还行的剧。。。。。            
(5星)	 抱着电视机的日子哭死我了 宁静演的特范儿            
(3星)	 因為這片，我記住了孝莊的全名……＝ ＝！            
(5星)	 虐啊~~~~明知是戏说，却还是生生地被大玉儿和多尔衮的感情所打动~~            
(5星)	 如果几百年前的多尔衮真是如历史剧中一样，那么，我可以穿越历史，认识他么？            
(3星)	 马景涛演多尔衮真是特适合了~宁静在里面演个大玉儿- -虽然感觉很怪，但是当时竟然觉得挺顺眼....            
(4星)	 尤小刚最好的一部秘史系列,宁静演得好            
(NA)	 我咋看过那么多电视剧呢            
(4星)	 百看不厌啊啊啊啊啊啊啊啊啊啊啊啊啊教主！！！！！！！！            
(3星)	 苏茉尔啊……            
(5星)	 你在那万人中央……唉，要是我也有一个像多尔衮那样深情的男人来爱我多好！            
(3星)	 各种秘史            
(4星)	 主演: 宁静 / 邬倩倩 / 刘德凯叫主呢？？？这是对教主最大的鄙视！！！！            
(4星)	 多尔衮,涛声依旧            
(5星)	 特别好看            
(5星)	 男人是比不过孩子的。这是真理。            
(4星)	 宁静版大玉儿            
(4星)	 这电视剧还行啊~            
(4星)	 都想买了            
(3星)	 太理想主义了,男人心中最想得到的东西永远是权力和利益,其他都是虚的,摇着头看完的,但还是有点感动,必竟是电视剧嘛,怎么美就怎么拍            
(5星)	 宁静演技没话说            
(4星)	 一般般吧，评价比较高。            
(5星)	 当初天天盼着玉儿和多尔衮乱伦！现在想想真邪恶啊……            
(5星)	 我就是因为这部剧才喜欢宁静的(*^__^*) 嘻嘻……            
(4星)	 过。            
(4星)	 绝对是飚演技            
(5星)	 宁静的眼睛。马景涛终于不吼了。谢天谢地。            
(NA)	 补遗            
(4星)	 那时候觉得宁静贼漂亮            
(3星)	 马景涛，演的那么痛苦能减肥不？            
(NA)	 马教主太销魂……            
(5星)	 很爱这个片子            
(3星)	 到这边突然开始看了看电视剧。他说你有多面的自己，让人琢磨不透，我喜欢！事情出现的时间顺序真是让人捉摸不透。            
(4星)	 很还原历史的一部电视剧，目前我觉得这是和历史最像的一部片子了            
(3星)	 到底是爱情还是秘史？拍得不伦不类            
(4星)	 宁静太美了            
(NA)	 小时候还是很待见这片滴            
(NA)	 怒赞主题歌            
(4星)	 我现在还会唱片头曲和片尾曲！！！！！！！！！！！！！！！！！！！！！            
(5星)	None
(4星)	 童年时觉得好看，现在再看还是：真好看！刘德凯好帅，连教主都不错，何赛飞太美了。剧情和演技更不说了，某“惊心”剧你也好意思说自己是正剧……            
(4星)	 荧幕上宁静最美的一部            
(3星)	 。。。。。            
(4星)	 我真心覺得還挺好看。。。。            
(5星)	 一部让我想穿越的剧o(TヘTo)             
(NA)	 我只是马克一下            
(4星)	 中学的时候看过。然后这几天室友租碟来看，我又跟着看了好多。挺赞的。            
(4星)	 主演里看到了教主！我要咆哮一下！！！当时怎么没在意过！！！！！！！！教主好！孝庄秘史我还蛮喜欢的！！！！            
(4星)	 咆哮哥            
(4星)	 教主毕竟是教主。            
(5星)	 宁静，何赛飞，太得劲了....            
(4星)	 教主！教主你好帅教主！            
(NA)	 尤小刚秘史里面最靠谱的一部，到现在都觉得片头片尾歌美词好~            
(4星)	 我真的真的真的真的不恭维马先生的演技~            
(4星)	 说真的……初中时我真为这部剧着迷了……而且。。。我还很迷多尔衮哎……更买回几本清史，可惜都没咋看~= =            
