http://movie.douban.com/subject/3137852/	萍踪侠影
(1星)	 tnnd，还我原著！天下倾心的张丹枫哪有这么弱智相！云蕾如芝兰百合，镜明似玫瑰芙蓉……范小姐一脸妖媚，韩妹妹心狠手辣！毛老先生呢，戴那面具好比要破相！毕帮主石姑娘全改了性，静静小公主又是哪根葱！张云初见还不识，张竟然张口就来：“云蕾，我们走！”tnnd，除了名字，还有哪里没改！            
(4星)	 我所说的推荐是推荐原创剧情朱静和云重。            
(3星)	 喜欢孙菲菲的公主和云重。            
(4星)	 没有比黄海冰更加适合的人来演这种侠骨柔情的形象了！范冰冰太美了，这是她荧幕上最美的形象！一切都好，但是编剧很不给力啊。。。（编剧哪是梁羽生啊，是其他人改编的）            
(4星)	 好早前看的~范冰冰+孙菲菲+韩雪，那时候刚认识孙和韩，觉得他们好漂亮好漂亮啊。            
(2星)	 范冰冰一看就挺狐狸精的那种 气质一点儿都不像云蕾            
(2星)	 离我想象中的太远了            
(4星)	 范爷现在都不拍电视剧了。刚刚在土豆看到一个萍踪的剪辑才想起那段时间我迷过这部戏，云蕾毛绒绒的衣服很漂亮。            
(NA)	 那一年黄海冰是我的梦中情人，黄晓明还是个龙套，张嘉译早就是一副宋思明的样子，然后徐锦江实在太好笑了。            
(1星)	 造型师怎么永远跟黄海冰过不去啊 我勒个去            
(4星)	 虽然个别配角的造型比较...比较个性....不过片子还不错，看这片子的时候，张嘉译还不是一线吧....孙菲菲跳楼的时候太可惜了感觉            
(4星)	 美男啊，美女啊。我真没有素质。            
(NA)	 沉痛怀念梁羽生先生...            
(3星)	 我能认为完全就是天空创作的原创故事么？和原著除了主角名字，真的没有什么相同点了            
(3星)	 两颗星给梁羽生，一颗星给剧组。            
(3星)	 印象最深的是孙菲菲吧，就觉得好好看啊这姑娘            
(NA)	 黄海冰一路到底惹怒了多少造型师。。。            
(3星)	 明星云集            
(4星)	 印象里还不错，感觉很对            
(4星)	 还不错            
(NA)	 这剧的选角是真好看，眼生的也不像潜规则上位，个个水灵俊秀，现在拿出来看都有头有脸了……新红雷要是这么玩，起码不至于让人喷茶吧……            
(5星)	 范冰冰真是漂亮！            
(4星)	 这部片子比新版好太多，尽管没忠于原著，但演员阵容甚是强大，想看看明星们当年的模样是个好选择啊。ps：当年出处茅庐的孙菲菲惊艳了多少人啊，打酱油的张嘉译带着她出塞嫁给打酱油的黄晓明，最终殉情了。。            
(2星)	 如画景致，如花美人，可惜编导无脑。            
(4星)	 黄海冰很帅~范冰冰很美！孙菲菲也很美！韩雪也不错~            
(3星)	 孫菲菲的角色很好很惹人疼            
(4星)	 这是一部好剧，当年爱看，现在仍然...一个小角色用的都是像马精武这样的实力大牌...            
(3星)	 看原著的话超5星！电视剧就算了吧。。。            
(NA)	 因为这部戏看了生平唯一一本梁羽生。            
(3星)	 再也受不了梁大手的正直了。            
(4星)	 拍的很美的 歌也好听            
(4星)	 演员真不错以至于多赚两颗星            
(3星)	 虽然改编N多，但从这部剧知道张丹枫，尤其喜爱孙菲菲……            
(2星)	 基本上看不下去。            
(4星)	 范冰冰很美            
(4星)	 总是一样的。            
(3星)	 萍踪侠影 杳杳余生            
(NA)	 内地武侠剧至今无出其右者，甚至比原者还精彩，剧情改编的很好，立意也颇高，几个演员也是恰到好处，片尾曲也是特别的动听            
(2星)	 你们两一对挺难看的            
(4星)	 虽然原著改得面目全非,但真爱这里的张凤府            
(5星)	 黄海冰太美了！！！！！！！！！这才是唇红齿白的少年郎张丹枫啊【潘粤明你就算了吧。。。 冰冰也很美~~~！！！！            
(4星)	 以前居然没看过            
(4星)	 还是老电视剧好看。            
(NA)	 看惯了金庸式的武侠，对别的武侠不感冒了。三星。            
(4星)	 我觉得角色选的蛮不错的呀！黄海冰就适合演古装……就是这剧情貌似改了……            
(2星)	 剧情实在经不起推敲。。。。是不是太赶时间了，拍出这么个狗血剧情。。。。真不知道是梁羽生写的不好还是编剧的问题。。。            
(3星)	 挺好的片，为什么不出名            
(4星)	 挺喜欢            
