http://movie.douban.com/subject/2119417/	我和僵尸有个约会2 我和僵尸有个约会II
(5星)	 十颗星，人生的馈赠。            
(5星)	 第二部，如陳十三所說，是三部中大概最完美的。直到珍珍死前，況國華和馬小玲、況天佑和巫婆玲的愛情、馬小玲和王珍珍的友情，都很動人，尤其況天佑之死，那句充滿遺憾的“保重”，生者亡者皆撕心裂肺的感覺不用任何露于形跡的表演也能傳達；珍珍亡后，人們感情的轉折都太僵硬破碎。史前的設定太蒼白            
(5星)	 这部里有许多我为之动容的小故事 包括那对吸血夫妇和那个网络爱情 在现在看起来颇有点短片集的味道 想当初 我还为上面提到的那两个小故事写了洋洋洒洒的日记 放到现在来说 应该就叫做影评了吧？            
(5星)	 编剧很厉害            
(5星)	 显有这么一部电视剧里面几乎每个人物都让人觉得心疼。。请允许我矫情一回。            
(NA)	 马小玲万岁。            
(3星)	 第二部剧情有点混乱~            
(3星)	 对对对..就是马小玲，然后是什么世纪大战，整个人类浩劫..最后女娲回归...什么乱七八糟的.            
(5星)	 永不褪色的记忆，影响我最深的电视剧集。成为心头的一块肉。            
(3星)	 复：ATV，亚视的英文简称。香港亚洲电视台，选美节目就是亚姐竞选，本港台选的是香港小姐——港姐选美。凤凰台是选“中华小姐”            
(5星)	 2 的情节胜过1许多，人物的独白，情节紧凑型，案例的衔接，还有伏笔等等，还有很温馨的复生与司徒奋人~这次最开心的就是最后感觉是小玲和天佑的独角戏啦~~            
(5星)	 将臣学习做人遇上马叮当，原来他是微服私访……            
(5星)	 痴情的莱利～爱            
(NA)	 壯闊的故事架構+文藝腔+超爛的拍攝技巧──該怎樣評價？            
(5星)	 星世纪的梦、贞子的菠萝包 这两个印象好深。            
(3星)	 091118 马小铃很正，所有的男僵尸都很废。            
(4星)	 俺真怀旧~            
(4星)	 第二部很多地方太感动，不过尹天照越来越残了            
(4星)	 啥是ATV？            
(5星)	 马小玲            
(5星)	 意外发现有谢君豪！！！            
(4星)	 不错 感觉比第一部好，有点漫画的集合的样子 。感人，中国僵尸不是太监样么 ？额呵呵            
(4星)	 编的一愣一愣的            
(4星)	 因为配音的问题（刚开始真的很难接受，后来听着听着也习惯了。。。）竟然是在看完僵尸三之后才把僵尸二又完整地看了一遍。僵尸每部都要跑出三段爱情，马叮当也太炮灰了。            
(5星)	 热爱。            
(4星)	 虽然制作真的很差劲            
(4星)	 经典            
(3星)	 但记不清 - -            
(5星)	 天平女+天蝎男+摩羯女+巨蟹男 白羊女+双鱼男 天平女            
(5星)	 还记得为它流过很多眼泪            
(5星)	 经典！！！！！！            
(4星)	 续集也是不错的            
(4星)	 三星半。            
(5星)	 重看的感觉还是那么棒啊，除了剧情有些地方有点雷之外，还是很精彩滴            
(4星)	 编剧太牛叉了            
(3星)	 漏洞太多了，最后几集经常出现前面已经被消灭了的敌人，又出现，而且没有任何交代，明显是编剧写糊涂了的那种。不过看资料，43集的剧本，就陈十三一个人搞定，亚视当年管理又很乱，考虑到背景原因，勉强给三颗星吧            
(4星)	 天照帅的让人心碎            
(3星)	 很经典            
(4星)	 感觉比第一部夸张，有点过头了。不过，作为少年时代的回忆，还是要打四星。匡天佑和马小玲依然纠结。。。            
(3星)	 中国香港            
(4星)	 节奏比第一部好很多            
(NA)	 。。。            
(4星)	 挺不错的~~~            
(4星)	 女媧和將臣很般配嘛~            
(5星)	 将臣            
(5星)	 ！！！！！！！！！！！！！！！！！            
(5星)	 除了好看我说不出别的形容词……每个人都很爱~            
(5星)	 花了3天看完，非常精彩.迄今为止看过的最精彩的港台影视剧了吧。每看完一集都迫不及待的想看下一集。“假如真的再有约会”，每次这首音乐响起的时候，况天佑与马小玲摩擦出的爱情火花都会毫无遮掩的，海枯石烂般的释放出来。一个自始至终强忍着不能哭的女人，没想到哭起来的时候让人如此心酸之极，这两人之间的“爱”怎么能不轰轰烈烈！            
(5星)	 太喜欢了!            
(3星)	 反复看也不觉得累赘            
(5星)	 原谅我当天不懂得珍惜，只知任性            
(5星)	 小學六年級看的來            
(4星)	 发现其实除了男女1 2号的爱 其他的为什么都这么惨- -            
(NA)	 最出彩的应该是任达华跟马叮当了，天佑跟小玲木有这种气场呢            
(5星)	 总之剧情就是软弱到爆的多情男主角和性格强硬裙子超短绝对不能哭妹子以及其余一群人一起对抗多情僵尸始祖和他的公主病造物主女神的故事【无误            
(4星)	 万绮雯的腿第二部！            
(5星)	 一生中看过最好看的连续剧            
(4星)	 小时候的回忆....            
(3星)	 大佑哥            
(5星)	 除了况天佑真是每个人都有喜欢的点。最喜欢的故事还是杜生和贞子有个约会！！！            
(5星)	 经典的续集还是相当不错。            
(4星)	 命運又是什麽呢？縱然時間倒回，人還是會做同樣的事。             
(NA)	 将臣原来是任达华演的。。。。            
(4星)	 看不下去了。            
(5星)	 假如真的再有个约会            
(4星)	 很好啊，不知道三怎么拍得这么狗血            
(5星)	 凤凰卫视啊            
(4星)	 小玲！            
(5星)	 重温。爱死马小玲了。全部都是经典中的经典啊同志们。T T            
(4星)	 其实我自己也不懂我这两天的疯狂是为什么。苍天啊。。。。            
(5星)	 当年很喜欢            
(5星)	 岁月长，衣裳薄            
(3星)	 没有第一部印象深            
(3星)	 烂了不是一星半点啊，将臣女蜗还有什嘛尼诺。。我最讨厌玄幻了            
(4星)	 比第一部好看，编剧太天马行空了，他是怎么把这些搅合在一起的，佩服！            
