http://movie.douban.com/subject/4881615/	新兵日记 新兵日記
(4星)	 题材比较缺，想看看国军是怎么训练的，前几集还好，后面几集不给力，出现拖沓的迹象了             
(3星)	 看到37集就看不下去了……弃了。一开始挺好看的，到后面故事越来越拖沓。传闻还要拍2……真是- -            
(4星)	 仿佛每个这样的剧里，班长都特特特别可爱~            
(3星)	 果然是不要碰台剧为妙啊，看在国军的面子上多给一颗星~            
(3星)	 看看国军如何练新兵            
(NA)	 最近看的  觉得国军的天兵们再这么草莓下去是没啥反攻希望的。。            
(NA)	 如台军真如此训练，共和国无忧矣。            
(3星)	 东望王师又一年啊            
(NA)	 烂尾            
(4星)	 还是不错的吧。情节有点拖沓。不过帅哥确实值得一看。            
(4星)	 台湾版士兵突击            
(4星)	 还不赖的台剧 据说破了礼拜五10点档戏剧的收视记录……            
(NA)	 越来越无聊            
(4星)	 到第四集，分数上升一颗星。。剧已经开软了，不看了...            
(4星)	 那个小个子很搞笑。            
(5星)	 有些笑点只有台湾人才能理解，另外军歌也很给力            
(5星)	 超级搞笑！！！算是台湾乡下剧里很不错的~ （吃饭的时候别看。。会喷饭。。            
(5星)	 好片，轻松~            
(4星)	 刚开始真的爆笑，但是后来有些矫情有些2，烂尾啦~~            
(4星)	 国军主旋律片子            
(2星)	 啊啊啊~~好帅啊。虽然偶军训时站晕掉鸟。。。囧。 到后面就成偶肥皂剧了。。。谈情说爱的。不看了            
(3星)	 我覺得還蠻好笑的丫!!!長官都很幽默,罵人不帶髒字還很有創意,今天學會&#34;哩掂掂啦&#34;///其實我只看到第二十五集然後就跳到最後一集了,後面真的有點拖~沒有那麼好笑了~前面四星,後面兩星,平均三星~            
(5星)	 台湾人的幽默骨子里和我们是一样的            
(5星)	 超赞  希望更新快一些            
(4星)	 好搞笑！！！            
(5星)	 太搞笑了，这些新兵蛋子，各种猥琐，各种莫名其妙的萌点啊。            
(2星)	 台湾主旋律            
(5星)	 继家有仙妻后的一部台湾巨作            
(4星)	 个人觉得罗刚长得像张东健。            
(5星)	 竟然这麽大张旗鼓...            
(3星)	 赶脚很一般            
(1星)	 这个没有结尾的四破烂电视剧~~~            
(4星)	 挺好玩的            
(5星)	 搞笑，真实，人性。            
(5星)	 有内容。王为还是很有货的。            
(3星)	 傅子纯的台客腔，喜欢~            
(4星)	 想当年宿舍一窝子趴在一起看也，不过当时主要是惊讶与介居然是近两年的？看起来风格好老的样子，让我想起了炊事班的故事~不过真心是笑到捧腹吼吼~笑点不断诶，还穿插着温情啊熟么的，挺有意思挺有那么回事儿的~            
(3星)	 虎头蛇尾            
(4星)	 以前军训的日子晃晃悠悠的浮现在眼前......            
(5星)	 亲爱的共军同胞们，你们已经被包围了,不要再做无谓的挣扎，放下武器。准备投向民主的怀抱，我们的政府是宽大包容的，绝对会保护您的财产以及生命的安全。            
(5星)	 想看第二遍            
(5星)	 太有喜感的一部剧集，但也能让人感受到年轻的力量！            
(4星)	 纯粹是作为学习闽南语的教学片　可真正学会的闽南语也没几句　不过好在是听起来顺耳多了            
(3星)	 笑点有就可以了            
(5星)	 太搞笑了，但笑过之后又有点感动！这感动触动了我心底最柔软的地方。。。。。。是部难得的好剧!我在期待第2部的更新，唯一遗憾的是更新的太慢了！我都等不及了！            
(4星)	 就是太托了。国军的生活真像嘉年华。            
(NA)	 （不去想党派神马的）这个电视好欢乐啊～哈哈            
(5星)	 罗刚、王威很帅，士官长很美丽            
(5星)	 大爱。            
(4星)	 一周看完            
(5星)	 士官长！！！            
(5星)	 哈哈！            
(3星)	 很有意思，有趣，但是越等待，喜欢它的心渐渐就冷了            
(3星)	 熟悉的语言，机车的班长，虎烂的大兵。蛮搞笑的一部片子，放松时候看看。            
(5星)	 虽然并不是台湾版的《士兵突击》，还是无可救药的追了~~~            
(3星)	 有些笑点。国军们训练的场景就和我们军训差不多嘛~只是这剧怎么就没被和谐呢            
(5星)	 童装界名模...            
(4星)	 轻松搞笑剧。            
(NA)	 台湾的新训团~~            
(3星)	 搞笑的部分不错。但是也太拖了，就一件小事情能拖个3、4集            
(4星)	 班长很可爱。            
(2星)	 如果不考虑political 因素，从趋势剧角度看，还马虎。海岛文化。            
(4星)	 蛮好看的啊~比台湾脑残偶像剧好多了~            
(NA)	 就这么大结局了....追了几个月吧....            
(4星)	 叶大同你是天才！！！！            
(3星)	 说实在的...真想评两星...            
(4星)	 逗死姐了！            
(4星)	 看看对岸的军人            
(2星)	 拖拖拖拖            
(3星)	 看看台湾的军训            
(4星)	 好吧，烂尾了            
(3星)	 排长死傲娇...但是N个女猪好机车.....看不动了唔呃...            
(3星)	 就是这个台词让人不能接受。。。 台湾兵的训练挺好玩的             
(4星)	 不错的题材 前面还好 后面就开始拖了 至今不知道有没有放完 既然是讲国军的 多给颗星星             
(4星)	 挺有意思的。 不光能让人笑，而且还能窥见不少国军的状况。            
(5星)	 近又远的兵营生活。            
(4星)	 电视有就好了，电脑里后面的看不下去            
(3星)	 还行，蛮多笑点的，不过笑完就算，不容易给人产生深刻印象，要有耐心慢慢看下去。            
(4星)	 后边的特战部队就不要看了            
(2星)	 越来越烂。一点军人气概都没有。            
(NA)	 开始比较搞笑，后来有些拖沓            
(4星)	 很好玩，让我想起了士兵突击            
