http://movie.douban.com/subject/2135732/	力克千年虫 The Millennium Bug
(5星)	 当年迷得死去活来的片~            
(4星)	 以前看的时候是有些新意。很好。            
(4星)	 当年只想说这个穿一身白的哥哥家里好牛逼= =            
(5星)	 我小学时代最最最最喜欢的。            
(NA)	 当年的赖兴祥是多么多么的sex啊lol            
(4星)	 喜欢那夜三个主角一起在星空下~还有那首LONG LONG AGO            
(5星)	 記憶里 超贊的            
(5星)	 我從小到大最愛的一個男人名字叫劉星宇            
(5星)	 回忆里是最美            
(3星)	 拍得神秘兮兮的搞得我当年还以为千年虫是什么恐怖BOSS==            
(3星)	 男二长的帮李鑫老像的            
(2星)	 忘记剧情了            
(5星)	 初三 中午回家吃饭的时候看的            
(3星)	 还记得小时候我妈很拽地问我，你懂什么叫千年虫么？我说不上来，心里感觉很挫败            
(5星)	 ！            
(5星)	 青春啊刘星宇啊！            
(5星)	 我们不都喜欢过一部剧的两个男主吗            
(4星)	 小时候特爱看            
(4星)	 电视剧只打算加上这部小时候最迷最迷的力克千年虫。至于为什么这么喜欢，想来是因为几次把名字看成巧克力吧…            
(4星)	 当时很喜欢奥法,不喜欢陈汉玮长长的头发一副潇洒情圣的样子.也一直对郑惠玉不感冒,很奇怪她为什么稳坐新传媒一姐宝座..现在时间长了,奥法每天穿着西装播英语新闻,汉玮退到幕后又到台前,惠玉结婚生子.我呢..也长大了            
(NA)	 力克千年虫            
(5星)	 难得经典的新加坡电视剧。            
(4星)	 偶喜欢赖兴祥~~~~~~~可惜再没适合他的片了            
(5星)	 哇塞，我当时看的时候好喜欢好喜欢看啊！            
(4星)	 很不错的新加坡电视剧。            
(NA)	 其实新加坡剧还蛮给力的            
(NA)	 以为会爱赖兴祥一千年的            
(5星)	 小时候觉得这个电视剧帅极啦。。。            
(4星)	 当年好像还蛮喜欢的            
(5星)	 第一次知道什么听说电脑病毒。以为多智能的东西。当初很喜欢里面那个男主角。现在都记得男二号在天花板上画的星空，当时想我家以后也要个            
(4星)	 怀旧作祟。            
(5星)	 小时候超级痴迷的一部剧集，当时第一次知道黑客，很崇拜。小时候太美好的回忆。            
(4星)	 小时候喜欢的不得了              
(5星)	 哎哟 那首歌             
(5星)	 新剧新剧！            
(4星)	 小時候很喜歡看的新加坡電視劇之一~            
(4星)	 一度喜欢刘星雨这型的男人，只是一度。            
(4星)	 很不错的新加坡电视剧            
(4星)	 我觉得好好看啊&gt;&lt;            
(5星)	 我大概还是喜欢刘星宇的吧，因为都不记得那人叫明轩Orz。。。            
(2星)	 郑一姐            
(5星)	 小时候非常爱            
(4星)	 残念的结局！结局在哪里            
(4星)	 当时看够high!现在估计觉得小儿科了吧。            
(NA)	 好想再看一遍。            
(4星)	 我喜欢那个电脑天才            
(5星)	 suki！            
(5星)	 小时候超爱看            
(NA)	 那时的我不知道多喜欢这个剧！            
(5星)	 儿时的记忆了            
(5星)	 我的！！！！！！！            
(5星)	 非常喜欢这个片子！至今傻傻期待to be continuede会有续集            
(NA)	 我小时候看的.要不是通过链接看到这片子早就把内容忘记得一干二净了.            
(5星)	 do u remember the park when we met^long long ago^long long ago            
(4星)	 回忆～            
(4星)	 当年多喜欢赖兴祥啊            
(5星)	 童年记忆            
(4星)	 Today is a gift. 始终记得            
(4星)	 郑惠玉和赖兴祥单从长相气质来说就都是我喜欢的类型，剧情属于加分项了。话说刘星宇这角色真是让人欢喜让人忧，so naive啊。。            
(4星)	 当年感觉很不错的新加坡电视剧            
(5星)	 小时候超级喜欢的啊！！            
(5星)	 小时候可爱看了= =            
(4星)	 郑惠玉啊！！！新加坡的青春时代啊！！！            
(5星)	 小学看的了好像，2000年，好久远啊！记得是看的第一部关于黑客的东西。可惜没看到结局。很喜欢郑惠玉！！            
(5星)	 大爱            
(5星)	 当年真是追到底啊~~第二天早自习必讨论的话题~            
(5星)	 我小时候看得特起劲!!!!!!            
(5星)	 Yesterday is HistoryTomorry is a MysteryToday is a giftThat&#39;s why we call it the present            
(4星)	 逃课看得            
(5星)	 他让我觉得男孩的英文名就该叫阿尔法            
(3星)	 好老,都记不大清了            
(3星)	 小时候看过好几部新加坡的连续剧            
(4星)	 小时候很爱这片子&gt;&lt;            
(5星)	 有个调子很灵的            
(5星)	 这万恶的结局啊,不是to be continue吗,怎么等到现在都没有,都10年啦!!!            
(5星)	 终于挖出了这个的坟！！我叫刘星宇，刘备的刘，星星的星，宇宙的宇。            
(4星)	 新加坡电视剧 很潮的题材            
(NA)	 惦念十年            
(NA)	 当年的新剧都不错            
(3星)	 经人提醒想起这部。但凤凰台是有播过么？？？            
(5星)	 等了那么久也没有续集，当时迷的死去活来的。            
(4星)	 小学时候看的，可惜一直没看到结局            
(4星)	 小学放暑假，不睡觉偷偷起来看            
(5星)	 印象极深            
(NA)	 就是这句“to be continue”以后就没下文了，我还想着续集呢！            
(NA)	 20集            
(4星)	 ……隔了10年再看刘星宇怎么这么难看囧            
(4星)	 21世纪到来前大家对未来有很多预测，这个算是代表作。            
(4星)	 办公室里就有篮球场，好安逸            
(5星)	 大家都在提当年。。。            
(5星)	 意识很超前的新加坡科幻电视剧。初中时班级的女生们都迷庄明轩，我超级超级喜欢刘星宇。原来从小就中意有童心的大男孩一样的男人。            
(5星)	 插曲。long long ago 。以及关于昨天今天明天的谒语在与狼共舞里亦有。            
(5星)	 真的好经典就是经常会想起这剧也是看过又想看了呢            
(NA)	 其实我看过又想看了……            
(4星)	 一句 TO BE CONTINUED 骗了我好多年……            
(4星)	 当年很爱看~            
(NA)	  力克千年虫             
(4星)	 我发现很惭愧。。。过了这么多年，我还是无法完整地解释到底什么是千年虫。。。            
(4星)	 超爱刘星宇！！！！！            
(3星)	 其实剧情记不到了，仿佛觉得还可以看样            
(4星)	 新加坡科幻类的剧...很好看的...            
(4星)	 当初看的时候那个激动啊。。。从此以后我一直这么系鞋带            
(5星)	 怀念那些名字……当年错过了最后一集，遗憾至今，心心念念至今。主题曲永远珍藏在记忆深处。总之那段回忆，很少随意拿出来把玩。            
(5星)	 纠结了八年啊记忆都有偏差了总觉得是2000年前的作品            
(4星)	 Yesterday is history, tomorrow is mystery, today is a gift that&#39;s why we call it present...我的alf呢。。。            
(5星)	 喔很好看            
(5星)	 刘星宇 阿尔法            
(3星)	 我爱郑惠玉            
(5星)	 about memory            
(5星)	 爱 是否需要条件               
