http://movie.douban.com/subject/2209739/	绝代双骄 絕代雙驕
(NA)	 吴岱融真是惊世绝艳的佳公子啊，比起苏有朋不知道好上个万辈子啊！            
(5星)	 古龙如流水，金庸如磐石            
(5星)	 吴岱融啊吴岱融            
(4星)	 借了足足二十盘录像带。            
(3星)	 很喜欢叮叮当当……还有那时候无缺公子那个飘逸脱俗阿……            
(5星)	 起码看过5遍  无敌的            
(4星)	 吴岱融 现在没有这样气质的男生了            
(3星)	 为何，我不爱这版小鱼儿呢？我只爱谢宁和吴岱融。黎美娴那哀戚的愁容，让我屡屡快进。            
(5星)	 大约七岁的时候，由此认识了小鱼儿梁朝伟。我真是一个长情又专一的好女子~~            
(5星)	 剧情什么的已经雷出境界了，花无缺谁都打不过，铁心兰从头到尾只会叫不要啊不要，怜星被抹掉，小仙女到底是个什么东西……还是苏樱比较萌。。【那我干嘛打五星呢囧            
(NA)	 在荷兰看的            
(3星)	 我记事晚，又对武侠无感，之所以现在又找来看居然主要是因为齐炎。另外，虽然个人喜欢Tony梁，还是认为吴岱融跟汤镇业比较适合演双胞胎            
(4星)	 小时候第一次在电视上看到裸女……那个羞涩啊~            
(4星)	 哎呀那时候喜欢死吴岱融了～跳。。。            
(4星)	 好喜欢!            
(4星)	 喜欢这个小鱼儿～～            
(5星)	 中学时代，晚自习后总是冲出教室，为了看这部连续剧~很经典！            
(3星)	 吴孟达在哪里啊？            
(NA)	 我现在还清楚地记得那个一直叫着“小鱼儿”的配音的声音……            
(4星)	 有星爷的连续剧都必须顶            
(NA)	 记忆多么模糊啊，我就记得结局的时候苏樱假扮黄玉郎，最后突然跳到小鱼儿的怀里的画面了~~~据说梁朝伟真是活灵活现，恶人谷的小鱼儿灵魂附体~~~            
(NA)	 我家有录像带            
(4星)	 苏樱的一个小侍女，比里面的女主都漂亮            
(4星)	 我小时候的大爱!            
(4星)	 黎美娴！！！！            
(5星)	 小学狂爱的港剧            
(4星)	 当年的梁朝伟真年轻……现在都老男人了。            
(3星)	None
(4星)	 吳岱融的花無缺            
(5星)	 梁朝伟版石破天是经典之作……            
(4星)	 看了一遍又一遍。。。            
(4星)	 有梁先生的地方 就有笑点啊             
(4星)	 不是说这部拍的有多好，实在是现在的片子连苏樱这个女主角都能被抹掉！苗三哥的玉郎江枫真帅！            
(NA)	 小时候想看的要命，但一直没看全            
(5星)	 看来好多好多遍            
(NA)	 了愿            
(4星)	 歌，难回首，为那时候。跟琥珀青龙一起            
(NA)	 铁心兰：我同花无缺，都很喜欢小鱼儿的……真是夫妇同心            
(4星)	 梁朝伟！！！            
(4星)	 花无缺啊花无缺，吴岱融现在几乎没法看了            
(5星)	 伟仔在里面，真是可爱到透~~百看不腻            
(5星)	 就像韦小宝一样,伟仔之后世上再无小鱼儿            
(5星)	 突然怀念起来            
(5星)	 谢宁演的苏樱……简直了！            
(NA)	 超级经典            
(NA)	 第一次认识梁朝伟            
(5星)	 好看的电视剧，比较经典了，故事改的一塌糊涂            
(NA)	 没错梁朝伟以忧郁见长，但东成西就中我觉最出彩的仍旧是他。希望他好。            
(5星)	 梁朝伟的演技啊，证明了有些人天生就是戏骨，时间只是为了让他更完美。吴岱融的美色啊，证明了又一个无人能超越的无缺公子诞生了。            
(4星)	 早期TVB时代的梁朝伟总走这样的路线            
(4星)	 哎哟哟我的苏樱啊。不谈改编那时候的选人咋都那么厚道            
(4星)	 梁朝伟            
(5星)	 比较好看，那时梁朝伟就已经很帅了！            
(4星)	 无缺公子。。。            
(NA)	 都是翩翩美少年            
(5星)	 陌上人如玉，公子世无双。            
(NA)	 小时候一直觉得花公子面瘫现在看看，还真是美。欧也认出关礼杰了，欧也认出岳华了。            
(NA)	 【1988】            
(5星)	 绝世无双！！！！！！            
(4星)	 最印象深刻的武装片.            
(3星)	 有小青有欧阳克。。。故事讲得太平了吧。。。            
(5星)	 近乎完美的作品...插曲《情丝牵我心》太好听了            
(4星)	 吴岱融（¯﹃¯）            
(5星)	 啧啧            
(NA)	 暑假时看的。            
(3星)	 好青葱            
(NA)	 吴岱融帅哥啊            
(4星)	 谢宁！            
(3星)	 有回发了疯就去看梁生的旧版            
(5星)	 经典中的经典            
(NA)	 当时喜欢吴岱言            
(5星)	 回忆下小时候的心情, 我还是喜欢苏樱多过铁心兰...但是花无缺多过小鱼儿...尤其对移花宫主相当害怕...记得她变老那个镜头,吓死我了当时......还记得最后的大结局,完美...鸡冻啊.看到安徽卫视居然在重播...            
(5星)	 小时候的记忆。印象最深刻的，燕南天被四大恶人抓住后折磨。            
(5星)	 当年和姥姥一起看的很滋            
(5星)	 记忆中的 小鱼儿~·            
(4星)	 演员都很好，比较喜欢的一个版本            
(4星)	 谁没点年轻的过去，伟仔真嫩~            
(NA)	 很囧很囧很囧的是，小时候的我喜欢的是吴岱融……            
(3星)	 我只看了三哥三嫂一段。那才是江枫好吗！            
(5星)	 花月奴弹琴，江枫舞剑--最为向往。            
(5星)	 就是从那个时候迷上的今天的梁叔。。。            
(5星)	 谢宁啊~~梁朝伟啊~~吴岱融啊~~            
(5星)	 很经典！~            
(5星)	 平安夜一晚没睡，重温经典。感叹吴岱融之花无缺，夺尽天下女儿心。            
(2星)	 那妆有点。。            
(5星)	 最爱苏樱            
(4星)	 小时候在外公没文化的笑骂中和小姨追着看            
(4星)	 梁朝伟那会儿还不忧郁，后来才特喜欢他的            
(4星)	 一句话，最喜欢吴版“花无缺”            
(5星)	 不可不看。            
(4星)	 花无缺就该是这个样子的            
(4星)	 也不知道记忆中的那个版本是不是由梁朝伟演的，没有看完。            
(4星)	 很经典的小鱼儿。            
(4星)	 与我心有戚戚焉            
(5星)	 最喜欢的一部武侠小说和电影。受了小鱼儿很大的影响，不经意间有点变成女装版小鱼儿。            
(5星)	 玉树临风的吴岱融            
(4星)	 小鱼儿的发型当年真流行啊            
(3星)	 配角演的太假            
(5星)	 完美的花无缺  经典的小鱼儿            
(5星)	 拍的最好的一部绝代双骄连续剧。            
(5星)	 印象最深的就是梁朝伟和黎美娴            
(4星)	 1988            
(4星)	 人物都很贴切很完美,就是后面剧情改得有失原著神韵.            
(5星)	 这版的小鱼儿绝了~            
(3星)	 租录像带看的，没看完，不过感觉还不错            
(5星)	 忽然想起来温习温习，还是以前的片片有感觉啊，现在的古装……实在不爱看。            
(5星)	 好看啊啊  呵呵            
(5星)	 最好的小鱼儿。            
(NA)	 绝代双骄            
(5星)	
(4星)	 我记得血魔是相当可怕的角色，怕得晚上可以做噩梦，哎！            
(2星)	 记得里面绿色的木剑非说是翡翠的            
(NA)	 只记得吃了儿子的肉功力就大长得人。。            
(NA)	 正常的版本里面，只有这版里面有苏樱啊！            
(5星)	 李大嘴  斗黑熊            
(5星)	 最好的版本，经典            
(3星)	 有些电视剧，只能在那个年代去看，过了时期，就变了味道。            
(4星)	 家庭录像机的年代            
(4星)	 童年美好的回忆啊~~            
(5星)	 谢宁真美啊。。。            
(5星)	 生出这对双胞胎的父母太NB了！            
(5星)	 最爱吴岱融的花无缺            
(5星)	 时隔二十多年，终于看全了            
(5星)	 最爱花无缺、铁心兰！            
(4星)	 我十岁左右吧 妈妈在旁边说这个人哇的太多了            
(3星)	 小时候租碟看，好像逃课也是从此开始的。            
(5星)	 一直的最爱啊！            
(3星)	 就小时候来说也算老的了。            
(4星)	None
(5星)	 有一集给我童年阴影...从此不敢靠近黑乎乎的水边            
(4星)	 真心喜欢梁朝伟啊啊啊啊             
(4星)	 印象中最好看的一版            
(4星)	 黎美娴的苦命美女不错啊            
(4星)	 最让人津津乐道的版本。            
(4星)	 苗三哥跟三嫂一块演了不少剧嘛            
(4星)	 小时候的经典            
(4星)	 为了看伟仔啊啊啊            
(4星)	 喜欢这个版本的。。            
(5星)	 永远的小鱼儿、无缺、心兰、苏樱...永远的经典...            
(5星)	 翩翩公子花无缺。            
(4星)	 最好看的一版绝代双骄            
(4星)	 最爱主演一勺烩，，，，阿苗，谢宁，黎美娴，吴岱融            
(4星)	 “吴岱融后，不复花公子矣。”            
(5星)	 记得小学四年级的期末考试时刚好放大结局，没看到，好遗憾~            
(5星)	 这是最好的梁朝伟，也是青春热情的无线黄金时期。            
(5星)	 喜欢吴岱融的来关注他的微博吧：http://weibo.com/2016744987            
(5星)	 吴岱融后，不复花公子矣！            
(5星)	 小时候的电视剧都超级好看。哎。            
(5星)	 梁朝伟就系犀利...要搞笑可以咁搞笑...呢个小鱼儿睇到我笑到真系连饭都喷啦            
(5星)	 肥鱼仔哇哈哈，谢宁姐姐好美貌~            
(4星)	 这才是我小时候看的经典            
(5星)	 小时候翻来覆去的看 后来的版本都比这个大不如            
(NA)	 吴先生后，不复花公子矣。            
(3星)	 吴岱融的花无缺大亮啊，从没想过有人能演出不呆的花无缺。小鱼儿和苏樱小亮，其他角色让人睁不开眼。。。剧情改的扯到不能忍            
(NA)	 [01]            
(5星)	 那時花開            
(NA)	 梁朝伟那时候年轻····还有那个演花无缺的  太帅了····白衣服白扇子···小时候超级迷···            
(4星)	 年少时被苗侨伟版的江枫迷得一愣一愣的            
(4星)	 小时候看的绝代双骄版本            
(5星)	 梁朝伟演绎的小鱼儿很好            
(5星)	 只有看过吴岱容演的花无缺，才知道什么叫“翩翩浊世佳公子”。            
(5星)	 感觉年代好久远，有空再翻出来看咯            
(4星)	 好懷念小時候鄰居們擠在我家門口觀看露天電視的時光            
(5星)	 喜欢，很喜欢。小鱼儿就是要和苏樱在一起，在不枉我看了原著。            
(4星)	 一个精灵古怪，一个温润如玉            
(4星)	 小鱼最后数了几个数来着？            
(5星)	 心目中的经典，没别的要说的= =            
(4星)	 好的记忆！            
(5星)	 期待了十多年。            
(4星)	 小时候最喜欢香港的武打片了，男的潇洒飘逸，女的妩媚动人。这部绝对是经典，小时候超迷花无缺的，对梁朝伟倒是没什么印象。唉，我的武侠梦啊~            
(4星)	 我想说，如果不是听同事说了原著我可能会打五星，这部片子应该叫戏说绝代双骄才对，但是梁朝伟演的太传神了，所以给一星，吴岱融演的花无缺也很到位，谢宁虽然选美出身但是完全把握了苏樱的性格，再加一颗星给三哥三嫂，真衬呐。黎美娴竟然还和梁朝伟谈过恋爱，那个长相真苦情，也完全没有演技。            
(5星)	 曾经对此剧中的花无缺惊为天人，年轻时的吴岱融确实是翩翩浊世佳公子。谢宁的苏樱也让人印象深刻，虽然与原著中差别很大，但是灵气十足，古灵精怪可堪比俏黄蓉，个人非常喜欢。梁朝伟的表演也很出色。至于铁心兰这个角色，原著中我就不是很喜欢，不过黎美娴的古装满漂亮的。            
(5星)	 小时候特爱看，小鱼儿            
(5星)	 再怎么翻拍都过不了这部            
(5星)	 经典的小鱼儿            
(5星)	 最完美的小鱼儿和花无缺~            
(4星)	 高三看的，谁借我的盘？塔塔？            
(4星)	 和小说感觉很搭调的卡司。            
(5星)	 这是最好的绝代双骄版本，冲着谢宁的苏樱打五星！            
(3星)	 小鱼儿的神，无缺公子的正，铁心兰的痴，苏樱的灵            
(4星)	 儿时的经典电视剧！记得当时家里租的录像带，足足20多盘！            
(5星)	 垃圾的剧情就无力说了,这分是给演员的...            
(4星)	 特别喜欢花无缺席地而坐在山顶下棋的那个镜头，白衣飘飘，好美            
(5星)	 以前中午日日追            
(5星)	 早期的香港片真的很好看，虽然布景不怎么样，但演员的素质和演技是现代演员很难企及的了，BTW，吴岱融的花无缺真的很像书中出来的，而伟仔的小鱼儿则是古灵精怪鬼马可爱，和原著契合度很高~            
(5星)	 超喜欢这部电视剧！            
(5星)	 原来是梁朝伟……            
(3星)	 女人们都不错            
(5星)	 记忆中有两个这样的少年：一个温柔了岁月，一个惊艳了时光。            
(4星)	 老片新看，忽略过去的化妆技术和TVB一贯处理粗糙的细节，还是觉得这个版本经典。伟仔当年好年轻啊。            
(4星)	 完全零印象。            
(4星)	 还想再看            
(NA)	 小鱼儿与花无缺。。哈哈            
(4星)	 只看过几集，梁朝伟，真演员~演什么都不觉得突兀            
(5星)	 这个真是很好看，主要主角很符合书中的气质。。。            
(4星)	 苗侨伟~~~~~            
(5星)	 吴岱融            
(4星)	 当时小跟着妈妈一起看的，说是经典            
(5星)	 苏樱啊苏樱            
