http://movie.douban.com/subject/2136078/	水浒无间道 水滸無間道
(NA)	 冬虫草啊，萌翻，黎姿姐姐靓死唑~~~            
(5星)	 承认自己很无聊~~~但张智霖真的很帅~~~~            
(5星)	 虽然这部剧看起来有很多漏洞，但是张智霖还是超帅！            
(5星)	 太好看了。。。。彻底爱上张智霖和黎姿，当然还有王喜啊！！！！            
(5星)	 好搞笑。最后4集好刺激紧张啊。有酒窝滴张同学真的是帅啊。            
(4星)	 黎姿好漂亮的！！！            
(5星)	 看过好多年了，啊，我爱张智霖！            
(NA)	 GiGi 美女挖！！！！！            
(4星)	 据说口碑不好 但jo觉得蛮好看 黎姿的扮相美死了 尤其是古装 那叫个艳啊 甚至让我想起了圆月弯刀里的温碧霞 张智霖更是帅的没话说 搞得我又想看一遍黄埔倾情了            
(5星)	 看得好开心             
(4星)	 不错不错，蛮搞笑            
(4星)	 两个男主角都是我喜欢的，前面很好看。            
(3星)	 前一半出乎意料的好玩，后一半实在太过无聊，更没摆脱TVB一贯的烂尾。            
(3星)	 這種劇節奏為何拍得如此慢！            
(4星)	 好笑！！            
(NA)	 看完了好不舍得，前半部分好笑的要死，后面又好纠结！            
(4星)	 笑的我肚子痛。  尤其是说文言文时候 。最后还真来个无间道。结尾很给力。 有情人终成眷属！             
(5星)	 曾经面对灰灰的推荐 因为有黎姿而对之嗤之以鼻 后来看完才知道是神剧            
(5星)	 张智霖我好喜欢～            
(4星)	 剧情很瞎。。但是。。我最中意的TVB男演员和我最爱的黎美人儿共同出演！！！！！❤❤❤❤❤！！！！            
(4星)	 武松不过是觉得自己喜欢上潘金莲，然后无法自已，却又感对不起哥哥，所以才杀了她的吧。            
(3星)	 张智霖尊帅帅~❤~啦啦啦~            
(3星)	 为什么TVB的结局都那么烂呢，？虽然都是happy ending 。。。武松和潘金莲还是有一腿啊，，，啊哈哈哈            
(3星)	 大仙大仙 大仙一笑有酒窝            
(3星)	 里面杨怡的匡威让我影像深刻啊            
(4星)	 无聊的时候看过，除了黎姿一如既往凶狠的表情。其他都不错。此剧，张大仙帅到无边            
(2星)	 烂尾            
(5星)	 潘金莲。騷。            
(3星)	 真的蛮搞笑的，每次冬虫草叫潘金莲、武松、林冲啥的时候我都觉得好笑~            
(5星)	 演员都大爱啊~~~~~~~~~· 剧情也不错~ 爱~            
(5星)	 一气呵成的好剧~干干净净的剧情和演员~~最后还弄个小巧思~不错            
(3星)	 呃 张智霖。            
(4星)	 大一？不得不承认黎姿在里面扮相实在美。冬虫草真是好帅！            
(2星)	 最后一集太弱智了，其中BROLOVE的感觉很有意思，GIGI不适合这个发型。。张智霖好帅～            
(5星)	 啊啊啊 啊~~~喜欢~            
(5星)	 搞笑~~很搞笑~~男主女主我都喜欢~~男二也喜欢！            
(5星)	 笑死            
(4星)	 冬虫草有益身心            
(4星)	 后几集好看            
(NA)	 霖仙儿落水记第一章            
(3星)	 可以拍得更好些            
