http://movie.douban.com/subject/2380261/	你来自哪颗星 넌 어느 별에서 왔니
(3星)	 主题曲真不错            
(3星)	 郑丽媛好看！            
(1星)	 郑丽媛很有气质也很美，可是看到和死去的恋人长得一模一样这种设定，我就想把鞋脱下来抽编导！            
(5星)	 喜欢郑丽媛            
(NA)	 金来沅            
(5星)	 很控金大叔            
(3星)	 女主角演得不错            
(4星)	 想找到那个，即使就在身边，也会日夜想念的人。。我看到你的时候，会心疼。据说，这就是爱情            
(3星)	 因为很喜欢郑丽媛，所以搜到这部剧来看，的确在这部戏里她饰演的村姑角色很生动，很鲜活。            
(4星)	 不错，比较好玩，最主要的是只有16集。            
(5星)	 福实            
(NA)	 弃之            
(4星)	 比较喜欢这个煽情的名字来的。            
(4星)	 个人爱好而已...男猪一直都是韩剧里我很喜欢的类型,女猪的笑容很难令人抗拒...剧情上,不屈不挠努力过坚持过的感动比总是被外人干扰误会或者彼此错过而放弃来得更得人心吧...            
(2星)	 看了之后，对这部片子的期待就幻灭了。在硬盘里存了两年，硬着头皮看完了。            
(NA)	 06年底看得..没看完..            
(3星)	 我真的觉得 韩国以前的电视剧 真的很浪漫啊！！！            
(4星)	 我要成为你一生都想念的人~ 【土不拉几的女主很可爱呀~~            
(3星)	 不可思议。            
(NA)	 郑丽媛好看            
(2星)	 long long ago            
(4星)	 怎么这么好看            
(5星)	 男女主角都是招我爱滴~            
(4星)	 男女主角都是我很喜欢的人            
(NA)	 韩式的搞笑+煽情            
(4星)	 恩。很喜欢郑丽媛and金来沅，丽媛姑娘笑起来很舒服很舒服。姐姐跟男主谈恋爱的段落灰常有爱。            
(NA)	 喜欢郑丽媛~~~            
(NA)	 貌似还不错！            
(3星)	 剧情老套~~            
(5星)	 我爱的是崔胜熙。            
(4星)	 喜欢，就是喜欢他们俩。难得让我坚持看完大结局的韩剧            
(NA)	 年轻时候看的哈哈  寝室的无聊岁月            
(4星)	 喜欢郑丽媛            
(4星)	 因为男主角……            
(3星)	 郑丽媛实在不适合村姑造型。            
(3星)	 女主，是三顺里面的女二。            
(4星)	 因为郑丽媛MM的关系才买的.            
