http://movie.douban.com/subject/4236836/	团圆
(2星)	陈锦鸿叔叔，您是要争做香港咆哮帝吗？
(2星)	陈锦鸿荣升新一代咆哮帝~
(3星)	翁以行三观不正，居然一直维护爸爸的小老婆一家。
(5星)	郭晋安的角色太有魅力，当然和他的演技分不开，和这些熟龄人士比，新生代那些确实有好大差距
(2星)	OMG第一集就弃！永远对徐子珊这女人喜欢不起来，偏偏每次都和吴卓羲搭戏，整个拉低档次，很烦！我本不想刻薄的，但是感叹于现在的港姐质量越来越次！
(3星)	这部剧彻底成了郭晋安的独秀，不是为了他真是撑不到结局啊！！！吴卓羲酱油王的帽子算是戴定了。
(3星)	好吧，我们家CC彻底成了神经质的疯子，恶有恶报咩？RON有点白痴过头了，让我想到酒店风云？安仔一路好到头地咩？大满贯为什么不和她徒弟？
(3星)	陈锦鸿跟吴卓羲快去拍巴不得爸爸2好嘛！！
(4星)	除了大表哥都是大笨蛋
(3星)	这不就是一部山寨版的家好月圆？
(5星)	为郭晋安鼓掌
(4星)	很喜欢，尤其是郭晋安，演技一级棒。
(3星)	哼你们现在开始厌倦陈锦鸿，想当年的刑侦4他也潇洒过
(3星)	虽然很想看郭晋安演腹黑 但光看了第一集就不想再看下去了 情节基本上就是家好月圆的翻版 而且刘兆铭陈锦鸿真心不喜欢
(3星)	我怎么觉得郭晋安越来越有哥哥的范了，相当讨喜 
(2星)	第一集有点无聊...弃 
(4星)	冲着吴卓羲看的，陈锦鸿在里面像个傻子啊！
(3星)	前十集吵吵闹闹，让人没有心情，但是十集之后还是不错的。安仔终于回到以往的水准，冷静、温柔、有心计、爱家、睿智，完全的五好男人，和富贵妹一起再好不过。徐子珊的妆很柔和，性格也很讨喜，凭借这部戏应该会赢回一些“倒姗派”。陈锦鸿的角色越来越不知所谓，大老粗和冲动货往复循环。
(3星)	我觉得虾子面应该也不会很好吃的~
(5星)	里面就是一个郭晋安在撑场面
(4星)	说实话这剧其实还行 只是开始太拖拖拉拉没有很快进入主题 到最后又是各种老套 里面郭晋安和那些老戏骨为剧加分！
(2星)	也就是看看郭晋安啊。
(4星)	主题曲很好听啊~~~哈哈！果然是安仔撑场面啊~~~
(3星)	我爱吴卓羲
(3星)	好吵好一般。
(4星)	&lt;30 完结&gt;第一次看剧看得我这么憋屈。剧情角色设定有问题 通篇只有翁以进和富贵妹两个是正常人。烦死陈锦鸿和吴卓羲了 前者一咆哮起来那张扭曲变形的脸太可怕了；后者为什么不管演什么看起来都是一样的orz
(3星)	为什么吴卓羲在这里像个傻子！！！！！！！&gt;&lt;
(3星)	给四星,全都是给郭晋安的.
(3星)	确实有点吵，在这个炎炎夏日看，有点小浮躁，弃吧
(4星)	剧情老套，但依旧被感动到~  郭晋安还不错~
(4星)	居然没有女主配郭晋安！
(3星)	此剧乃郭晋安个人秀。老郭演技接近炉火纯青，且此次造型帅过以往任何一个角色。除了翁以进（郭晋安饰）的出色表现，别的方面，乏善可陈。
(3星)	郭晋安超适合演腹黑男，陈锦鸿状态不佳。
(3星)	没玩没了的家斗 TVB除了师奶剧还有什么 简直糟蹋演员
(2星)	貌似是家好月圆的面条版啊~
(3星)	看陈锦鸿大声嚷嚷并摆出一副直率爽朗并且重情重义的姿态来，感觉真是糟心。
(NA)	难看
(4星)	郭晋安演的角色我真心喜欢
(3星)	翁以进有个风流的老爸，没脑子的弟弟，以及一群爱吵架的极品亲戚，真是有够杯具的。整部剧也就他是个正常人。另外，以前一直以为郭晋安只会演阿旺，想不到这部剧太从头带到尾，演技精湛，可圈可点！！！
(1星)	富贵妹为什么爱穿长大衣搭七分裤……
(4星)	断断续续看了之前落下的，tvb这种戏能不能再多点，阿旺真的老了，也开始发福了，以前不待见徐子珊我觉得她真的很丑，以后也不会多喜欢，她很努力但她大概不会是第二个胡杏儿。
(1星)	弃了
(2星)	没有新意。弃
(3星)	郭晋安更有魅力啦~
(3星)	港剧的桥段设计越来越刻意！
(3星)	一群傻逼围攻一个正常人。。。
(3星)	郭晋安真是给了我大大的惊喜，剧情很俗套，但郭晋安的魅力完全突显出来了，真是帅到爆。
(3星)	大丰收有狂躁症！
(4星)	安仔演技真心好啊~~~大团圆的结局还是我爱的！！
(3星)	我是冲着徐子珊看这部戏的啊，结果意外发现郭晋安和吴卓羲....追到22集打算放弃.....虽然郭晋安真的演得很出乎意料，但是徐子珊的感觉怪怪的，好像不太适合这种乖乖女风格，还有就是...陈锦鸿演的那个大丰收实在是让我无语啊...看见他我就想按右上角的红叉叉...
(NA)	北北是想告诉我们书影音回来了
(3星)	不痛不痒，无功无过
(2星)	見到兩家首領是我最討厭的兩個阿伯——劉兆銘跟周骢，再加上中年危機的陳錦鴻，飽了……
(3星)	越来越看不下去...这种家庭剧不要再拍了！！！！！
(NA)	郭晋安真素一个很好的演员~要暖心冷面就演的出来~不过剧情即使是追看剧也被弃了。。
(NA)	基本上是烂剧，全靠郭晋安，相信很多人看的时候都希望Z3跟他吧……
(4星)	这个真的脾气不好不能看，看了恨不得冲上起逆光来回抽，哈哈哈。恩，我觉得还可以呀~最主要被我发觉徐子珊像。。。了，哈哈哈。
(3星)	徐子珊~~~
(4星)	郭晋安演技赞一个~
(5星)	这是TVB最让我生气的片片~~啊~~
(4星)	结局可以更狗血一点的。。。太圆满了有点失望
(3星)	因为徐子珊 没坚持住 。。。但是吴卓羲还是很帅啊 剧情也还不错
(4星)	好温馨
(3星)	TVB咆哮帝 陈锦鸿！
(4星)	狗头sir真是一辈子的反角啊，安仔从头到尾solo，杀尽全场，4颗星
(3星)	吴卓羲这两年越来越好看，帅的神奇..可是又是跟香肠嘴搭配，坑爹的选角啊……
(NA)	郭晋安
(3星)	讨厌徐子珊狗拿耗子~
(3星)	郭晋安演技还是那么好，但是港片越来越不如从前了
(4星)	推荐，是因为郭晋安的缘故。
(4星)	继卖鲍鱼卖月饼之后卖面的故事，简直不用看就知道剧情了。我以为吴卓怡这次要聪明一把，结果怎么还是那种角色。。。
(3星)	看不下去了。。吴卓羲和陈锦鸿在里面跟白痴一样！
(3星)	最喜欢看这种最后骗子坏人被揭穿受惩罚的了！
(NA)	超级傻逼
(4星)	富贵妹点解唔中意大表哥！┭┮﹏┭┮大满贯点解唔中意招积仔！┭┮﹏┭┮
(2星)	结局太随便。翁以行和大丰收这两个角色真是傻到了极点，另外觉得徐子珊很适合演奸角，所以她太正派反而很假。
(3星)	郭晋安好帅 好帅
(4星)	看TVB港剧就是让我咬牙切齿的..
(3星)	所有的星星完全给郭晋安一个人。。感觉这就是他一个人的电视剧。。怀念创世纪啊！！！！
(3星)	的确是为了看郭晋安...其他人多数都残了.剧情也是..大满贯简直无脑儿..-_-!
(3星)	剧情最多值3星 但角色是大亮点：两个好人VS两个坏人，外加一群猪一直在咆哮…… P.S. 翁以进满足了我对男人的一切幻想...
(3星)	徐zs的脸都快看烂了。
(NA)	那么多的家族争产片，因为情感回忆，我们依然乐此不疲。成出戏最亮点就是朗朗竟然不是王洪的仔。所有的罪恶都不过是一个女人的贪念。阿大丰收又要唔死得，呢点就超假啦~边有甘多心底善良的坏人啊~！！
(4星)	翁以进一个人即是王道！！郭晋安撑起了整部片~
(NA)	安仔太贊了！！
(3星)	三十集啊　你分一点给怒火街头都好啊
(1星)	吵吵闹闹的看着头疼，看到第三集已经是底线了。。。。。TVB有点每况愈下的感觉
(2星)	十分钟一集 还是拖完了...
(3星)	剧情普通 陈锦鸿咆哮了~ 郭晋安演的不错~
(3星)	现在的TVB不行了啊。。。总是喜欢拍吵架的剧 话说这部剧我会看下去完全是想看郭晋安和徐子珊的戏。。。中间有一段还蛮纠结的=，=
(5星)	我爱上以进了。。。
(3星)	够晒团圆
(NA)	看完今晚的TVB《团圆》大结局，最后那个坏人王洪竟然得了精神病，呃，觉得情节怎么很眼熟，和过去剧集一样啊，《宫心计》和《掌上明珠》的坏人统统都得了精神病，一个疯子一个傻子...TVB的编剧，你可否换个新鲜的情节啊
(3星)	不怕王洪一样的对手，就怕大丰收、大满贯、翁以行、翁盛芬一样的家人！以进好悲剧好无奈。
(4星)	觉得前十五集都太啰嗦
(5星)	好鍾意以進~
(4星)	喜欢郭晋安
(5星)	只因为郭晋安
(1星)	半集弃。一开始就吵得我头昏。不dj徐子珊，还有，亲戚怎么能在一起。。
(3星)	故事人物结构都是港剧一贯的套路模式，但是每天一集这么追着看看倒也挺带劲的。郭晋安的大哥形象倒是讨喜的。 
(3星)	烂片！从头烂到尾！
(NA)	弃
(4星)	真想仆倒晋安哥哥~啊啊啊!!!
(4星)	虽然演员没什么，但剧情还是不错滴，比想象中好看
(3星)	郭晋安演技越来越出色了。陈锦鸿也可圈可点。
(4星)	一直不喜欢郭晋安，到《与敌同行》的时候开始改观。这部前面都索然无味，一直到17集左右，被郭晋安的哭戏打动。后面他应该会爱上徐子珊演的角色，恩，仍在追。大团圆结局衬得起团圆。喜欢上郭晋安了。
(4星)	毫無疑問皆大歡喜....
(3星)	一群无脑以及咆哮者。
(1星)	这个编剧真能耐，除了郭晋安，其他角色全部都编成脑残+傻X。
(3星)	是弱了一点，但是郭晋安还是不错滴。可是怎么30集啊，是有多峰回路转啊。
(5星)	啊啊啊 看完了
(4星)	11集笑点很足啊！
(NA)	有些港剧就是无聊……
(4星)	纯粹为羲羲追局来的~~还不错吧
(3星)	其实招积仔最让人唏嘘……
(2星)	乱伦剧……受不了……
(NA)	也不知道为毛反正我弃了
(3星)	 到后面就只想看郭晋安一个人了。他和徐子珊对戏才是看点。其余的，都快进！
(NA)	这部戏的傻逼好多啊，吴卓羲，陈锦鸿毁灭了自己成就了郭晋安
(3星)	完全不知道以行在幹什麼 - -!!!!!!!
(3星)	以进有脾气又有谋略，和zita最配啦http://www.tudou.com/playlist/p/l12463080i87931397.html
(2星)	剧情俗，新一代咆哮帝。安仔是里面唯一的亮点
(NA)	追完了
(1星)	闹剧一出！
(NA)	吴卓羲！！！！！！
(3星)	溏心风暴还没拍够么？？
(2星)	各种看不下去，我看不下去的剧真的屈指可数啊。。。
(NA)	终于没有小老婆！这是六婶高抬贵手的结果咩！-- 果然只是我的妄想啊....
(NA)	六集弃
(4星)	这部戏等出街等了两年，剧情中却有一群看不清是非黑白的人，但翁以进却可以支撑我看完整部戏，除此之外还有一些别的小亮点。西山第一部真正意义上的合作，还不错。但是鞍山中有一段背人镜头被删除很可惜，当时都出新闻了啊！
(4星)	张乾文的戏都满不错的 郭晋安这部很出彩~~郭政鸿也不错~其他演员就忍了~ 吴卓义的坚定很好听~
(4星)	陳錦鴻個二逼，吳卓曦個傻逼。郭晉安徐子珊，你們在一起吧！
(5星)	尼玛。这部剧是奔着吴卓曦去的，但是看到最后，这尼玛的卓曦哥完全是打酱油好不，这五分全是给安仔，演技无可挑剔，帅到爆。让我从此以这种性格找对象，大爱安仔了
(3星)	徐子珊只穿长筒靴的￣o￣ 
(4星)	除了郭晋安的角色比较合理饱满，其他人都像得间歇性神经病一样。
(3星)	20集弃。安仔好帅！但这戏实在太闹心，看完额头吻我也就弃了，BJ干嘛不把Peace给以进啊，以行这种脑残儿有半毛钱好嘛！
(3星)	这三星全部打在郭晋安身上
(3星)	我开始萌郭晋安了
(3星)	酱油帝吴卓羲
(3星)	果然够腹黑~
(3星)	看过第一集，梁靖琪矮油，聒噪
(3星)	冲着徐z3和Ron的cp看的，但是女主的装扮实在是吐槽无力。。。争家产什么的是在无聊，见证了新一代咆哮帝诞生也还算值了。。。
(4星)	再烂也因为郭晋安加分啊。一直都不喜欢他的，直到看到团圆。
(4星)	比预想的好点，不过近年来这种小儿科的家族剧都挺拖沓。郭晋安不演傻子其实还蛮帅的，陈锦鸿近年来都咆哮演法了，吴卓羲的演技实在还需磨练，徐子珊的确有时角色挺烦人。其他配角其实演得挺好的。郭少芸和陈曼娜演委屈小女人也还不错。姚嘉妮一直以来的角色都很讨厌啊~~另外我最爱的郭GG演大BOSS，唉
(3星)	还不错其实
(3星)	郭晋安的演技毋庸置疑，very good。整部剧他一个人就是最亮的星星。陈锦鸿的角色让我很不喜欢。另外吴卓羲在这部戏里演的让我觉得失去了很多个性。
(NA)	家族剧 起伏不厉害 睡睡看看 郭晋安 老了T T
(4星)	都说不咋的！我倒蛮喜欢的！
(4星)	陈锦鸿和安仔这次的角色和创世纪来了个180度大反转啊有木有！以进演的很赞，Ron还是依旧一副太子样，不过这部戏改变了我对徐子珊的看法，经过几部剧的打磨演技慢慢好起来了。。梁靖琪自从岁月风云之后不知道忙啥去了，这次又接着老爸名头插戏么。。和大丰收一样每次嘶吼起来我就不得不调小音量。。
(5星)	五颗星因为郭晋安演的很成功
(3星)	确实是郭晋安在挑大梁，徐子珊的也算不错。别的人的演技真的是没话说了……尤其是陈锦鸿。前段时间看完万凰之王就已经对他无语至极~~现在看了这个更是一样糟糕。
(2星)	只有郭晋安的演技有亮点。
(1星)	烂就一个字
(3星)	啥都不说了..真爱哥吴卓羲太特么适合头脑简单的角色了!!!!!!!!!!!!!!点解吴生同子珊冇绯闻,我觉得是子珊看不上吴生 ╮(╯▽╰)╭
(3星)	。。。。。。近亲结婚生下来的……=-不应该是有残缺的吗……
(3星)	其实这部戏只是还行。一颗星是给郭晋安的。翁以进这个角色他演得很好很有魅力，第一次觉得他演戏这么好。感觉人物很真实
(3星)	TVB的，可以看下去的，一般都不会太差。
