http://movie.douban.com/subject/2157226/	我本善良
(5星)	 温兆伦！            
(5星)	 1991年，主题歌一生何求记忆很深。            
(5星)	 蝎男温之经典。            
(NA)	 回忆            
(4星)	 Maggie在里面超美的！！            
(5星)	 难忘伊明。            
(5星)	 小的时候周末和妈妈坐在沙发上一起看            
(3星)	 久远回忆            
(NA)	 1990            
(4星)	 印象很深            
(NA)	 温兆伦真恨人啊 ~~~~            
(4星)	 记得内会儿放假时候天天看。            
(4星)	 初中那会儿最喜欢的港剧            
(4星)	 似乎以前很喜欢拍那种又好人变坏人的戏~~我也喜欢看            
(3星)	 老顽童买过一生何求那张CD            
(3星)	 认识温兆伦            
(4星)	 陈庭威是我喜欢的            
(5星)	 全凭当年的感觉 印象蛮深            
(4星)	 其实好像没怎么看全~            
(3星)	 那时温兆伦还很红            
(NA)	 童年的最爱            
(4星)	 唉，温sir啊～～            
(4星)	 現如今邵美琪都老了            
(5星)	 俺娘念念不忘的片。            
(NA)	 温兆伦和邵美琪，软弱男和烈性女的CP极有火花，自《一号法庭》之时就印象深刻。还有陈百强唱的主题曲《一生何求》，每每听到都是忍不住哭的……用小时候的语气说，就是——太惨了～～～            
(NA)	 温兆伦想当年很风靡            
(5星)	 港剧里堪称完美的一部剧，曾江的代表作之一            
(4星)	 【这是为了今年阅片量凑数的！！！这是为了今年阅片量凑数的！！！剧情导演背景都知道啊都知道！！！！】            
(5星)	 齐浩南            
(NA)	 哇，爷的童年呀！            
(2星)	 好尼玛古老。。都尼玛看过。。            
(5星)	 看完咯 我本善良 南无阿弥陀佛            
(3星)	 这个剧情超级混乱吧            
(5星)	 不知道为什么印象非常深刻。但只记得故事大概是一现代版杨康，情节 结局什么都不记得了，但记得温兆伦 记得曾江，看来什么时候要复习下了～～            
(4星)	 十几年前第一遍看这部剧，只看见了那段一波三折的爱情。如今再看，居然发现它很好地揭示了人类道德生活中的诸般困境。大概我还真是伦理学念多了~~~            
(5星)	 儿时的经典吧，只记得一些温兆伦杀人的场景            
(4星)	 陪老爸老妈一起看的，也确实蛮好            
(5星)	 去年在地方台看见一则温兆伦拍的性药广告，唏嘘不已……            
(5星)	 小时候最爱的电视剧，我一直觉得齐炎才是最合Deric的可惜太早离TVB了            
(NA)	 那个时代的青春偶像剧吧            
(4星)	 那时候觉得他们是金童玉女啊            
(5星)	 大爱~  永远的依明和浩南            
(NA)	 重看一遍，依然觉得故事很好。只是一些拍摄手法拙劣，还有电视剧里面的音乐太杂了。            
(NA)	 小时候的我就通过这片子学到了什么是恨...            
(5星)	 伴随整个小学的。温兆伦在这里很英气。            
(4星)	 貌似記得溫sir在里面是個大壞人～            
(3星)	 好人VS坏人。。。            
(4星)	 那时候温兆伦超级红            
(4星)	 温朝伦有型之作！            
