http://movie.douban.com/subject/1920144/	时间隧道 The Time Tunnel
(NA)	 1.5            
(4星)	 那一年，超时空猴王和时光隧道牵着我的心！～            
(4星)	 应该是我第一次看穿越型的电视剧。那个时光隧道现在想来做的很简易，但当时的我觉得那是多么神奇的一件事。主角穿越过很多年代，唯一记得的那集就是穿越到泰坦尼克号上，好在船快沉没时，他又穿越到了别的年代，电视机这头的我才算呼出一口气。那时候看电视剧真投入哇，现在不可能有这个劲头了。            
(4星)	 记忆。            
(4星)	 很赞很赞，可惜一直没有演完。记忆深刻的是遇见了拿破仑，并且在空袭珍珠港的时候遇见了小时候的自己~~~            
(4星)	 小时候看的            
(5星)	 竟然被我找到了。。。上幼儿园时看的。。我绝逼是个SF少年。            
(5星)	 上小学的时候看的，现在还记得，我日，二十多年了。            
(5星)	 小时候的最爱啊！            
(NA)	 胡汉三穿越时空不老的神话            
(4星)	 几乎是在已经失去的回忆中又想起来一些片段            
(5星)	 怀念啊……            
(4星)	 童年回忆～            
(5星)	 很小时候看到的第一部科幻剧集！很怀念这个~            
(4星)	 彩条的时空隧道，小时候看得我直激动！            
(4星)	 我操。。。这个都找到了。。。每次看到黑白相间的螺旋图案，我就会回忆起这个电视剧。。。            
(5星)	 一直记得最后一集错过了，甚憾~            
(4星)	 谁说看过这片子的都三十多岁?我就还只是奔三!            
(4星)	 怀旧不拉风脚踏实地版Dr.Who.美国哪个城市的大火那集，印象极深。            
(4星)	 印象最深的是古罗马那集            
(NA)	 又一部童年经典。。。唉。。。啥时候能生产一台time tunnel呢？            
(5星)	 童年回忆！！！            
(5星)	 小时候，每周日晚的译制片栏目            
(NA)	 80年代看这个，非常超前的童年生活。            
(5星)	 经典啊。。。            
(NA)	 美国五星上将詹姆斯下士 举着冲锋枪回到过去向印第安人扫射扔手雷，小时候最令人浮想联翩的科幻片            
(5星)	 怀念            
(5星)	 泪~超级喜欢 还想再看啊            
(5星)	 相当经典的片子，央视当年的片子没得说，印象中2小强到过泰坦尼克、大火山等等            
(4星)	 穿越类科幻的祖宗剧情漏洞多到发指            
(5星)	 小时候看过，终于找到了。            
(4星)	 小学5年级看的，1990年            
(NA)	 正大剧场            
(4星)	 八十年代            
(4星)	 小时候超喜欢看的，剧情已经不记得了，那个时光隧道满傻的现在想想。。            
(4星)	 阿。。小时候觉得非常经典奥妙的片子。。就像现在的美剧！            
(NA)	 第一次知道泰坦尼克就是靠它            
(5星)	 老式美剧的经典            
(NA)	 90年代引进的老片 童年的回忆 终于找到了            
(5星)	 印象深刻！！！！！！！！！            
(3星)	 小时候的记忆啊。那时还住在平房，电视是12寸黑白电视，趴在炕上看这部当时不知道是电影还是电视剧的“译制片”最早的时间旅行概念就是从这里看到的。            
(5星)	 这个乃是经典中的经典！！！ 平生第一次看的穿越电影！！ 看看年份！！再看看现在的穿越电影！！！ 卧艹尼玛~~ 智商无下限啊！！！！！            
(4星)	 穿越时间讲历史，儿时滴科普~~~~科普~~~~回答完毕，谢谢！            
(4星)	 看到的头一部关于时空旅行的片子，很好看。            
(NA)	 真的有完美版 想继续分享            
(5星)	 记不清几岁看的了……几乎已经完全失去印象……居然在56上找到这部剧。            
(5星)	 竟然是1966年的片！当时感觉特神奇，超棒！            
