http://movie.douban.com/subject/3904560/	水浒传
(4星)	 看时杀了宋江的心都有了~~            
(5星)	 四大最喜欢的一部 也是央视改编我觉得最好的一部 各方面都到位 特别是看到新版操行之后再一比堪称完美 好多人说李雪健演得不好 我看李雪健就是一张招安脸 不能再适合了 浓眉大眼的张涵予可不行 赵季平的配乐更是锦上添花 有时间一定再翻出来看一遍            
(4星)	 印象中老妈喜欢看“潘金莲”那几集……我自己好些天走不出故事结局的惨烈~            
(4星)	 那时候多迷燕青阿            
(NA)	 大河向东流哇，天天的星星参北斗！            
(4星)	 确实拍的很古典。彭丽媛唱片尾曲之后的情节看的人心里疼。            
(5星)	 五星+            
(5星)	 君要臣死，臣facebook            
(2星)	 李雪健演得不好            
(5星)	 就是不喜欢李雪健            
(4星)	 招安之后就很伤心啦～            
(4星)	 杀啊！！！！！！！            
(4星)	 主题歌很燃            
(5星)	 很好的电视剧。            
(4星)	 简洁干脆,有草莽气,演员也不错.            
(5星)	 “风风火火闯九州”……或许是梁山之哀，文化之哀。            
(NA)	 砍死宋江 势保林冲            
(NA)	 丁海峰版的武松很赞啊，看了叫人怦然心动~~~            
(3星)	 书不喜，改得也不好。            
(4星)	 武松松~            
(NA)	 不喜欢            
(5星)	 经典！制片、编剧、主题歌、武指、演员都很满意。跟他太有缘了，因为此剧看了原著，因为此剧过了面试，因此此剧考了制片专业，最有意思的是因为此剧，冒着被初中班主任批的风险，在班级后面的黑板报上开了个专题，第一次把班里同学对此剧的看法公开记录下，大概相当于现在的BBS了吧！            
(4星)	 好经典 很多次打开电视都是看到潘金莲那集             
(5星)	 鸟人！吃爷一刀！            
(4星)	 李雪健演的真好 当年我同桌天天给我唱好汉歌逗我笑= =            
(3星)	 非常讨厌李雪健            
(5星)	 心痛            
(NA)	 了不得 我把你全忘了 除了那首歌            
(5星)	 武松说：我又不白吃你的，惹的我性起，把你这鸟店给翻过来。。阮小七说：爷爷生在天地间，杀贼杀官把命玩            
(4星)	 那時候甚迷燕青啊。。            
(5星)	 老爷生长在江边，不爱郊游只爱钱。昨夜华光来趁我，临行夺下金砖！            
(5星)	 我第一次看电视哭，就是张顺死的时候……            
(4星)	 当年放这片儿的时候，正好跟《婆婆媳妇小姑》的时间是重叠的。我只能将就着奶奶把那边看完了，马上换台看三国。当时不知道特爱看。但是看到后来发现宋江的恶心，当时弄死丫的心都有了。后来结果都不看了，伤心。            
(4星)	 四大名著中最好的改编，思想性而言，远远超过原著。最后一集几乎无情节推进，全在写景抒情，但不觉得冗长，因为前面的积攒的悲剧气场太强大了，这是一种奢侈的玩法。            
(NA)	 当年李雪健让我恨得牙痒痒.            
(5星)	 当初的四大名著电视剧都多好哇 现在竟然还要翻拍            
(5星)	 大河向东流呀~~            
(3星)	 巨不爱看,还要被老师逼着看            
(4星)	 不错。            
(2星)	 恶心            
(3星)	 ★★★☆ 不怎么喜欢《水浒》，不过片子拍得还不错，比较带劲。            
(3星)	 不对胃口            
(4星)	 还可以。大河向东流啊~~~~            
(4星)	 前二十集热血澎湃，后十集心如刀绞            
(4星)	 恨死了宋江，招你妹的安，自己图安逸图富贵想投降就别瞎代表梁山兄弟好吗亲！如今才明白是李雪健没演好... 死的太惨烈了，都不忍心看，尤其是王英扈三娘他们；最爱的林冲竟然活活气死！想起来都是眼泪啊~~o(&gt;_&lt;)o ~~ 原著作者你太狠心了！            
(5星)	 配乐好，几个演员也选得特别好。。虽然砍掉很多情节。。但是作为电视剧也可以了，新版虽然才看几集，但实在觉得拖泥带水，不显力道，演员层次也有所下降。。不禁把老版翻出来，当年可是放一遍看一遍，该泪哗哗的镜头到现在还唏嘘不已。。            
(3星)	 路见不平一声吼~~            
(4星)	 演技入骨，但是改得太厉害了。            
(5星)	 1998年。为之激动，为之叫好，为之欢笑，为之惋惜，为之嗟叹。。而后去读小说原著。。电视剧里的那种快意恩仇着实打动了年幼的我。。恨透了那个策划招安的宋江。。            
(5星)	 每个角色的选角几乎都堪称完美...            
(5星)	 很多人包括我妈都受不了李雪健最后把宋江演成那个挫样，但是我觉得宋江就是那个挫样，大恶人（金圣叹说的）。            
(5星)	 选择的演员们接近完美，李雪健的宋江必是无人能超越的顶点之作，尽管他一直为没能亲自配音而遗憾自责，哪怕如此也已塑造了神作，唯一的缺憾是观众一致认为剧中人物出现过于少了            
(5星)	 爷爷生在天地间，不怕朝廷不怕官，梁山泊里住一世啊，好酒好肉赛神仙。看了《新水浒传》之后我才意识到，这部《水浒传》跟《西游记》一样已经是无法超越的经典了            
(5星)	 此版本较原著有很多改编，而且不是每段剧情都拍摄。但是改的好。尤其是林冲之死，可谓改的最好。而且音乐也成了一代经典。            
(1星)	 四大名著之末 电视剧也是如此            
(5星)	 相对于现在粗制滥造的历史剧、武打剧，这个无疑是经典中的经典了            
(NA)	 本身对水浒兴趣就不大~不过不过，豹子头林冲萌到我了。。。            
(5星)	 从征方腊开始看不下去了，个人好恶，心疼那些个好汉死得冤屈不值，不如燕青有个好结局。            
(4星)	 还可以更好            
(4星)	 我小时候觉得林冲叔叔好帅哦            
(4星)	 这他妈我小学看的..那时候还特喜欢!            
(5星)	 作为一部电视剧，它的艺术造诣、思想内涵以及改编功力令我惊叹。            
(4星)	 喜欢里面的林冲~            
(4星)	 李雪健太挫            
(4星)	 性启蒙            
(4星)	 不喜欢宋江,越看越不喜欢            
(5星)	 都给五颗星吧= =            
(5星)	 真好看            
(4星)	 不知道为什么，我挺喜欢这电视剧，我还能全部背下108将            
(3星)	 穿帮太多            
(4星)	 全凭当年的感觉            
(5星)	 小时候特鄙视这类片子。长大后特喜欢。            
(5星)	 昨天看了两集，看的是武松血溅鸳鸯楼，超cult，超血腥，原来是怎么看过来的            
(4星)	 故事很和谐，潘金莲没露点~            
