http://movie.douban.com/subject/3285411/	波士顿法律  第三季 Boston Legal (Season 3)
(5星)	 这季走猎奇真相路线。法庭戏不如之前了。但是鉴于本季有几个不可多得的情节，还是给5星            
(5星)	 最为喜欢的是绑炸弹那集，最为巧夺天工的是最后一集~            
(5星)	 伟大！            
(3星)	 这季太恶心            
(NA)	 换了8M的光纤..在线也没流畅到哪去 坑爹的联通             
(4星)	 越来越有意思了。有机会向国际友人求证一下法庭上的律师表情是否真有那么夸张。SE17，Alan在法庭上说：“任何以Radiohead的演唱会开始的夜晚基本上都会演变成彻夜狂欢”，这是真的吗？？？            
(4星)	 Closing大不如前，配角的串场无力。但是Denny回忆里父子那段，“我一直相信他是无辜的”，以及Alan逼迫故意犯罪十二年的那段。两个人耍暧昧的时候最好了，难得卖腐卖的这么让人唏嘘，金子般。最后要说的是，James Spader是个很容易让人人戏不分的演员，我非常非常喜欢他。            
(5星)	 照样超好看。denise和brad结婚还是不好，我更喜欢coho            
(3星)	 平            
(5星)	 迅速荣升我最爱的几部剧之一。            
(4星)	 第三季的closing感觉特别好的不是很多，最后一集的手段不错，前面jerry的部分比较无聊，虽然他后来变得不错了，我也变得喜欢他了。alan伤害jerry的那一集，alan好伤心            
(5星)	 Denny总是会给你最啼笑皆非的惊喜、惊吓。。            
(5星)	 非常喜欢主创拿自己开玩笑的态度（如哼唱主题歌、Denny的玩偶等等）。可惜人事变动太大。            
(4星)	 从dead duck那集开始觉得怪手男没那么讨厌了，泪点变得好低            
(5星)	 进度慢了四年仍旧一年看一季..            
(5星)	 even better than 1st and 2nd            
(4星)	 这季颇有些混乱 有时感觉alan并不在状态            
(5星)	 哈，我是第1000个~EP22开头太搞笑了。            
(4星)	 4星半            
(4星)	  d s1-3             
(5星)	 继续伟大的剧....            
(5星)	 ！！！            
(5星)	 以游戏的放松心态对待工作也不错。            
(5星)	 我爱Candice Bergen~            
(4星)	 四点五星，越来越腐了，嘎嘎嘎嘎嘎......Jeffery Coho和Claire两个新角色很喜欢啊！            
(5星)	 这季整季都很精彩！Alan的每场closing都超赞！Bravo！            
(5星)	 Alan Shore 和我的龟山薰一样，有一颗金子一般的心            
(4星)	 Coho!            
(5星)	 james spader!!            
(NA)	 前半部好无聊，后面不错。牧师那个。。。。            
(5星)	 你不在的时候，我借此消磨一个又一个白天与夜晚。            
(5星)	 BL不愧是BL~告白都如此赤裸裸            
(5星)	 灰常好看，但是FTP上好像没有后面的季了            
(3星)	 好像没有前一季精彩,从这一季开始放弃            
(4星)	 性感的女法官            
(4星)	 一不小心就看完了~.~跟Spader相见恨晚            
(NA)	 总是忍不住想再看一场他站起来理衣扣并慷慨陈词的感觉。有风度又风流的Professional……            
(NA)	 k support me            
(5星)	 Denise 还越看越乖了。。Daniel，我咋总觉得他没死呢。。。            
(3星)	 开始越来越无聊，越来越无厘头了。Welton法官，Alan的法官女友在现实生活中也那么生猛，结婚5次，2次破产。哈哈            
(5星)	 爱Alan            
(NA)	 延续以往            
(NA)	 继续。denny crane.我的Alan            
(5星)	 看的为数不多的美剧            
(5星)	 24集里面小帅哥的眼睛真漂亮啊~~            
(5星)	 a really good lawyer is priceless            
(5星)	 灵魂剧 vivalavida            
(5星)	 腐女必看。。。大爱Allen Shore~~~            
(3星)	 13/24，虽然“monica”没有那么惹眼了，但是仅仅依靠shirley的closing是不足以挽留这部剧的            
(5星)	 开始喜欢Jerry了            
(5星)	 编剧太坏了！怎么把Alan哥写的这么花心了，什么女人都上，俺们Alan哥没有这么滥交的好吗！我都想给0星了！            
(5星)	 Shirley可爱死了~好吧的确有几集的案子有那么点扯，但是，Shirley可爱死了~            
(5星)	 手头仍留有剧本哦~            
(5星)	 我很喜欢alan和denny之间的友情。            
(5星)	 我靠。。。结婚宣言都念过了。。。            
(5星)	 曾经的睡前一集~法学院的孩子们都会喜欢的吧            
(5星)	 没办法不喜欢            
(5星)	 中间几集MAD COW太严重了。不过从E15开始越来越精彩。            
(5星)	 通过翻译美帝的案子，哥现在完全可以不用字幕听懂各种法律术语了…            
(5星)	 一如既往的爱ALAN  还有coho小哥哥 因为BABY的事让我好爱他~~            
(NA)	 这一季亮点不少，但是看了好久啊。。。。            
(5星)	 为MAD COW的裤裆干杯XD            
(3星)	 特别喜欢Jeffrey Coho。            
(4星)	 真好看            
(4星)	 老爷子Denny太欢乐了！Alan Shore 很有爱～～～            
(5星)	 里面的人都很聪明 很有魅力 各种价值观的碰撞 相当精彩            
(5星)	 阳台只能是属于两个人的            
(5星)	 The legend lives on for flamingos~Alan Shore&amp;Denny Crane            
(5星)	 political forum             
(3星)	 对方辩手支持法律，己方是人性化            
(5星)	 看见alan就亲切 就像我们家eason那个女王蜂当然魅力十足了            
(4星)	 突然觉得brad很可爱            
(4星)	 23集里的关于牧师接纳移民的结案陈词很精彩，当Alan Shore深情的说到他的祖父将踏入美国土地的那天视为自己一生中最幸福的日子，当Alan Shore 回忆起祖父的眼神时，感到自己无比的庆幸，美国曾经有过这么一段辉煌。他恳请陪审团在讨论时重现美国曾经的荣光。本季印象最深的一段            
(5星)	 fabulous!            
(5星)	 We are flamingos！            
(5星)	 17 18集太灵了！            
(5星)	 怪手哼片头曲好欢快~alan shore~            
(4星)	 接着看            
(5星)	 You have to be yourself.            
(5星)	 我太喜欢了，想收集完而已。            
(5星)	 聪明人做聪明事。            
(5星)	 ……神剧！            
(4星)	 Mr. Coho             
(5星)	 wisdom            
(4星)	 第三季的故事性更强了一些，比较好看。            
(5星)	 It is all that I can dream of.            
(5星)	 不JP不存活~ 越JP越好看。。。&gt;&lt;             
(5星)	 越来越喜欢的Denny Crane. 我们是不是也能有一天，介绍自己时不用任何累赘，只是淡淡地说，Denny Crane.我们是不是也能有一天，名字本身就是一个传奇，用不着半分注释。我们是不是也能有一天，两个单词就能战胜所有喧嚣，就能让所有目光停驻。            
(5星)	 couple            
(5星)	 折服了。沉迷了。            
(5星)	 pure brilliance。。Mr.Coho to infinity and beyond =3= 他走的时候居然眼眶湿了。。            
(4星)	 这季光顾卖腐了，denny！            
(5星)	 最喜欢的一季！            
(5星)	 伟大的电视剧~            
(4星)	 喜欢EP11            
(5星)	 oh brilliant!            
(5星)	 可以很地道的学习美国英文以及美国文化            
(5星)	 太费脑袋了 绝对是人生观世界观的一大挑战 累死我了            
(5星)	 Denny Crane  Shirly Schmitho            
(3星)	 有点重复但感觉还不错            
(4星)	 有什么理由比Alan更重要……            
(5星)	 随着年龄的增长,女人的魅力得以增加,而男人只能得到那日益臃肿的肥胖身躯.            
(5星)	 better and betterbtw,kind of like Jeffry Coho            
(5星)	 把剧本下下来背            
(5星)	 集集经典            
(5星)	 力荐            
(NA)	 依然精彩继续K第四季            
(5星)	 明白了一个道理：女合伙人是让人生厌的            
(5星)	 BL            
(4星)	 我尤其喜欢这一季的第十八集            
(4星)	 接着看……            
(5星)	 哪个好心人把这么好看的BL加上来了！            
(5星)	 Legal            
(5星)	 第三季相当优秀啊~呵呵~            
(5星)	 上课看的哎            
(5星)	 经典之作啊！人物性格太鲜明了！            
(5星)	 这季alan终于有输的案子了。等我到了五十岁要是能有schmidt的风范就好了！！刚柔并济的女王蜂啊！batheny和怪手真是点睛的人物啊！            
(4星)	 如果每一季都出二十多集我很怀疑我还能不能坚持补完整部剧啊（┬＿┬）            
(5星)	 James Spader竟然52了？            
(5星)	 flamingo!!!!            
(3星)	 真心不是我的菜呀            
(5星)	 一如既往的好，赞！            
(5星)	 和Friends并为我最喜欢的两部剧。全5季，中间几季是最精彩的，尤其是第二季如果我没记错的话。            
(4星)	 律政剧的经典，可惜前两季不太好找，偏偏三季开始人物滑滑的变动，有些会有点OOC，但是专业性还是很强的，各个律师的诉讼风格也还各有特点。            
(5星)	 陪伴我大一暑假的神剧！~神剧啊~Orz~            
(NA)	 Denny and Alan            
(NA)	 这是我最喜欢的律师剧，虽然最后一季有些坑爹。Alan and Denny             
(4星)	 终于看出点味道了            
(5星)	 perfect actors, perfect defense, perfect scripts.            
(3星)	 BUZZ 哈哈            
(5星)	 每一集都让你有出乎意料的爆点！精彩！            
(4星)	 like denise &amp; brad sooooooooooo much~~            
(5星)	 经典            
(5星)	 一开始就被第一集的仿真娃娃笑到了。。女人就该像shirley那样可以礼貌又坦荡的对旧情人说i can&#39;t love you anymore。closing不如第二季不过alan扣西装扣子的动作仍然一如既往帅帅帅，赐我一个alan shore吧苍天！            
(5星)	 谢谢波士顿法律和实习医生格蕾，给我的高中和大学初始阳光，让那个总是爱矫情爱装孤独的sb活下去的力量，给了我courage，让我这个懦夫苟且那么多年            
(NA)	 第三季17集denny回忆父亲时播放的 音乐 是叫什么名字？非常好听啊            
(5星)	 still excellent~            
(5星)	 得到的不只是一部剧            
(5星)	 。。。            
(3星)	 非常腻这两人            
(5星)	 有时候我在想可能我喜欢这个剧的原因在于这个剧有底限，而且内核很善良。            
(NA)	 恶意卖萌！！！！感觉不如前两季。            
(5星)	 牛逼依旧，没有之一            
(5星)	 这个拖了好久好久才把最后5集看了            
(5星)	 好多结案陈词听得起鸡皮疙瘩.这季的演员最喜欢，都很有爱~            
(5星)	 最棒的美剧之一            
(5星)	 波士顿所有的牛逼律师都想和老娘们shirly上床            
(NA)	 Alan Denny Shirly  跟他们比 什么哥什么姐都丫的是浮云了            
(5星)	 Alan越发犀利也越发的肥了。            
(5星)	 Love it!!!!!!!!!!            
(4星)	 作为此剧的死忠粉丝，插科打诨的戏（本季真的有加多）再多也不嫌多的。第三季最爱人物由Allan转至Jeffrey Coho啊，尤其是扮巴斯光年的时候。可惜来去匆匆… Denise太狠心了 &gt;&lt;            
(4星)	 看完第三季就不再想看后面的两季了。            
(5星)	 一如既往。            
(5星)	 S0304也太感人啦(&gt;_&lt;)            
(5星)	 Alan Shore ，男人的标杆之一；另外之一当然是Denny Crane 。            
