http://movie.douban.com/subject/1790377/	新娘18岁 낭랑18세
(2星)	 这俩主角都不喜欢 so 看不下去            
(4星)	 哈哈哈 出师表青年诶~            
(4星)	 虽然剧情开头有点夸张，但是属于比较耐看的那种~越往后越喜欢，因为里面还有很多的韩国风土民情的介绍~            
(4星)	 妈妈超级喜欢看。韩智慧笑起来好可爱。            
(NA)	 那个时候我高三，每天半夜爬起来偷看电视的日子一去不复返了呵呵            
(3星)	 太纯情了            
(5星)	 实在太搞笑了。看了好多遍。每次心情烦躁、压力很大时候，都会选几部韩剧缓解压力，此片是备选之一。            
(4星)	 嘿嘿，很搭对～            
(4星)	 在电视上看完的。消遣无聊的好电视。            
(2星)	 都不喜欢            
(4星)	 萝莉与大叔的爱情            
(3星)	 面部狰狞系。。= =            
(4星)	 大叔~            
(NA)	 那个男猪脚很像我某个远方表哥             
(NA)	 搞死 笑死 哇哈哈哈哈            
(4星)	 陪妈妈看的 前面好玩 收尾不咋滴 很不咋滴。            
(1星)	 不需要看            
(5星)	 高中时的最爱，跟姐姐一起。地位相当于初中时一起看的流星花园            
(NA)	 我怎么看过这么多韩剧？？？！！！            
(3星)	 喜欢最后一幕背宝宝的情节            
(3星)	 女猪脚太丑，男的也不咋地~~·            
(5星)	 韩智慧把东健大叔搞到手了，桑心死了            
(5星)	 故事美满 梦啊梦            
(4星)	 搞笑            
(5星)	 看这个的时候 一直在思考关于梦想 那个时候我和贞淑一样还没有除了和喜欢的人结婚外的梦想            
(2星)	 汗颜            
(NA)	 不喜欢别人叫它朗朗与检察官            
(NA)	 不算看过，但是已经熟悉到我不想看了。。。            
(5星)	 每年温习。            
(4星)	 最后竟然分手了...            
(NA)	 搞笑吧            
(3星)	 我对李东健很有爱~            
(4星)	 很幸福呀            
(3星)	 不匝地……            
(4星)	 那时我憨厚            
(4星)	 很搞笑            
(3星)	 女主实在不算漂亮            
(5星)	 超级喜欢...            
(5星)	 虽然女主角有点弱智，但是很喜欢            
(4星)	 好吧，我喜欢韩剧的传统精神。            
(NA)	 其实我理想中的婚姻就是这样的。            
(4星)	 很搞笑，不过不是那么棒~            
(5星)	 很好很好很好很好很好            
(NA)	 看的时候,以为自己就是贞淑呢            
(2星)	 一对真情侣            
(NA)	 前边儿几集还挺搞笑的...后边儿又开始变悲啦...反正偶是陪偶娘亲看的...            
(4星)	 这个韩剧不错            
(5星)	 就喜欢长成大叔这样的!笑起来迷人的!            
(4星)	 年龄差什么的 很有爱 o(*￣▽￣*)o             
(NA)	 其实我可喜欢看这个了哈哈哈            
(NA)	 韩智慧是超可爱的单眼皮美女~~            
(4星)	 在其他省份的轮流播放中，不厌其烦地看了三次，我想要推荐了把，哈哈哈            
(4星)	 但是可喜欢他俩了！！！可惜现在还是分手了！            
(4星)	 李东健当时风靡一时啊            
(NA)	 电视里穷放！            
(3星)	 其实他们是不错的一对            
(3星)	 现在你们分开太可惜了            
(3星)	 也有部同题材的电视剧吧。            
(NA)	 原来我从小到大看过那么多韩剧..            
(4星)	 我喜欢李东健多过张东健...            
(3星)	 ╮(╯▽╰)╭            
(2星)	 讨厌棒子- -            
(3星)	 大叔王道？？？？？？？？=。=            
(5星)	 搞笑哇~~！            
(5星)	 当年主要想看韩智慧。            
(NA)	 哈哈 搞笑            
(3星)	 大叔热的开始。。            
(NA)	 亲切的大叔忽然觉得结婚也不错            
(2星)	 boring            
(4星)	 出师表青年，搞笑地azaxi，\(^o^)/~            
(3星)	 喜欢新娘的性格~            
(2星)	 不知道我妈怎么这么爱看。            
(4星)	 这里面看李东健，多正经啊~~            
(3星)	 后来就不是很好看了。            
(NA)	 那段在医院的台词很俗很感人            
(3星)	 明显标题党。一点都不色情。            
(NA)	 大一暑假            
(3星)	 不太喜欢女主角            
(3星)	 蛮有趣的~ 让我更了解韩国~            
(3星)	 和柚子一起，星空卫视            
(NA)	 韩剧里的经典呐。            
(3星)	 经不起推敲的剧 现在越发觉得恶俗了             
(NA)	 我在走尹贞淑走过的路～            
(3星)	 李东健。像力宏。            
(5星)	 他们分手的时候，我差点就哭了。            
(3星)	 还行            
(NA)	 女人越笨越好命            
(NA)	 开始不喜欢，觉得女主咋长成这样，但是后来很爆笑。            
(4星)	 鉴于我的忘年恋癖好还是给四星了。。            
(5星)	 居然让我在半夜里看得飙泪             
(4星)	 李东健 韩智慧很相配 可惜在现实生活中没有坚持到最后            
(NA)	 06年的暑假，韩智慧好可爱~~            
(3星)	 轻松搞笑类            
(3星)	 成全一对情侣，这部电视剧功不可没~~但是很可惜他们现在分手了~~出师表男子确实演得有点过了，倒是韩智慧很招人喜欢，就是此剧的扮相实在很雷。。。            
(4星)	 李东健那个造型还蛮好看的            
(3星)	 很不喜欢韩智慧 想想男主 坚持看了几集没看下去            
(5星)	 主编说我长的像韩智慧？！            
(3星)	 谁说小眼睛女生一定不好看了。挺喜欢她的。            
(5星)	 我 爱 韩 智 慧 ！            
(NA)	 看过一点点            
(NA)	 很神奇的故事 很可爱的人们            
(5星)	 很开心的看完这部剧的，类似一些爱情童话的味道。            
(3星)	 假结婚桥段戏。。。。。            
(4星)	 又是。老夫少妻            
(3星)	 当年看还行现在就没什么兴趣了            
(3星)	 前面还行~~`后面看着烦躁~            
(NA)	  新娘18岁             
(4星)	 老套的剧情,不过还是很期待地看完.李东健还是很不错的            
(5星)	 笑得很开心            
(5星)	 都说他像李东健。。哈哈            
(3星)	 以前媽媽在看，我也跟著看···            
(NA)	 不错，搞笑。            
(NA)	 韩智慧这这里面蛮喜欢的。            
(NA)	  新娘18岁             
(5星)	 我们家大叔…这是个很能扯的孙媳妇！也很善良！            
(NA)	 很好看            
(NA)	 爱情            
(5星)	 大学时候看的，很搞笑            
(4星)	 新娘18            
(NA)	 如果连你们都可以分手，那么娱乐圈，还有什么不可能？            
(3星)	 一直满偏爱韩智慧的。            
(NA)	 多可爱的一对啊，由戏内走到戏外，可是没能坚持多久。。。影片还是很好看的。            
(4星)	 不太喜欢那两个主演            
(3星)	 唔～            
(3星)	 三里河最爱之一。            
(2星)	 Orz...            
(1星)	 有够烂的~            
(4星)	 媽媽和奶奶喜歡呢 嘿嘿            
(3星)	 咔咔~            
(4星)	 忽然就羡慕了早早结婚的女孩们            
(5星)	 无厘头中的爱情~~ 哈哈哈哈            
(NA)	 经典韩剧之一。韩剧必看            
(4星)	 值得一看的~教会我一些~            
(4星)	 嘻嘻~更喜欢他们俩现实生活中的爱情~~            
(4星)	 大叔与智慧的定情之作            
(5星)	 再看一遍才觉得好            
(4星)	 和我同一天生日            
(NA)	 2007.5            
(4星)	 大叔很不错啊^_^            
(5星)	 最最喜欢这样的故事,可惜人生不可能如此美丽。。。            
(4星)	 贞淑的单眼皮真魅力            
(3星)	 呵呵, 看的时候, 心情不好, 看完以后,我笑了, 然后脸上挂了一滴泪...            
(NA)	 星空卫视看的            
(5星)	 从这出戏开始爱上了东健和智慧，一直都希望他们幸福．            
(3星)	 公司班车上放的，还行            
(3星)	 跟我姥姥看的            
(NA)	 第一次看觉得蛮欢乐的，有被大叔萌到。现在回想真对我当年的口味羞愧！！！            
(NA)	 【2004-01-19】            
(4星)	 韩智慧太活泼了，大叔大叔一口气一口气的叫 搞的那时还成了一股风            
(4星)	None
(3星)	 李东健还是很帅地~            
(3星)	 韩剧永远摆脱不了玛丽苏什么的，不过还好啦，认真你就输了            
(2星)	 没电影版好看            
(3星)	 我幼年时期看的            
(3星)	 小时候觉得李东健好帅            
(3星)	 看了前部分。            
(4星)	 笑死人            
(3星)	 还是喜欢你最初的样子            
(3星)	 男女主都不是很喜欢。。。            
(3星)	 女主角我喜欢             
(4星)	 哎呀我们就喜欢李东健这种长得像好人的大叔咩~~·            
(1星)	 女主好丑啊            
(5星)	 回忆！            
(3星)	 都看了好多次了，电视每次放还得被迫停下来。            
(3星)	None
(1星)	 又是娃娃亲！！            
(NA)	 当年看完之后很萌韩智慧!!!            
(4星)	 蛮轻松搞笑の剧情 可以看看            
(3星)	 就记得背出师表那。            
(3星)	 哦哦 朗朗与检察官            
(3星)	 我竟然看过……            
(3星)	 想念李东健啊……自从弟弟身亡后，李东健低调了不少呢 TAT            
(3星)	 路人一样的李东健。韩智慧和大大拍反转剧的时候比这里好看。            
(4星)	 喜欢韩智慧也。。            
(4星)	 话说“大叔”这个说法应该就是从这里面出来的吧            
(3星)	 喜欢这一对~ 还不错啦~            
(5星)	 大叔 真淑经久流传            
(NA)	 开始马克看过的棒子剧了哈哈            
(3星)	 可惜最后还是分开了            
(NA)	 目前唯一一部和老妈也一起看完整的韩剧            
(2星)	 无语            
(4星)	 女的丑了点            
(3星)	 轻松搞笑的韩剧，还不错，大学好时光啊            
(5星)	 私人回忆            
(4星)	 很好笑            
(4星)	 蛮可爱的配对，正义的检察官配任性小女生，萌呀，年龄的差距反而迸出火花，爷爷也演得蛮感人，我还是挺重视亲情这一元素在戏剧中的作用。            
(NA)	 有拖沓的嫌疑            
(4星)	 那年夏天在上海            
(4星)	 很可爱的女生，以及很不错的帅哥~            
(3星)	 喜欢开头的出师表青年。            
(5星)	 很好看滴            
(4星)	 我只完整看过三部韩剧正好都对我口味这是其中之一。话说穿着那套朝鲜族衣服去见温宝宝的时候身边的藏族姑娘说我很像此剧女主角/__\            
(4星)	 轻松搞笑的漫画风格，女主角长的很喜庆啊            
(2星)	 太弱智了            
(4星)	 很有爱            
(3星)	 一般            
(4星)	 居然有很多人说我和韩智慧很像。。。            
(NA)	 女主角满可爱            
(4星)	 我家老妈很喜欢的一部韩剧，原先是陪妈妈看的，后来发现还蛮好看的，不过结尾就不太好了            
(5星)	 最美好的记忆伴随下的韩剧            
(4星)	 我妈看这个看疯了            
(3星)	 逗            
(NA)	 重庆台的翻译：朗朗与检察官。。突出老中心            
(NA)	 其实他们2个很配呀            
(4星)	 出师表大树            
(5星)	 从那时变成大叔控~            
(3星)	 为神马叫朗朗与检察官？朗朗是哪个？            
(4星)	 挺好的啊，笑笑不错            
(4星)	 韩剧嘛，当然就是小平淡小无厘头和大开心啦            
(4星)	  18岁又怎样            
(4星)	 韩智慧还蛮可爱的            
(4星)	 男主角不帥，女主角不漂亮，但是看得開懷            
(NA)	 恶趣味            
(3星)	 幼稚的。            
(4星)	 哎 突然觉得这部韩剧挺不错 难道是因为放假在家无聊至极？            
(5星)	 我真的覺得他倆很配.            
(NA)	 这俩是活宝            
(3星)	 .......            
(5星)	 高中的时候看的，怀念阿            
(4星)	 女主角在剧里好丑。李东健 好帅。哈哈。            
(5星)	 无敌好看的！！！韩智慧啊~~~            
(3星)	 一般逗            
(1星)	 真的就是讨厌你没道理。            
(4星)	 好喜欢韩智慧，眼睛小小、笑容甜美，十足一个可爱懂事的小女孩。剧里的大叔虽然不解风情，但总也是个很有男人味的人，为了心爱的女人可以牺牲自己，很值得依靠哦~~            
(4星)	 太搞野啦            
(3星)	 重点是 李东健            
(3星)	 演员丑了点。            
(4星)	 迷上东健OPPA的开始``            
(3星)	 喜剧当时看还蛮好            
(4星)	 很可爱的一对，还有那个徐检察官蛮搞笑的            
(5星)	 我爱爱爱爱爱            
(3星)	 很搞笑~            
(4星)	 很棒！！！好爱~~~~            
(NA)	 似乎叫《朗朗和检察官》有一段时间，看了特别开心            
(4星)	 检察官大叔啊~            
(5星)	 嘿嘿~~            
(3星)	 出师表比较有新意            
(5星)	 我爸特爱看这个~~            
(5星)	 好玩            
(4星)	 我觉得挺好的，比什么咖啡王子好多了。            
(3星)	 他们2个现实生活中也是一对~            
(3星)	 我在很早很早以前和妈妈一起看的=v=            
(3星)	 到后面确实没什么意思。            
(3星)	 很喜欢的两个人.            
(4星)	 小酸楚 小温馨 小甜蜜            
(3星)	 这个很好笑哈，喜欢韩智慧，单眼皮的美女和我的韩国老师好像超可爱的^_^            
(3星)	 这女的太搞笑了            
