http://movie.douban.com/subject/2301032/	射雕英雄传 射鵰英雄傳
(4星)	 朱茵算是最美的黄蓉了吧，这版比较忠实原著，挺好看的            
(2星)	 我靠那穆念慈丑的那叫一个惊天地            
(2星)	 还我杨康穆念慈            
(5星)	 爱死朱茵啊！黄蓉的一颦一笑简直让我痴迷啊！相逢恨晚啊 绝对是最好的射雕版 一定要看粤语版的！http://is.gd/RdI69F            
(5星)	 我爱死这一版的朱茵了~~            
(4星)	 心目中真正的黄蓉            
(5星)	 爱这版的射雕。            
(5星)	 我觉得应该把83版的和94版的各挑出一堆人来，联合出演，绝了～            
(4星)	 大仙版的射雕，记忆很深的就是大仙的郭靖，真的痴，也真的像是大智若愚；朱茵的黄蓉也挺好的，娇俏，神雕的郭襄反倒不及她；罗嘉良的杨康和关宝慧的穆念慈没有一点印象，很久以前看的，也只能记得靖蓉了。            
(5星)	 其實這是我第一部射雕            
(5星)	 没看过传说的那个版本，所以这个是最爱~            
(NA)	 最喜欢的一个版本            
(4星)	 这个版本还不错的，人好看！            
(4星)	 是83版以后最好的一版射雕            
(4星)	 朱的黄蓉很好呀            
(5星)	 张智霖 朱茵             
(5星)	 朱茵版黄蓉大好！            
(4星)	 这女人其实很漂亮。            
(3星)	 完全是去看朱茵的。            
(5星)	 最爱最爱最爱            
(NA)	 跟我妈一块儿看的。            
(4星)	 最喜欢的射雕的版本；大酒窝郭靖哈可爱^^            
(4星)	 朱茵好美啊。            
(4星)	 挺喜欢这版            
(4星)	 一直觉得朱茵姐姐是最美的黄蓉，不喜83版本的            
(4星)	 过。            
(5星)	 李添胜的班子啊~~啧啧啧啧 我的wayne lai~            
(3星)	 小时候跟爸爸妈妈一起看的            
(4星)	 逊色翁版，但是比后面几版都好            
(NA)	 原来认为朱茵会和张智霖结婚的 靓靓也不错啦            
(3星)	 这版的黄蓉感觉很贴合角色。但杨康念慈太差了。            
(5星)	 细个果时睇完日日幼稚园放学都要妈咪买郭靖既闪卡比我！！！我同野原向日葵真系有得挥了！            
(5星)	 最爱黄药师！            
(5星)	 最爱呀~~            
(3星)	 处女男+天蝎女，射手男+水瓶女            
(3星)	 总是听大人提起“想当年啊……”            
(NA)	 其实这个版本也还不错啦~ 朱茵和张智霖都还蛮到位~            
(4星)	 最喜欢这个版本了！结尾那句话，非常令我动容            
(4星)	 朱茵,可人            
(3星)	 2003.8.12            
(NA)	 当时因为TVB的时代剧而很迷罗嘉良，不过精英男在这里装傻总归有点诡异……朱茵版本的蓉儿老实说挺不错的。            
(5星)	 朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵*朱茵            
(5星)	 iptv上看了一个礼拜加一次通宵会不会被基友看不起&gt;&lt;但是真的很好看嘛扭来扭去83版太港了翁美玲傻乎乎的绝逼比不上朱茵闹            
(4星)	 我好爱这版的射雕，百看不厌啊，我心中的黄蓉只有朱茵。            
(2星)	 朱茵明显没有翁美玲演的活，编剧也没有让黄蓉和郭靖的情感 有一个发展的过程，几乎是一见钟情，烂透了。            
(5星)	 朱茵的黄蓉其实很不错。郭靖杨康就算了。            
(4星)	 好看            
(4星)	 其实不比83的差啦。            
(4星)	 我挺喜欢这个版本··对朱茵印象非常赞·            
(NA)	 这是我最喜欢的一部射雕英雄传~！            
(5星)	 这是我觉得最好的一版，演员很到位，除了穆念慈            
(4星)	 虽然黑了点，但她还是我心中最佳的黄蓉人选。            
(NA)	 最喜欢的一版。。。            
(4星)	 朱茵真好看            
(3星)	 只是为了黎耀祥这个老顽童去看的。。。            
(4星)	 绝配            
(4星)	 朱茵+张智霖            
(4星)	 郭靖、黄蓉印象深刻            
(4星)	 朱茵和翁美玲都是黄蓉的不二人选，现在看看83版的射雕，经典在哪            
(NA)	 自认为是最好看的一版……            
(5星)	 真的好。。。我看了好几遍            
(5星)	 说实话我最喜欢的是张智霖朱茵版...            
(5星)	 爱死朱茵。            
(5星)	 两个主角选的很好！            
(4星)	 我比较喜欢这一版            
(4星)	 再来一遍            
(5星)	 不知为何 独倾慕这一版的靖蓉             
(4星)	 喜欢~~因为张智霖和朱茵都是我超爱的~             
(5星)	 最喜欢初版和这版            
(4星)	 小郭靖，配黄蓉，后面跟着个老顽童……这一部才能称得上是经典~情节基本保留，连台词也基本没有改动~郭靖黄蓉的出彩程度自不必说，就连洪七公老顽童欧阳锋欧阳克杨康也是熠熠生辉~洪七公专业户刘丹，膜拜~顺便恭喜老顽童经典黎耀祥拿了09年的TVB视帝~            
(5星)	 最爱这版郭靖。            
(5星)	 我太喜欢这一版的射雕了            
(NA)	 高一每天晚上等教育台.            
(4星)	 我就喜欢这版，怎样？            
(5星)	 傻傻嘅嗰位.            
(3星)	 就外貌而言真是最顺眼的郭靖黄蓉了            
(5星)	 很经典~朱茵演的很好~张智霖也很棒            
(2星)	 女主角不灵 @@             
(NA)	 没有什么记忆了            
(5星)	 不是经典，却是最爱            
(5星)	 这的射雕中我比较喜欢的 朱茵很适合演黄蓉            
(4星)	 虽然播的晚了，但还蛮喜欢的……            
(5星)	 俏黃蓉。。。黃老邪很帥呐            
(3星)	 最顺眼的男女主角            
(3星)	 一般，可以看            
(5星)	 ~爱。            
(4星)	 看的时候极爱朱茵。我没看过其他版本，所以推荐这版。            
(4星)	 经典            
(4星)	 自此喜欢上黄蓉            
(3星)	 冲着甜美的朱茵给个3星吧，其他统统乏善可陈            
(2星)	 看得我头疼。            
(4星)	 都是被李亚鹏和周迅惹的            
(3星)	 朱茵真美。            
(NA)	 张智霖的性格很郭靖的            
(4星)	 卡司喜欢，张智霖+朱茵...            
(4星)	 没看过83版的射雕，这个94版的感觉不错，朱茵和张智霖都比较贴近原著的人物，改编也比较忠于原著，除了穆念慈一如各港版一样姿色平庸以外其他地方都很优秀。            
(5星)	 这个版本里的黄蓉堪称经典~~~~            
(4星)	 除了这里面的穆念慈，其他人都很喜欢            
(4星)	 最喜歡的射雕 最喜歡的黃蓉            
(4星)	 我對朱茵版的印象其實更深，黃蓉在我腦海中的樣子就是朱茵那樣。            
(NA)	 【1994】            
(NA)	 张智霖的郭靖有时候会让人觉得杨康附体，朱茵的黄蓉虽然很可爱，但还是不敌翁美玲留下的深刻烙印。            
(NA)	 对于没看过83版的我来说，这部片子的两个主角已经很符合我心中的黄蓉和郭靖了！            
(5星)	 朱茵好靓女！！！ 穆念慈真是丑得个惊天地泣鬼神啊！！！            
(4星)	 除了坑爹败笔的马脸+绿豆眼穆念慈……这版的郭靖和黄蓉是我的最爱~老鼠屎坏一锅汤啊~哎            
(3星)	 朱茵跟翁美玲比还是少了一点灵气=。=  虽然我也很喜欢……            
(5星)	 这是我这辈子看过的最经典的射雕。            
(4星)	 看的第一部射雕，那会儿好爱朱茵！！！！！！！！！！！！            
(5星)	 传神            
(NA)	 朱茵是我最喜欢的一版黄蓉 老叫花和老顽童也赞 就是罗家良你（。）还有华筝你（…）            
(5星)	 !            
(5星)	 90后看的都是这一版永远的最爱！！！！            
(5星)	 还是最喜欢这一版射雕            
(4星)	 朱茵版的黄蓉相当经典            
(5星)	 这个版本我觉得最经典。            
(5星)	 张智霖。            
(4星)	 其实这个版本才是最好的啊！83被神话了            
(5星)	 最爱的版本            
(5星)	 最好的一个版本            
(5星)	 最喜欢朱茵版得黄蓉！！！！！！！！            
(2星)	 83版成为不可复制。            
(5星)	 朱茵的黄蓉，无敌！！            
(4星)	 朱茵啊~~经典到不行~            
(4星)	 最靓郭靖黄蓉 哈哈哈哈            
(4星)	 朱茵！！！            
(5星)	 初中时候！怀旧一把系列~相当的怀念！            
(4星)	 主要是因为83版珠玉在前            
(5星)	 也很经典            
(4星)	 看到新版的就想回顾下。            
(5星)	 最喜欢的版本            
(5星)	 最喜欢的一个版本。            
(4星)	 很喜欢94版            
(3星)	 男女猪脚很养眼，穆念慈丑到经典。            
(4星)	 初中时候看的。张智霖和朱茵真好看。            
(NA)	 张帅演这个实在是聪明伶俐略欠黄蓉。            
(5星)	 演员、技巧综合来说的话，应该是最棒的一部射雕了~张智霖很有郭靖那种憨厚（非迟钝）善良的感觉~随剧情而来的配乐很让人沉醉~            
(5星)	 和翁美玲版的不相上下。不错不错！朱茵演的很好！            
(4星)	 靖哥哥蓉妹妹            
(5星)	 张智霖最帅！            
(5星)	 喜欢这个版本的郭靖和黄蓉            
(4星)	 朱茵的确是最美的黄蓉。            
(5星)	 这版的靖蓉彻底符合我心水了            
(4星)	 张智霖老可爱            
(3星)	 简陋，但张智霖很不错。            
(4星)	 姐姐租了碟来一起看的。其实这版也不错，朱茵那时候也很灵            
(3星)	 唉，那什么我太萌娃娃脸小男人了。。。            
(4星)	 其实对我而言 这版比83的拍的好 但是83太经典了 大家普遍先入为主            
(3星)	 还不错，蛮好看的            
(NA)	 在我心里张智霖和朱茵版的才是经典啊。。            
(4星)	 朱茵美啊            
(NA)	 补：哦呀呀呀张智霖~~~~~            
(NA)	 最好的一版            
(4星)	 最喜欢这版~~~            
(4星)	 我会降龙十八掌那个动作~~~            
(3星)	 没办法 就是不喜欢郭靖和黄蓉。。但是朱茵和张智霖都喜欢呀。            
(5星)	  张智霖太帅了            
(3星)	 其实朱茵美貌且灵气~            
(4星)	 一直觉得这是最好的一版射雕。。。朱茵把黄蓉的慧黠诠释得几乎完美。。。            
(5星)	 5颗星全是给朱茵的            
(4星)	 给朱茵多颗星            
(4星)	 比大陆的强多了！            
(3星)	 遥想当年的张智霖~            
(5星)	 相对83，其实更喜欢94            
(5星)	 还是这版经典~~大团圆结局，真好~~            
(3星)	 3次。            
(NA)	 我曾经不止一次地质疑过，郭靖有必要长得这么美型吗？这让靠脸混的小王爷杨康情何以堪？但是我旋即了然了，里面罗嘉良虽然不如张智霖帅，但是配里面那个旷古烁金的穆念慈实在是绰绰有余了。而朱茵是大美女，自然要找大美男来配~能想到这一层，我很为自己的智商洋洋得意。。            
(4星)	 最欣赏黄药师！            
(5星)	 温习完一遍,觉得华筝好可怜,一个人背负着害死心上人母亲的内疚到西域终老...            
(4星)	 经典之剧            
(4星)	 最喜欢的蓉儿            
(4星)	 ……            
(5星)	 又是经典啊            
(5星)	 喜欢的版本            
(4星)	 还好。            
(5星)	 朱茵妹妹~            
(3星)	 SOSO            
(NA)	 我感觉朱茵演得蛮好。            
(4星)	
(5星)	 最爱的一版射雕。            
(3星)	 小时候很喜欢的。            
(3星)	 那时候的朱茵真年轻。            
(5星)	 原版配音版都看过无数遍了啊！            
(4星)	 还行            
(3星)	 和83版比差了点。            
(5星)	 最喜欢这一版            
(NA)	 其实一直都蛮喜欢朱茵的。黄日华真的很有大侠气质。其实我真的不太喜欢郭靖这个角色。            
(4星)	 我喜欢朱茵~~这才是黄蓉么            
(4星)	 再也不想看金庸了            
(4星)	 蛮喜欢张智霖的            
(NA)	 还是喜欢83版            
(4星)	 我和我妈都觉得这版本的穆念慈觉得是最丑的            
(4星)	 纯净            
(2星)	 罗嘉良们可以放心了，毕竟你们顺着剧本走了一边，任务完成，虽然很不完美            
(5星)	 最喜欢的一版            
(2星)	 黄蓉变成了小黑妹            
(3星)	 我们这代人心目中的金庸经典            
(5星)	 最喜欢的金庸作品。            
(5星)	 这个版本其实最贴近原著，内牛            
(5星)	 朱茵很漂亮的！！！完美黄蓉！            
(3星)	 这也比大陆的好看呀~            
(4星)	 我还是喜欢这版            
(4星)	 看得不完整            
(5星)	 那个憨憨傻傻的靖哥哥~~~            
(4星)	 朱茵版黄蓉也不错，就是不喜欢这个张智霖！            
(4星)	 很喜欢朱茵和张智霖这个版本。朱茵真的很适合黄蓉这个角色，私人感情。            
(NA)	 其实这一部很好啊。            
(3星)	 重新看了一次，张智霖还不错。            
(5星)	 为什么这个版本都不受欢迎呢？            
(4星)	 老罗的形象般般,场景依旧简陋啊~            
(NA)	 初中（？）时候看的，这个靖哥哥真不错 &gt;///&lt;            
(4星)	 这个版本很不错，            
(4星)	 35            
(3星)	 陪姆顿一起无聊            
(3星)	 还行            
(5星)	 经 典            
(NA)	 朱茵演的应该说很不错了！里面的杨康穆念慈是丑到一块去了~看得我心发怵~            
(5星)	 朱茵的黄蓉最好了！            
(5星)	 同样欣赏。            
(3星)	 有比较有差距            
(NA)	 还行            
(2星)	 郭靖太聪明，黄蓉很平庸，杨康烤白薯，念慈大姨妈- -            
(5星)	 我最喜欢的版本            
(5星)	 小时候很怕梅超风            
(4星)	 好想回到小时候 那会儿电视上随便放什么都好看            
(4星)	 这部也很不错~~朱茵好看~~            
(3星)	 朱茵很漂亮...张智霖也挺帅...            
(4星)	 主要是因为朱茵 还有一点张智霖            
(5星)	 金庸！港剧！            
(3星)	 男才女貌，可惜朱茵身上有翁美玲的痕迹            
(5星)	 喜欢！            
(4星)	 最喜欢朱茵了~            
(3星)	 朱茵还行            
(4星)	 喜欢朱茵演的黄蓉～            
(4星)	 其实这个版本才是我最喜欢的            
(NA)	 百看不厌            
(3星)	 感觉跟83年版的好像啊            
(4星)	 意外地挺好看的~除了穆念慈的颜- -            
(5星)	 看来看去，拍来拍去，这版的郭靖最出彩。            
(4星)	 每个人都很搭，            
(4星)	 爱死朱茵阿！            
(4星)	 94版的也是很不错了，但在大家心里仍然不敌83版的经典。个人认为此版郭靖黄蓉也不输老版，但捞家的杨康没有三哥的妙。两版的穆念慈都平平。83版的东邪和老顽童相比要好过94版些！            
(4星)	 朱茵当年的小绿裙子惊艳死我了！！！            
(NA)	 我爱的那版            
(5星)	 不知道看了多少遍啊            
(5星)	 好看！！！！！！！！！！！！！！！！！            
(3星)	 选角弱爆了！！            
