http://movie.douban.com/subject/2221708/	永不瞑目
(4星)	 海岩总喜欢把一些很沉重的东西压在男女主角身上，好象不这样，他们的爱情就不会有考验。这也算是海岩自己的风格吧，这也是日韩青春剧里所看不到的~~            
(3星)	 最风靡一时的海岩剧了吧，那会儿好像还不叫海岩剧呢吧。            
(3星)	 什么理由也不要去碰毒品。            
(4星)	 经典姐弟恋，悲剧。            
(3星)	 陆毅那个时候明明很帅啊，怎么就残了呢            
(4星)	 苏瑾美            
(5星)	 为什么再看呢？因为年轻时候的陆毅长的很像我小时候喜欢的男生，那时候喜欢脸长的，除了尔康            
(4星)	 一切都与年轻有关            
(5星)	 当时喜欢的不得了            
(4星)	 最早时在电台里听过小说 电视剧也好看            
(NA)	 算作是我 也会爱上欧庆春的            
(5星)	 海岩剧复出江湖～            
(3星)	 剧情编的还是很烂的，然而它发起了王道的姐弟恋，推倒所有阿姨吧！正太们！            
(5星)	 高中时觉得电视剧里的陆毅好帅好性感！现在的陆毅我喜欢不上了。            
(3星)	 我对陆毅这么多年都烦            
(4星)	 还成            
(3星)	 陆毅的成名作吧。            
(4星)	 很作的            
(NA)	 跟着大伙儿一块看的 一直不喜欢陆毅那德行            
(3星)	 其实我只看过一点点            
(NA)	 喜欢啊，还特意去了次司马台            
(4星)	 初中，呵呵            
(4星)	 袁立以前多漂亮啊。            
(4星)	 更快记不起来了            
(NA)	 又是一个不小心            
(5星)	 吻别一幕印象深刻。爱，令所有人尴尬侧目            
(4星)	 跟我爸两人看得抱头痛哭的剧。            
(NA)	 看!!!!! 肖童!!!            
(4星)	 孙红雷最牛比电视剧            
(NA)	 多年后觉得，欧阳兰兰何尝不是与肖童一样令人心疼。            
(NA)	 补遗            
(4星)	 王志文的画外音~~            
(4星)	 年轻时的陆毅            
(5星)	 还是那句“我只是想抱抱你”            
(3星)	 高三那年因为听了广播剧所以把电视剧也看了，苏瑾的大姐脸挺对的起欧庆春这名字的，陆毅也还年少，袁立倒是好看            
(4星)	 大爱海岩哟~            
(3星)	 海岩            
(4星)	 小学时。。当时的陆毅可是很萌的。苏瑾也非常御姐。            
(4星)	 看看青春的学生是如何被社会成熟人士勾引的            
(3星)	 不喜欢男女主角            
(2星)	 一直以来都很讨厌陆毅。            
(4星)	 苏瑾演的好蹩脚，但是总的不错。            
(4星)	 看到最后 泣不成声            
(4星)	 10——8分。一次很无聊地问胖胖，陆是不是那级里最早接戏的，胖胖说不是。我问谁最早，他说是他本人。他比陆早了半个学期拍戏，他才是学校最早特批的学生。我汗。。。            
(4星)	 路易可帅了            
(3星)	 青涩的LY。            
(5星)	 第一部海岩剧            
(NA)	 夸张            
(4星)	 四星半！接近经典警匪言情片，缺点是卧底太理想化            
(5星)	 大爱袁立！            
(3星)	 男女主角都不是我喜欢的...仅支持海岩同学            
(4星)	 我那时上小学，然后觉得……感情……其实很让人难过……            
(NA)	 就是喜欢袁立            
(4星)	 这么早以前的东西了。。看的时候觉得还不错            
(4星)	 那时陆毅真是纯真小伙儿，袁立真有气质！            
(5星)	 当年觉得陆毅可帅了~！            
(3星)	 戏剧冲突强烈，值得一看            
(NA)	 那年的陆毅啊~            
(5星)	 确实比海岩现在的好看吧            
(4星)	 小时候看的，只记得陆毅当时很青涩很帅气，袁莉很任性            
(4星)	 成就一个陆毅一个袁立            
(3星)	 不要亂吸毒            
(5星)	 虐            
(3星)	 陆毅那张蛋疼脸~            
(4星)	 高中物理老师当时说我像苏瑾。一个年仅17岁的女孩纸被人说像三十多（是三十多么？）的女演员，这是一种怎样的复杂心情……            
(3星)	 又是和妈妈一起看滴            
(4星)	 当是就觉得，陆毅好帅。            
(NA)	 限制级限制级            
(4星)	 从这部片开始讨厌陆毅，一股子阴柔的腐败味道~我记住的是欧阳兰兰            
(4星)	 结局我不爱            
(4星)	 那时候还不懂            
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 陆毅当年真是帅啊，袁立也真是招人喜欢啊，苏瑾长的也真是好像DY啊~            
(4星)	 当时的陆毅好青涩啊            
(4星)	 我妈还没买了书            
(4星)	 初中时最爱看了            
(3星)	 居然有孙红雷都没印象了·～            
(NA)	 实在。。。不喜欢欧庆春。。            
(5星)	 心中五星电视剧之一。            
(4星)	 又捧红了一个大帅哥！            
(4星)	 我那时候觉得苏瑾好漂亮陆毅好帅            
(3星)	 只看了几集            
(4星)	 啥叫克夫            
(3星)	 水瓶女+摩羯男+巨蟹女            
(2星)	 當陸毅還嬰兒肥的時候。。。            
(NA)	 老妈看的，中年妇女催泪弹，搞得我这样旁观的群众很尴尬。女主演很漂亮，还是御姐+制服，不要说是演好人，就算是坏人，真的坏人，也能迷死不少纯情少男吧。要不怎么叫人性的弱点呢，哇哈哈哈……            
(NA)	 还挺小的时候看的，记得当时可觉得特好...            
(2星)	 我真心不喜欢陆毅            
(NA)	 断断续续的吧，高三了，记得。陆毅第一部，他自己永远没办法超越自己了            
(3星)	 幸好我家坤儿没演肖童 那苏瑾跟大妈似的            
(5星)	 印象较深的大陆片。            
(4星)	 老早看的            
(4星)	 肖童。。。。            
