http://movie.douban.com/subject/2279941/	九五至尊
(5星)	 有男女兩條gay線啊。。。好少見            
(3星)	 gay和les情节            
(4星)	 比现在的TVB剧好看多了            
(4星)	 从2000多年的帝王到驰骋商场的谋士，雍正这个人，攻于心计，但忠一不二，体恤民情，还是人才。            
(4星)	 好喜欢李大虾（雍正）啊！江华太适合这个角色了 张可颐简直瘦死了 有点像郑秀文  刚穿越来的那段问宝飞表叔的戏差点笑晕过去。。            
(4星)	 大虾走路还是很有范儿的            
(4星)	 爆笑，好看，推荐            
(4星)	 开头真是笑死了，穿越到现代一板一眼的雍正好萌，怎么现在才发现江华叔叔他原来这么棒！（周末重温苗翠花吧=333=            
(5星)	 故事背景虽然荒谬，但依然有很多亮点在，近年来的港剧实在惨不忍睹。            
(4星)	 剛開始那會兒 真是看上癮了 后來就越來越不咋個好看了。。。             
(NA)	 我记得是不好看的。            
(4星)	 能让我想起来再看一遍的，总是不错的。江华演技出众，可惜这部戏的格局小了些。            
(4星)	 雍正是绝种好男人！            
(3星)	 小時候有一段時間是迷港劇的..江華這時候已經沒有&lt;&lt;春約&gt;&gt;那時那么迷了~            
(4星)	 居然还不错            
(5星)	 无敌搞笑~~~            
(4星)	 两个女人我都喜欢            
(3星)	 笑死了都快            
(NA)	 不错！            
(3星)	 张可颐永远是程英，叶晓冰，欧雪儿是最美，最清秀脱俗。            
(4星)	 每晚打发时间边上网边看江苏卫视，感觉还行啊。            
(4星)	 爆好笑!李大蝦            
(4星)	 很有喜感            
(4星)	 哈哈哈哈            
(4星)	 好看！！江华不愧是皇帝专业户，走哪都是一出戏。            
(5星)	 永远的四娘！            
(5星)	 意外好看的            
(4星)	 江华真的很有皇帝的气质。2小姐也非常有侠女风范~特别是刚来现代他们说话那么板真的搞笑死~TVB的通病中间拖沓。而且奸角转变迅速。那栋别墅外景现在还在用~里面穿插两段JQ果然开放~还好是个happy ending~            
(4星)	 江华帅爆了            
(4星)	 不需要动脑子的03年娱乐片儿，穿越、GAY、LES样样俱全            
(5星)	 江華演得好好呀。            
(5星)	 童年記憶啊童年...            
(4星)	 够欢乐的片儿，江华蛮帅的。我就不明白了，这么一个形象气质俱佳的帅锅，怎嘛总是屈居二线呢？            
(3星)	 穿越劇啊            
(3星)	 看了11集没啥大意思，弃            
(4星)	 还行哎~            
(4星)	 挺好玩，前面几集不错。            
(4星)	 难见这样的港剧            
(4星)	 很好看啊             
(5星)	 以一个INTP看来，剧情和设置背景都精彩绝伦，穿越这一卖点都是被比下去的。而且还有两GAY线，一HE一BE。= =，哦啊哈。            
(5星)	 一部不可多得的港剧，剧情好，视角好。            
(4星)	 超搞笑。遗憾是，结局有些仓促。            
(4星)	 20集的篇幅，融合了古装、时装、商战、家族、爱情、喜剧等诸多元素，很精彩。最喜欢看男女主你一哼我一哼，高劲和舅舅等喜感人物我还蛮喜欢的            
(NA)	 张可颐在里面特傻            
(4星)	 03年的TVB，跳着看了这么久才发现，丫居然是一穿越剧！            
(4星)	 能不爱江华？            
(4星)	 每天四集，如此欢乐。            
(4星)	 太特么逗了...随便看了几集 喷了...            
(4星)	 张可颐超喜欢            
(4星)	 江华的角色很搞笑 片中很与时俱进的添加了gay和拉拉的情节            
(3星)	 哈前卫~~~            
(4星)	 林韦辰啊！为什么62年还要辰呢？              
(4星)	 张可颐原来就是长恨歌里头的王琦瑶            
(4星)	 好穿越阿            
(4星)	 抵挡不住江华的魅力。哈哈。            
(5星)	 人心不变，道亦不变。            
(NA)	 江苏台一天放10集，看了爽色特了~ 增欢喜江华跟张可颐            
(5星)	 作为穿越片的经典，江华和张可颐的书卷气为这个戏增添不少古味。            
(4星)	 江华不错            
(4星)	 没想到03年的穿越能拍成这样            
(5星)	 2010-2-24，家。江华，张可颐，爱死他们俩了~~            
(3星)	 太搞笑了            
(4星)	 这个穿越得厉害了。皇帝终于也穿了。            
(4星)	 出去拜年看了一下午，看得很欢乐XDD就是适合放假看相当之娱乐萨b 当然是绝对不能带脑子去纠结里面的逻辑狗血的o(╯□╰)o            
(4星)	 高中            
(4星)	 江华的大虾好可爱~雍正没有他那么Kind把，剧情层层深入~越看越有feel不错~            
(4星)	 江华演得很好呢~            
(3星)	 香港制造。            
(5星)	 2009,05,26            
(3星)	 结局真好，如果历史真是如此，我们可怜的静官就得救了            
(5星)	 MAGGIE终于罗到迟来嘅视后。宝珠永远经典!!!            
(5星)	 哈哈!            
(4星)	 抵挡不住江华的魅力,你果然是作皇帝的料!风度翩翩,文采风流!绝!            
(3星)	 似乎当年挺喜欢            
(4星)	 穿越！雍正和吕四娘阿~            
(NA)	 看过两遍            
(5星)	 搞笑            
(4星)	 张可颐             
(4星)	 江华和张可颐都表现不俗            
(5星)	 喜欢            
(4星)	 還行吧，有些地方非常搞笑。最後還算感人            
(5星)	 依稀记得很好看啊。不过肯定是虚构的。打发时间不错。            
(4星)	 内地这两年走红的剧集，都是TVB当年玩儿剩下的。            
(4星)	 很好看，特别喜欢江华            
(4星)	 好老的tvb剧了 翻出来重新看觉得江华原来也能这么搞笑啊 哈哈 开头真是笑死了 郑乃九五之尊.... ORZ            
(3星)	 妈的，过去都多久了啊！！你妈的，画面历历在目啊！！！！！            
(4星)	 我就记得这娃四平八稳的龙步了            
(3星)	 午饭剧            
(NA)	 【2003-01-27】            
(NA)	 挺好玩的            
(4星)	 笑死我了！好好看啊~当年的江华和二小姐真年轻~不得不说，雍正这个角色真是各种魅力~            
(NA)	 江华特别适合演那些公子哥儿的角色，他当年还在亚视的时候就曾经演过两个非常深入民心的角色，一个是蒲俊另一个就是沈家豪，后来他到TVB让人印象深刻的应该是寻秦记和金蛇郎君吧，不过他的人生中演得最好的一个角色其实就是江华吧。            
(5星)	 太好看了！情节曲折有趣又和合情合理，每个人的台词都符合他们的身份性情。更重要的是，多看几遍都不会生厌。我喜欢雍正和四娘这对情侣，只有同一时代的人才合适在一起啊。            
(4星)	 穿越剧啊             
(5星)	 第一次看的穿越剧，而且是穿到现代            
(3星)	 江华搞死了，安茜也这么搞太不适应了。。。            
(5星)	 噗……还是有很多职场学问的……            
(5星)	 江华和张可颐都演出了古代人的味道，没有忘记穿越身份，值得大大赞扬            
(NA)	 老早就反穿越啦            
(NA)	 好搞笑啊==            
(NA)	 雍正穿越了……  才看了一集，各种勾心斗角比步步惊心惊心多了。后来看不下去了            
(4星)	 江华真挺帅的 又挺可爱            
