http://movie.douban.com/subject/3087434/	乱世桃花
(NA)	 原来我为了看俞飞鸿忍了那么多片子            
(3星)	 俞飞鸿            
(2星)	 &gt; &lt;小时候 狗血剧 超级讨厌叮当            
(3星)	 其实这部剧很搞 而且那时候我暗恋吴京            
(3星)	 小时候看的啊 好囧！            
(5星)	 五星全给俞飞鸿！！！！小时候超级喜欢看~~            
(3星)	 俞飞鸿真美            
(NA)	 看过有点印象            
(4星)	 小学看的，那时候还真动情了，觉得吴京又帅又可怜            
(NA)	 蛋蛋= = 好蛋疼            
(5星)	 其实翁家明比尔康还要厉害！            
(3星)	 俞飞鸿美死了            
(4星)	 裴少...我的萝莉心诶~            
(NA)	 生下一子…蛋蛋…            
(4星)	 =。=各种历史穿越穿越再穿越。。。吴孟达演电视剧以后就收敛多了，所以导演为了照顾他最后发了个美女给他（误）。。。孙思邈最后炼出来的那个药太非科学了，真的长生不老了我日。。。            
(2星)	 内容记不清了但是小时候好像很喜欢看！！但是映像超深的是在横店看到了现场！！            
(NA)	 这个设定其实很有爱啊～虽然当年没有看完            
(3星)	 俞飞鸿很美啊~~~            
(3星)	 献进宫的那集印象最深了，欲火焚烧的美女在床。            
(1星)	 就毁了俞飞鸿吧            
(NA)	 美人作孽，秦琼也作孽，裴元庆最作孽            
(3星)	 飞鸿姐姐！美美！！！            
(3星)	 蛋蛋……这个名字勾起了我的回忆，T-T好吧，我又看过            
(3星)	 俞飞鸿实在太美了            
(NA)	 很WS            
(3星)	 当年可喜欢俞飞鸿了，真是个美女啊。。。            
(3星)	 我喜欢里面的裴元庆            
(3星)	 美人如玉            
(4星)	 小时候看的剧了~印象还是比较深刻的。            
(NA)	 其他剧情都记不得了，唯独记得最清楚的是俞飞鸿吃了春药然后把吴孟达给上了。。。            
(3星)	 看到俞飞鸿被下药和吴孟达xxoo的时候，我的心都碎了~~~T T            
(3星)	 俞飞鸿好美            
(5星)	 终于知道这个片子叫啥啦。。。            
(4星)	 突然想起来的。剧情已经快记不起来了。只记得小时候超爱看。也因为它喜欢上了俞飞鸿~~~~~~~花痴一下。还有那个可爱的孩子蛋蛋。现在也应该长大了吧。            
(2星)	 我擦 竟然莫名记得孟爷和俞飞鸿有场床戏 太不纯洁了 掩面            
(3星)	 童年经典            
(4星)	 印象最深的是俞飞鸿跳舞的那段，超美            
(2星)	None
(4星)	None
(3星)	 那时觉得俞飞鸿不错            
(3星)	 吴孟达是男猪脚！            
(3星)	 又想说红颜祸水啥的？孩子是家庭和睦的万能胶啊~            
(3星)	 非常喜欢俞飞鸿  很美的气质女人            
(1星)	 童年印象中的烂片。            
(3星)	 记得是在温州某饭店边晾干头发边等我妈同学会回来看的……那时候好喜欢俞飞鸿啊~            
(3星)	 小学。偶滴神啊。。我还看过这个好像。。。            
(3星)	 3星全給俞飛鴻 絕對美人呐            
(3星)	 剧情其实不怎么记得了。            
(4星)	 美丽的俞飞鸿！            
(NA)	 依然是纯喜欢俞飞鸿。小时候看到俞飞鸿的时候，惊为天人！！！            
(3星)	 里面好像有不死人。            
(4星)	 印象最深的是结尾的长生不老            
(3星)	 对于柳絮跟二蛋的配对一直耿耿于怀。            
(4星)	 …………小时候的色情片            
(2星)	 俞飞鸿，万年不变的美人...            
(NA)	 小时候印象俞飞鸿是最美的女人。            
(4星)	 原来是你啊！            
(3星)	 美丽的俞飞鸿            
(5星)	 乱性之佳作啊！            
(3星)	 俞飞鸿是古装美女。喜欢她            
(1星)	 还是小孩可爱啊。            
(NA)	 初中时看的了，从头追到尾            
(2星)	 多一星还是为了寒星恋            
(3星)	 挺不错的古装剧。。。            
(3星)	 跟着爹娘看，那时迷恋吴京。。。。。。。。。            
(3星)	 简直大胆            
(3星)	     最讨厌里面的蛋蛋，为私心刺伤了裴元庆，居然担心的不是裴元庆的性命而是自己的面子，真是让人无语~~~好恶毒自私的小孩。            
(4星)	 红颜薄命，尤其可惜吴京……            
(2星)	 我很orz这种癞蛤蟆吃到天鹅肉……            
(NA)	 囧片……            
(3星)	 那时好稀饭俞飞鸿            
(2星)	 真真一朵鲜花插在哪什么上。。。            
(NA)	 非一般扯            
(3星)	 吴孟达真是糟蹋人啊~            
(4星)	 很早之前看的 记得 柳絮            
(NA)	 当年也迷俞飞鸿            
(2星)	 至此俞飞鸿在我心中的形象一落千丈。            
(4星)	 年少的记忆。俞飞鸿真美            
(3星)	 儿时的记忆实在想不通美女怎么就配了丑男了            
(3星)	 好像是小学的时候看的，不知道自己小时候会看这么无语的片子。那个时候没有选择，所以……            
(5星)	 当年很喜欢。。。            
(3星)	 俞飞鸿美呆了@@            
(1星)	 一星理由一，叮当实在是恶心到我了；一星理由二，俞美人您能不要再装嫩了么，您的面相真的不适合阿            
(4星)	 小时候觉得挺好看的。            
