http://movie.douban.com/subject/3330144/	巾帼枭雄 巾幗梟雄
(5星)	 放假回家才开始看，一口气两天就看完了。跌宕起伏，非常的紧凑，剧情在TVB以往的套路之中，定民生的主题又出于套路。喜欢柴九这种外表吊儿郎当，插科打诨，但是内心有着莫大承担的人啊。喜欢邓萃雯，女人的美丽和实力都是需要蛰伏的，绝对不会有年岁渐长的困顿，时间在面前如空置，把老去当作一种美丽的积累，逐渐自信而成熟。            
(4星)	 人生有幾多個十年。            
(5星)	 不得不佩服编剧的专业，柴九这个角色，换了谁来演都不可能比黎耀祥更出色。             
(4星)	 柴九哥终于当主角了~            
(4星)	 小黎终于主演成功了！ 雯女的片都爱看难得演员都喜欢哪            
(4星)	 多少年了终于有部能看得下去的tvb了            
(4星)	 人生有多少个十年，最重要的是活得痛快！~            
(5星)	 看来看去，还是TVB最能展现人性的深刻面~            
(5星)	 啧啧，最近难得的好片。            
(4星)	 突然觉得黎耀祥某个角度有点老吴的赶脚……            
(NA)	 晚晚追呀            
(5星)	 挺狗血的其实            
(4星)	 有些感情。说不清。            
(5星)	 4.5星，我本来以为不会看哭的.....            
(5星)	 挺轻松，但无回味            
(3星)	 我觉得港剧在看下去，我也能和普罗普一样，归纳出叙事系统规则了。            
(4星)	 不錯不錯~劇情好~            
(5星)	 高潮迭起真的很好看TT。。。人真的不能有歪念 是近几年tvb最好的片，              
(3星)	 看了第二部再看第一部就差那么点了            
(5星)	 应该算TVB上半年最好的一部了吧.雯女耀祥都很好.            
(NA)	 看完。            
(4星)	 好久没看邓萃雯演戏了～            
(5星)	 九哥            
(4星)	 人生有多少个十年。。最重要的是活的痛快。。哈哈            
(4星)	 一星给萎靡不振的TVB终于拍出了个还像话的片子            
(NA)	 2010-06-15，http://v.youku.com/v_show/id_XOTMxNjEwNDQ=.html            
(5星)	 “人生有几多个十年，最紧要活得痛快！”第42届TVB台庆视帝视后，最佳剧集，最佳女配角谢雪心，我最喜爱的电视男角色黎耀祥，飞跃进步男艺员敖嘉年。             
(4星)	 最近两个业余时间都贡献给这片了            
(4星)	 柴九            
(5星)	 邓萃雯越老越有味。            
(5星)	 没想到tvb还是能拍出好剧的            
(3星)	 知遇之恩远比爱情难写，这几个简单的故事的表现力太弱了，而且最后四集整个low掉了，继续了那种“口才好就能赢”的最廉价的编剧方式。不过无论如何还是咬着牙看完了。。。总之有点失望。            
(4星)	 这种片子的通病就是，好人对坏人永远不能横下心来一举歼灭，总留着点后患~这样的好人到最后就变成了没有原则的烂好人。。。。= =            
(5星)	 狗血也要狗血的好看才行！            
(4星)	 狗血得很好看            
(4星)	 雯女就是雯女~~~            
(5星)	 太好看啦。            
(4星)	 邓萃雯演技了得            
(NA)	 第一部最有张力的角色给了黎，柴九。第二部最有张力的角色给了邓，郑九妹。            
(5星)	 果然如ccc说的，这是近年来最好看的剧！看得我和我妈都欲罢不能。个中情愫 必须自己去体会的！            
(5星)	 观剧过程中多次热泪盈眶，剧本扎实有深度，角色形象丰满有血有肉，近年来TVB不可多得的优质剧。            
(4星)	 人生有多少个十年!            
(3星)	 情與義！            
(4星)	 除了剧情演技剽悍，还很大还原了以往中国的社会生态            
(4星)	 不长不短，不快不慢，来着            
(4星)	 人生有几多个十年！            
(4星)	 黎耀祥今年拿奖是实至名归的，除了他没谁能担当柴九这个角色。巾帼枭雄让我有看古装版家好月圆的感觉，不过是由卖饼的改成了卖米的，呵呵～            
(4星)	 适合邓萃雯的角色，黎耀辉继《恐怖鸡》之后，第二次看见的担任主角的片子。            
(4星)	 两个都是实力派。之间既是交锋亦是相知相惜。女人扛得不易，男人挡得坦然。            
(3星)	 柴九哥，够爷们儿...我怎么今天刚看完就忘了结局...健忘..四奶奶，真想你和柴九哥一对啊...可惜啊可惜            
(5星)	 剧本不错。柴九这角色好棒，真实生动。演戏的都是群精儿啊，好犀利，特别两位主角。喜欢主题歌红蝴蝶            
(5星)	 繼家好月圓后最好看的TVB劇 高潮疊起啊! 黎耀祥真會演            
(NA)	 其实，也没有传说中的那么好看嘛。            
(5星)	 这个女人不简单~            
(4星)	 编剧NB，叙事和人物把握得一流（港剧一流！） “人生有几个十年”“人生得一知己足矣！”选角的眼光同样一流，柴九这个角色，真的只有黎耀祥才饰演德如此出彩，非他不可。配角同样出彩。            
(4星)	 不错的，演员老了点。            
(4星)	 这个还挺好看。。btv 看上瘾了！            
(4星)	 邓萃雯！！！！黎耀祥！！！！！            
(3星)	 为嘛大家觉得好看？            
(5星)	 柴九啊柴九            
(NA)	 换大米啊换大米            
(5星)	 能让我一天看十集，不容易            
(4星)	 邓萃雯+黎耀祥 近年来TVB这部算是高品质的了            
(NA)	 典型港剧            
(4星)	 好喜欢蒋乔年轻时候的样子            
(5星)	 这年看的最欢喜的电视剧了，欲罢不能。            
(NA)	 人生有多少个十年？最要紧是活得痛快。好久未见TVB            
(4星)	 没有快进一点从头看到尾的片子。            
(NA)	 我竟然也看过一些            
(4星)	 站在大奶奶的角度，四奶奶真是个冤家对头，天敌，二十多年风平浪静，眼看自己儿子掌权了，突然冒出一个程咬金来，夺宠夺权，步步紧逼，还总站在那里大言不惭地装成救世主样子。没有老四，其他人都不是大奶奶对手，有了她，名不正言不顺都变成顺理成章。。自己儿子偏是扶不起的阿斗，可叹既生瑜何生亮            
(5星)	 卧病在床四天看完，有起伏有演技            
(2星)	  木有看完            
(4星)	 哈哈这几天天天看            
(3星)	 主题曲蛮好听的。两位主角虽然不够靓不够帅，但演技好，很动人。结局不太理想，编剧太狠心了。常有人发帖问他们是不是相爱，我看是。如果一对男女心甘情愿要同生共死还不算是的话，那怎样才算呢？            
(3星)	 港剧啊港剧，一百年逃不出这些把戏。            
(4星)	 喜欢喜欢喜欢邓萃雯~！            
