http://movie.douban.com/subject/3804410/	笑八仙之素女的故事
(3星)	 非常不待见杨若兮            
(3星)	 要不是翻以前的日记还想不起来看过呢- -            
(3星)	 主题曲不错，其他一般，聂远的大耳怪挺可爱，喜欢色色的徐铮            
(2星)	 素女            
(3星)	 徐峥演技还是可以的，算是儿时迷恋何仙姑的一种补偿。看到02年挺惊讶的，依稀记得是过年放假看的，原来刚上大学的我心理还是个小孩子。一晃十年了。            
(3星)	 喜欢徐铮            
(4星)	 杨若兮好好看！            
(5星)	 不知道为什么，感觉很温馨            
(4星)	 搞笑的吕洞宾~~~~遗憾的爱情！！！神仙真的不好啊！！！            
(4星)	 这片儿挺好的啊，反正当时看的时候很喜欢~~            
(3星)	 内容凑合，杨若兮除了普通话不太标准还是挺招人喜欢的            
(3星)	 第一次见到杨若兮，觉得还蛮可爱的~~            
