http://movie.douban.com/subject/4914664/	黑色幽默 黑色幽默Dum Kham
(3星)	 Pong哥的“乡村爱情”，女主路人脸长得还不如女配实在是不能忍            
(NA)	 泰国版的王子变青蛙            
(3星)	 搞笑            
(5星)	 很开心，看到pong的笑容就很开心            
(4星)	 挺轻松的题材，指腹为婚，斗气冤家，失恋同盟，两条感情限都很有趣，双方家长的应对更好玩            
(4星)	 PONG在这里帅得惊天动地啊。变成青蛙的王子还是王子。天生太帅难自弃啊！津津太可爱了。完全搞笑啊。            
(NA)	 有点无语，老是反反复复的误会，就是不解释清楚。            
(5星)	 好看呀！！我家PONG真是太帅~~因为急于想知道剧情~所以前面男主失忆的我就没看~~从后面看起滴~~笑死人了呀~~看到PONG每次耍计谋都不成功的小样！！真是太可爱了呀~~俺家pong穿那件渐变色的开衫真是帅死人不要命啊~~女主不是很好看~~但还就满有味道的~~            
(4星)	 和别的不太一样，有点女虐男。。实在太稀罕男主了            
(3星)	 不算特备好看，但是还可以的，打发时间            
(3星)	 女            
(3星)	 是的，Pong，侬好帅~~~为侬加一星~~~            
(NA)	 pong经常演这样的男主，腻歪了，都是腹黑型            
(3星)	 前半部分还不错。后半部分很牵强。看在pong的面子上给个三星吧。            
(NA)	 我看的时候就更新了5集-不知道现在怎么样了-            
(3星)	None
(3星)	 我是因为pong看这部剧的，女猪脚的演技太soso了。。。            
(5星)	 终于更新完了！！！！！            
(5星)	 蛮搞笑的            
(3星)	 麻麻地            
(4星)	 还是冲着这男人去看的。优质男人~~            
(5星)	 pong~            
(NA)	   很轻松的剧情，不错的选择。            
(NA)	 很搞笑 大爱PONG 眼神太迷人了 剧情很好            
(NA)	 一开始好好笑            
(NA)	 帅哥            
