http://movie.douban.com/subject/2190926/	鉴证实录Ⅱ 鑑證實錄Ⅱ
(5星)	 从这里开始对林保怡的爱一发不可收拾。            
(5星)	 挺林保怡!挺陈慧珊!            
(5星)	 小堂蔡死了。。。            
(5星)	 生生的就把某姑娘弄得死不瞑目            
(4星)	 侦探剧，我的大爱            
(4星)	 小棠菜～～～55555            
(5星)	 主题歌真好听            
(NA)	 小棠菜死我都哭了            
(4星)	 2004,7            
(5星)	 那个时候的最爱。            
(5星)	 经典啊！            
(4星)	 小棠菜你死的好惨啊啊啊啊啊~~~            
(5星)	 经典港剧，高中时代的美好回忆！电视剧里有个小警察角色是蒋克扮演的，我一直觉得他很帅！！聂宝言这个角色我也非常喜欢。            
(5星)	 烈焰在乱灼 灼痛应放手 手偏仍渴望 拥有            
(4星)	 小唐菜死的太可惜了。。聂宝言从头到尾根本就是个纠结体。。。            
(4星)	 三角关系撑场            
(4星)	 有些遗憾            
(4星)	 童年的回忆。            
(4星)	 案件还不错，就是拍摄手法让人太容易猜了…还有，几个人的感情戏写的跟傻逼一样的            
(NA)	 过了快十年。。。终于看完了。。。。原来最后是个悲剧啊。。。            
(4星)	 2木有1好看。=  = 可能探案剧是小时候就种下的种子……泪。            
(5星)	 爱死林保怡了&gt;&lt;最近狂重温他~~            
(4星)	 千万不要认识重案组的人 总有一天会死 比较喜欢曾家原与聂宝言的坎坷恋爱史             
(3星)	 那时不识李姗姗啊~            
(5星)	 还好在一起了。。            
(4星)	 小棠菜的命运就是一个悲剧。            
(5星)	 这种冷饭，隔了十年还是炒得很香...            
(3星)	 现在看起来剧情牵强 小时候老喜欢看            
(4星)	 比第一部稍逊            
(4星)	 最爱小棠菜...            
(4星)	 好看！            
(3星)	 什么七孔流血而死。。。            
(3星)	 如果不把那个什么陈慧珊意淫为宣萱，真的坚持不到看完这个片子。            
(5星)	 小棠菜命很苦            
(3星)	 第一部比较有爱            
(4星)	 小棠菜……            
(NA)	 没什么耐心的了。。。。            
(5星)	 说实话，这部续集拍的真的不错，是我看了最有感觉的。。不像有的片子狗尾续貂。            
(5星)	 太喜欢            
(3星)	 帅哥美女一箩筐。            
(5星)	 我爱破案片~            
(NA)	 经典银幕情侣            
(4星)	 2里面的配角很出众，比如刘凯威~            
(3星)	 小棠菜还是死了            
(4星)	 怨念多年的结果往往是失望。            
(3星)	 小棠蔡。            
(3星)	 给没看过的人罢了~            
(3星)	 每晚和阿咪喝奶茶大睇港剧的日子。            
(5星)	 好看。            
(3星)	 续集也不错            
(4星)	 我能因为小唐菜少一颗心么= =||||            
(4星)	 T T            
(4星)	 开门关门以及聂医生的红晕最是香艳……可如果你是小棠菜怎么办？            
(3星)	 林叔叔喺无线算喺经久弥新的啦            
(NA)	 童年回忆之            
(NA)	 想当年觉得林保怡可像警察了。            
