http://movie.douban.com/subject/4820421/	玻钻之争 แก้วล้อมเพชร
(3星)	 son的演技实在是太木啦。。。不过看在你那么帅的份上，我原谅你。。。            
(5星)	 =。=我也狗血一把            
(3星)	 有够狗血。不过姐最近无聊。。            
(3星)	 太喜欢这部剧的音乐了 九珠是变态到了某种极限。。。            
(NA)	 洒狗血            
(NA)	 里面的人都是猪脑子            
(2星)	 一部节奏比韩剧还慢一倍的琼瑶剧            
(4星)	 本剧翻拍自轰动一时的泰国经典剧集《凤凰血》，剧情在某些情节上似乎更合情合理，但狗血桥段依旧比比皆是。不过我自己还是很喜欢这样的剧情张力，这是其他很多催眠剧无法匹敌的。PS：国内《错爱一生》《换子成龙》两部垃圾剧集剧本均抄袭《凤凰血》            
(3星)	 讨厌了啦！谁来阻止我伸向泰剧的手！！！！            
(3星)	 终于结束了！给力！            
(1星)	 2比女猪除了会哭会哭以及会哭外还会做甚~送一星给该哭的时候也哭不该哭的时依然哭的你❤            
(3星)	 编剧告诉了我，人原来是有蠢死这种死法的，这里面就是在比谁更蠢= =我居然看完了这种剧集，真该回去自我反省一下            
(3星)	 除了长的帅，还是有什么值得看的?            
(NA)	 情节也太狗血了吧，比琼瑶还琼瑶.......不断的凝视，凝视，打架也要打三分钟，这是电视吗，这是生活中的打架吧......            
(NA)	 泰国偶像剧一贯的简单善恶观狗血大团圆……PS：男女主真是养眼            
(2星)	 ……对不起我居然看过……你们就光看男主好了。泰剧的特点在：所有人的心理活动全部通过语言表达。抹布的不带这么藐视观众智商的。            
(4星)	 绮文也太像棒子了吧            
(4星)	 两颗星是给颂恩 一个星给婉娜拉 一个星给九珠            
(4星)	 男主很帅，就是演技还需磨练。            
(4星)	 男主长的有点像韩国人啊。。。            
(5星)	 这部剧里面，帅哥美女真多啊，连大妈级人物都是美女，男主角更是帅到令人发指，身材好到没话说。而且，剧中吻戏爱情戏颇多，果然年轻就是本钱啊！            
(2星)	 我在微薄上说的就是这个，女二死丑有木有。剧情狗血，抱错孩子的影视剧太多鸟。            
(1星)	 外婆一直在看。绝对是我知道的最恶心的电视剧没有之一！            
(3星)	 在男猪脚青涩的演技衬托下，女猪脚哭计变成一流的了。。            
(4星)	 泰国琼瑶片            
(4星)	 那把彪悍的眼睫毛呀...扇得妹妹都凉快了。            
(1星)	 不是点吧点脑残。。。            
(3星)	 编剧实在不灵 不过男主好帅气啊啊啊啊啊尤其是吃醋的时候要不要那么可爱啊啊啊啊啊啊啊啊！！！女主也好看啊            
(NA)	 陪老妈看电视剧....好俗的剧情            
(3星)	 剧情太狗血了，一路看一路堵得慌啊，更堵的是我竟然看完了，要不是我妈天天看然后我也顺便看了！把每个人物设定成了脑残，然后被一个及其自私的小女孩从片头摧残到片尾，好人说话都气喘，坏人下手干净利落，而且破绽百出却没有人怀疑，呼之欲出的真相却拖到到最后一集才公布！看来哥真的不适合看连续剧            
(3星)	 电视里一个接一个泰剧，我一个接一个地看搞笑的配音和乱七八糟的剧情。            
(NA)	 狗血脑残欢快？！            
(NA)	 泰国混血儿真多            
(5星)	 怎么都没人剧透啊？            
(1星)	 没看过这么2的电视剧...比芒果台自导的还要雷(扶额            
(3星)	 真的是让我恨的咬牙切齿，如果不是看男主角我都懒得看这电视剧。对女猪脚太不公平了。            
(4星)	 剧情满紧凑，看起来演员很卖力拍戏。。            
(2星)	 去除男主角，就是一部狗血的剧。            
(3星)	 女主最后结婚的造型很漂亮!            
(3星)	 在安徽卫视看了后半部，灰常的狗血。            
(NA)	 晨吉，我上次说的就是这个·····            
(3星)	 剧情和演员都很韩剧。。。总觉得有看蓝色生死恋的错觉            
