http://movie.douban.com/subject/2378588/	铁血保镖
(4星)	 TVB小制作，剧情却好到爆棚。            
(4星)	 1.果然是張華標的戲 幾場峰迴路轉的戲就能看出 2.劉江和陳曼娜果然專演討厭的角色 3.姚子羚太不爭氣了 好不容易演回女一 結果演成這副德行            
(5星)	 比想象中好看，尤其前半段情节曲折，很吸引人，当然结局依旧秉承了TVB的传统，好人得好报，坏人幡然醒悟。只是看到老二那样的结局，不得不感慨“人生真的不能走错一步啊。。。”            
(3星)	 姚子玲完全没有女主的气场，弃之。三星是给马仔的，完全一个人撑一部戏。            
(5星)	 小成本的力作，用心，造就了马仔的4当家形象            
(3星)	 女主有点残            
(5星)	 马仔太帅了~这片太给力了！~铁血再一次证明了剧本是王道！用心出佳品！！李添胜太牛掰了~            
(4星)	 我记得俺们宿舍某人一个通宵看完了。。。            
(5星)	 以后的剧情可以用一句峰回路转来形容            
(5星)	 有一种巾帼枭雄的感脚，不过是男版的，好看爆了！！！            
(3星)	 漕运到底成功没阿~!            
(2星)	 我真的觉得很烂..            
(4星)	 老公，如果还有下辈子，你还会去这样的我么？            
(5星)	 1400            
(3星)	 我真得很看不下去那个女主角哭的样子 还有……有点常识都知道在镖箱里面会躲那么久会窒息而死吧……            
(NA)	 家族争斗神马的。。还是不适合我看  自虐啊            
(4星)	 除掉女猪脚难看的八字眉外，不失为TVB难得的好剧，剧情紧凑不拖沓，没有多余的儿女情长啰嗦也没有故事连接冗长的弊病。            
(5星)	 有很多感动的瞬间            
(4星)	 推薦。沒想到李添勝這部劇挺對我胃口。馬仔+祥仔！            
(4星)	 还是值得看得一部电视            
(4星)	 tvb的戏都是家族斗争戏披上各种各样的外衣~            
(NA)	 原来之前看过。再看马仔还是很man！！~黎耀祥演技还是不错。女主很难看，无视。            
(5星)	 马浚伟！！            
(4星)	 很热血！            
(5星)	 一直HC马浚伟            
(5星)	 看见马浚伟就这样定型了~！不过定的很可以!            
(3星)	 保镖的故事，故事好像没什么让我觉得深刻的地方，片头有点味道。            
(NA)	 老套的剧情，不过喜欢马浚伟~            
(4星)	 很“正”的片子，让大当家那集特别爽~            
(NA)	 马浚伟超常发挥，确实很不错，就是女主不给力啊            
(4星)	 爱情线是一硬伤，女主角是真惹人烦，每到她的戏份都是直接快进跳过的╮(╯_╰)╭黎耀祥真是演什么是什么，把尚忠的欠抽演得惟妙惟俏哈哈。尚义是出来打酱油提示线索的NPG。三奶奶和三老爷是对活宝，三奶奶离开那段很感人，让人看得眼泪直往下掉。            
(3星)	 差点因为要啥没啥还要出来拖后腿的女主角而弃剧。。。整部剧尚可，就是看起来会比较辛苦点，挫折太多，开心事就常常一笔带过            
(4星)	 斗死斗活，得个桔~            
(4星)	 谁说的，巾帼枭雄是铁血保镖的盗版。巾帼枭雄明明是铁血的升级加强版。铁血剧情比起巾帼来还是弱多了。不过也还蛮好看的。四星了            
(3星)	 怀着对女主的同情开始看，看着看着发现，你还真不值得同情阿！盛名之下，其实是个也会让人崩溃的庸剧。            
(NA)	 无法错过黎耀祥。            
(NA)	 类似的套路，可还是会看            
(3星)	 其实几唔钟意马浚伟……            
(3星)	 看到一半。            
(3星)	 合吾。            
(4星)	 这可以说是唯一一部全家都爱看和全家都会追的电视剧了!!!除了女主有点差强人意之外,从男主到配角们演技出彩,剧情高潮迭起,精彩连连!!            
(5星)	 马浚伟的实力演出让人惊喜万分，黎耀祥的配角极有戏味，剧情紧凑应记一功，有时候真是看得热血沸腾呀。整部戏主配演技都是特别好。败笔就是女主角。            
(3星)	 女主有点残            
(3星)	 看完才明白《巾帼枭雄》的许多剧情来自哪！            
(3星)	 镖局一定要讲“三碗面”：场面、人面和情面。。。。            
(5星)	 剧情很给力的，就是女主难看了点            
(4星)	 看了这片里惠英红的扮相 忽然觉得张柏芝跟她有点像            
(NA)	 没有智谋还位居高位只会害人害己害全家；聪明但心术不正路走不长。            
(5星)	 要给李添胜一个赞~！迂回曲折都可以喘下气吧，兄弟情，家庭戏，一气呵成，好。            
(NA)	 好久都没看到过这样让人欲罢不能的电视剧了            
(2星)	 女主是最大的杯具！！！！！ 一颗星给马仔，一颗星给大掌柜= =            
(5星)	 尚智~     喜感 的父子.轿子好颠..            
(5星)	 9.5            
(5星)	 果断五星…06年最出色的tvb剧！个人觉得好过巾帼…            
(4星)	 纯男人的戏，20集尚忠把钥匙交给尚智那场戏太经典了。阳刚之气很足，一星扣在女主角上，虽然她的戏份已经少到可以忽略不计了，但是每每出现时的苦瓜脸还是会吓我一跳            
(4星)	 果真还是李添胜的电视合我的胃口 够气势!            
(5星)	 一个“家”字饱含了太多温暖与辛酸，也把“义”字内涵书写的酣畅淋漓，貌似古装版的溏心风暴。“做保镖这行只和三种人打交道：官 商 贼。吃的是三碗面：场面 人面 情面”，透过一个保镖家族的兴衰，折射出人性种种，港剧的煽情范儿貌似一直很对我胃口，哈哈！            
(5星)	 　李添胜近年来神剧的起点,铁血的“义”，《碧血盐枭》里讲“情”，或者去《巾帼枭雄》里面话枭雄。 期待他的义海豪情            
(5星)	 难得的佳作            
(4星)	 黎耀祥亮点~            
(5星)	 喜歡看裏邊馬仔處事不驚，遊離在各種大潮大浪之內都能從容應對。            
(3星)	 “铁血同当，衣食同享！”我男人喊这口号时特带劲儿！            
(4星)	 劇情、演員值得一看            
(5星)	 男人戏 值得一看            
(4星)	 抄了好多雍正王朝里的桥段啊            
(3星)	 看了几集 觉得马浚伟老被冤枉 看的憋屈 放弃了            
(5星)	 合吾...            
(3星)	 演员比较一般，故事其实跟巾帼枭雄雷同，都是李添胜监制的，一炮没打红，就不信好剧本换些戏骨来演还不行！            
(4星)	 找来看看            
(4星)	 小成本，大黑马            
(5星)	 马浚伟....            
(5星)	 很正很紧张很大气,,!            
(4星)	 支持马仔，好Man～～            
(5星)	 《金枝欲孽》之后最好的一部TVB片            
(4星)	 女主角的演技真烂，很做作。            
(5星)	 郭峰 黎耀祥            
(5星)	 很不错～            
(5星)	 很励志 获益于为人处事之道 除了女主角都很好            
(5星)	 雖然係抄《雍正皇朝》，但劇本認真，演員演得出色(新人姚子羚都做得不錯的…)，難得的好劇啊﹗            
