http://movie.douban.com/subject/3275416/	实习医生格蕾  第二季 Grey's Anatomy Season 2
(4星)	 讨厌死格雷了，她怎么那么烦人            
(5星)	 虽然我很讨厌Mer，也同样越来越受不了她的McDreamy，但Season2真的是渐入佳境，实乃居家旅行唠嗑八卦之佳品。            
(4星)	 我超级喜欢ADDISON            
(5星)	 每一集的医疗剧情……这边让我爱上了Baily。恩。            
(4星)	 这是最好看的一季            
(NA)	 喜欢Bailey和Addison 第六集让我哭死了 那个好姑娘…哎 持续对男女主角无感            
(4星)	 Alex最後那個抱起，大男子主義呀！Meredith永遠都是一副受氣包的模樣，類似于大哭一場之後，眼睛腫，聲音啞！HHP在C\G\B身上，超級爆笑點基本全都是有關SEX.ps：everyone loves Addison Shepherd             
(5星)	 倒着看格蕾中....越来越喜欢Baily~~            
(5星)	 应该是最精良的一季，情节的推展和医学的背景相得益彰...人物也是刻画的最有张力的            
(5星)	 Pick me, choose me, love me...            
(4星)	 实乃居家旅行唠嗑八卦之佳品。（某评论）            
(3星)	 just too much sex...毫无预兆地淫乱。            
(4星)	 第二季好看            
(4星)	 发展成了让人停不下来的琼瑶剧= =            
(3星)	 人物很多，但偏向脸谱化。编剧是个大问题，演员的表演也有点夸张或太常见。            
(5星)	 第一季四星，第二季大爆发好看死了，果断五星，另外，美剧里的男主角为毛都这么不耐看啊，ted和mcdreaming为代表。            
(5星)	 哭死我了有几集。。。。。。好烦。。。。。            
(3星)	 最后几集还是很刺激的            
(3星)	 为什么突然变这么长啊= = 关系好乱，不记得看到第几集了，放弃            
(5星)	 不这么虐人要死吗？！            
(4星)	 傻逼女主角…            
(NA)	 episode13            
(NA)	 真的很不喜欢女主角            
(NA)	 看到S2E6，Shepherd决定放弃离婚，放弃meredith，让我有些小难过；終於想起來shepherd很像DB，尤其是嘴部，笑起來的樣子更像，所以我很花癡他啊；最後婚姻還是結束啦，真好            
(4星)	 这27集承前启后，奠定了艾美奖。也一定要有这个长度和宽度的故事才能一次次打动人。据meijumi说216最经典，可我觉得火车事故和大结局更引人入胜。            
(NA)	 danny让人心碎  各种催泪，gray和derek一对贱人简直贱到家            
(4星)	 最后Alex公主抱着Izzie在他怀里哭的时候还是真心觉得他们最配啊( -&#39;`-; )            
(5星)	 卧槽，eric dane帅的一塌糊涂我的麻痹真是帅死了帅死了，我的妈            
(5星)	None
(4星)	 比上一季明显好看呢            
(5星)	 第二季很不错嘛            
(5星)	 为什么我这么讨厌E16-17 拖沓 不合情理 anyway 编剧简直脑子进水            
(5星)	 停不下来了。。。。。            
(5星)	 好喜欢Izzie和Burke还有Baily 最爱o&#39;malley            
(3星)	 凑合看完了，比第一季好点，女主角法令纹真够深的。            
(4星)	 我好讨厌Izzie啊……            
