http://movie.douban.com/subject/2279819/	末路天堂
(4星)	 黄渤太逗了!            
(4星)	 就为了黄渤            
(3星)	 弄得跟lost一样            
(4星)	 你这哪是怀孕啊你这是怀了个哪吒吧！            
(3星)	 我跟你说，你这个是宫寒，寒个屁也是寒！            
(2星)	 一星给黄渤            
(3星)	 够山寨 -_-|||  一星加给 黄渤的口音...            
(3星)	 黄渤的独角戏            
(2星)	 只有前半部能看。当然胡兽医那是相当地搞笑。            
(3星)	 山寨版《LOST》？            
(4星)	 山寨当中还算可以的大陆电视剧            
(4星)	 老七 黄渤            
(5星)	 草草看完，还是不错，lost时间太长了。            
(NA)	 大恺恺严重推荐。            
(4星)	 超好笑，结尾一般            
(4星)	 值得鼓励。。            
(NA)	 人性最阴暗的一面，在穷途末路之时将会被暴露的体无完肤。            
(4星)	 黄渤果然是实力派~疯狂的石头就显现出不可阻挡的实力            
(3星)	 堂兄很好。家乡话……很精彩。。。            
(NA)	 。。。七哥还是傻不拉几的            
(4星)	 虽然很山寨。。但也还行吧。。搞笑加惊险。。            
(3星)	 黄渤哟~~~这个逗~            
(3星)	 山东话超级^_^            
(5星)	 此片巨牛，哈哈哈哈哈哈哈哈            
(4星)	 黄兄太搞了。。爱S。。            
(5星)	 黄渤是亮点            
(3星)	 翻版迷失            
(4星)	 黄渤            
(3星)	 喜欢里面黄渤演的角色。说话忒有意思            
(4星)	 引人入胜的剧情，不同人的不同人生，人与人之间的猜疑、相信，结尾处都是感动。            
(4星)	 冲着七连长去的，倒是被黄渤的表演逗乐了。            
(NA)	 虽然有不少bug，但这是一次不错的尝试，拍的也很辛苦，总的来说并不是山寨。            
(2星)	 2009/2/28周六早上偶然在江苏卫视看到第1集，发现《12·1枪杀大案》的石头扮演者，还有黄渤，遂继续观之，周末每天白天10集连放，到3月2日晚上看完了，2星烂片，情节拖沓冗长，大量重复，中间错过任何几集都没关系，就是一群sb偷渡的和一帮弱智土匪在树林里瞎jb转悠，那个傻大个一看就是个警察，全片充斥耸人听闻的说教，真tm超级烂片一个，要不是看在黄渤的份上，一定给1星，真不明白为啥豆瓣网评还这么高。            
(3星)	 漏洞太多了啊。。为了我家老七 忍了= =            
(3星)	 山寨版迷失~             
(4星)	 康导的......刀龙上树那叫一迅急下树那叫一欢快&gt; &lt;            
(4星)	 欲望无止境~~天堂在我心            
(NA)	 完全因为七哥去看的电视            
(4星)	 拉着看完了算咩- v -            
(5星)	 国产电视剧里拍的好的，黄渤演的很好，当然张国强的刀龙也非常不错            
(NA)	 继士兵突击后看看张国强新的作品            
(5星)	 中国版&#34;迷失&#34;            
(4星)	 昨晚临睡前随便摇摇 竟然黄渤还有这样的电视剧             
(NA)	 难得一见的好片。            
(4星)	 人性            
