http://movie.douban.com/subject/2147129/	萤之光 ホタルノヒカリ
(5星)	 宅女共鸣片。部长那样的人，天上有人间无。好看得恰到好处，气质得恰到好处，优雅得恰到好处，细腻得恰到好处，失意得恰到好处，闷骚得恰到好处，包容得恰到好处，理性得恰到好处，克制得恰到好处，任性得恰到好处，自负得恰到好处，可爱得恰到好处，深情得恰到好处。            
(NA)	 我怀疑我看所有片都只会得到一个结论，找一个让你觉得自由自在的人。（甚至比你一个人的时候，还要自由自在。）            
(NA)	 傻宫分明是伪干物            
(4星)	 部长啊部长~请赐我一个部长~~~~            
(5星)	 如果赐我一个部长，我也不介意喜欢大叔啊~~翻滚中            
(4星)	 看多了就明白了：住在一起的人就是占尽先机啊！            
(5星)	 赐给我一个部长吧！！！！！！赐给我一个能躺在后廊晒太阳的日本小平房吧！！！！！！！！！！！！            
(5星)	 真喜欢部长！！            
(5星)	 藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人藤木直人&gt;&lt;到最后才认出来差劲男是地厂卫啊            
(5星)	 最适合夏天看的日剧。更新人生志向——“成为部长的女人”。            
(4星)	 好奇怪啊，看着小萤流着眼泪连喊好几遍“部长”的时候，我竟然泪流满面。            
(5星)	 感情是只能靠语言来传递的            
(4星)	 还可以吧.引用某银滴话.&#34;藤木叔叔大好! 　　白衬衫,老头背心,大叔雨衣,他是个王子气质和大叔特性兼具的治愈系型男!眼神散发点忧郁,嘴巴有点毒舌,脑袋瓜聪明的早稻田的毕业生!大爱叔叔! &#34;            
(5星)	 补揪补揪补揪补揪~~~❤            
(4星)	 我期待夏天，我羡慕那个后廊，我也想瘫在地板上把喜欢的东西堆在周围            
(4星)	 结尾还是很温馨的。上帝！赐我一个部长吧！            
(5星)	    小萤说部长对她就是大狮子想要扑倒小狮子的感觉，这才是正解~            
(5星)	 我就是干物女！            
(5星)	 太太太美好。            
(5星)	 结局不好看            
