http://movie.douban.com/subject/3546712/	一起来看流星雨
(1星)	 那个富家公子喝香飘飘？那个富家公子穿美特斯邦威？那个富家公子用步步高复读机？那个富家公子用潘婷？那个富家公子用同方笔记本？那个富家公子送礼送常德藕粉+黄金搭档？最B T的 伸出一只脚 我这个是全球限量版的鞋 你赔的起吗？ 仔细一看 阿迪王。。。。             
(1星)	 台风天看流星雨，听取雷声一片。。。            
(1星)	 昨天这几位雷人主演在快女比赛里露的一小脸就像一支生硬的植入式广告，最恶心的是何炅说马上要全球首播了，我估计全球也只有他们一家会播，芒果台放的片花里的最后一个镜头，男主角抱着女主角拼命转圈，我深怕他闪了腰，只有脑残才看了不捶地的狗血雷人脑残山寨片            
(1星)	 你可以更山寨~你可以的~            
(1星)	 想看看这分数能低到啥程度。            
(1星)	 豆瓣如果如果有负星，那么它将是负无限！！！！！！！            
(1星)	 没看过，控制不住来点差评的            
(5星)	 我TMD就是喜欢魏晨。怎么样吧，用你的猪嘴来骂我呀！            
(5星)	 我爱所有给我们带来欢乐的人            
(1星)	 花泽类说：今天表现不错哦，西门曰：全靠它！镜头围绕阿迪王转啊转，花泽类说：这鞋线条很不错！西门曰：我最喜欢还是涂鸦的部分！镜头转向特写阿迪王..特写涂鸦....,.可以给0星吗？            
(1星)	 不用看都知道，不行的。。。。。为什么别人是翻拍，我们的就是山寨。。。。悲哀。。。。            
(1星)	 怎一个雷字了得            
(1星)	 我没看 但给一颗星算给面子了            
(5星)	 我草本土商业大骗啊            
(1星)	 我是来保持队形的...            
(5星)	 好喜欢魏晨            
(3星)	 劇情2星，女主4星 ，Fuck4沒星            
(1星)	 看了看了！芒果台！有个一身粉红的牛郎华丽登场！！！那是谁？！            
(1星)	 啊哈哈哈哈哈            
(1星)	 我要是再多看一眼　我就是大傻逼            
(1星)	 其实韩版拍得也挺二的，可是人家有帅哥来充场面啊；另外日版的其实我也有点看不下去，但至少他们尽量做到了尊重原著。没播之前就听见雷声滚滚，说实话我很想做一个异类。梨小姐还看了直播，我本意是想支持一下内地偶像剧的，可是连我妈在客厅里听见台词都忍不住过来说你别看了。芒果台啊你太无敌了！            
(1星)	 笑得满地找牙            
(1星)	 有评论说它是农民剧，那是侮辱农民            
(NA)	 一顆星也不想給。五雷轟頂啊。中國的臉丟光了。我真的寧願如傳聞所說，找李宇春來做道明寺，起碼有個看點。            
(1星)	 大开眼屎。            
(1星)	 我只是来打分的            
(1星)	 抄又不抄足点 预算有限就别学人说是什么富家子弟了 靠！            
(1星)	 评论是亮点。。            
(1星)	 年度惊悚大片            
(1星)	 &gt;&lt; 避雷针加上防雷涂料都挡不住的雷哇...阿迪王、香飘飘、舒蕾，还有这辈子别让我看见的笨瓜名爵！            
(1星)	 为什么没有天下无敌差这个评分            
(1星)	 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahhhh            
