http://movie.douban.com/subject/3391761/	少年王卫斯理
(4星)	 众多卫斯理中比较能看的 白素很漂亮            
(4星)	 那时候看觉得杨光美呆了！            
(4星)	 嗷。其实很傻很天真。但不错看啊。            
(1星)	 尤记吴奇隆穿着古装骑自行车的画面。。此乃穿越剧 囧            
(3星)	 还好 女主角那张脸不错            
(NA)	 阳光很漂亮啊哈哈            
(4星)	 很奇幻的故事。好喜欢白素！聪明勇敢又漂亮。            
(3星)	 阳光挺美的 嫁聂远了 挺意外            
(5星)	 不可否认，这版的白素美到家了~            
(3星)	 阳光很漂亮啊~~~            
(2星)	 到现在都没有搞懂这是个什么东西            
(4星)	 为了倪匡，虽然改的一塌糊涂，但还是给了四颗星            
(NA)	 世界上是没有卫斯理这样的人            
(4星)	 就觉得白素很漂亮            
(4星)	 看出来我爱卫斯理了吧~没错~所以不管谁演的我都找来看 实话说 这个版本的卫斯理形象不咋地符合 白素素也不咋地符合 都太偶像了！！ 不过还是给我钟爱的故事加上一分            
(3星)	 看得比較晚，對其中的年代錯亂感到無語，果然是衛斯理風格            
(3星)	 逻辑上有点说不通。            
(1星)	 哦我的娘……我的倪老……毁灭了毁灭了……            
(NA)	 囧            
(NA)	 补遗               
(5星)	 是很不错的片子 不知道为什么没普及            
(NA)	 伪卫斯理和白素。            
(5星)	 我最喜欢这片的白素！！！！            
(NA)	  吴奇隆             
(NA)	 剧情结构很乱，很多剧情前文不搭后语，违反常情。硬是把冒险故事改成爱情故事，而且是颇为荒唐的感情故事。几个单元独立的太多，完全改变原著风格。似乎卫斯理不再是一个无所不能的英雄，而只是一个会哭的帅哥。最次版本的白素。里面演的出彩的反而是桑秋雨和杜鹃。吴奇隆在此剧中明显的特点是老是瞪大眼睛和邹眉头发呆。超无聊。无怪乎卫斯理的书那么有名拍出来的电视剧却那么不受人待见。            
(3星)	 他是有回憶的電視劇            
(3星)	 年少时候追过，那时候觉得白素好美啊。。。不知道现在那个演员怎样了            
(3星)	 ★★★☆            
(5星)	 它深深的吸引了一个12岁的孩子！怎么了！            
(3星)	 嘛，卫斯理原著就很扯嘛            
(1星)	 尼玛逼我心目中的卫斯理啊！！            
(NA)	 我就觉得女主长超丑的。。。。。。。。。。            
(3星)	 当年真是被唬得一愣愣的            
(5星)	 小时候觉得阳光老漂亮了            
(NA)	 白素漂亮            
(3星)	 吴奇隆真的老了            
(NA)	 阳光结婚以后，跟聂远一起残了。。            
(3星)	 我同学那时候超迷吴奇隆..我当初觉得这剧不怎么好看..            
(2星)	 我操就是它就是它！！！当年我看得恶心死了，有个男的浑身是鱼鳞，鱼鳞你妹啊啊啊啊！！！            
(2星)	 满雷的。。            
(2星)	 小时候打发时间看的            
(2星)	 不是一般的雷人。            
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 忘记什么内容了= =            
(4星)	 爱卫斯理            
(NA)	 初中很爱卫斯理.            
(NA)	 哈哈chuck你這個大陸電視劇通竟然沒看過 五阿哥跟六阿哥都看了！！            
(4星)	 其实我还是满喜欢这剧的            
(1星)	 相当难看            
(4星)	 好玩            
(4星)	 现在想想真雷，咋高二那会就特喜欢呢？喜欢阳光。            
(4星)	 白素和那个蓝眼睛的外星少女都好美            
(NA)	 雷都把牛逼给打击了            
(4星)	 彼时白素青春美丽尤记她那句：卫斯理，我一直是一个普通的人。我也很自私，你能为我留下来吗？            
(4星)	 这版的白素真的很漂亮，吴奇隆在里面耍帅耍得一塌糊涂，说实话，花痴的角度，这是我最爱的卫斯理版本。            
(3星)	 失望            
(4星)	 素素~~╭(╯3╰)╮            
(NA)	 童年..            
(NA)	 烂片again哈哈哈……不过劳资依然坚持576适合这类欢乐向的东西。            
(4星)	 改的多美妙多青春悠嘻。            
