http://movie.douban.com/subject/3646587/	美丽生活 The Beautiful Life: TBL
(1星)	 女主会不会太呆？男模会不会太矮？            
(5星)	 it&#39;s fabulous ,kind fo i like mos            
(4星)	 两集就被砍？！为毛我觉得还可以看看            
(NA)	 。。            
(2星)	 偶尔瞥一眼，好题材，弱剧情            
(3星)	 supermodels            
(3星)	 哎，这剧也太短命老。灰常灰常凄惨。不过看老2集也觉得没什么亮点。女主明显不够迷人。啦啦啦。啦啦啦。            
(3星)	 播了一集就被砍。            
(3星)	 才两集就被砍？！虽然第2集确实太无趣。。还是给点机会嘛。。            
(5星)	 我操，一坨一坨的肌肉帥裸男，值了！            
(2星)	 此剧在第二集之后已被砍            
(4星)	 2            
(3星)	 2集就被砍，可惜了两个英剧演员：Jaime Murray（Hustle），Ashley Madekwe（The Secret Diary of a Call Girl）            
(3星)	 麻痹,太囧了.两集就被cut了..            
(NA)	 Cole真的是好帅好有模特相。            
(3星)	 好久没看到MISCHA，就出了5集又看完了。我是多么的欢喜那个卷毛黑人和女上司这一对- -0            
(5星)	 出了5集就被砍了。这是WHY？            
(3星)	 帅哥美女还是挺多的，但是我还是没追下去~            
(3星)	 被砍了，好多熟脸啊，可惜了。            
(3星)	 已砍            
(5星)	 华丽丽的我都喜欢 恩 我很庸俗哈哈哈 十分想知道R她爸的身份            
(2星)	 RIP.poor Mischa.            
(1星)	 21世纪了还在唱麻雀变凤凰            
(4星)	 竟然被砍....TAT            
(3星)	 看了5集可惜了            
(4星)	 好好看，不过给砍掉了..            
(3星)	 被砍了。情节内容的确很烂。虽然有不少的帅锅美女吧。在MIBI里的Pizza Boy Razor在这部剧里是个名模，真帅。            
(NA)	 短命的剧集            
(NA)	 ?            
(NA)	 还可以看下去啊，为什么会被砍？            
(5星)	 supermodel的生活，还是蛮好看的，居然才播两集就被砍！            
(3星)	 就两集  实在不知道该怎么评价~            
(3星)	 两集就被砍            
(4星)	 被砍了很可惜              
(3星)	 竟然夭折了 虽然是时尚版GG不过看看好身材美人也不错么= =+现在的世界 剧情是浮云…            
(NA)	 砍了。。            
(NA)	 擦。。。两集就没了。            
(2星)	 果然被砍了，这种没剧情没长相的是没前途的            
(4星)	 我喜欢啊....为嘛砍！            
(2星)	 cut得好，省的浪费大家时间            
(3星)	 晕死。。为什么被砍了。。            
(NA)	 咦居然砍了哈哈哈            
(3星)	 被砍真悲惨。。。            
(3星)	 光鲜亮丽的背后。跟CW以往的偶像剧一个套路，欺骗与被欺骗，出卖和被出卖。作用于任何行业，或者环境。长度刚好够一部电影。重新开播。5            
(3星)	 就这么被砍了= =            
(4星)	 我真覺得還行啊..怎麼就放了2集..            
(4星)	 看了5集。剩下的4集估计是没戏了。            
(NA)	 米沙巴顿长残了            
(4星)	 配乐都和《the devil wears prada》一样。。            
(3星)	 被砍了~遭耶~！            
(1星)	 被砍了被砍了～！OH yeah～！            
(2星)	 女主的脸型跟Lily D一样，怪不得我看着那么讨厌。才两集就被砍，非常成功。那几个演员一个都没模特样，包括米沙巴顿，整一个过气小明星样，哪里像过气超模了。            
(5星)	 其实还可以看的喜欢女主 看来我天生的被砍剧情节 第五集看的我新欢怒放的 其实可以有下文的 而且应该很精彩的            
(5星)	 这么好看的剧居然被砍了，我爱Nico Tortorella啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊            
(3星)	 在我期待追下去的时候被砍掉了            
(3星)	 这剧熟脸好多 拍了六集只播了五集            
(NA)	 前三集很不错 后面编剧明显无力 被砍在情理之中            
(3星)	 短命剧            
(3星)	 我没觉得那么差啊            
(3星)	 其实挺好看的题材啊。无奈被砍。            
(3星)	 囧 没那么难看吧            
(4星)	 想起来了，已经没有了...            
(4星)	 明明很好看啊~            
(5星)	 我挺喜欢。看时装和演员就够了。            
(2星)	 看了半集即弃 男主女主都不是我的菜            
(4星)	 这么早就cut了 无奈            
(3星)	 被砍的有点太快了吧=。=            
(3星)	 原来2集被砍..            
(3星)	 青春劇除了亂搞還能幹嗎            
(1星)	 ttly a disaster!            
(NA)	 5哎 被砍了            
(NA)	 无趣            
(3星)	 女模丑，男模矮，CW以为这样能copyGG？青春偶像剧就不谈什么质量了，但总得养眼吧..            
(NA)	 CW下手比我还快....            
(5星)	 其实我很喜欢这部剧的，可是才2集就被砍。哭，culture啊culture            
(5星)	 ...人家明明喜欢这片子...啊啊啊啊啊...            
(NA)	 哎~此剧被砍，悲哀啊~            
(4星)	 刚刚渐入佳境而已。            
(NA)	 Axed.            
(3星)	 囧...一哈子就砍了OTZ            
(3星)	 他活过来了！            
(4星)	 其实第一集起的挺不错，很有让人跟下去看的感觉，这点比Gossip Girl做的好。虽然关于Model的真人秀很多，但时尚剧还真的很少，所以也算也有点噱头。只播两集就砍，太可惜了！希望它会重生！            
(3星)	 昏倒，刚看，结果2集就被砍了！。。。            
(NA)	 就这么停了 不挺好的麻            
(4星)	 觉得还行啊  怎么被砍了            
(2星)	 若是真的两集就cut那正好，不用浪费时间看他们做愚蠢的show            
(3星)	 这戏被砍了。。。其实还不至于那么差。。。            
(NA)	 居然被砍！=    = 。我的确是来看mischa的。女主还算好看，男主太郊区了！            
(3星)	 mischa barton我大爱~~~~            
(NA)	 夭折袅。            
(2星)	 CW砍的好狠            
(4星)	 两集就被cut了，我和主流市场的差距太大了~            
(3星)	 果然被砍 只是没想到成为今年新剧第一部被砍的            
(2星)	 不看了。太难看了。不是upper east siders就是models。CW还有什么戏码可以玩？金融海啸到了，于是需要不断用大牌植入来冲击市场了。            
(4星)	 可惜被砍了            
(4星)	 被砍            
(3星)	 哎呀 这剧收视太差 被砍了  没得看了。。。。。。            
(3星)	 两集就被砍了。。。。。杯具。            
(3星)	 两集就被砍了=.= 其实故事大背景很不错的说             
(NA)	 刚两集就被砍&gt;&lt;            
(NA)	 2集就被砍...是有多爽.不过听说剩下三集会放完.            
(3星)	 唉。。。被砍了            
(NA)	 娘啊！出了2集就被cut，我的mischa啊！            
(3星)	 被砍...            
(3星)	 竟然被砍了……            
(2星)	 CW是否穷途末路。            
(NA)	 惨遭被砍。。            
(3星)	 一部YY扯蛋的剧集            
(4星)	 CW出手好狠啊...我真觉得这剧不错...可惜被砍了...            
(4星)	 噗，两集就被砍。            
(2星)	 两星都是给范思哲的衣服=。=            
(2星)	 正式被砍。不是说T台后面都很紧张吗？怎么这部电视剧里面的模特都那么轻松啊！            
(3星)	 你就这么被砍了            
(4星)	 两集 就胎死腹中了            
(2星)	 追还是不追?            
(4星)	 开始追.我喜欢..但被砍了.....            
(4星)	 既然被砍了，就啥也不说了……            
(4星)	 5 http://www.imdb.com/name/nm3380171/            
(3星)	 小考拉有露个脸的电视剧哦~哦咔咔，终于开播啦~哇啦啦，两集，已砍，真意外。。。            
(NA)	 啧啧~被砍~MP是不是也快了。。            
(NA)	 超喜欢里面的女主角。            
(5星)	 被无情的砍了....            
(3星)	 一部讲麻豆们的美剧。晕，这部美剧播到第二集竟然就被砍了，虽然也一般般，但也不至于如此吧～～最终走到了第五集，应该算是史上“第一美剧”了吧。这部引起我关注的也是因为米莎·巴顿，这几年她也是胖胖瘦瘦、起起伏伏的，还好在这部美剧中的身材恢复到了原样。剧中的美女们倒挺养眼的，可惜。。            
(3星)	 完全是冲着Gal Gadot！            
(4星)	 可惜被砍了，好不容易遇到有兴趣的电视剧            
(3星)	 其实还蛮好看的，被砍得太快了点            
(3星)	 可惜只看到五集。            
(NA)	 被砍啦            
(4星)	 。。被砍了            
(2星)	 什么时候男模有那么高的地位…………            
(4星)	 其实还行的，            
(3星)	 其实我想看下去            
(4星)	 夭折的最惨烈的一部美剧了，可惜我还蛮喜欢的。。。            
(4星)	 据说此剧第一季只拍了7集 播出了2集就被砍 我看了5集 剧情刚要开始复杂化滴时候就没了踪影 09年滴遗憾啊 看名字就知道打滴是俊男美女滴青春牌 剧中不时出现滴时装也都颇具风格 如果能继续 按照未完滴剧情延伸 应该会是一部很不错滴青春剧集 期待今年起死回生            
(5星)	 我觉得看了有想继续一直看下去的欲望，，可是为什么要砍掉它。。DAMN U CW！！            
(3星)	 cut            
(NA)	 纯粹为了Mischa看的...Mischa要演law and order了            
(4星)	 我很喜欢哎..怎么就被砍了            
(NA)	 1            
(NA)	 弃            
(NA)	 = =被砍了            
(4星)	 misha barton在里面的造型很不错            
(4星)	 美剧迷 乖乖贡献四星            
(3星)	 比人情更残酷的是收视率            
(4星)	 我喜歡cole......            
(1星)	 5            
(4星)	 我觉得还不错啊            
(3星)	 主角loli都很残，御姐才powerful            
(4星)	 竟然被砍了。。。我只能标 看过了。。。            
(3星)	 可惜了            
(4星)	 我真觉得还可以，怎么就砍了            
(NA)	 一共就只有五集...還特無聊...喜歡Vivian的演員,女王氣質.還有Olivia,總是對眼睛深邃的人沒免疫力~            
(3星)	 还可以啊，怎么只有5集就没有了？            
(3星)	 可惜被砍            
(4星)	 挺好的，为啥停了呢            
(2星)	 越看越没劲，真是有够烂，放弃了不追了            
(3星)	 2集就被砍。见过短命的，没见过这么短命的。            
(NA)	 砍的也太快了,,            
(3星)	 其实看一些美丽的人儿还是有意思的~砍了做什么~            
(3星)	 两集啊，就砍了，90210都还在残喘呢，我还是很喜欢女主的，米莎倒确实是有些艳俗了            
