http://movie.douban.com/subject/3142715/	射雕英雄传
(5星)	 林依晨演得真好啊&gt;&lt;            
(4星)	 四星给的是林版黄蓉，盛赞。            
(5星)	 我基本从不看武侠剧，这是难得一部能让我一直看下去的。胡歌在里边很有魅力啊，比以前成熟很多，然后扮演杨康的袁弘也很棒，欧阳克的角色也诠释得不错，对林依晨也没那么反感了。总体来说这一版是很不错的，拍得很成功，情节、特技更方面都挺好。一直追着看的，还特感动。            
(4星)	 偶可是50集全部看完了的！我同情杨康，同情克克。。。郭靖是全世界最好命的人            
(4星)	 改名叫：反派大翻身，杨康、欧阳克都很出彩。            
(4星)	 四星给黄蓉            
(4星)	 黄蓉.欧阳克            
(5星)	 胡歌真的很适合演古装……            
(4星)	 蓉儿就是喜欢靖哥哥            
(4星)	 林依晨演的黄蓉真是出乎意料的讨人喜欢~~            
(5星)	 没想到我就从里面看到的感动我的爱和美！喜欢林依晨和胡歌，演员的演技都很赞！            
(4星)	 我喜欢这个版本的黄蓉~            
(4星)	 不错~~~杨康挺帅的……嘿嘿……            
(2星)	 改得乱七八糟，和谐剧情，囧人台词            
(4星)	 林依晨很灵~            
(5星)	 白驼山少主……            
(5星)	 林依晨，我喜欢~            
(5星)	 对林依晨刮目相看，对这个版，本只是偏爱，没有理由。但客观地讲，袁洪的配音有点囧的。            
(4星)	 我只推荐欧阳克、完颜洪烈以及趣味欧阳锋……其他的就算了            
(4星)	 其实还行...我觉得唐人还不错了...            
(4星)	 黄秋生果然很邪，胡歌真是演啥像啥，杨康更加人性化了，欧阳克竟然喜欢上穆念慈了……一句话来说：这个世界没有坏人了~~世界和谐了~~~            
(4星)	 金庸人物讲究有舍才有得，但人有一点欲望和追求是十分正常和必要的。同情杨康和黄老邪这两个角色，只是纯粹和不那么融于世而已，有一种时不与我之感。另外，黄蓉这交际手腕，人情世故，我能够学到一半就算是圆满喽~            
(4星)	 郭靖杨康很有爱...武侠偶像剧            
(4星)	 林依晨很可爱，胡歌也还好，不像李亚鹏那样实打实的傻子，这里的欧阳克很讨人爱            
(4星)	 弘爷诗诗 &gt; &lt;            
(5星)	 对比之下拍的真不错，以前一直认为胡歌是奶油小生型，这次还是想说胡歌真的太帅了            
(4星)	 因为胡歌。            
(4星)	 射克英雄传~            
(4星)	 袁弘啊 我就是冲着你去看的~            
(4星)	 杨康的扮演者袁弘很不错！            
(4星)	 喜欢杨康，欧阳克和完颜洪烈            
(4星)	 我喜欢欧阳克！            
(5星)	 不仅仅是郭靖和黄蓉...还有杨康.穆念慈.欧阳克.完颜洪烈.东邪西毒.南帝北丐...这是一部完整的电视剧...            
(4星)	 本剧最大收获是认识了很黄蓉的林依晨            
(4星)	 最让人意外的角色当属欧阳克了.大爱克儿啊……当然，胡歌还是很帅的……            
(4星)	 最可爱蓉儿~            
(4星)	 2女主喜欢得一塌糊涂混蛋————            
(4星)	 我不得不说，袁弘的杨康是经典~            
(4星)	 给欧阳克加一星            
(4星)	 我喜欢欧阳克            
(4星)	 恩 这个我喜欢欧阳克            
(4星)	 我喜欢林依晨            
(4星)	 不错 集数稍微多了点 林依晨演得挺好的            
(4星)	 愛上完顏紅烈了怎么辦？            
(4星)	 林依晨好可爱呀~~！！            
(4星)	 其实我很喜欢林依晨。。那天我在说林依晨XXXX 外婆凑过来指着胡歌说 啊。。这个是林依轮啊。。            
(4星)	 星星给杨康~~            
(4星)	 整剧看下来，发现欧阳克是亮点啊。胡歌还是适合这种傻哥哥形象。            
(4星)	 很喜欢林依晨演的黄蓉            
(4星)	 唔，欧阳克太让我心动了。            
(4星)	 靖哥哥脑残欧阳克啊啊啊你怎么能死！！！！杨康去死去死如果少个20集的话就是5星了            
(4星)	 喜欢这版的杨康.同时也喜欢着靖哥哥和蓉儿            
