http://movie.douban.com/subject/1830126/	史努比 The Charlie Brown and Snoopy Show
(5星)	 永远的最爱。“幸福就是一只温暖的小狗。”            
(5星)	 大爱。            
(4星)	 看得集数不多            
(5星)	 喜欢这只沉迷幻想多愁善感的神经质小猎犬。查尔斯舒兹你是不是搞错了，史努比明明应该是双鱼座...            
(4星)	 喜欢 并且小时候连纸巾都买snoopy的TAT            
(5星)	 过。            
(5星)	 虽然现实里并不怎么喜欢狗，但是史努比一直是我的大爱，简单小幸福的代名词            
(5星)	 飞行员snoopy和他的主人loser brown            
(5星)	 Charles M. Schulz 把快乐带给了大家 尽管他自己却那么的不幸            
(5星)	 那个时候最喜欢的史努比。            
(NA)	 史努比             
(5星)	 哈哈~            
(4星)	 原来这么老            
(NA)	 查理布朗            
(4星)	 我还记得，你最喜欢史努比，和绿色。            
(5星)	 记得Charlie Brown中奖中了瓶洗头膏，用不完....            
(5星)	 开始忧郁            
(5星)	 我老公叫查理布朗~\(≧▽≦)/~            
(5星)	 最爱            
(4星)	 : )            
(3星)	 其实我不是特别喜欢这只狗。            
(5星)	 最爱花生豆            
(4星)	 查理布朗与露西            
(5星)	 还要说什么？            
(5星)	 人物走路的样子做得太神了！            
(4星)	 “少了我，世界还有什么乐趣。”            
(5星)	 太喜欢了            
(5星)	 一只曾经一度非常喜欢的小动物~            
(5星)	 cutee            
(4星)	 偏执的小家伙            
(5星)	 精彩中的精彩!            
(5星)	 没理由的查理布朗那样的小孩            
(4星)	 世界上最出名的狗狗            
(4星)	 大兒童            
(5星)	 幼年的精神支柱？            
(NA)	 太难忘了，这部片，还有《鬼马小精灵》            
(4星)	 我当年买的盗版的...捂脸....            
(5星)	 很喜欢，很有乡村温情~            
(5星)	 我曾经的最爱            
(5星)	 霸王花。            
(5星)	 所谓的戏剧性一词就来源于花生            
(5星)	 最爱            
(NA)	 南瓜大仙            
(4星)	 相对没有其他几个那么好            
(4星)	 暖暖的            
(4星)	 一只有思想的狗的静态生活            
(4星)	 他发怒的时候我很喜欢~            
(5星)	 ~~            
(5星)	 吐槽点很多啊！大赞这只狗            
(3星)	 上海台的译制版还不错~不过，俺总觉得史努比拽得有点过分 囧            
