http://movie.douban.com/subject/2342552/	少年梁祝
(3星)	 一直没看到结局。多年后我猛然反应过来梁山伯竟然是罗志祥 0 0            
(3星)	 小冰那时候好美            
(NA)	 梁小冰的戏服很好看            
(2星)	 女主比较难看，罗志祥当年真囧。还是江祖平好。            
(3星)	 话说这祝英台还没有她丫鬟好看！～            
(3星)	 這個挺好看 主要是梁小冰好看~            
(5星)	 关于梁山伯与祝英台这两个人，笔者曾看到过有资料这样记载：梁是明代人，祝是南北朝人，两者相隔千年。祝本是侠女，劫富济贫，曾三去马太守家盗银，最后中马之子马文才埋伏死于乱刀之下。百姓将其厚葬并在坟前立碑，正面刻“祝英台女侠之墓”，背面详记其事。年久，该碑下沉于地下。梁为浙江宁波府银县            
(5星)	 梁晓冰！！            
(NA)	 1969和1979的配对            
(2星)	 不要说罗志祥丑 看看当年的他 现在长成这样已经很不容易了            
(3星)	 那时觉得梁小冰好靓女啊。            
(3星)	 我怎么记得只放到九孔被腰斩电视台就不放下去了            
(2星)	 其实我是因为梁小冰才看的..            
(2星)	 烂烂烂！            
(3星)	 虐剧- - 罗志祥呀囧~49比欧弟残不是一点半点。。。。很喜欢他们的衣服。。。。            
(NA)	 江祖平出现的地方都有一道光...            
(3星)	 这个当初是冲着梁小冰去看的。            
(3星)	 我曾经因为这部剧迷过小猪一个礼拜。。。一盘《达人秀》就是证据= =这场爱来的快去的更快，就像我初中同时迷过几个韩国团体一个月- -             
(4星)	 好片是好片，就是太悲情了，看得人揪心。。。结局比较惨的版本。。            
(4星)	 經典！！！！            
(NA)	 了不得!!!!!!!!!!!!!!!!!!!!!!!1儸志祥!!!!!!!!!!!!!!!!!!!!!!!            
(5星)	 主题曲挺好听。九孔挺好笑~            
(4星)	 = =             
(NA)	 罗志祥和欧弟 这...            
(3星)	 小时候看过的，当时还哭了呢            
(2星)	 那个片儿大腕儿云集啊！里面最喜欢六月~            
(3星)	 又一部小时候看的片子，今儿听到主题曲想起来。            
(5星)	 小冰还是不错看的.为什么祖平是蕾丝!为什么.主题曲好听            
(1星)	 感觉好土            
