http://movie.douban.com/subject/4317617/	妮基塔 Nikita
(NA)	 很假的一点就是 尼基塔小时候的胸比她长大以后还要大~            
(5星)	 雖然我是gay，但我覺得Maggie真的很Hot。而且還有演技派的Melinda Clarke，美啊。            
(4星)	 Maggie Q脸也太长胸也太平了吧。。            
(5星)	 只是为了Maggie q            
(1星)	 太低成本太傻逼了！            
(4星)	 第一集看完了 加长版的赤裸特工啊=  =|||            
(4星)	 虽然是炒冷饭，但maggie Q的几个造型一出来，让我很想追看            
(2星)	 Maggie Q老了，据说混血老的快，真的假的？            
(4星)	 第一集除了动作戏比较弱智完全可以打五星了            
(2星)	 两集过后，这剧的脉络也就大体理清了，结局也肯定是尼基塔复仇成功，比这部剧做得好得多的东西有的是，也没必要追下去了。            
(NA)	 没期待，弃            
(3星)	 两集弃            
(2星)	 CW，你在作甚            
(3星)	 动作太假            
(4星)	 Q太有风情了啊             
(4星)	 不管评论怎么讲，我看到了我想看到的东西，找到了我想要的感觉，that&#39;s enough！            
(4星)	None
(5星)	 OH YAH NIKITA!!!LOVE IT!            
(3星)	 爱MQ！初恋回忆里的那个男孩长大了，眼神和动作却跟以前一点没变            
(4星)	 s1e1差点放弃，冲着alex的小模样坚持了下来。慢慢开始理解为什么老美好这口。美女、动作，加上若有若无的阴谋势力，稍微动脑跟着情节走就行。春歇回来之后开始越来越水，季结简直就是糊烂来的，无比二            
(4星)	 完整一次性看下来，一点都不想弃剧的美剧。是我喜欢的风格，情节是我的菜，男女主角什么的我都很爱哈哈哈，等二季更完。尼基塔╭(╯3╰)╮            
(3星)	 好狗血 看看解闷儿罢了             
(2星)	 失败            
(4星)	 爱上Maggie Q~            
(4星)	 真心爱……            
(NA)	 其实我觉得女主长得有点奇怪。            
(4星)	 Maggie Q你瘦成这样，让我情何以堪            
(4星)	 一个潜伏在内、一个破坏在外，两个复仇女神配合无间，是这部剧的主要张力。包办一切坏事势力通天的“组织”，无辜的受害者，以暴易暴、却可能带来更大伤害的伦理困境……            
(4星)	 maggie Q确实是老了~但是不妨碍我喜欢她，故事还是看的下去的            
(4星)	 可看性还不错~死掉的前男友居然叫Daniel，绝对故意的。。。            
(5星)	 如果不是MAGGIE在我心中当了第一女神十来年的话我是绝不会追这部剧的，这个曾经被安妮宝贝誉为“带着倔强忧郁气质的金属质感美女”真不敢相信她能不用替身的亲身上阵完成所有拍摄。看的我挺感动挺震撼的。她用了十年的时间证明了自己绝不单单是那个私生活混乱的无脑鬼妹            
(4星)	 虽然剧情狗血，但是MaggieQ好正！茶余饭后消遣必备剧！            
(4星)	 还不赖，Maggie Q真的老了            
(4星)	 不走脑子地很过瘾啊&gt;&lt;            
(4星)	 呃。。。感觉美剧都这样。。。没啥~            
(4星)	None
(2星)	 你们是怎么看下去的？！            
(5星)	 M身材没的说，正！            
(NA)	 nice，MaggieＱ的一贯强有力的冷艳风格，性感刺激            
(4星)	 这次的故事结构有点新意，情节紧凑，几乎是一口气看完的。值得一看。            
(4星)	 斗来斗去 蛮好看的  但是不能细想全都漏洞            
(NA)	 i am not really into this kind of plot, but i really want to into the feelings of an asia speaks fluent english and be so fit in the society            
(4星)	 太好看了太好看了太好看了!!!!!!!            
(5星)	 NICE，~~            
(5星)	 好            
(5星)	 Lyndsy Fonseca 爱你很久，终于出头            
(4星)	 其实还是挺不错的，有一点当年越狱的感觉。话说动作设计可真烂啊。            
(2星)	  MaggieQ 的脸也太长了吧，啊？？            
(NA)	 失落英雄的时代，无人冠冕，唯独众生俯首称臣。            
(3星)	 虽然说是冲着MaggieQ去看的 虽然说还蛮爱杀手类题材的 但还是有点失望             
(5星)	 MaggieQ太美！！！期待后续~            
(4星)	 这一季的结局我其实不太满意            
(5星)	 期待下一季!!!!!!!            
(4星)	 更新的太慢了吧            
(NA)	 演CIA分析師fletcher的Noah Bean總是remind me老版超人Christopher Reeve啊啊啊...(?).. .!            
(3星)	 虎头蛇尾啊            
(4星)	 Q姐姐老了。。。。            
(3星)	 追不下去            
(3星)	 我冲着Maggie的海报才看的。看了感觉还不错吧~            
(1星)	 编剧弱智，细节白痴，动作幼稚            
(4星)	 近年美剧推出了几部个人英雄动作剧，比如boston leagel出来的律师贴身保镖，比如该剧。Q能够主演美剧也算理所应当，努力终究有回报？你可以这么理解。编剧也是用心设计谜团，算最大看点。另，她的胸为什么越来越小了？相比赤裸特工。            
(4星)	 打不死，吓不倒，关不住，最美艳女特工第一名。期待第二季            
(NA)	 Q            
(5星)	 maggieQ真是火得一腿啊，热辣特工真好看。            
(2星)	 忘了看到十几集了以后要学会马克到具体  难道就算是美国制片出现中国人主演心脏就承受不起了吗混蛋放弃了！            
(4星)	 忘记看到第几集了囧。回归前吧。弃。            
(4星)	 开头和结尾都有点做作，中间都还好。Maggie Q实在是太瘦了，跟彪形大汉对挑怎么看怎么别扭。            
(NA)	 看到后面已经疲软.. 其实没有第二季也是好事             
(3星)	 纯粹为看MaggieQ            
(NA)	 我承认就是看几张脸            
(2星)	 祝鸡排姐像在剧里演的那样，所向披靡，心想事成，万事如意。。。。OTZ            
(4星)	 不错的说。剪辑真赞，镜头几乎没有一秒钟的浪费~~            
(5星)	 美女 特工 美帝 俄國 什麼地 最喜歡了            
(3星)	 人家Maggie Q虽然平胸飞机场难称大波，细胳膊细腿难称打女，但神马叫国际范儿，就是瞪你一眼性感指数就爆棚，扭胯一走还真像那么回事，亚洲血统的美艳女杀手，真是给亚裔争面子。            
(4星)	 bug很多，但也值得看着玩。            
(4星)	 Q姐，你怎么说什么语言都这么流利呢。            
(4星)	 最后一集很不错            
(4星)	 看《纽约，我爱你》的时候就觉得Maggie Q实在是迷人至极，饰演特工的演技也不错。前期尚可，后期的高温剧情令人兴奋不已，最后百转千回胜利永远属于死不掉的N（就像M说的：总是听到你死亡的消息我都听腻了）。吐槽中间一集，不是一直说怀念着死掉前男友么怎么一下子又对M说i luv u？            
(4星)	 尚可一追            
(NA)	 看特工绍特有一大批人说茱莉老了，看尼基塔有一大批人说MQ老了，何必眼光太刻薄，这两个女人不管多老我还是会发自内心称赞她们性感。            
(2星)	 不死的美少女战士，为了世界和平。            
(4星)	 赤裸特工加强版。            
(5星)	 好看死了！            
(3星)	 这样子应该不会有第二季了吧            
(NA)	 迈克尔完全就是模仿莱昂纳多大叔的啊。。严重想看正版迪卡普里奥            
(NA)	 我爱贫乳长腿凶狠妹             
(5星)	 Maggie Q太美了。期待继续啊。。。            
(5星)	 更新的也太慢了吧            
(3星)	 节奏推进得有点怪，给人一种剧情紧赶慢赶的意思。话说，这类题材不是我的菜，我还是中意《Bones》这类查案的。            
(4星)	 看到后面觉得还不错~            
(4星)	 就小打小闹看得还满带劲的= =            
(4星)	 第五集以后剧情越来越紧凑，对人物关系也有了期待，不过q姐演打女总端着“惹我neng死你”的架子，再放松点多好。            
(2星)	 赤裸特工的超长后篇，粗制作，俗剧情，就为了看个MQ，3集弃。            
(4星)	 觉得MaggieQ其实也没那么令人讨厌            
(1星)	 不跟了            
(4星)	 有种隐隐的不给力……            
(3星)	 哦哟，这么无聊的片子我还看得津津有味，真堕落里面阿曼达有句话说得很好：没有外面，走出那扇门，只会发现另一个房间。。。还挺有哲理            
(3星)	 这女人去哪儿，哪儿就得死人，净添乱。P.S.：Maggie Q老矣。            
(3星)	 晚餐必備下飯菜系列~            
(5星)	 第10集开始有点乱            
(3星)	 电视剧本身扯蛋的一逼，只有Maggie Q紧绷的胯部好看            
(3星)	 八集弃，剧情其实蛮无聊的            
