http://movie.douban.com/subject/1826764/	电脑娃娃 Small Wonder
(5星)	 有童年            
(5星)	 小时候看过的！！！！太棒了！！            
(5星)	 经典的回忆            
(5星)	 哇，这都能有。            
(5星)	 太怀念了！！！            
(5星)	 美国电视版阿拉蕾            
(4星)	 你好！再见！            
(4星)	 维姬爱你，哈里叶恨你！~            
(5星)	 还记得小女孩的央视口音            
(5星)	 现在都找不到了            
(NA)	 小时候很喜欢看            
(5星)	 怀念童年的暑假            
(NA)	 极其羡慕她看书翻页那速度！            
(3星)	 不是特别喜欢            
(5星)	 小时候很爱            
(3星)	 特黑色            
(4星)	 那感觉现在回忆起来还很美好            
(5星)	 竟然还有这部。我想起来了。小时候还蛮喜欢的。不过好久好久了啊。最早看得美剧之一吧            
(5星)	 谁还记得这部美剧？我小时候每天放学开电视必看节目~~科科科！            
(4星)	 哇，连这个都有……小时候看得，还自己装机器人来着……            
(4星)	 差一点想不起来！！！OMG            
(NA)	 儿时记忆            
(5星)	 好怀念啊。            
(5星)	 童年哇童年            
(5星)	 小时候超迷她那扎得整整齐齐的马尾的！！！            
(5星)	 小学时候的一个笔记本上的娃娃我一直感觉是机器人            
(4星)	 美好的童年！            
(5星)	 我都忘了我看过！            
(5星)	 哈哈 童年的回忆啊~            
(NA)	 绝对是看过但印象不深了呢?            
(5星)	 最早接触的美剧～～            
(4星)	 看介绍这不是阿拉蕾真人版么。。。应该零星看过几集。。            
(5星)	 小时候的片子都很好看的说            
(5星)	 今天看到三胞胎，两女一男，那叫一个帅气            
(5星)	 好玩儿            
(5星)	 .            
(5星)	 一下子就想起来了            
(NA)	 很早很早就开发了loli女仆梦            
(5星)	 还记得一些台词：如果莎士比亚知道了他会在坟墓里转一周的            
(5星)	 小时总以为是真的机器娃娃            
(NA)	 模模糊糊的印象 但小時候很喜歡看            
(4星)	 蛮搞笑 小时候看得蛮开心 不知道现在看啥米感觉细细            
(NA)	 小时候老喜欢了            
(NA)	 小时候看的            
(NA)	 超童年            
(5星)	 小时候喜欢看的,印象超深刻. 为什么很多人说没有看过?惊了!            
(5星)	 找了好久好久好久好久好久了~~还想再看：给我一个J，给我一个a，给我一个m，给我一个i，给我一个e，给我一个大吉米~            
(5星)	 好看！！！！！只要遇到也看过这部的人就忍不住荡漾起来~~~~            
(5星)	 小时候特别喜欢看这个！满脸雀斑的哈利叶总是缠着吉米：我要吉！我要米！我要吉！米！。。我要恋！我要人！我要恋！人！。。吉米对她说：我说没！我说门！我说没！门！            
(5星)	 那个擦·············看过这部 很小的时候！！！！！！！！！！！找了好久了啊啊啊啊啊            
(5星)	 隔壁家满脸雀斑的小姑娘叫哈莉叶            
(4星)	 美好的童年回忆啊！            
(5星)	 应该是看的第一部美剧了，哈哈～～～            
(5星)	 小时候巨喜欢~            
(4星)	 昨天还在想这部片子却怎么都想不起片名，今天它自己主动跳入我眼帘            
(5星)	 伟大的矮个子超级投篮手万岁！            
(5星)	 儿时的回忆，同时还有一部关于小人国的电视剧。。。            
(5星)	 从小哈LOLI！            
(4星)	 小时候的记忆。老会想起来。            
(NA)	 我小时候总演，我还想看            
(5星)	 这个更早，好怀念~~~            
(3星)	 哈哈            
(NA)	 童年回憶啊，超級歡樂的，好想重溫～印象最深是長雀斑的哈麗葉強吻喬恩，還有他們一起演羅密歐與朱麗葉。。。            
(3星)	 回不去的童年            
(5星)	 这辈子看的第一个美剧，维基把我给萌死了~~~~~            
(5星)	 好遥远的记忆了            
(4星)	 怀念一下            
(5星)	 想起小时候。。。。算是有记忆起看的第一出美剧了吧            
(5星)	 终于找到这部片了，小时候和老哥每天放学奔回家守在电视机前面等的就是它，记得小时候笑的超high~有机会重温·            
(5星)	 超爱那机器娃娃            
(NA)	 原來我小時候也優看美劇。。。            
(4星)	 好怀念~~            
(NA)	 只是童年的记忆，不知道为什么记忆力如此之差的我竟然还记得这部剧            
(5星)	 第一部美剧。。。大爱啊。。。            
(4星)	 那个小女孩超可爱～            
(5星)	 我的小学时光            
(5星)	 经典，童年回忆            
(5星)	 我爱雀斑..            
(5星)	 好怀旧 好怀旧 小时候超爱 啊啊啊            
(5星)	 找了很多年了 很喜欢 只是再也看不到中文版的了……            
(4星)	 我想看这个！！            
(4星)	 大辫子雀斑女孩的笑声太渗人了。。。            
(5星)	 跟成长的烦恼一块儿看的            
(5星)	 啊——啊——！！！            
(NA)	 经典中的经典            
(4星)	 好看呐            
(4星)	 啊啊啊啊啊啊啊啊 太怀念啦 原来自己那么小就看美剧啦~~            
(5星)	 小学时曾经在电视台看过的一部美剧 现在怎么也找不到了  很想再看一遍            
(4星)	 遥远的记忆~            
(5星)	 超级搞笑            
(5星)	 娃哈哈哈～小时候看的，居然翻到，果然应该批阅老动画小组～            
(5星)	 小的时候看过，真得太喜欢了            
(3星)	 念小学时 这个很红的。这个机器娃娃帮男孩写作业 超快~            
(4星)	 全家都很喜欢            
(4星)	 卡哇依！            
(5星)	 小时候好喜欢            
(5星)	 这是我小时候的片子呀~555好感动~            
(5星)	 太好了！我还以为这里没有电脑娃娃！我超级喜欢这个片子！！！            
(4星)	 搞笑死了～～～            
(NA)	 哈莉叶            
(5星)	 还是上学时候在家看的。看第二遍的时候，记得是中午播出，然后看着钟祈祷下午上学不要迟到。。。。。。说话永远一个腔调的漂亮的小姑娘给我留下了很深的印象。            
(4星)	 这么年代久远的电视剧都被我找到了，小学的时候湖北台老放！            
(NA)	 颁给Small Wonder小时候最爱看美剧奖            
(4星)	 居然在破产女孩里看到这个片子的英文名字(*￣︶￣)y去下            
(NA)	 这个太好看了  记得不            
(NA)	 就是这个             
(5星)	 这就是我看过的第一个美剧啊！！！            
(5星)	 让我铭记到现在的可爱美剧!!!上帝啊,直到现在我还在看美剧都是为了这部可爱到极点的片子啊~~~~            
