http://movie.douban.com/subject/1786742/	情深深雨濛濛
(3星)	 何书桓沉痛地说：八年抗战就要开始了~            
(4星)	 “书桓走的第一天，想他；书桓走的第二天，想他想他；书桓走的第三天，想他想他想他。” =。=            
(4星)	 最后那长达好几分钟的在围观之中的吻让我很是无语……            
(3星)	 古巨基光唱《好想好想》唱了五六年，唱得自己都不好意思了。            
(4星)	 四星是因为赵薇演的很好，曾经赚了年少的我很多眼泪。            
(4星)	 王雪琴被打那段...啧啧啧,看了一遍又一遍            
(3星)	 换了古巨基还能多一星。。。            
(4星)	 当年还每集必追了            
(5星)	 怀念李钰 怀念方瑜 喜欢依萍的那首 方瑜方瑜 请你请你 不要把我清忘记            
(4星)	 演员选得蛮成功，姑娘们那红色的眼影啊哇塞真是销魂            
(4星)	 我找不到我的刺了。            
(5星)	 你还记得当年那句。。我的刺我的刺。。。么阿哈哈哈哈哈iiiiiiiiiiiiiiiii            
(4星)	 高三那年晚自习回来每天看两集……            
(4星)	 其实我爱陆依萍的个性。野性，坚定，深情。            
(3星)	 还挺喜欢里面的苏有朋            
(3星)	 我曾经狠痴迷。。。            
(4星)	 依萍。            
(2星)	 “好想好想，好想好想，好想好想说你真难看~~”            
(2星)	 著名囧片之二。            
(4星)	 中考。。            
(4星)	 书桓你不要动，让我飞奔过去撞死你！            
(5星)	 诶我真的喜欢看。            
(4星)	 经典。            
(3星)	 虽然恶心，但是我还是看下来了……            
(4星)	 因为李钰，我找回来了这部~            
(5星)	 看了无数遍了,喜欢依萍这个角色,因为缺点,所以真实,所以活的完美            
(3星)	 其实很歌舞片啊            
(3星)	 和还珠差很多耶            
(5星)	 还是很喜欢            
(4星)	 每到重播我还是会看.....            
(3星)	 完全不觉得好看,但是感觉拍的不错....            
(4星)	 小时候很爱看啊！            
(3星)	 我觉得蛮好看的啊            
(4星)	 看得也是满激动的说            
(5星)	 琼瑶剧的再次经典～            
(2星)	 这片儿一播马上换台            
(5星)	 经典。            
(3星)	 又开始讨厌一票人。            
(3星)	 赵薇刚出场两个辫子的造型我很喜欢            
(2星)	 琼瑶阿姨，你还要恶心我们几辈子？            
(5星)	 不解释，现在就叫雷。以前就爱看的要死，每个台都放我就每个台都看。            
(3星)	 2001年……            
(1星)	 典型的肥皂剧，曾经很受小孩子们追捧，但剧情真的经不起推敲。琼瑶大妈作品。            
(1星)	 依萍，表动，我跑过来！= =|||            
(3星)	 原著好看多了，都死光了。            
(2星)	 何书桓沉痛地说：八年抗战就要开始了            
(4星)	 ！！！！！！！            
(4星)	 我读高中时候央视一套每年寒暑假下午都放这个，恶心死了！            
(4星)	 那些打一星的扪心自问 当初放的时候是不是看的津津有味 现在却开始嘲笑了！            
(3星)	 依萍！！！！！！！！！！            
(3星)	 这个还看完了的 大象打屁是什么?            
(1星)	 古巨鸡太黛比了，，            
(3星)	 当年看的时候觉得很傻……            
(4星)	 = =。我爱苏有朋~            
(4星)	 有些情節過於矯情 還是不錯看的            
(NA)	 哈哈哈            
(3星)	 假假的，受不了某些台词，但是喜欢陆依萍            
(2星)	 雷。。。只为杜飞。。。也还是雷            
(3星)	 嚯嚯            
