http://movie.douban.com/subject/2224160/	宠物情缘
(4星)	 ROCKY配音—陈奕迅  豆豆配音—杨千嬅            
(5星)	 天，当时看的时候都不认识杨千嬅陈医生啊……5555            
(NA)	 诶呀。。相当地怀念啊            
(4星)	 没什么印象了。。只记得很好看            
(5星)	 Rocky同豆豆啊～            
(4星)	 我喜欢大狗            
(4星)	 Sammi演的连续剧啊            
(3星)	 回忆里的夏天  古仔的七分裤            
(3星)	 爱情轻喜剧            
(NA)	 当时超爱．．可惜，现在都没有以前那么经典的电视剧了．．            
(4星)	 sammi难得演出电视剧啊            
(NA)	 好早看过            
(3星)	 很温暖            
(3星)	 三个人谈恋爱都合适            
(3星)	 凑合吧            
(NA)	 很久之前。            
(NA)	 等我租完碟才发现原来电视上面正在放 我可怜的零花钱            
(5星)	 当时就是这部戏喜欢上了郑秀文            
(3星)	 就我没觉得好看            
(3星)	 狗啊~~~~~~~~            
(NA)	 三个都是我喜欢的            
(4星)	 多年轻啊            
(3星)	 喜欢他们的家庭            
(4星)	 黑了之后很帅            
(5星)	 超经典            
(3星)	 10年前的TVB经典组合：宣萱+古仔            
(4星)	 当年很喜欢            
(NA)	 太多年前看的已无印象！            
(3星)	 开始添加TVB...            
(5星)	 好老的了            
(4星)	 萱萱 愛妳！            
(4星)	 TVB自古天乐后还有帅哥么？            
(3星)	 后面太狗血了。            
(4星)	 《真名天子》好好听。            
(5星)	 最喜欢的宣萱的一部看过的sammi的唯一一部电视剧怎能不喜欢            
(2星)	 这个……好古老的回忆            
(NA)	 超喜欢主题曲。超怀念的时代。            
(5星)	 我的回忆·            
(4星)	 小学小学...            
(4星)	 很有爱            
(4星)	 古天乐&amp;MI            
(NA)	 喜欢sammy的发型,两只狗狗..沙滩..大海..夏天..感情...            
(4星)	 难得一部戏里两个女猪都不让我反感的。很钟意马德钟的那个医生角色。            
(3星)	 豆豆好得意啊！！！            
(4星)	 很温馨的剧。            
(3星)	 很温情小品的剧，郑秀文在里面的造型现在来看都是经典的            
(NA)	 以前坐电视机前多么有爱啊            
(4星)	 矮油小爱情            
(NA)	 现在还记得那个借影KISS镜头            
(4星)	 不肯相信是古天乐哦。。            
(NA)	 那個sammi的狗狗配音就是千嬅啊~！            
(5星)	 很好看很真挚欸             
(3星)	 可以            
(5星)	 12.25的夜晚突然想起小时候看过的这部港剧，特别温暖开心的感觉，以前晚上老守在电视机前看来着，真想重温。            
(NA)	 第一次觉得女人有型            
(4星)	 好喜欢susan啊            
(NA)	 我爱宣萱            
(NA)	 ( ⊙o⊙ )原来这个叫宠物情缘==哦我以前看过了！orz            
(4星)	 纯情永远不过时。            
(5星)	 原來好喜歡            
(NA)	 那时候 巨喜欢            
(NA)	 当年那条狗萌死我了            
(NA)	 冤家 夏天··            
(4星)	 重新回味 女狗是千fa配音 男狗是Eason哒哒~~            
(4星)	 有幾首插曲時不時會想起。清清新新于鏡里的我            
(4星)	 在那时候我还是很喜欢看的 .            
(5星)	 儿时的经典            
(NA)	 千嬅配音的豆豆            
(4星)	 忘记了，不过当年看的很嗨            
(2星)	 较早的偶像剧            
(5星)	 非常好看的港剧之一            
(NA)	 好像看了三遍吧 黑得好夸张            
(3星)	 喜欢那两只狗，Rocky很帅。            
(4星)	 有sammi~!            
(4星)	 小时候很喜欢 可是现在的我为什么那么讨厌狗呢            
(3星)	 狮子女+天秤男+狮子女            
(4星)	 那时的Sammi还蛮美的..            
(4星)	 那首主题曲我还特意去学了～喜欢！            
(5星)	 最好看了。。。从这部开始难以抑制的讨厌宣萱            
(NA)	 傻傻的            
(4星)	 到现在还是最喜欢这出戏的狗狗配音~            
(NA)	 有些缘分，有些往事。            
(3星)	 记得主题曲是《真命天子》我很喜欢。            
(NA)	 嗯.很遥远的回忆~~            
(NA)	 还是你比他懂得亲我，比他依恋我            
(3星)	 当时对这部电视剧是喜欢的，尽管我挺怕狼狗……            
(5星)	 也是经典剧集吧 里面的狗狗很可爱            
(5星)	 3个人,3个人...            
(3星)	 看的不完整，但确实比较一般            
(NA)	 狗狗比较可爱            
(3星)	 喜欢宣萱            
(4星)	 古天乐和宣宣。            
(3星)	 好多狗儿~~~            
(5星)	 從此愛上古天樂            
(4星)	 萱萱和古仔 我都很喜欢            
(4星)	 我要养狗~~古天乐还是很帅的~            
(4星)	 看了一点            
(5星)	 每天中午都跟我妹一起跟…………            
(3星)	 不喜欢萱萱            
(3星)	 和舅妈每天晚上一起看。            
(4星)	 偶當年還是SAMMI的粉絲，不過這部戲偶更喜歡宣萱            
(NA)	 小学五年级暑假看的,那时候特别崇拜古天乐,可能是他长得象我暗恋的一个小男生吧            
(NA)	 MI            
(4星)	 三個主角我都喜歡。。。給兩只狗配音的分別是楊千嬅和陳奕迅。。。            
(3星)	 经典            
(NA)	 清凉小品。古+宣经典配。郑秀文和整体风格不搭～            
(3星)	 我觉得这电视剧傻傻的，看的时候只是希望古天乐和宣萱在一起            
(3星)	 老片子啦，将就            
(2星)	 始終看不下去            
(3星)	 宠物情缘            
(NA)	 古天乐。不错~            
(5星)	 居然有陈奕迅……………………            
(4星)	 三色台难得的夏日清新之作....            
(4星)	 虽然不记得剧情了 但是这个演员表值四颗星            
(NA)	 不喜欢郑秀文在里面的角色傻不啦叽的还做作            
(4星)	 ???陈奕迅？？？杨千嬅？？为什么我没印象啊啊！            
(NA)	 【1999-02-01】            
(3星)	 小时候看的啦~~            
(4星)	 当时很喜欢啊！！！            
(3星)	 喜欢古天乐可一直不喜欢萱萱啊            
(5星)	 当年的经典，电视台也是一播再播。。。            
(4星)	 宣萱的缅甸可爱 SAMMI的浪漫直率 古仔的不羁潇洒 还有小帆船 金灿灿的落日 傍晚的沙滩            
(5星)	 清新剧，非常喜欢，演员很好。唯一一个两好朋友喜欢上同一个人，结局最喜欢的电视剧。            
(5星)	 每个晚上追着看            
(4星)	 好久之前的记忆了哦。            
(5星)	 偶们年轻的时候看的，吼吼吼，因为这个才认识的郑秀文。            
(3星)	None
(3星)	 啊哈 又想起来一个  排队 等着看            
(3星)	 诶小帅哥~！            
(NA)	 初一暑假~萱萱和画室            
(3星)	 林峰林峰            
(3星)	 古萱档，Sammi成了炮灰            
(4星)	 我喜欢郑秀文的susan            
(3星)	 小时候真的很喜欢＞▽＜             
(3星)	 主题曲好听，电视剧一般，三个演员都是喜欢的。            
(5星)	 记得当时是看宣萱和古天乐，但里面的狗狗都好萌。现在看演员表，陈医生也在里面吗？？？            
(5星)	 青春无敌。小狗无敌            
(4星)	 那时候真有爱            
(5星)	 古仔宣萱好搭            
(5星)	 高二升高三暑假时看的,看完后一阵清凉啊.谁能在KTV为我K一下主题歌,我愿以身相许,男的也行!            
(3星)	 MI啊MI            
(3星)	 好早的剧，那个时候还不认识郑秀文&gt;&lt;            
(4星)	 这里面有陈奕迅？还有那个女警官长得不错啊~~            
(3星)	 突然发现我那销魂的童年也看过不少TVB的剧            
(4星)	 青春期暑假的回忆。            
(3星)	 金毛            
(5星)	 原来是这部啊=3=            
(NA)	 后来发现原来是韦家辉写的！            
(4星)	 很怀念的一部片             
(5星)	 我喜欢宣萱            
(4星)	 不错~好看            
(5星)	 爱死了爱死了爱死了            
(3星)	 这个n早前看的了，应该还行~            
(4星)	 我还记得我跟姐姐躺在床上，她指着Sammi说她老烦的，老破坏人家。            
(4星)	 我最喜欢古仔这个时候的模样了 不知道为什么            
(NA)	 Long long ago            
(4星)	 还想再看一遍~~~            
(NA)	 首歌 又红咗啦 再次觉得我睇果时唔止九岁            
(5星)	 爱Sammi，爱宣萱。            
(4星)	 那一年，我超迷郑秀文。            
(NA)	 算经典剧吧            
