http://movie.douban.com/subject/3016201/	我的淘气王子 惡魔在身邊
(NA)	记得最先看的是漫画版本~演杨丞琳她妈的那个台湾女演员实在是相当相当面熟啊
(3星)	杨丞琳的电视一向只有一般弱智和很弱智的区别。
(3星)	我原来看过这么多囧片
(3星)	以后还是少看这些偶像剧为妙!
(4星)	 台湾偶像剧 
(4星)	虽然情节真的很偶像剧，可是丞琳和小美这对couple看起来很养眼，呵呵
(3星)	我的淘气王子……恶寒~
(4星)	还是喜欢恶魔在身边，小美真美～～
(1星)	杨丞琳my ass
(2星)	= =莫名其妙什么有的没的
(3星)	来来来大家都不食人间烟火尽情地姐弟恋吧。。。
(3星)	发型…………………………
(1星)	贺军翔的头发真难看。
(1星)	都不能看
(NA)	一样的脸庞。让我想起。
(5星)	小美太帅啦！！！！
(1星)	齐悦的妈妈真吓人。。。
(4星)	几年前看的~我是真的很喜欢贺小美啊啊锤地。。。。杨丞琳抽搐的脸也好好笑的。。。。。剩蛋就在家重看这个吧(๑◕ܫ￩๑)b
(4星)	初中时候的大爱。
(3星)	杨丞琳就是比那傻逼王心凌有气场，虽然她脑残。
(NA)	杨丞琳啊杨丞琳……
(NA)	這噁心的内地版戯名
(2星)	哈哈哈哈哈
(NA)	女主角跟姐姐我一个姓。
(NA)	补遗      
(3星)	我现在真的是空虚至极啊= =
(3星)	帅
(3星)	我老了
(3星)	大三
(NA)	晕~~~
(3星)	等待恶作剧之吻的空档期看了这片子。所幸烂得还有点意思。
(3星)	如果恶魔的心被伤了，那就不再是一个人的专属恶魔了
(3星)	无聊的寒假
(3星)	杨承琳在里面挺可爱的
(2星)	我一直觉得这剧很莫名
(3星)	我当时一直注意那个增山裕记来着
(3星)	我又犯了配角控！
(4星)	贺军翔和杨丞琳搭档不错。
(2星)	全是傻B
(5星)	爱死小美
(4星)	喜欢杨丞琳在里面的所有衣服。，这是她最好的片子了吧
(4星)	话说老妈把贺军翔所有的剧都看完了……
(NA)	“大哥猛，二哥让，弟弟叫小强！”
(2星)	贺军翔多一颗·结果被杨丞琳减一颗~
(1星)	我真不想承认我看过几集这个orz
(4星)	他们合作的三部戏里面最好看就是这出了。
(3星)	姐弟恋啊姐弟恋。
(1星)	呸。我是来打分的。
(3星)	MS是我唯一看过的台剧。。。。贺军翔长得还行
(3星)	演得跟要抽筋似的。
(1星)	背景歌几好睇
(1星)	讨厌杨装装- -
(2星)	看過最不像人演得劇
(NA)	做作。
(1星)	贺军翔这个发型！！！
(1星)	有杨丞琳的剧必囧。。。
(4星)	这部剧让人看得粉过瘾
(4星)	竟然会为了结局看到凌晨3点，连自己都没想到。也许他真的让我想起了什么，那些我自己都快要忘记的事情。下一次，绝对不会再错过你，绝对！
(3星)	老妈说贺军翔很帅。。
(4星)	小美~
(4星)	大陆版的名字搞的还真是挺恶心的。。
(1星)	恶心的杨丞琳
(2星)	花癡偶像劇代表作之一
(NA)	多恶心的片儿~
(3星)	海报太难看了吧
(3星)	灰姑娘的故事千年受欢迎的
(3星)	台湾制造。
(2星)	好薄弱的剧情。
(4星)	年经时候的记忆
(1星)	被同学逼着硬是看完了…
(4星)	小美的脸是唯一看点~
(2星)	当时莫名魔障了，为了主题曲插曲快进飞速看完，收获了王传一。
(3星)	剧情还不错啦~~嘻嘻
(NA)	额~~~都看过~当时还看的劲儿劲儿的
(3星)	无聊透顶就看~要不就不要自我降低智商了
(3星)	唉……看了就是看了……暧昧写得不错的，但好像和剧情没什么关系
(3星)	无法忘记贺军翔的恶魔式笑容，实在是太可怕了。
(NA)	第一部認真看下來的臺劇
(3星)	俊男美女 ……烂剧情
(1星)	不喜欢。
(3星)	我的三老公啊~
(2星)	杨丞琳真的做作得可以。
(3星)	虽然很做作,但是台湾偶像剧确实比大陆拍得好~~
(3星)	丞琳好漂亮喔~ 。.. 第3集很好看的,有小美向小一告白耶~ 还有超浪漫的阻街亲吻,~ 然后第10集阿,小美又向小一深度示爱~
(4星)	只是 暂时 
(2星)	第一次正经接触台湾偶像剧还觉得特震撼特好看..久了以后觉得特SB.
(1星)	差~恶
(NA)	喜欢恶魔
(1星)	脑残教主~~~要多残有多残~~从人物残到打扮残到剧情~
(NA)	傻。。
(4星)	电视剧 
(1星)	妈呀~ 怎么可以这么难看!!!  &gt;////&lt;湖南卫视你表再放啦!!!!!!!! 
(NA)	 恶魔在身边 
(NA)	我发现这样的片子真是很烂。也不知道以前怎么会看。
(5星)	爱他。
(NA)	很台湾，很偶像。
(NA)	还行...
(4星)	虽然知道大家都不喜欢杨丞琳但实在喜欢她里面的造型.可爱到死了.贺军翔演的阿猛是我喜欢暴力男的开始.
(NA)	去年看了一下。一般消遣
(5星)	惡魔在身邊
(3星)	偶像剧嘛，很无聊，很美好~高中时候看的，看完脚的贺军翔好帅
(NA)	看过了
