http://movie.douban.com/subject/2248757/	铁齿铜牙纪晓岚
(4星)	 天朝第一腐剧。。            
(NA)	 好基友好损友一辈子            
(4星)	 其实还不错，中国式的机智。            
(4星)	 别当真——只是优秀的古装剧，不是优秀的历史剧！            
(4星)	 我很喜欢这种类型的电视剧，可是适可而止吧，拍得太多了~~            
(3星)	 总算是个不得不看电视时的选择。            
(4星)	 一开始还挺喜欢 多了就腻歪了 尤其是自此之后 古装一古脑都上马了 看的挺烦的            
(3星)	 印象比较深刻的是漂亮又泼辣的袁立，还有温柔娴静的杨丽菁            
(NA)	 当时还挺喜欢看的，发现纪晓岚总是任务多多            
(3星)	 陪父母看的，有点贫            
(3星)	 全民搞笑时代堕落的开始            
(NA)	 我爸的挚爱~~            
(5星)	 莫说百无一用是书生            
(3星)	 护齿节目～            
(3星)	 陪妈妈看的片            
(3星)	 小月那时候还是不错的            
(3星)	 一部不如一部，最后越来越无聊了            
(5星)	 和珅！            
(5星)	 谁敢说三个老爷们儿不是一台戏？ | 苏卿怜就是演《上官婉儿》的阮丹宁？！            
(3星)	 不如刘罗锅好看.里面有个摔哥            
(3星)	 虽然粗糙，但是在那个时期相比还算能看            
(5星)	 ﹃_﹃我还买过4套碟，所以我那时候是有多喜欢纪晓岚啊！            
(5星)	 很喜欢。            
(4星)	 我爷爷最喜欢的电视剧  我总喜欢他看这剧笑的样子            
(4星)	 过。            
(5星)	 作为暑假消磨时间的最佳电视剧……            
(3星)	 备忘Mark。借此怀念一下儿时玩伴江立哥哥。            
(4星)	 看過第一部也行了            
(5星)	 陪爷爷看的            
(NA)	 陪我妈看的 每次电视上播我妈就要看= =            
(5星)	 这个当时123都有追但是说实在真的要开头开始看才好，后来的几部电视上放中间开始看都不知道讲什么。            
(4星)	 赤裸裸的三角恋...            
(4星)	 三个大叔的黄昏三角恋...哈哈哈            
(4星)	 怎么总是王刚在演和珅 和珅明明是一美青年的说            
(4星)	 貌似还记得当时电视一天3集连播。。。            
(4星)	 冲着机智幽默的台词给了四星。            
(5星)	 铁三角            
(3星)	 。。。            
(4星)	 最近室友在看，旁边回顾下。            
(4星)	 这个必须看过啊~铁三角            
(4星)	 还是很不错的！            
(3星)	 看两个臣子在斗智，为了官与民，为了一己私利，奸臣忠臣从来都是相互左右，互相衬托互相利用。内地影视剧对古装戏一向是偏爱有加，无论是武打还是朝廷，好的收视率就是见证。被定格角色的两个人衬托着多变的张国立，把纪晓岚的生活戏剧化无限度加深，有点偏离轨道。            
(3星)	 还好吧，戏说戏说……            
(4星)	 三部里第一部是最好的。笑到肚子疼~            
(4星)	 靠我怎能都看过            
(4星)	 遥远的印象，感觉还好            
(4星)	 铁三角啊~            
(3星)	 简直把纪昀写成神了            
(5星)	 很喜欢的！            
(4星)	 书生其实也是很有用的。            
(3星)	 萌杜小月            
(5星)	 好基友一辈子            
(4星)	 這個我喜歡！            
(4星)	 小时候看还是相当搞笑的            
(5星)	 第一部还是很好看的            
(3星)	 吃饭的时候可以看着玩。            
(5星)	 我觉得戏说中最好的一部~            
(4星)	 我很喜欢铁三角的            
(NA)	 看过些些            
(4星)	 这个应该来说还是很不错的~            
(5星)	 还用介绍吗……            
(5星)	 第一部是最好的。            
(5星)	 就是爱看，就是好看。            
(4星)	 童年。★★★★            
(3星)	 摩羯男+摩羯男+双子男            
(5星)	 和父亲一同看过            
(5星)	 第一部最灵了。。鱼。胖头鱼。            
(2星)	 很浪费时间            
(4星)	 挺好笑的。            
(3星)	 我能说我腻味这个么？            
(4星)	 妈的，我爱杜小月~            
(4星)	 喜欢看两个人斗嘴。            
(NA)	 此后一看他两人就恶心，外加邓婕，本来王熙凤还蛮好的。            
(4星)	 不错。            
(5星)	 百看不厌            
(5星)	 喜欢、喜欢。            
(3星)	 多年以后看王刚演的和珅，唉唉唉。。。            
(5星)	 改变了我不看国产剧的历史            
(5星)	 好片子,太喜欢了,张国立偶像啊^^~~~            
(3星)	 唯一能看的是和大人            
(3星)	 其实啊，张国立这人没这么简单。            
(4星)	 两位张伯伯 外带一个王刚 感觉就是 嘿 人齐了            
(4星)	 纪晓岚是聪明呀 和珅是可爱呀            
(5星)	 看了无数遍，好玩啊            
(4星)	 我的笑点            
(3星)	 很娱乐            
(4星)	 其实蛮搞笑的            
(4星)	 很喜欢纪晓岚与和绅斗嘴。            
(NA)	 国产电视剧            
(4星)	 中国大陆            
(NA)	 逗            
(4星)	 [昔日所看]            
(NA)	 铁齿铜牙纪晓岚1            
(NA)	 有一段时间每个台都在播一不留神就看到了            
(NA)	 无聊的片子，但是三个男人的幽默，还是值得看的，出来混的迟早要还的            
(3星)	 电视剧            
(4星)	  张国立 王刚  张铁林 组合             
(5星)	 津津有味. 老少皆宜.            
(4星)	 当时我充满正义感的            
(2星)	 我就喜欢和申。            
(3星)	 外公喜欢看。            
(NA)	 其实我对这部戏蛮友爱的            
(4星)	 逗闷子的调子            
(NA)	 妙语连珠            
(3星)	 一般            
(3星)	 铁三角.            
(4星)	 非常不错，台词很智慧            
(4星)	 蛮好笑的哎            
(NA)	 有些夸张， 不过还能接受            
