http://movie.douban.com/subject/2301064/	五星大饭店
(NA)	 没仔细，觉得空。可配乐真不错。            
(2星)	 鬼片......            
(4星)	 不错~!            
(3星)	 当年对张峻宁的角色多么看好。。            
(3星)	 原来不仅有太监帖，还有太监电影。            
(NA)	 也不知道编剧导演是谁毁了谁            
(2星)	 OMG，我知道你一定很讨厌贾樟柯，不过你也不能就傻成这样吧？你以为多整几条轨道推来推去就能把电视剧变出电影的效果来？你就只看过好莱坞恐怖片儿？            
(2星)	 真實個屁啊            
(3星)	 我喜欢金智爱。            
(3星)	 剧情应该更细致些，麻木了海岩剧一贯的模糊不清的结局。            
(3星)	 一般吧            
(1星)	 太差了，过于追求艺术就是矫情            
(1星)	 感觉海岩这次失手了，真的            
(2星)	 奇怪的是我初看这个剧二眼时，只看到了曹曦文，发散到了海岩剧只用新人这一说，不过既然能用曹曦文为什么不提携一下一直没红起来的牛萌萌，然后镜头就转到牛萌萌了。莫名强大的第六感着实把我自己又惊了一下。牛萌萌同学终于有一个漂亮的时装剧扮相了，可惜演得不好。            
(3星)	 结尾有印象。            
(NA)	 补遗               
(4星)	 诚实的面对他人、真挚的对待爱人、认真的生活，不错的男人，就是有点优柔，面对选择。终于被一切抛弃，无奈的。最后，未完的结局，留下无限可能，是最喜欢的部分。            
(4星)	 真实，是一种信仰            
(4星)	 海岩剧就是好看。            
(3星)	 用我BF的话说：志美小姐和潘的关系就是纱织和星矢的关系。让我们紧密团结在以雅典娜女神为核心的群周围，努力和谐！OH YEAH!            
(4星)	 这个行业就是如此。            
(3星)	 你是一個，真實的，人，嗎？——高三那年我們一起說這句，然後笑到肚痛。一晃已過數年。            
(4星)	 当年可是迷坏了张峻宁            
(NA)	 我怎么看过这么多电视剧!!            
(3星)	 跟老妈一起泡了那个暑假的电影吧！王娟翻唱的那个歌很美。            
(3星)	 海报太好看..........            
(2星)	 以前看的好多电视剧都觉得是浪费时间但好歹都津津有味的看完了。而这部久负盛名的电视剧，我竟然看不下去            
(NA)	 海岩剧最不好看的一部。            
(3星)	 《卧底藏龙》DVD            
(2星)	 海岩的东西怎么变成了这样。越来越差劲了。要不是因为牛萌萌我早不看了，完全一个陈世美的故事。            
(5星)	 张峻宁！            
(4星)	 现实生活！            
(NA)	 爸爸说，你像那个韩国女孩            
(NA)	 海岩制造            
(3星)	 牛萌萌像春晓            
(2星)	 越来越偏向与韩国偶像剧。            
(NA)	 人与人之间的信任，人性！！            
(NA)	 张峻宁，好演员在初出道时都有股特别气质，希望你不要像刘烨同志学习。            
(4星)	 相比剧情，我更喜欢里面的音乐。            
(NA)	 无限遐想            
(3星)	 我爱金志爱            
(3星)	 海岩的东西，还是那么梦幻，情节不错…………，被引诱了            
(2星)	 有的地方做作得难受.            
(NA)	 听说不错就看看，貌似一级也不能缺，但是感觉还是有点拖沓……            
(NA)	 这个片子还可以            
(3星)	 .......................            
(4星)	 最后10集比较好看...            
(3星)	 不好看            
(3星)	 這個...            
(2星)	 烂的如此之可怕，后悔看了它            
(4星)	 ~~            
(4星)	 先看过原书然后看的电视剧，就是结尾让我迷惑的……            
(2星)	 一种生活方式             
(3星)	 看看再评价            
(NA)	 CCTV8 跟老妈一起            
(1星)	 经典gay片            
(NA)	 其实当时挺喜欢张峻宁的            
(3星)	 不真实。张峻宁出没了            
(2星)	 随便看了几眼，演员不太吸引我。            
(3星)	 当时看了一半就不想看了            
(NA)	 三个特轴的女人和一个忒轴的男人的故事，结局就是谁轴到底谁就赢了            
(4星)	 其实是看的剧本。            
(1星)	 一点儿都不真实            
(5星)	 那时的张峻宁无敌了。            
(5星)	 不喜欢最后的结局            
(4星)	 张峻宁            
(4星)	 拍的像韩剧~~~喜欢里面的歌“大雨”            
(4星)	 当初追此剧挺辛苦，现在应该不会随便在看长篇的电视剧了。            
(4星)	 配音很不好。张峻宁太瘦小弱。            
(NA)	 这海报第一反应是 蓝莓之夜 囧。。            
