http://movie.douban.com/subject/4861422/	怪侠一枝梅
(5星)	 白豆腐眼神太销魂了            
(5星)	 难得国产终于有了新概念武侠了，霍建华个小骚货= =小受眼            
(5星)	 第一次给大陆电视剧5星阿。。唐人这次很给力。。尽管剧情仍有硬伤，但是霍gg颜一出，一切都素浮云。。每个角色都很美好，各种萌各种腐各种暗黑各种傲娇。。。            
(3星)	 马天宇的伪娘萌到爆嗷嗷嗷！！唐人又超级给力的开始卖腐，相对于其它国产山寨剧这个算是制作精良。            
(4星)	 除了有点拖之外，真的算是相当不错的武侠片了，主角几个人性格鲜明，没什么惹人厌的圣父圣母情节，没有拖泥带水的三角恋，清爽。我家甘小宁的“公子喜欢~”大爱呀大爱            
(NA)	 诗诗菇凉~            
(5星)	 柴胡X贺小梅（我果然是传统西皮爱好者﹁_﹁）            
(3星)	 耍帅是没有逻辑可言的，认真你就输了。            
(3星)	 特技假了点，场景就那么几个，台词做作了点，霍建华演技欠缺了点，唯一让我坚持看下去的还是我们的诗诗，哦，对了，里面的有个反面，萧公子，演得太入神了，夸奖一下~            
(5星)	 哈搞笑哈好看的轻松连续剧。明朝F4。“公子喜！！！欢！！！”            
(3星)	 还是来硬哥最好了YAY，那对千刀万剐的狗男女啊！怎么会有这么路人的女一号啊！头上那个莫名其妙的带子是什么！            
(5星)	 为什么给五颗星？公子喜欢！！（*@ο@*）             
(5星)	 为儿什儿么儿俺芥末爱你们啊啊啊啊啊啊啊！！！！！！！！！！！！            
(3星)	 贺小梅是亮点~！            
(5星)	 配乐很好             
(5星)	  ~\(≧3≦)/~  刘诗诗真漂亮啊！！！            
(5星)	 硬伤很多，不过为了糖人的进步还是要给5星！又腐又美的，公子喜欢安安安安安安~~            
(NA)	 我来欢度元旦各！不肥皂不看哦！            
(4星)	 建华君真是奇葩，在混迹各种山寨偶像剧山寨武侠剧山寨偶像武侠剧多年之后，还能保持如此清新脱俗出淤泥而不染的气质，实在是让人佩服，另外诗诗姑娘也不错，两人挺配的。            
(4星)	 漫画挺有爱             
(5星)	 不多说了~赞！            
(5星)	 好剧            
(4星)	 虽然粗制滥造，但诗诗让一切变成浮云。            
(NA)	 本届春节消遣项目 之一            
(4星)	 囧囧的台词看不下去了喂~~~~            
(2星)	 哈哈，帅呆了，霍建华和诗诗。马菊花让我吃惊了，还不错，虽然真的很鄙视他。短篇比电视剧好看，看了一半，弃了            
(4星)	 虽然我跳了好几集……但是这个剧亮点还是很多的！马天宇又娘又萌！霍建华还是一如既往地销魂！刘诗诗果然演这种角色比较招我喜欢啊，本来就长得清淡再演温柔型岂不是要淡出鸟来！还有最大亮点来硬哥！来硬哥最高！            
(4星)	 恩  不错 有新意  喜欢刘诗诗和霍建华            
(4星)	 看了前4集，刚好一个单元，还挺好看的喂~好腐啊~马天宇本色出演吧~难得反派没弱智到惨不忍睹，也不是为了坏而坏~又看到佟丽亚打酱油~            
(4星)	 真像Leverage啊，古装贼剧，连人员配置都像，神偷+打手+戏子，就是没有黑客……            
(5星)	 为什么给5颗星？因为公子喜欢！~            
(3星)	 超腐的好吗.....            
(5星)	 不拖沓不胡闹,剪辑流畅,剧情入胜,演员状态渐良好.难得内地好剧!            
(3星)	 无聊的时候看看还不错            
(3星)	 电视剧精剪版。一前一后，故事讲得不错~            
(3星)	 感情小梅还是个受            
(4星)	 喜欢刘诗诗，嘿嘿~~            
(4星)	 开篇节奏把握得很好！剧情很精妙。佟丽娅大美~~            
(3星)	 原来现在电视剧是酱紫的啊 不过不变的还是让人没耐心的拖沓 被迫看电视  还是一个人的生活好啊            
(4星)	 我最喜欢萧正楠，演技长相都好，演变态角色最见功力的好吧。            
(3星)	 好笑。            
(4星)	 有意思            
(NA)	 我喜欢中间穿插的漫画，比一般古装武侠出彩很多            
(4星)	 喜欢诗诗喊梅梅，喜欢梅梅喊歌哥，受不了梅梅喊胡哥...            
(3星)	 那啥，制作还真精良啊，画质真是没话说            
(4星)	 好看，满满的节奏，剪辑和演员也特别好。有情有义有文有武。“我们这群人，注定要先走一步。让世人明白，在妖孽横行的世道里，有一群人，正在为着明天拼命……”            
(4星)	 矮油，好喜欢小梅            
(5星)	 剧情有硬伤，但真是新突破啊。反贪腐是主题，“我准备了100口棺材，99口棺材留给贪官，一口留给自己！”            
(3星)	 要不是梅梅还有离歌笑X应无求的虐恋这两大看点我早就放弃了！！！编剧太烂！！！该死的空山灵咒篇想吓死爹啊！！！            
(NA)	 看了一半            
(5星)	 歌哥，那叫一个腐无求大人。。。你在后半段完全吸引了我的眼球            
(4星)	 因为公子喜欢            
(4星)	 很漫画。虽然情节经不起推敲，但看着蛮清爽。结局稍微水了点，人物塑造却很成功。演员拿捏也很棒。少有的很酷的武侠剧。            
(5星)	 希望会出2            
(5星)	 咱是原版一枝梅的！！！！            
(4星)	 加一星给漫画            
(3星)	 韩剧+美剧+tvb~ 八分是哪出来的?除了霍建华很帅意外~真的不觉得好看……看这个结尾～还有第二部= - = 失败的很            
(5星)	 漫画是亮点            
(2星)	 卖腐  各种傲娇伪娘            
(4星)	 马小侠 好久不见~            
(3星)	 看了电视剧的精缩版1个多小时 还成            
(4星)	 不错噢~~~特别是各个配角都赏心悦目~            
(4星)	 穿插的漫画好看~            
(4星)	 霍美人的眼睫毛哟～～            
(4星)	 真是……又囧又好笑……因为：公子喜欢！！！！            
(5星)	 剧情紧凑 漫画的风格我喜欢  主角形象塑造很鲜明  就是 辣过 动画做的实在.................  额................. 还有我喜欢霍建华(￣0 ￣)y            
(4星)	 情节漏洞百出，不过好歹有情节啊！实在比这么些年内地坑爹的各种翻拍、恶俗古装剧强了不止一百倍啊！偶看到了希望。。。            
(4星)	 又囧又腐 在这个基情四射的年代 算是与时俱进了            
(5星)	 国产武侠拍成这样 确实已经很不错了 虽然还可以好很多            
(4星)	 这不就是古装版的飞天大盗兼神奇四侠么！虽然既没有超能力也没啥技术含量，但是有霍美人！可是情节太拖了，每集都有回忆好烦人，搞得我一直都快进。Youtube实在太给力了有木有！！！当土豆优酷都被block的时候我竟然在油管上发现了一集40分钟不是一段一段10分钟的完整版的一枝梅！            
(4星)	 相爱相杀啊神马的虽然好但是应无求实在喜欢不来坏的很恶心不是俺欣赏的那种坏= =+  所以。。最喜欢的CP还是柴梅╮(￣▽￣&#34;)╭ 。。剧情比起前段时间才看的洪武三十二要给力的多的多。。            
(3星)	 霍马定情之作？！            
(5星)	 很好看啊，剧情老套，却演得不错，姜还是老的辣！特别喜欢里面的插图，好好发展吧！！            
(NA)	 没耐心。还是弃了            
(4星)	 难得的大陆近年来制作精良的“偶像剧”啊~~~漫画很有爱，剧情吐槽点很多，萌点也不少，马天宇演伪娘很尽职，霍小帅扮沧桑男银不比之前的白豆腐差啊~~~最后表扬一下演反角的萧正楠童鞋            
(3星)	 里面的人物尼玛的全都带着脸谱唱大戏啊！！！！！打不死的圣斗士小强有木有！！！！！从土匪赌徒打遍天下无敌手一路感化到嘉靖尼玛真以为你天母下凡啊！！！！！劈碍事：不咆哮鸟，图个热闹好了，插画不错            
(3星)	 竟然看完了= =我是有多无聊。。不过漫画画得不错耶，想起高中看的武侠。。。            
(5星)	 介个不是腐剧还能怎么解释！            
(NA)	 没看完。。觉得太长了。。            
(4星)	 我也鬱悶如憶不選應無求。哎喲喂。應無求多麼一心一意啊。而且這麼好看的劇，在GZ為什麼收視不好。。            
(2星)	 一般            
(5星)	 天宇同学变有爱了～～噢吼吼～～            
(4星)	
(3星)	 萌            
(5星)	 英雄也寂寞啊~~            
(4星)	 那个叫应无求的绝对是个抖M吧！还有里面偶尔出现的不知道是雷点还是笑点的剧情到底是怎样啊！伪娘的声音真细哥哥！            
(5星)	 来硬哥，你真的很给力..  演得太棒了            
(3星)	 春节假期宅了一个礼拜 每天下午基本就在看电视度过 没想到竟然在电视上将此电视剧不知不觉中看完了            
(5星)	 这么好的国产剧有什么理由不给五颗星！父母双亡的反贪官员，“一百口棺材”的论述。。。强拆什么的，多好啊            
(5星)	 啊哈哈哈最爱白豆腐            
(3星)	 IPTV上看的。马天宇让人意外啊。。作为假期电视剧还是不错的            
(4星)	 马天宇还是不错的。            
(3星)	 好像是为了霍建华度身定做的电视剧。            
(NA)	 萧正楠真是萌啊            
(4星)	 情节不拖沓，感情线不狗血。近年内地好看的武侠剧。key point是霍建华颜正啦啦啦。            
(2星)	 八百年看個電視，跟我哥一塊兒瞅了瞅。。。所有男的演員都丑爆了。。女主角那個俠女長得不錯。劇的節奏感太混亂，劇情好弱。。。            
(3星)	 果然就算有萌梅梅在下还是撑不到一半……            
(5星)	 不错的国产剧！            
(4星)	 终于看完了!!!!!!!!!!虽然BUG多多,特效一级烂,为毛还是挺好看的啊!!!!虽然有的部分还是拖沓,但是总体真的算不错了!!!对了,马天宇真是娘得太美了~!!!!            
(4星)	 各种萌各种腐各种雷,我最喜欢柴胡和戏子这一对了.反面的那个奸臣和应无求也很有爱,咳咳,奸臣大人踢人踢得各种萌.            
(5星)	 都是可怜人 终于看完了 睡觉！             
(NA)	 漫画穿插什么够洋气噢 算靠谱呢            
(4星)	 哎呀 我喜欢霍建华~~~~~            
(2星)	 胡哥……            
(4星)	 我勒个去 高难度动作全是漫画……            
(4星)	 没有辜负新概念武侠片的噱头，期待续篇。            
(2星)	 我是被迫看了。。。            
(5星)	 拍得很认真。            
(4星)	 霍!建!华!Σ(⊙▽⊙&#34;a... 卧槽马天宇突然让我惊艳了一下Σ(っ °Д °;)っ             
(5星)	 娘娘腔和大块头不得不说的故事。。。我不喜欢大团圆。。。所以估计电影版的比较帅气。。。我只是喜欢召集各路英雄和虫之患这个充满JQ的故事而已= =            
(4星)	 挺新颖的，不过剧情一般。15集就完美了。            
(3星)	 一颗星给刘诗诗，两颗星给前五集。编剧实在太烂了，情节硬伤太多。            
(4星)	 剧情算一般。喜欢里面漫画穿插的方式，而且漫画也不错呐。 哈~            
(4星)	 的确有点腐&gt;3&lt;（滚） 萧正楠演奸角还是有一套的，霍建华就不说了从初中开始就挺喜欢他，刘诗诗的燕三娘扮相不错性格也不错，所以两人BG有爱。重点是马天宇的贺小梅介尼玛极品受啊，之前对他无感现在是萌点暴涨。去掉一颗星因为荆如忆这个角色好讨厌恩哼。            
(4星)	 离嫂子为虾米就是不肯跟着鹦鹉球呢，还有那一刀一个的打戏酱油们太不给力了呀。            
(3星)	 看了20集。弃了。~            
(NA)	 haibucuo            
(4星)	 剧情什么的逻辑什么的完全不能看。完全就是看我的诗诗霍霍和小梅梅。小梅梅是亮点。            
(5星)	 太帅了太帅了重点是太帅了温柔多情男……= =            
(3星)	 神奇四侠 噗！            
(NA)	 喜欢刘诗诗和 伪娘            
(5星)	 蛮好啊！！！            
(NA)	 既萌且腐。马天宇卖萌一只鼎！无敌嫌弃霍建华和刘诗诗没有激情戏码！！！生气~            
(2星)	 真是雷片。。我是怎么看完的。。            
(4星)	 喜欢离歌笑这种类型的男人，有点像越狱里的michael，总能想办法达到目的。有智慧、有胆量，当然也十分幸运。呆在这样的男人身边必须要有牺牲精神，可如果你在他身边，你会心甘情愿为他去死。            
(3星)	 ....漫画穿插还挺好笑的            
(1星)	 一星只为霍帅哥            
(4星)	 人设卖腐有萌点，故事漏洞也有点。多一颗给公子喜欢CP..............            
(4星)	 画画版好看。            
(3星)	 剧情.演技.造型神马的都是浮云.无时不在摆POSE才是王道,COS漫画            
(NA)	 这才是无聊偶像小白片的典范！比韩剧强不少。            
(5星)	 唐人最会卖腐了~~老胡其实很傲娇呀~~            
(5星)	 虽然剧情是硬伤，但是 诗诗菇凉 你让我惊艳了啊。。。霍建华熬了这么多年，应该出头了。。。萧正楠 是削骨了么 那脸尖的。。。马天宇也不错啊。。。            
(5星)	 基情！！！！            
(2星)	 剧情设计比较烂，开头蛮有趣的。            
(4星)	 離別的時候應該高歌歡笑！            
(4星)	 我觉得马天宇和那个不知道操什么口音的胡哥就是亮点！            
(5星)	 我评分是很小气，但这部电视剧还是责无旁贷地要给五星。各方面都很优，让人回味。看到大陆电视剧的希望了            
(5星)	 非常好看的武侠剧 打戏精彩绝伦 绝情也都是原创的 非常的好看            
(4星)	 堪比子弹飞啊，里面的各个故事貌似在当代都能找到原型哦。编剧藏的够深。            
(5星)	 哈哈哈。。。终于有得看了！~01-07  终于看完了！~总得来说是相当喜欢。有些感情和武打戏的渲染感觉还是有点不够，不知道是不是自己的要求越来越高了。            
(5星)	 从此我喜欢刘诗诗了，喜欢马天宇了，喜欢萧正楠了。好萌小梅啊！歌哥和无求很配！            
(5星)	 简洁有力！画面故事无可挑剔！唐人给力！            
(2星)	 看的电影精简版，等看电视剧。。            
(5星)	 马天宇不错yoyo            
(3星)	 国内能拍成什么样？？？            
