http://movie.douban.com/subject/1459021/	霹雳游侠 Knight Rider
(3星)	 就记得车了……= =|||            
(4星)	 现在只记得那个超帅的车。            
(3星)	 哎呀以前觉得那车好NB            
(5星)	 啊！真想重温！！2009.4.18终于让我给找到了！！想了很久没记起来的，就是这个！！            
(5星)	 童年的美好回忆~~            
(5星)	 小车很会识实务            
(4星)	 ～～～～～～            
(4星)	 哇！麦克的车会说话！            
(5星)	 嗯，算得上是远古时期的美好记忆了            
(NA)	 誰說愛posche只是因為炫有錢？！要怪就怪Knight rider好了。            
(5星)	 那个年代牛b的警官很多~            
(3星)	 几百年前的片子！超酷的车！！            
(5星)	 永远最爱的美剧！！！            
(NA)	 太棒了 美好的记忆            
(5星)	 新世纪GPX高智能方程式赛车受此片影响            
(NA)	 那是个人才辈出的时代            
(4星)	 回忆            
(4星)	 爱死那辆车了！！！            
(5星)	 童年回忆            
(3星)	 人靠豪车马靠鞍，男主角真像个成人影星            
(4星)	 童年啊            
(NA)	 超喜欢。。。。            
(5星)	 儿时必看的连续剧            
(4星)	 当年觉得介车儿真牛叉~            
(5星)	 我爸超爱看的，有酷车又有美女~~~！！！！！！11111            
(3星)	 对男主角的脸过敏……            
(5星)	 在正大剧场收获的好片子。过去最喜欢的电视节目就是正大综艺以及正大剧场，虽然儿时习惯了早睡，但是一看到周日晚上的正大剧场就以各种理由赖着不走，呵呵            
(4星)	 那辆酷车是我童年的梦想            
(4星)	 ohoho，这不是小时候看过的嘛            
(4星)	 好小的时候看的了~            
(4星)	 身材真好            
(4星)	 那音乐，那会说话的汽车。唉~美好的童年！            
(4星)	 那个小姑娘很有味道儿~~~~~~~~~            
(4星)	 关键是鼓打得好。。。            
(4星)	 小时候看过的一部非常经典的美剧。            
(4星)	 小时候看了N遍，导致一度认为Pontiac比Lamborghini牛。。。            
(5星)	 最帅是那辆车 名叫吉他            
(5星)	 小时候特别喜欢的。爱死了啊            
(4星)	 基特儿！            
(4星)	 小时候每天晚上做完作业和老爹老娘一起看的啊            
(5星)	 听说2008版就要出来了,好怀念哦~~好稀饭内智能汽车哦~~哈哈~            
(4星)	 也是刚接上有线电视时的美好回忆            
(4星)	 童年回忆            
(3星)	 .            
(NA)	 nice car..            
(5星)	 突然记起来了！！            
(NA)	 经典            
(4星)	 不是很记得了  不过那个车门竖着开的            
(4星)	 早古～            
(5星)	 小时候巨爱看            
(4星)	 自己会跑的车！            
(4星)	 回忆            
(4星)	 神奇的车，年幼的我            
(3星)	 很神奇            
(3星)	 Mike&amp;Kitt当时觉得Mike好帅            
(5星)	 好小的时候,小学吧            
(5星)	 总之每集的结尾都是男主角的接吻镜头，而且次次对象不同……            
(4星)	 兒時的經典美國連續劇！            
(4星)	 以至于现在很多人不知道这片子叫什么名字的时候都问 小时候你看过一电视剧吗 一辆汽车会说话 还老闪红灯            
(NA)	 小时看的            
(5星)	 这是童年时候的我爸爸。。。我一直觉得和我爸爸长得好像。。。            
(5星)	 童年的记忆和愿望,有个这样的车多好!            
(NA)	 我们全家一起扛的~~~            
(5星)	 哎呀经典内牛啊！！            
(3星)	 童年记忆呗            
(4星)	 小时候就梦想有一辆那样的车子！！            
(NA)	 ！！！            
(5星)	 很给力，全是回忆！！！！            
(3星)	 我爹当年是多先进看美剧。。            
(5星)	 我觉得它应该是变形金刚的鼻祖哎。。。            
(4星)	 小时候的好印象美剧，只记得当时觉得那车特牛逼。            
(5星)	 太经典，音乐一直难忘。            
(5星)	 小时候凌晨两点 眯着眼睛 假装睡觉看的哈哈哈            
(5星)	 记得那时候天天追着看            
(5星)	 儿时的记忆，每次去哥哥家都要看这部电视剧，当时还是录像带的。。。            
(4星)	 memory            
(5星)	 这车帅。。。82年就知道仿AI了。。。            
(NA)	 我总算打听到这剧的名字            
(4星)	 他的车！！！儿时的梦想啊。。。            
(4星)	 当年那车印象挺深的            
(NA)	 小时候最喜欢的！！哇哇，那会说话的车啊111            
(4星)	 会说话的车            
(NA)	 这是多么珍贵的回忆啊              
(4星)	 那车帅到一种境界了…            
(5星)	 童年的美好记忆之一            
(NA)	 小时候觉得汽车能说话真NB。。。。。。            
(4星)	 现在就很想知道这车什么牌子改装的            
(4星)	 小时候萌死那辆车了~。。。            
(5星)	 不管是男主角还是车主角，小时候都觉得帅呆了            
(NA)	 ~~小时候看过~~            
(4星)	 怀旧一下            
(5星)	 经典，经久不衰            
(NA)	 小学的时候看过，要十多年前了吧。但始终记得，当时觉得特别好看。            
(5星)	 今天看Ruby on Rails的时候那书中提到，那辆实例化的会说话的车陪伴我的激情童年            
(4星)	 繼續被翻出來的電視劇～ 記得當時我多想和主角一樣啊～            
(4星)	 小时候好喜欢呀            
