http://movie.douban.com/subject/1294791/	机器战警 RoboCop
(5星)	 Et-209不会下楼梯！~            
(4星)	 额就记得被腐蚀的镜头了。。。儿时梦魇。。。            
(5星)	 童年的钢铁侠            
(5星)	 小时候很喜欢            
(5星)	 小时候感觉有点迷幻的悲伤..三部            
(4星)	 小时候常看            
(4星)	 其钢铁外形及气质符合男人对力量的所有幻想~            
(5星)	 回味            
(5星)	 给了我一个能回忆的并充满回忆和惊喜的在PREMIER INN的晚上!~            
(3星)	 小时候觉得很high~            
(NA)	 呵呵和阿公一起看的片子呢～            
(4星)	 这可能是我小时候看的第一部美国电影            
(4星)	 喜欢吃婴儿食品的光头机器人            
(4星)	 小时候看觉得很感人，对里面的吃屎印象很深            
(3星)	 打不死的墨菲警官～            
(4星)	 莫菲!            
(4星)	 看得很痛快            
(3星)	 连看了2次，一次正常看，一次导演评论音轨看，人生第一次呀。            
(5星)	 机械战警的游戏比终结者做的好            
(3星)	 http://www.tudou.com/programs/view/pVjVojgKkC0/            
(3星)	 + 改造人大作战            
(5星)	 Paul Verhoeven的科幻+暴力＋法西斯            
(5星)	 小时候的最爱啊,看了一遍又一遍还拉着小盆宇跟我一起看            
(3星)	 挺搞的～            
(3星)	 很是粗粝狂放的质感，而且颇为重口，和《全面回忆》的调子真的挺像的，只是细节不够精致。            
(4星)	 应该是小时候看的            
(4星)	 小学小学            
(3星)	 小时候电视台经常放。            
(NA)	 ED209太逗了，简直就是机械界的耻辱。            
(NA)	 我小时候看过也，嘿嘿嘿～～这片有CC版、不是把            
(NA)	 小时候的记忆            
(3星)	 哇 小时候很爱看的            
(4星)	 墨菲墨菲~~            
(3星)	 学校组织观影(小学？)            
(NA)	 小时候很喜欢。            
(5星)	 某些老片真的很耐看，此部也不例外。            
(4星)	 里面有我家ogre和ministry的合作！！！            
(NA)	 老片子            
(4星)	 童年的记忆～            
(5星)	 小时候跟着爸爸看的            
(5星)	 .            
(4星)	 那时候看还是VHS录像带，做梦都想现在收一张D9            
(4星)	 Robo Cop 1            
(4星)	 很经典的科幻片，与终结者完全相反，外面是机器，里面是人类的灵魂。            
(3星)	 小时候的崇拜            
(3星)	 小时候看他吃婴儿食物，觉得蛮可怜的……            
(4星)	 cool            
(3星)	 以前看的            
(3星)	 很老了            
(4星)	 童年残酷的回忆            
(5星)	 叙事干净利落毫不拖沓。通过新闻播报的方式全景式的展现了混乱紧张的未来世界，人物性格都很鲜明，整体故事也不错。            
(NA)	 典型八十年代的风格，不错            
(5星)	 故事有点儿弱，但是透着一股可爱。科技再怎么发展，都应该还伴有人性与思考。准则4的设置简直太有意思了；ED209算不算史上最笨的机器人了。PS：跟终结者整好里外相反了。            
(5星)	 可怜的机械战警只剩个头了还要为人民服务。            
(4星)	 小时候看着很给力的片啊。            
(4星)	 太血腥，人体被子弹打烂，被化学药剂腐蚀……以及底特律的萧条            
(5星)	 老怀旧了。            
(NA)	 小时候很怕这类半机械的人。            
(2星)	 e600cb4b            
(4星)	 童年的回忆            
(2星)	 什么呀，彻底的烂片            
(3星)	 说实在的不太喜欢这身行头，却是记忆中的一部分。            
(NA)	 铁甲威龙            
(5星)	 zizizizi(转头）“my name is murphy”            
(3星)	 补充回来。            
(4星)	 小时候看的~            
(4星)	 小时候看的。            
(NA)	 原来我小时候就是科幻扣。            
(NA)	 中央六套            
(4星)	 讓一個剛剛從內地的我震撼住了            
(NA)	 童年回憶            
(5星)	 兒時在電影院看的,,, 後來重溫過很多次            
(NA)	 看不到脸，只露出一张嘴，导致我一直以为他是斯瓦辛格。            
(4星)	 小时候看过好几遍，印象很深刻！            
(5星)	 立体机上的同名游戏也很赞！            
(3星)	 童年啊！            
(4星)	 小时还看的一愣一愣的，大了还是，呵呵。            
(3星)	 6/10            
(3星)	 现在看起来觉得好山寨- -            
(3星)	 MS是很小很小的时候看的= =            
(3星)	 不记得不记得~主要造型不太喜欢~            
(4星)	None
(4星)	 经典啊            
(5星)	 梦想            
(5星)	 相当好            
(3星)	 小时候竟然觉得主角露在外面的嘴帅到不行 到现在片子讲什么完全没有印象 好吧 三颗星全部给这张帅到不行的嘴 囧。。。            
(3星)	 小时候挺爱看的…………还有动画片腻…………            
(4星)	 呵呵，美好的记忆额。。            
(5星)	 又一个回忆            
(3星)	 以前很喜欢的～～            
(4星)	 小的时候总容易和终结者混。大了才发现，机器战警是有血有肉的，特别招人喜欢。            
(5星)	 童年时代的偶像            
(4星)	 很感人呢            
(3星)	 你们有机械战警？那你们有太空战警么？有幽灵战警么？还有吸血鬼战警么？            
(4星)	 义体战警~记得是小时候在正大剧场看的~            
(4星)	 好小的时候看过的            
(5星)	 我不认为这是科幻。            
(4星)	 小孩时看过的            
(4星)	 啊，我还记得那配音= =            
(5星)	 !!!!!            
(4星)	 当时我就震惊了。            
(5星)	 应该是我看过的第一部探讨科技与人性冲突的电影            
(5星)	 童年的回忆～            
(5星)	 在小时候把我领到了个人英雄主义的世界            
(5星)	 很经典，小时候超喜欢            
(3星)	 过往            
(4星)	 讽刺片~人如机器，机器如人，有几幕极具CULT气质~            
(5星)	 那时候美若天仙的家教JJ带我进了电影院……            
(5星)	 童年回忆啊！！！！！！！！！            
(4星)	 永远的墨菲            
(5星)	  cool～            
(4星)	 又一部 大片            
(3星)	 还行吧 机器人儿无法繁育后代这事儿比较不人性...哈哈            
(4星)	 好看的片子            
(4星)	 依稀记得，幼年时的我曾经非常迷恋这部电影……这个片子实在可以媲美《终结者》，在人性的发掘上还有可以再深入的空间。            
(4星)	 当时看的时候，宛若神作！简直是每个少年的梦想啊！            
(NA)	 【1987-07-17】《机器战警》系列共3部。            
(4星)	 小时候看很震撼            
(5星)	 儿时的记忆            
(4星)	 科幻经典            
(5星)	 人生第一次接触科幻            
(3星)	 小时候觉得机器战警多帅多酷的，很无敌的样子，现在看来不堪一击啊，岁月是把杀猪刀啊，机器战警遇到钢铁侠就不是一坨废铁啊。。。            
(3星)	 Paul Verhoeven这个猛人的作品。有好几处Starship Troopers的影子。Peter Weller实在是丑了点，原来此人还是Naked Lunch的男猪。。。女主角不错            
(4星)	 在老片子里算相当精彩了。            
(4星)	 小时候对底特律的第一次了解。。。            
(NA)	 老片子基本都还靠谱            
(3星)	 发现后面在工地上那段小时候有印象，其他的都没            
(4星)	 7.6/10            
(4星)	 回看依旧很屌            
(3星)	 墨菲，不过这是一部看着让人幽怨的电影，因为墨菲不会变得表情            
(5星)	 竟然和我同岁，忘了是几岁时看的了，好启蒙的片子            
(4星)	 小时和爸爸一起看            
(3星)	 小时候看了这么多科幻片啊。。            
(5星)	 儿时的经典啊 现在还印象深刻            
(NA)	 小学时学校组织看的，惊悚            
(4星)	 现在看以前的科幻片，当个怀旧的东西看还不错，很有历史感。            
(4星)	 哈哈哈哈 小时候就特喜欢 又看了一遍还是很喜欢阿！哈哈哈哈哈牛逼            
(4星)	 屎翻了！！！！！！            
(4星)	 虽然故事挺弱智，但是80年代能有这么超前又靠谱的想象。。。            
(4星)	 記憶中的他 在哪兒            
(3星)	 87年的片，绝对的可以了            
(4星)	 儿时回忆，当然片子也是好片子……看了无数个版本了，动画啊电影啊电视啊……            
(4星)	 小時候的經典。            
(NA)	 小时候的经典啊！            
(4星)	 童年的记忆啊            
(4星)	 cult            
(5星)	 对光滑衣物的fetish始于此  reprise            
(5星)	 小时候最喜欢看的 ， 那个枪从腿里出来太tm帅了            
(4星)	 和我童年的电影，小时候老爸租录像带来看的~ 永远的经典啊~            
(4星)	   很小時候看的，當時最大的感覺是有點恐怖，壞人撞到化學品罐子裏鏡頭揮之不去。            
(4星)	 莫非~~~~            
(4星)	 最后一幕机器人转身离开的场面有些悲凉            
(5星)	 范霍文，你丫牛逼            
(5星)	 永久的回忆            
(4星)	 温习了一遍，小时候的回忆。            
(NA)	 墨菲，电钻，录像带            
(4星)	 这电影好老了            
(5星)	 现在看这部电影可能会觉得很一般，小时候看的时候觉得这片巨牛。            
(4星)	 经典            
(4星)	 好像豆瓣重复了，不过是经典可以再推荐一次            
(4星)	 小时候好喜欢看的            
(3星)	 蛮感动的还            
(3星)	 好血腥啊……            
(NA)	 好像还是小学的时候学校组织看的。。。引进片真是够延时&gt;.&lt;            
(5星)	 电视里的译制片，童年记忆～            
(3星)	 没有童年的人走过。            
(4星)	 80后的科幻启蒙电影之一            
(5星)	 小时候在干妈家看，激动死了。第一次看的科幻片            
(5星)	 儿时回忆            
(5星)	 小时候梦想自己成为墨菲，现在希望拥有一个机械战警的金属模型。。。            
(5星)	 其实也没有那么好，不过小时候竟然能看到这么b级的片子还真是挺奇迹的。而且现在返回头来看，这个导演的风格还真是统一哈~            
(4星)	 it&#39;s nice to see you again, Murphy            
(3星)	 当年很酷            
(5星)	 童年的经典            
(4星)	 当时看完之后心里惦记了很长一段时间。当时真土。            
(5星)	 小时候看过，现在已经全然不记得了            
(4星)	 都不记得是啥时候看的了……            
(5星)	 我十来岁时看这个电影，激动的浑身颤抖，大汗淋漓            
(4星)	 保罗范霍文出色发挥            
(4星)	 更喜欢动画~            
(4星)	 与其他英雄的光辉不同，墨菲有着悲惨的来历，他寻找着自己的过去。这样简单和老旧的片子，却让我格外珍惜。            
(4星)	 当时爱不释手            
(NA)	 好像只有一部是可以看的。            
(4星)	 小时候看的 喜欢喜欢            
(NA)	 小时候的最爱啊            
(4星)	 小时候在电影院看的电影，至今仍为之震撼            
(3星)	 儿时记忆,印象深刻.            
(4星)	 想重温一下            
(4星)	 现在看有点傻            
(NA)	 结合上映的年代 还是不错了。。            
(3星)	 钢铁外壳温柔内心            
(NA)	 是小时候很美好的回忆            
(4星)	 记忆中的经典            
(4星)	 a deep impression!!!            
(5星)	 小时候喜欢看的机器人题材电影。            
(2星)	 快忘的差不多了            
(4星)	 令90年代的我目瞪口呆的电影            
(5星)	 儿时的记忆，多次重温。            
(5星)	 雖然說初衷只是一部垃圾爛片，但是小時候卻看了又看，不斷重復，連情節都可以背出來！唉，反看最近出的“機器俠”，花俏而沒有誠意。            
(NA)	 很久很久以前            
(3星)	 血腥派的，故事情节简单到极限，童年的回忆            
(3星)	 7.5            
(NA)	 哎呀~~多么久远的电影~~童年回忆            
(3星)	 记得小时候爸爸我们一家人去看了2次！就怕以后看不到了所以…………呵呵            
(4星)	 模糊的记忆已被唤起……            
(5星)	 2009.5.国际台            
(NA)	 暴力啊~！            
(4星)	 比起终结者一，我更喜欢这个。            
(3星)	 N世紀看過            
(4星)	 童年时代的最爱            
(3星)	 一、	一个政府如何能够兼顾公司的效率及社会民主。细考公司与政府的区别，是否可以寻求一条探索的路线。二、	我们成天过的定势的生活，其实和机器程式雷同。真正有不受奴役的纯真的人的本性存在吗？三、	癫狂，邪恶的癫狂里，也存在本真的爱，这正是善的胜利。论善，社会道德评判并非唯一的标准。            
(4星)	 第15届土星奖科幻类最佳影片，80年代经典科幻片之一            
(4星)	 比较期待能翻拍旧作            
(NA)	 199？            
(5星)	 儿时的惊艳            
(4星)	 童年啊~ 我還有這個玩具呢~            
(4星)	 机器战警            
(3星)	 小学的时候偷溜进录像厅看的~            
(5星)	 童年最喜欢的片子            
(3星)	 主角的悲剧性淹没在好来坞的商业性当中            
(5星)	 老牌经典科幻系列片，第二部为巅峰之作。            
(3星)	 这可是童年美好的电影记忆啊            
(3星)	 原来是我出生那年的电影啊！            
(4星)	 科幻警匪片。            
(5星)	 老电影了，按当时的评价该是5星            
(5星)	 小时候看是震撼            
(4星)	 第一次感受到“酷”的概念。            
(3星)	 打来打去……            
(3星)	 一般            
(3星)	 他好像叫莫非            
(3星)	 太久了，没什么印象            
(4星)	 小时候特别喜欢看的一部电影，很感动            
(3星)	 我用现在的标准去评把小时候的我迷到不行半机器人战警实在有些过分...            
(5星)	 对我来说很经典。            
(NA)	 小时候看的 当时和爸爸一起 呵呵 童年啊。。。            
(5星)	 啊！找到了，很小的时候看过，很喜欢这片子！从腿旁边可以拿出枪来的。            
(5星)	 好老啊。            
(4星)	 铁甲威龙……儿时的回忆……            
(4星)	 经典老科幻，机器半人的创意让“变人”有了灵感            
(4星)	 小学看的            
(3星)	 盘点            
(3星)	 忘了            
(NA)	 8分  怀念            
(4星)	 好老的片。。            
(4星)	 那个年代拍的很不错            
(5星)	 童年最美好的回忆，当时的特技是一流的            
(2星)	 补漏            
(5星)	 多好的警察...感人            
(4星)	 机器人叔叔哈帅            
(5星)	 小时候的时候很爱看。            
(4星)	 被感动            
(4星)	 高中，学校露天放映            
(4星)	 童年回忆哦~~            
(4星)	 “u r fired”的桥段很经典            
(4星)	 遥远的回忆            
(4星)	 科幻启蒙            
(5星)	 儿时的记忆            
(4星)	 很直接干脆的暴力。。。感觉就是这个导演的风格。。。            
(NA)	 拿枪样子很帅~            
(4星)	 当初觉得很帅的 哈哈            
(4星)	 经典科幻            
(3星)	 儿时光影            
(5星)	 童年，不可遗忘的电影            
(5星)	 小时候好好看            
(3星)	 one of his favourites...            
(NA)	 经典            
(3星)	 机器人机器人。。。墨菲            
(4星)	 考            
(4星)	 性感啊。。。            
(4星)	 太TMD老的片子了，小时候却百看不厌的样子。自己还有把主人公的手枪，撞针的，和院里的孩子玩得不亦乐乎。            
(3星)	 大块头不会爬楼梯            
(4星)	 那些童年的梦啊            
(3星)	 好老好老的科幻片            
(3星)	 儿时的经典            
(5星)	 传奇            
(4星)	 当然变身后就很帅呆了，尽管那时没看懂情节，可是战警走那几步真是有派啊            
(3星)	 砸东西啊砸东西，使劲砸东西。            
(4星)	 算是一代经典啦～～。。。            
(4星)	 儿时的记忆，童年的游戏。            
(3星)	 第一次看到机器人警察时很是惊讶            
(4星)	 模糊的记忆，熟悉的墨菲。            
(4星)	 小时候看过很多遍            
(3星)	 初看的时候还觉得蛮炫的            
(4星)	 当时我还小            
(4星)	 小时侯看的是热血沸腾啊            
(5星)	 小的时候看的，那时侯看完很激动很喜欢            
(5星)	 张大下巴看就是了！            
(3星)	 猛            
(3星)	 怎么说也是儿时经典对吧            
(3星)	 还好            
(4星)	 小时候看的，很经典的题材            
(5星)	 童年的回忆            
(NA)	 小时候很迷这个的来着/ 电视里放的给剪掉好多            
(NA)	 机器战警 / 铁甲威龙            
(2星)	 Bryan Singer / Hugh Jackman / Patrick Stewart / Halle Berry            
(3星)	 小时候的英雄~            
(5星)	 儿时的最爱            
(4星)	 经典的机器人电影，印象最深的还是第一部。。。            
(2星)	 no comments            
(4星)	 那时觉得机械战警帅暴了            
(3星)	 莫非            
(5星)	 很有創意的題材。            
(4星)	 不得不说，这部电影好老。剧情真的好简单。。不过87年的电影你能指望它什么呢。            
(4星)	 美国漫画英雄里出身较悲催，身手较木讷的一位了，不过还是很喜欢，更喜欢原始的译名“铁甲威龙”。            
(4星)	 小时候曾为你默默流泪啊！            
(4星)	 太经典了！！！！墨菲！！！！保证80年代出生的同学们都看过~机械战警~            
(5星)	 小时候看完之后觉得不过瘾 自己画漫画满足自己的欲望 哈哈哈 1、2、3都是经典            
(5星)	 小的时候，有一幅——机器战警穿过墙壁的海报，真叫酷啊！ 有人注意没？——里面有一名匪徒是【红色警戒2】的过场电影中饰演美国总统。            
(2星)	 这剧情在现代看来很一般加上当年的画面什么的又很差so……            
(4星)	 儿时的经典科幻啊~~            
(4星)	 幼儿期的回忆了            
(5星)	 小时候觉得超级崇拜呢            
(4星)	 很神奇德片子。。。            
(4星)	 儿时的经典。比《钢铁侠》神马好多了。            
(3星)	 身残志坚。。。            
(4星)	 这部也是开创了一个类型片的经典……笨拙刚毅的铁人，正义的代表，不死的机器……            
(5星)	 怀念啊，我喜欢上科幻片的根源之一。            
(4星)	 儿时的记忆，不得不推荐            
(4星)	 1987年啊！想当年看这片子时是多么多么的热血沸腾。今天再看余温犹在。            
(5星)	 保罗范霍恩的好莱坞经典处女作            
(5星)	 当年的CCTV可是播过不少好片子的呢            
(3星)	 这一年我出生了            
(3星)	 红白机的回忆            
(4星)	 当年相当震撼的电影            
(5星)	 八位机上最喜欢的游戏之一，不错的电影            
