http://movie.douban.com/subject/3332543/	ID精英
(3星)	 很喜歡邓健泓            
(3星)	 我是希望風和安兒一起吶            
(2星)	 瞎吖。            
(3星)	 突然覺得餓鄧健泓裏面還是蠻帥的啊            
(3星)	 很仓促很老套的结尾啊~~不过里面的顺风我亮点的！            
(3星)	 拖沓            
(3星)	 我觉得节奏慢了点。            
(4星)	 是我喜欢的题材 到了最后两集突然变得很傻比            
(3星)	 同是羅永賢編劇 爲什麽和仁心解碼差這麼多 不是因為yoyo我只給2星            
(4星)	 可惜最后又回到狗血的老套路.YOYO在里面最美.            
(NA)	 每天的豆浆油条 什么时候才能追完啊            
(2星)	 很囧！！难看死了……简直糟蹋我家蒙小YO！！            
(4星)	 很不错的剧集，看得我好想去罗湖跟制服合影。            
(NA)	 最后两集才精彩!终于杀人了,兄弟俩在医院的时候太帅了,以及胡琛真的是个好男人.            
(3星)	 这样就结束了```````````            
(3星)	 郭晋安演技真赞 他和yoyo的搭档让我一下子感觉没有从与敌同行中走出来 总之这剧人物太多 感情线太复杂了            
(2星)	 就前头几集有点意思。姚嘉妮很性感.陈国邦不错的，可惜了了            
(4星)	 26  完结            
(4星)	 TVB无论拍什么职业都能把死的说成活的，再无聊的职业拍成电视剧再加上一些纠结的事情于是就形成了一部港剧…这部剧最大亮点是胡琛！黑社会大哥大，绝对好男人！            
(NA)	 麦子轩剪辑版&gt;&lt; 陈展鹏你要知道你只是个配角啊！！！这么帅这么抢镜你犯规啊！！！！各种白衬衫+大V领毛衣+风衣+金丝边眼镜把爷秒杀的渣都不剩TAT            
(3星)	 最后的结局有那么点仓促。            
(4星)	 胡杰琛。。。。这样的男人。。我喜欢。。。可是我爱邓健泓~~❤            
(3星)	 2010-12, 松花家~            
(3星)	 结尾有点。。。            
(3星)	 居然看完了 不过不太喜欢郭晋安这里面的角色 太正派了 还有点优柔寡断 = =            
(3星)	 结局未免太粗糙~~~            
(3星)	 罗湖关口。。。。            
(3星)	 20集以后才开始好看，但结尾太难看。1.接受不了老友变情侣这样的桥段 2.咋就没个有常识的人呢，AB型的妈妈怎么生个O型的女出来？3.男猪女猪个性模糊不鲜明，反倒是配角不错，比如邓健泓和唐诗咏和黄智贤 4.郭晋安的声音真是难听，YOYO真是漂亮，就是眼太大。姜大卫真是帅老帅老帅的            
(3星)	 TVB喜欢将剧情不合理化            
(3星)	 剧情一般般~主要是喜欢郭晋安和蒙嘉慧~~~            
(3星)	 又来玩儿最后两集大反转的游戏。。。            
(2星)	 隔靴搔痒            
(3星)	 葉家可爱的两母女            
(3星)	 一个星期，有时候，是能改变一生的。            
(3星)	 到后面真是莫名其妙..完全偏离主题..            
(1星)	 不想虎头蛇尾而凑活看的结尾。编剧脑筋极度秀逗。            
(3星)	 还可以            
(2星)	 完全看不下去。。。            
(2星)	 有YOYO我都无法睇落去啦            
(3星)	 剧情被删的很莫名其妙。。。三角关系太多以为最后应该如何解决呢，最后还是死死死。哦反正我是看唐诗咏和黄德斌的。            
(3星)	 剧情太杂。感情线太乱。            
(2星)	 》《 太差了…            
(3星)	 这部剧的编剧实在是有点问题 即便有YOYO还是不能让我动心啊……            
(4星)	 虽然一开始就知道是港剧一贯的善有善报的亲情友情爱情大杂烩，但是一路看下来是还是蛮吸引人的，胡琛这位黑帮老大绝对是是模子的！            
(NA)	 【2009-06-01】            
(4星)	 后面剧情有点赶。。。抵制大陆人逗留的情结与我们上海人抵制YP逗留能产生共鸣。。。            
(4星)	 真心觉得那套冬天的制服很帅啊！ =。= ~人的追求不一样果然就是道不同不相为谋了。急功近利只能把自己推向绝路。            
(3星)	 绿帽王  郭晋安            
(3星)	 中意邓健泓。。            
(3星)	 前段时间电视台重播看的，以前在三色台的时候都没有去追。郭晋安的演技不用说，不过这次不是很喜欢他角色的设定。还是喜欢与敌同行里的反派很出彩。另外蒙嘉慧这次很打酱油。看这部戏的时候还没喜欢陈展鹏呢。            
(4星)	 郭晋安不管演什么都有一股傻傻的气息啊。。。            
(4星)	 一切的因因胡琛而起，其他的人都是果。最好的办法就是你换个职业。但是所有女人心目中都有一个胡琛啊！            
(4星)	 后面两集转变得太快。还有结束的也太快了。            
(3星)	 邓健弘还是蛮帅的……            
(3星)	 那孩子一喊“爹爹…”我就烦             
(4星)	 因为是第一次见相关题材 嗯 所以有附加分 剧本嘛就很狗血            
(4星)	 很好看            
(3星)	 结尾有点仓促，而且编剧也太傻逼了！！            
(3星)	 人物关系设置不错。有几个细节处理的不是很好。主要是里面男人好的坏的都比较看得过去。。。            
(3星)	 郭晋安这部电影 终于让我摆脱了智障人的印象            
(4星)	 想要快快的去到这里。            
(4星)	 因为现实的残酷而显得格外励志            
(NA)	 我实在是讨厌郭晋安            
(3星)	 到最后了还挺精彩的。            
(4星)	 胡琛绝对是好男人，一点都不够反派。。因为这部片子喜欢邓健泓滴~一集不落看完了。。。            
(3星)	 编剧看不起大陆妹~香港人看不起大陆妹~~切~            
(3星)	 邓健泓那对太不合适了 抗议            
(4星)	 格好いいな～制服大好き！            
(3星)	 结局太烂，没任何铺垫，编剧不行            
(NA)	 似曾相似的剧情啊。。            
(4星)	 郭晋安的戏路感觉也就这样了，没什么突破，但是也还好，香港的这类片子还是能让人看到香港公务员或执法人员的素质。            
(3星)	 结尾不行啊            
(2星)	 对港剧永远有爱……不过这剧情好狗血 ORZORZ 烂尾啊烂尾！！            
(2星)	 没感            
(4星)	 断断续续看了一年多，囧            
(3星)	 为什么结局唐诗咏和邓健泓不能在一起呢！！！！！            
(NA)	 一般‘            
(3星)	 还不错。结局不好。            
(4星)	 我光看尊就够了。            
(4星)	 喜欢喜欢            
(3星)	 。。。。            
(3星)	 开始喜欢郭晋安            
(4星)	 和他。            
(NA)	 里面那个未婚妈妈的演员，叫啥来着，喜欢~~还有蒙嘉慧~~怎么看郭晋安就是别扭~~            
(1星)	 看了一集就放弃了,郭晋安实在不让我喜欢,现在看了他有种想吐的感觉            
(3星)	 唐诗咏演的安儿是个内心强大的未婚妈妈~她会幸福的。除了邓健泓外另外那个追她的男人（里头是姜大卫的儿子）很讨厌，他是我最不喜欢的长相。            
(3星)	 就港剧的模式~TVB的常见脸            
(2星)	 像我这样只要TVB都看的人都要为了不浪费碟钱而坚持看下去，可见此剧有多无聊了。            
(5星)	 邓健泓。蒙嘉慧。            
(4星)	 蒙嘉慧！！            
(4星)	 香港真有那么好吗？？？            
(3星)	 切，啱细路咩~            
(3星)	 欧Sir好man~麦Sir更man~~~~~~~~~~~~~剧情没什么特别的，不过了解下入境处也挺好玩的~            
(NA)	 不错咯             
(2星)	 有些失望同样的监制，感觉和仁心解码差好多            
(3星)	 俺过境时咋没那么严格呢~啥都没问我。            
(2星)	 完全没point            
(4星)	 我去香港的时候是从深圳坐车去的，所以也会经过那个入境处，大概要经过五六个关口才能进到香港，每一关守住的不仅仅是身份的证明，而是近在咫尺的梦！            
(3星)	 没看完...看不下去了...            
(2星)	 一般，就是觉得故事情节很混乱！            
(3星)	 给三星完全源自我对描述某一专业领域剧集的热爱！至于剧情嘛～凸！            
(3星)	 TVB常见的职业剧，这次讲的是入境处，不过剧情老套，毫无新意，虽然挑不出什么毛病，但就是不吸引人，可惜了一帮演技派演员            
(2星)	 感情线拉的太突兀了。。            
(3星)	 ANYWAY，还耐看，新人的演技真不咋的！            
(3星)	 俾無線cut到一撲一祿...            
(3星)	 tvb也要把各行各业拍遍            
(4星)	 结尾有点太仓促            
(3星)	 香港真可怕             
(4星)	 我一看到郭靖安他老婆就要哭= =昨晚看了18集，估计是昨天特别感性吧。。比盛世仁杰这种无聊剧实在好太多了。。            
(4星)	 剧情一般~~            
(3星)	 一看见郭晋安就想到阿旺~            
(3星)	 虎头蛇尾，结局太草率。            
(3星)	 职业剧～            
(3星)	 是屬於越來越好看的。            
(2星)	 这么看郭晋安的剧照小难看啊。            
(3星)	 入境处的题材比较新颖，但是案子实在是太小儿科了            
(NA)	 进一步认识香港的TVB剧。            
(4星)	 很喜欢蒙嘉慧和邓健泓 希希真可爱            
(3星)	 题材较新~演员较烂~            
(3星)	 没有看完，但是和我生活联系很大，很有亲切感，有机会补完……            
