http://movie.douban.com/subject/2342526/	楚汉骄雄 楚漢驕雄
(4星)	 最爱的一个历史人物和最恨的一个历史人物。项羽是我心中的英雄。            
(4星)	 张良和韩信都演的非常棒，也对张可颐刮目相看            
(3星)	 这个故事告诉我们：不信星座要送命呢。            
(5星)	 补看后面2集~~~~            
(2星)	 太無趣了太無趣了            
(NA)	 郑少秋的刘邦，真像。            
(5星)	 居然还从事历史普及。            
(4星)	 吕后和韩信让人难忘            
(4星)	 每集开端的扫盲还不错，虞姬的选角很失败……            
(3星)	 张可颐演吕后 那个嗲呀            
(4星)	 MAGGIE不愧为第一青衣。            
(4星)	 超喜欢。            
(4星)	 TVB歷史題材中的最優秀作品            
(5星)	 我没看，我妈看了，说还不错。。。            
(4星)	 算是近年还不错的TVB片了            
(4星)	 我大一演的鸿门宴有专门去看了~我还是觉得郑少秋和江华呼唤项羽和刘邦会好点。            
(5星)	 看电视比看历史书轻松多了。。哈哈            
(3星)	 几乎与历史无关            
(4星)	 每集都有个明星来讲一个历史词汇~嗲~ 果然历史剧,比任何时装剧都更有意义            
(3星)	 一向对历史剧没有什么爱            
(4星)	 这部剧也影响我满深，喜欢项羽            
(4星)	 最出彩的吕雉张良韩信陈平。            
(5星)	 项羽和虞姬，喜欢。            
(NA)	 当把与事实不符的TVB历史戏都当野史来看，可看性也不低啊，大有让老百姓一边骂闲街一边集集追的本领。看剧集不如电影有情绪，有情节就还好了。PS：虞姬丑，且壮实堪比项羽。            
(4星)	 都是注定的。            
(4星)	 虽然不喜欢郑少秋,这部戏倒是看着还很投入. 一些所谓经典龙套的角色还是相当入戏, 老片子自然有老片子的味道            
(3星)	 项羽兄好喜欢掀桌啊！！！好威武啊！！！！            
(5星)	 楚汉之争 各自起源 事件发展拍的最好的            
(5星)	 還記得那時小寶在看，也跟著斷斷續續看。原來是李添勝的大作啊            
(5星)	 哎，乱世无奈多啊。            
(3星)	 刘邦你是酗酒吗你看人项羽多带劲！(安茜真美）            
(3星)	 江华他娘的负面新闻怎么这么多            
(4星)	 江华唱歌也蛮好的            
(3星)	 但凭天意！            
(4星)	 张可颐演吕后真的挺有味道的            
(4星)	 一片赤诚。            
(4星)	 我爱韩信。            
(4星)	 看过一点点            
(NA)	 高一..?             
(5星)	 虽然是历史片,但真的很好看,有好多的历史故事            
(3星)	 剧比较一般 记得的却全是配角 蒋志光的张良 黎耀祥的韩信 艾威的樊哙……            
(4星)	 兩大老帥哥飆戲 也看的挺爽的            
(3星)	 张可颐还不错，不过还不够狠。项羽有点搞笑，大胡子。            
(3星)	 张可颐的吕后不错，其他人没感觉。            
(3星)	 项羽有点脸谱化，吕后凶的过头，刘邦实在太W，而虞姬。。。额。。。            
(4星)	 冲着夏雪宜和温仪的组合才看的            
(2星)	 演员不错，但与历史有差距            
(5星)	 心生大悲.            
(NA)	 长知识，介绍了好多典故的来历            
(3星)	 30            
(3星)	 给我长历史知识的~弄明白很多东西            
(5星)	 tvb对历史猜测得最好的一部剧，相当好。            
(4星)	 在寝室跟室友一同看过 在班会上引用过其中的故事            
(4星)	 项羽过于强大 刘备过于垃圾            
(5星)	 历史再现，极具吸引力！            
(NA)	 把刘邦做过的坏事都推在一女人身上，我汗~            
(4星)	 郑少秋严重丑化刘邦！            
(NA)	 楚汉骄雄            
(5星)	 爱上张良。            
(5星)	 最爱吴美衍与江华，让人心痛……张可颐也不错，狠角色……            
(4星)	 演员表演的都很出色            
(4星)	 黎耀祥饰演的韩信 念念不忘            
(4星)	 对历史有改动，但基本是尊重的，故事讲的方式很好！TVB可以将历史剧拍成这样亲民已经很难得！此剧无论如何也是凭剧本演技，不靠帅哥美女来吸引的精彩的剧集之一了。            
(4星)	 二小姐和秋官真不错，不过TVB的历史剧不能要求太多            
(4星)	 演得好            
(3星)	 還ok            
(3星)	 冲着江华的扮相去的，一向演小白脸的江华蓄起胡子演霸王倒是真有气势！只是秋官演的刘邦性格呢就有点假了，也许是汉王假仁假义出尔反尔的形象太深刻，这莫名的兄弟情深反倒不真实了。            
(4星)	 亚夫之死 让我印象深刻！还有天子剑和不详人的宿命之说 处理得好感人！            
(4星)	 张可颐的霸气高贵无人可敌，她就是吕雉。。            
(4星)	 時勢造英雄，還是英雄造時勢呢~            
(5星)	 性格决定命运            
(3星)	 最近很热衷楚汉历史            
(4星)	 虞姬的选角很失败……             
(4星)	 好温情的刘邦            
(3星)	 = =我想说这是喜剧            
(4星)	 吴美珩不美，但是耐看            
(4星)	 韓信咎由自取，看不慣呂雉。            
(4星)	 参考历史原型对人物进行了合理的新刻画，故事情节虽虚构但也合情理，引人入胜之余赋予了历史传奇色彩。            
(5星)	 是刘项CP的鼻祖啊。一群人阻止刘项相爱最后成功了的故事。            
(3星)	 虽然TVB演员的表演比不上大陆科班出身的大腕，但是不得不承认他们在尊重历史方面，比大多数大陆所谓的历史正剧还要符合历史。张可颐的吕稚无疑是这部剧最亮眼的角色，其他的人，有点过。            
(5星)	 大爱            
(4星)	 看完李仁港的《鸿门宴》，我觉得给这个电视剧打五星都不为过。            
(1星)	 tvb的历史剧，毛骨悚然，实在看不下去了            
(4星)	 喜欢江华！            
(NA)	 起码气势还是有了。够霸气。            
(3星)	 尚可            
(3星)	 虽然不是历史剧，但是诠释了另一种性格的刘邦            
(NA)	 不好玩。。。。            
(2星)	 吴美衍的虞姬怪怪的=-=            
(4星)	 其实我觉得很好看，就是虞姬真的不美~太不美了TAT            
(5星)	 所有演员都表演出色            
(NA)	 武汉X台的记忆            
(4星)	 张可颐和黎耀祥，害我一直觉得历史上的吕后和韩信就该是那个样子            
(4星)	None
(5星)	 大爱啊             
(3星)	 好像是因为英雄造时势这句话看的。。。。            
(NA)	 力能举鼎、气压万夫的英雄豪杰！项羽！            
(3星)	 虞姬虞姬~~            
(2星)	 典型TVB...            
