http://movie.douban.com/subject/3646516/	新飞越情海 Melrose Place
(3星)	 没啥意思..看了第一集就没欲望了..            
(NA)	 不好看 没看点            
(3星)	 弃            
(NA)	 很一般。第二集放弃            
(4星)	 不能说有多么精彩，但绝对比90210更值得拥有第二季！            
(NA)	 再也不想看CW的美剧 了。            
(3星)	 没劲            
(NA)	 看了一集，砍。            
(2星)	 初看甚是惊艳，深入后便发觉没了内涵            
(5星)	 比GG更精彩            
(4星)	 10            
(5星)	 值得一看 男女主角养眼  速度把握的正好 一切又都够FASHION。            
(NA)	 确实不杂地            
(3星)	 看了五六集吧，没啥感觉~~            
(3星)	 美丽又尴尬的片 糜烂又黑色 真看不下去了            
(5星)	 I want to suck……            
(2星)	 6 min            
(5星)	 总监+校对完整的一季  对这个剧的感情太复杂了~            
(4星)	 此剧已被砍。            
(4星)	 我只喜欢看David和Lauren谈恋爱~~            
(NA)	 第二季你快来！            
(2星)	 就算有生肉看，还是没意思。            
(4星)	 真好看怎么会被砍            
(4星)	 很看好这部剧 但是不知道为什么这么好看的剧收视却不高 希望看完这一季CW还会续订吧 [PS:I had a crush on Ella lol]            
(3星)	 就那样吧，人挺养眼，也有剧情，但就是不能很好评            
(NA)	 第一次喜欢凶杀题材诺　里面的医生太美了　让我变身花痴            
(NA)	 希腊男啊！！！！            
(4星)	 比90210靠谱许多            
(3星)	 其实还挺好看的啊            
(5星)	 第一季终了...我爱Ella的每一套衣服每一双鞋.            
(NA)	 其实看到后来就觉得没怎样了 剧情不够紧凑的说            
(4星)	 很养眼很好看。希望有第二季。            
(2星)	 没有追的动力了            
(3星)	 又被砍了 怎么不砍GG呢            
(4星)	 好吧……我承认越看越没意思了。所以很诚恳的减了一颗小星星            
(NA)	 第一集没看出个所以然来，不过还是想看看第二集如何？            
(3星)	 再见！            
(2星)	 坚持看了2集.实在看不下去.            
(4星)	 开始因为Ashlee Simpson而看。。结果意外的好看啊！期待能有第二季啊。不会就这么完结了吧。。 那么多留给观众发挥的空间- -？            
(3星)	 http://katie-cassidy.us/  http://katiecassidyfan.com/            
(3星)	 没很大亮点+实在没时间留给这部=砍            
(5星)	   我的励志片都这么重口味            
(4星)	 只有一季就被砍了……人物关系太乱了……不过其实挺喜欢的            
(3星)	 一群演技冰淇淋。。。不过女医生真的好hottttttttttttttt            
(2星)	 没看完又弃了……            
(NA)	 哟系 GG改版            
(NA)	 居然因为收视不佳 被砍??!! 比G不知道好看多少了!!! 音乐 男女主角 都超赞的 超赞！！！            
(3星)	 为什么叫飞跃情海。。。            
(4星)	 看好Katie Cassidy            
(3星)	 结局我还没看到            
(3星)	 一般..            
(3星)	 被砍了            
(3星)	 复杂男女关系            
(4星)	 我觉得不错，怎么就被砍了呢            
(4星)	 我终于想起来 那两个女的在哪里见过了一个是杀人岛的新娘 一个是化烟熏妆唱歌的姑娘            
(3星)	 追不下去了、、、            
(2星)	 弃之            
(3星)	 主演們都很養眼。            
(3星)	 我。。居然看ella很顺眼。。            
(NA)	 091212-13            
(4星)	 对被砍表示遗憾。希望能再次看见。            
(3星)	 就这么狗头蛇尾的结束了            
(2星)	 为着Ashlee，但终究没有坚持成功。            
(3星)	 背叛、欺骗、虚荣、敲诈、怀疑，太多人性的丑恶，在这部剧中表现得淋漓尽致，眼花缭乱到残酷。阳光普照的西海岸，却让人感到冰冷至极。被砍，很可惜。            
(NA)	 6ep抛弃            
(3星)	 看着看着就没了            
(3星)	 Melrose Place            
(3星)	 养眼！            
(3星)	 看不下去CW的剧说明我真的老了？？            
(3星)	 S1终于完了，估计S2遥遥无期。还行            
(4星)	 觉得还成,决定追            
(3星)	 其实还行，但是被砍了晕            
(4星)	 love is the end            
(3星)	 quit            
(4星)	 期待续订吧 等了12集Ella总算跟jonah总算有点chemistry了            
(3星)	 弃~            
(3星)	 离被砍不远了，我就不浪费那时间了好吧。            
(4星)	 为什么只有only一季。。。。            
(3星)	 被砍了0 0            
(3星)	 由于GG的成功，让CW拍起了一系列的偶像剧，不过这部也只有主打美女帅哥，剧情真得很一般。            
(4星)	 围绕着女房东之死展开的故事，所有的房客都有杀人的动机。虽然叙述平淡甚至有点拖泥带水，但这仍然是一部吸引我好片，这是难得的讲述时尚界年轻人自己的故事，每个人都被刻画得真实而饱满，远胜于做作的真人秀。里面有时尚摄影师，文化公关，杂志模特，高级餐厅厨师，富二代。。。总有一款你会喜欢。            
(4星)	 好不容易看进去 又被砍了            
(5星)	 Katie Cassidy!!            
(NA)	 为什么被砍了哪            
(5星)	 都是美女帅哥……真养眼            
(4星)	 这么精彩被砍真是可惜T_T            
(NA)	 个人觉得就Fashion方面还是很可以的            
(4星)	 好好看的一个电视剧，就被CW卡了，╮(╯▽╰)╭。            
(4星)	 这剧应该是比较符合CW的标准，各种客串各类剧的帅哥美女组成的一系列主演，论剧情比GG强，论演员比TVD养眼，被砍，续订了90210觉得有点奇怪            
(3星)	 被砍了是不是？论剧情论美貌该砍的都应该是90210啊有没有            
(2星)	 不咋的 弃╭(╯3╰)╮            
(2星)	 如果不是为了对不起电驴0点以后为我下了7还是8集的功劳，我一定把此剧从电脑上删掉。最大感受是同样拥有厚嘴唇+好身材+好气质，舒淇在国内被众人推崇，Stephanie Jacobsen（唯一亚裔面孔）只能跟其他演员平分主演~             
(4星)	 被砍了。。。悲催。。。            
(4星)	 以CW肥皂剧的标准,这剧其实还可以啦            
(4星)	 之前在追，我还一直在等第二季的，退订能不能复活唉            
(5星)	 我就是超喜欢这部剧。            
(5星)	 只可惜被砍            
(3星)	 还行吧。。。我没看过老版本            
(4星)	 我不知道什么衍生啊 衍生 反正我喜欢            
(4星)	 ╮(╯▽╰)╭   命运是个玩笑，。            
(4星)	 难道这部剧砍了又再开播。求解            
(NA)	 主角们真TMD养眼，看得出来打酱油的都是精挑细选的帅哥美女，就这一条理由就够了。            
(3星)	 还好啊，为里面的好看的人加一星~~~应该拍下去，我肿么觉得比新飞越比福利好看呐~~~            
(5星)	 很好看的一个美剧，但是由于人气的不足，还是只拍了第一季。唉。可惜了。            
(5星)	 很可恶地被砍了！！            
(4星)	 David好像皮特啊 Lauren很像宋慧乔            
(5星)	 12揭露凶手 14Vanessa的儿子Noah竟然是她老公Michael的儿子David的儿子。收视率竟然这么低，第二季没有了            
(3星)	 各种混乱！            
(2星)	 没太大的吸引力……            
(4星)	 怎么只有一季呢            
(5星)	 我觉得好看！            
(NA)	 一般般            
(3星)	 第一集就没办法吸引我 果断弃之            
(4星)	 還蠻喜歡的，被砍有點可惜~            
(4星)	 只拍了一部 好可惜            
(4星)	 遗憾~~~就这么砍了            
(3星)	 只是为了看ash            
(3星)	 2010年10月2日             
(4星)	 喜欢ELLA~又在GG里看到她啦~            
(NA)	 又是个被砍的            
(2星)	 不喜欢那拍摄手法。            
(3星)	 看了好几集都不知道到底是在说什么。。。不知道是自己理解能力有问题还是编剧导演的表达能力有问题。。。囧            
(4星)	 不明白俊男美女那么多的，为啥被切了            
(4星)	 怎样也比GG好看，为什么会被砍~~~            
(3星)	 只有一季。。。哎，最后几集都没怎么追了的，好像是因为编剧罢工吧，反正到底那屋主到底是怎么死滴都不晓得，有空的时候把最后几集补上。。            
(4星)	 完全就是意淫。。。。。但是谁叫我就是喜欢意淫。。。哎            
(NA)	 据说被砍了，讨厌讨厌讨厌讨厌！我喜欢这个剧的服装音乐节奏气氛……但剧情确实不咋滴            
(3星)	 故事蛮悬的。。美剧的时尚青春片就是这样。。还没找到特别喜欢的里面人物都有点抽。。继续观摩。。            
(NA)	 挺好看而且节奏相当快，喜欢安            
(5星)	 nice            
(3星)	 Katie Cassidy姑娘多美啊...可惜被砍了...            
(4星)	 连着几天看完了第一季，正开心呢，发现第二季早就被砍。太贱了            
(4星)	 什妈！！！！！Violet 是 Ashlee Simpson 怪不得演技这么烂 我是来看医生和医生儿子的            
(NA)	 ella-spn_ruby1.0            
(3星)	 跟不住了            
(NA)	 ...            
(4星)	 偶然看了一集之后就强烈地想知道接下去会发生什么，于是一下子看完了。            
(5星)	 停播了啊。。。可惜了的说。。。。            
(3星)	 男女主角都很喜欢 不错 还悬疑            
(NA)	 俊男美女很多，喜欢！            
(4星)	 帅哥美女大集合。Ella is my favorite.            
(4星)	 渴望那样的生活            
(3星)	 我讨厌开头华丽的大烂尾剧 我恨····砍了就砍了吧 讨厌            
(NA)	 相比 90210跟喜欢这个片子 就是关系很混乱啊 时尚又糜烂~            
(4星)	 女公关的角色诠释得很好  其他也都是帅哥美女~            
(NA)	 强烈推荐~~            
(5星)	 期待第2季......            
(3星)	 砍了            
(4星)	 俊男美女的视觉盛宴            
(5星)	 还不错~~希望有第二季~~已被砍~            
(3星)	 喜欢Lauren，也喜欢她和David那段情.            
(4星)	 挺好看的，比90210精彩~            
(4星)	 不错            
(4星)	 其实蛮好看的 怎么就停了呢            
(5星)	 看了一二集放弃的，为什么不往后看看。千万别被砍，不然就没盼头儿了。auggie is soooo sexy....            
(4星)	 不逊色于GG            
(5星)	 青春偶像。            
(5星)	 满好看的            
(3星)	 Lauren表情能再噁心點嗎。都是瘋子，只有noah正常。 第一季就这么完了。            
(3星)	 BYE            
(NA)	 就这么完了。。。。            
(5星)	 把gossip girl和90210甩出几条街区的CW剧。Katie Cassidy继superntural中ruby一角之后的又一华丽登场。优缺点都很明显：节奏太快            
(3星)	 身材真都TMD的好。。。            
(4星)	 很精彩的剧，很养眼的男男女女。。❤o❤            
(3星)	 非常不幸的遇到了被砍剧。。。            
(4星)	 就为了看ashlee Simpson.            
(4星)	 主线其实很明确么。围绕着谁杀了syd。然后再描写各个人的生活手法和DH很象            
(4星)	 喜欢ella，喜欢cassidy。            
(3星)	 本来是冲着Ashlee Simpson看的。不过后来觉得那个华裔蛮有味道。            
(4星)	 Ashlee 在里面超美            
(5星)	 最近停播。。。            
(3星)	 典型的CW出品，混乱人物关系            
(5星)	 喜欢             
(5星)	 剧情很吸引人，超级喜欢里面的实习医生，真sexy            
(4星)	 好看！            
(4星)	 开始看以为是推理剧哦，怎么结局会这样，现实太出乎意料，最后还就ELLA跟JONAH得到幸福，很喜欢riley和小v.            
(4星)	 一帮子俊男美女！            
(5星)	 真觉得比GG好看诶，美女更多，衣服更美，还有点儿悬疑~哇哇哇我的菜~            
(4星)	 比绯女好太多了，只可惜被砍了！            
(3星)	 just so so...lauren seems pretty charming            
(5星)	 悬疑剧情加上很时尚养眼的演员...还有好听的音乐...            
