http://movie.douban.com/subject/2287272/	上海探戈
(4星)	 始终认为这部戏是林心如最招人喜欢的            
(NA)	 这应该是今年能请到周海媚的原因吧            
(2星)	 这个片子最神奇的地方就是名字叫上海探戈但是其实是在天津拍的。。            
(NA)	 陈勋奇挺有味道～            
(5星)	 “华丽舞衣，拥抱的温柔”非常怀念。            
(NA)	 林心如的处女作。那时候好青涩啊。            
(5星)	 读初中时在当时的贵池电视台看过，每天守候电视剧到深夜……            
(4星)	 每次我忘记是什么电视剧的时候，我就会用百度搜索“小黑”。            
(NA)	 上海的事情，天津拍摄，那海河两岸，哪有黄浦江的气势？            
(5星)	 到现在还念念不忘 那时候就是觉得周海媚漂亮 还不知道林心如~            
(4星)	 童年。。。            
(4星)	 忘了是不是这一部了，依稀记得小时候有部电视剧，很喜欢的，旧上海的事……            
(3星)	 3.5            
(4星)	 那个小胡子很迷人的            
(3星)	 让我喜欢上陈国邦的剧，演的小黑啊，一绺白发，片子内容记不清了，小时候跟着姥姥看得            
(5星)	 陈！勋！奇！            
(5星)	 小时候超喜欢看的~！            
(5星)	 小时候最喜欢周海媚和刘锡明了 对陈孝萱的奉献和不幸非常心疼 同时讨厌陈勋奇因为觉得他好丑还占尽美色==            
(NA)	 补遗   （那个时候，好像才认识林心如吧，有点小姐脾气）            
(5星)	 绝对小时候的回忆啊啊啊啊            
(4星)	 童年记忆             
(4星)	 小黑哥很帅            
(5星)	 终于找到了~~            
(NA)	 矮马，我们班女生小学的时候都爱刘锡明啊！！！            
(4星)	 小时候超爱看！            
(NA)	 这个好好看。。。            
(NA)	 小时候看的            
(3星)	 初见林心如~            
(4星)	 最愛美雲的深情，最討厭梅若蘭！            
(4星)	 林心如那个时候真好看啊，不过还是不如媚眼如丝的陈孝萱            
(4星)	 童年的回忆啊            
(5星)	 儿时记忆            
(4星)	 小时候看的时候觉得陈孝萱好尼玛美啊~~            
(NA)	 哈哈 陳勳奇            
(4星)	 好像小学时候看的 当时觉得周海媚真美            
(4星)	 这个还成。            
(5星)	 成龙的主题曲印象深刻            
(NA)	 我老以为是林子祥            
(NA)	 多么钟意你            
(5星)	 小时候特别特别喜欢看的一部剧            
(4星)	 探戈启蒙剧！            
(4星)	 当年很喜欢肖美云和YVonne            
(4星)	 那个时候真没认出林心如            
(4星)	 小时候觉得很好看的片子            
(3星)	 是第一次看到陈孝萱。陈勋奇还挺怪才的。            
(5星)	 多少年了            
(5星)	 陈勋奇 周海媚 陈孝萱            
(3星)	 為啥我一直記得林心如說 我一般是中國人一半是法國人            
(5星)	 那时候 【小学？？』超爱超爱的··我 我妈            
(3星)	 小时候很深的剧            
