http://movie.douban.com/subject/2156723/	顺风妇产科 순풍 산부인과
(4星)	 金素妍和宋慧乔啊~            
(5星)	 逗~            
(5星)	 你好，我是跟白英奎学英语的作者，白英奎！            
(5星)	 最早接触的情景类喜剧，那个女婿最搞笑，两个小孩子也很有趣，当时一眼就看上了金素妍，好漂亮！同时也记住了后来大红大紫的宋慧乔，她在里面的角色很不同于现在~~            
(5星)	 幽默。棒子剧里就数这个是喜欢的。            
(5星)	 经典经典！            
(5星)	 绝对是我最喜欢的喜剧！超棒！            
(5星)	 儿时的最爱，现在的韩剧都弱爆了            
(4星)	 好想哭……我竟然看完了一部韩剧！……            
(3星)	 初中时看的，好怀念。            
(5星)	 经典，看了就知道~            
(5星)	 经典            
(5星)	 经典            
(5星)	 很棒。            
(4星)	 每集都很搞笑            
(NA)	 哈哈。            
(5星)	 韩流未至时CCTV-8放的（更早是CCTV-1播出的《爱情是什么》）。确实是部很棒的情景喜剧，不知道编导们有没有受到过《我爱我家》的启发，但确实有很多相似之处。比如微妙的家庭关系、精准的市民心态、用正儿八经的态度表达幽默的台词和夸张的动作，等等等等。            
(5星)	 从小学三年级一直看到现在。。。就他妈没看完过！！！里面还有HOT客串。。。太狠了。。。。我巨讨厌白美达！！！            
(5星)	 当时看得觉得超级搞笑，可爱。而且竟然还有金素妍和宋慧乔哎            
(5星)	 曾经一段时期超级迷恋 最近打算从头看 哈哈哈            
(5星)	 能有一个像白美达一样笨笨的女儿也是一件很开心的事。            
(4星)	 经典~~！！            
(5星)	 不管是你心情好或不好，看这部片子绝对会让你开怀大笑。            
(NA)	 哈·以前无聊的时候就等这个开始            
(5星)	 笑死了            
(4星)	 搞笑的家庭肥皂剧            
(4星)	 傻傻的一帮子人。。。            
(5星)	 美达，一灿            
(4星)	 好看的情景剧～@～            
(4星)	 好搞笑。后来先发现两大美女也在此。            
(5星)	 怀念一下            
(5星)	 觉得金素妍太好看了在里面            
(NA)	 太逗了~韩剧里面搞笑的也就这一部了！            
(5星)	 我觉得最好看的韩国片~            
(5星)	 那个智久叔叔还是什么的~~笑死！            
(5星)	 情景喜剧都是大爱~            
(4星)	 蔡玉你看我漂不漂亮            
(NA)	 哈哈            
(5星)	 乐死我了。.            
(5星)	 哈哈,初中风靡全班            
(3星)	 作为喜剧来说还是及格的 小孩好可爱            
(NA)	 小受正太和女王系的loli，记忆犹新            
(4星)	 超级喜欢的剧``````想当年和我同桌还经常交流呢            
(5星)	 童年的回忆，还是觉得好看，又真实又好看            
(4星)	 这辈子唯一一部我热爱的韩剧,哈哈.顺风顺风也!!!            
(3星)	 初中时很喜欢看，在英文台播的～            
(3星)	 江苏教育放的时候真是看到笑的不行。。。尤其是剧中俩小崽子            
(5星)	 很好看！            
(5星)	 我最爱的韩剧，电视台只要愿意播，我就愿意看            
(3星)	None
(4星)	 曾经热播而且看得很欢乐。            
(5星)	 小学，我看的第一部韩剧，被里面的各种搞笑情节笑的肚子痛，记忆犹新。。            
(5星)	 看的断断续续，但是很搞笑。            
(NA)	 老历八早电视剧频道一直放的！！            
(NA)	 ATV world国际台周日韩语时段放的片…没东西看就看这            
(NA)	 O(∩_∩)O哈哈~            
(1星)	 。。。。。。            
(5星)	 这是我第一部看到的韩剧，后来惊讶于慧乔怎么变样了            
(NA)	 唯一一部算是看过得韩剧 阿哈哈            
(4星)	 小时候国际台每周日下午，好好笑            
(5星)	 顺风顺风耶            
(NA)	 很小的时候每次看明珠台的韩语原版都很过瘾!&gt; &lt;            
(5星)	 最喜欢的美达和一灿啊~~            
(5星)	 搞笑~            
(5星)	 百看不厌！            
(4星)	 嘻嘻嘻  青春期就开始看咯            
(4星)	 韩剧启蒙剧。。            
(5星)	 一定要看的啊!!!!!!            
(NA)	 曾经我也狠笑过            
(5星)	 可可爱了。            
(5星)	 超级好笑            
(4星)	 初中时代最爱看的情景剧            
(5星)	 呀！美达！            
(5星)	 好好笑吖!笑晕我啦!            
(5星)	 哈哈哈。。。童年回忆！            
(NA)	 请了那么多明星客串……            
(4星)	 里面的小孩子好可爱。            
(3星)	 还可以啦            
(5星)	 也是超爱的~            
(4星)	 小美达可爱哈哈            
(5星)	 还是这个最好看            
(3星)	 金素妍还行            
(5星)	 笑到我肚子痛            
(5星)	 太搞笑了，特别是白英奎和白美达这对活宝父女            
(5星)	 看过不止一遍了。            
(5星)	 回家常能看到，美达和意灿好可爱，哈哈            
(3星)	 家庭喜剧，类似于彩虹罗曼史和搞笑一家人，最早最早接触的韩剧            
(5星)	 long long ago            
(4星)	 XDDDD            
(5星)	 不错～～            
(5星)	 童年哦             
(5星)	 上学时最喜欢和同学讨论白英奎~~呵呵 好看！            
(5星)	 太让我无法舍弃            
(5星)	 很搞笑的系列韩剧，每集都可以独立出来。这部剧里面最讨厌的是白英魁，孬男人。对五中和金素妍那一对是相当看好。很喜欢有点娘的表护士，太搞笑了。还有经常欺负一灿的美达。            
(5星)	 超级爱！初三放学必看的            
(4星)	 太好玩了……            
(4星)	 强悍的一家人            
(5星)	 太可爱 太好笑了            
(4星)	 很有趣的情景剧 里面的小孩是亮点~            
(5星)	 笑死人不偿命。            
(5星)	 初中时候的大爱啊~            
(NA)	 搞笑            
(5星)	 哎哟 我爱死了            
(NA)	 太逗了～～            
(5星)	 第一部接触的韩剧            
(5星)	 多么搞的一个东西            
(NA)	 笑死人了            
(NA)	 美达            
(4星)	 很恶俗，很好笑            
(NA)	 喜欢喜欢            
(5星)	 美达和艺灿！爱死了！还有一群好笑的人            
(5星)	 俩大美女   喉喉            
(5星)	 以前初中就开始睇,,,好想再睇番....他们全家人没有一个不搞笑的...            
(4星)	 韩国人的笑点真是可以            
(5星)	 笑死人了笑死人了。。。            
(5星)	 5颗星！！            
(5星)	 一部很好的韩剧            
(4星)	 笑吧笑吧不是罪            
(4星)	 初三的美好回忆            
(5星)	 增的很好看俄。。            
(5星)	 白美达！            
(5星)	 小时候好喜欢&gt;3&lt;            
(5星)	 他姐夫太牛逼太操蛋了！            
(NA)	 【1998-03-02】            
(5星)	 椒男桃女            
(5星)	None
(5星)	 当年看了两三遍，那时候的韩剧还是很有笑点的。            
(5星)	 超级搞笑            
(5星)	 喜欢那个小姑娘！名字给忘了！            
(4星)	 其實我以前喜歡過金素妍..            
(4星)	 飯點都在看的劇。。。            
(5星)	 小时候看的。。好好笑            
(NA)	 啊哈哈这算唯一看完的韩剧了吧            
(4星)	 经典啊！！！            
(5星)	 高考复习的时候看的，北京有线台，乐死了。            
(5星)	 我滴妈呀，这个超搞笑的。            
(4星)	 又一经典喜剧。喜欢那个小男孩！！！！            
(5星)	 超搞笑阿！！！            
(5星)	 笑翻            
(5星)	 记得当年笑得从沙发上滚下来！            
(5星)	 笑死了！            
(NA)	 好笑!            
(5星)	 这一家人在一起好有意思哦！！！            
(5星)	 其实我一直希望素绢和金大夫在一起呢= =            
(5星)	 乐死我了            
(NA)	 很久很久以前。。。            
(5星)	 经典！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 啊哈哈哈哈哈哈哈哈这个真特么搞笑的！初中最喜欢看的了~美达~玉灿~啊哈哈哈哈哈哈全是烧饼~            
(3星)	 有一集影响深刻 lol            
(4星)	 小时候的爱。就爱看情景喜剧            
(4星)	 第一部韩剧。还是乔妹演德。            
(5星)	 最爱英灿和美达 和ex在家里 吃着饭 看顺风妇产科 是曾经最美好的夏天的记忆            
(NA)	 长大后的美达是否整过容？            
(5星)	 噢哟小时候看的……            
(5星)	 很搞笑，那个老被欺负的小男孩很可爱~            
(4星)	 非常喜爱的一部韩剧，我觉得这样子生活化的剧才是好剧            
(5星)	 大ai啊~没事儿就爱翻出来看看            
(5星)	 哈哈。。。以前超喜欢看。。。太搞笑啦~特别是那个蛮横的小女孩~            
(3星)	 英奎太搞笑了，呵呵            
(4星)	 很欢乐啊~~~虽说当时看的很大原因是2大美女            
(5星)	 曾经看的哈哈大笑            
(5星)	 小时候超爱看~！            
(4星)	 小时候看的 很有意思~~            
(5星)	 OVER！            
(3星)	 完全冲着金素妍去的 =_=b 东南卫视有时挺美好的 囧            
(5星)	 反正我初中的时候看的天天笑的不行，不过我本来笑点就低            
(4星)	 想念明珠台            
(5星)	 高三的岁月~~哈哈~~那时候喜欢死金素妍了            
(5星)	 经典的要命 好不            
(5星)	 永恒的经典!!!当年天天放学回来猛看啊!!!            
(5星)	 韩国贱之大作啊~~            
(5星)	 太经典了...无聊又看了一便            
(5星)	 小时候看的 特别逗。。            
(5星)	 唯一一部我看了不止一遍的韩剧。。。            
(5星)	  情景喜剧 classic            
(5星)	 棒子搞笑起来也是不错的            
(NA)	 看的第一部韩剧            
(5星)	 我收藏了，少年时的美好回忆啊~            
(NA)	 好吧，沮丧的时候看的。效果不错，很快我就又高兴了。            
(5星)	 我是和白英奎学英语的白英奎呀            
(5星)	 乐死你            
(4星)	 很好笑~~            
(NA)	 有爱..            
(4星)	 金素妍靓过宋慧乔！            
(4星)	 哈哈那个配音的笑经典啊。            
(NA)	 小时候很喜欢看的一部情景喜剧，记得非常好笑。            
(5星)	 笑翻了~金素妍那时候就很漂亮...宋慧乔样子太囧了...            
(5星)	 放屁妹            
(5星)	 超搞笑的。            
(4星)	 无厘头。。。            
(4星)	 宋慧乔在里面很可爱~~~当年的她还是个小肥妞儿            
(5星)	 很搞笑。以前是每天晚上5點半到6點放的。            
(5星)	 逸灿~~~美达~~~~            
(5星)	 顺风顺风顺风耶...            
(5星)	 重温中！            
(5星)	 看过的第一部韩国喜剧            
(5星)	 多少遍都不会腻！！            
(5星)	 笑屎我了……            
(3星)	 挺搞笑的            
(5星)	 棒子居然能整出这样出彩的情景喜剧？            
(5星)	 片子老，却爆笑            
(4星)	 有宋慧乔和金素妍~~            
(5星)	 唯一觉得很好看的棒子剧            
(4星)	 以前迷电视时看的，超级逗……已经忘了看的是哪一部了，无聊时拿来重温下是不错的~            
(NA)	 这个无敌搞笑。            
(4星)	 蛮搞笑的~~            
(4星)	 我看的第一部韩剧到底是顺风还是天桥？顺风不算吧，人家是情景剧……            
(5星)	 继还珠格格粉红女郎后最爱的。。。            
(5星)	 妈的,老子看这变态片子长大的...            
(5星)	 看乔乔的pp想到了这部经典的电视剧，哈哈哈哈逗死了，超爱！            
(4星)	 小学看的 当时不错的喜剧            
(4星)	 只是简单的看过            
(4星)	 老片老看。            
(4星)	 韩剧中难得有点内容的，又是情景式的喜剧。韩剧中的经典。            
(3星)	 奔金素妍去得。            
(5星)	 看过很多次了,还是很好笑            
(NA)	 很经典的回忆            
(5星)	 笑翻            
(4星)	 早期的韩国喜剧，金素妍才18岁，很青春。            
(NA)	 搞笑，哈哈            
(5星)	 李顺载大人驾到！            
(3星)	 笑喷了~            
(5星)	 小时候的最爱。            
(5星)	 小时候看的^ ^            
(5星)	 搞笑经典之一 几个人物个性刻画真是赞！            
(5星)	 我的最爱啊~~~~~~~~~~~            
(5星)	 120多集啊～也不知道看全了没有            
(5星)	 超级爆笑可爱的喜剧，太灵了            
(4星)	 剧中三大搞笑角色：厚脸皮女婿白英魁、无赖孙女白美达、被金氏父子欺负的权五中            
(5星)	 不給爆星真是對不起自己!!!            
(5星)	 我小时候的开心果。            
(5星)	 很早以前的了，但现在看来还是很好笑啊            
(3星)	 谁知道 他们就红了            
(5星)	 哈哈，英奎            
(NA)	 初中时代；算我看过最早的韩剧了            
(2星)	 第一次觉得我的品位异于常人……但是笑点在哪里呀！！在哪里！！！            
(5星)	 每个人的表演都相当有笑点看得是从头笑到尾宋慧乔同学当时很年轻            
(5星)	 哈哈哈哈            
(4星)	 搞笑            
(NA)	 很好笑            
(5星)	 看了这个，胃口会很好            
(5星)	 我很喜欢的电视剧，有很多笑料            
(5星)	 很喜欢的一部情景剧            
(4星)	 百看不厌的说··            
(4星)	 不知亦灿小朋友现在怎样了，伍忠和素妍啊，还有那时候很孩子气的宋慧乔            
(5星)	 义灿真是太可爱了~很不错的搞笑片            
(5星)	 美达~~            
(4星)	 能笑死你的剧哈哈里面两位小朋友很可爱的            
(4星)	 第一次看时真的觉得很搞笑            
(3星)	 2002            
(5星)	 笑死了            
(4星)	 虽然是棒子剧，但是……            
(5星)	 每个人都那么可乐            
(NA)	 无敌的            
(5星)	 百看不厭            
(5星)	 大家還是年輕時候的樣子~            
(4星)	 零星            
(4星)	 推荐~这一家子真的很搞笑~            
(NA)	 顺风妇产科            
(NA)	 他们生活演戏也太真实了吧我            
(NA)	 不错啊~很好看~            
(5星)	 爆笑            
(5星)	 很好笑，很好笑的            
(NA)	 不错的短剧，可能是因为有美女吧，但是那时的美女还不怎么美。            
(5星)	 确实，很好笑～            
(5星)	 我记得大头最爱学这个跟小新            
(NA)	 宋慧乔也有这样的时代            
(5星)	 太好笑啦~~~看了很多年。            
(4星)	 好玩，好玩            
(NA)	 金素妍和宋慧乔都很漂亮，剧情有够癫滴             
(4星)	 还蛮搞笑的一家人            
(5星)	 搞笑的一家            
(4星)	 看完了的，这里，未来的大腕云集啊，第一次接触忘了是什么时候了            
(4星)	 非常稀罕的一部韩国喜剧            
(4星)	 这个片真的很经典            
(5星)	 很是幽默            
(NA)	 有意思            
(5星)	 순풍 산부인과顺风妇产科             
(NA)	 哈~最早接触的韩剧很可爱的一家人            
(4星)	 爆笑            
(5星)	 爆笑剧!            
(4星)	 最喜欢一灿和美达，还有宋慧乔和金素妍            
(4星)	 搞笑，宋慧乔友情出演            
(4星)	 无论从哪一集看都很有乐趣            
(5星)	 金素研太好看了，院长也挺逗。            
(3星)	 你没有金喜善姐姐的一半的一半的一半的一半漂亮~            
(NA)	 很搞笑            
(NA)	 实在是超级高笑，怎么看都看不够，演员变得也都喜欢            
(4星)	 比较有趣！            
(4星)	 真挺好笑的`            
(5星)	 看过最好的韩国喜剧             
(5星)	 我爱白美达！            
(4星)	 有点像美国式情景喜剧的风格，有的时候还是很搞笑的，笑到肚子疼。            
(4星)	 顺风顺风顺风有！            
(4星)	 我就记得美达和义灿了。。            
(5星)	 喜欢死了            
(4星)	 最喜欢那个悲惨的女婿。。。            
(4星)	 白英奎这个蹩脚女婿 哈哈            
(5星)	 白美达！            
(5星)	 巨搞笑。。。            
(5星)	 美达和意灿太登对了            
(5星)	 重新下载来看 ，感觉这个比生活大爆炸好笑多了 = = 我日啊，原来有682集，他妈的。金素妍和宋慧乔啊~哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(5星)	 尼玛的，初一时最喜爱的情景剧！哈哈.....笑到尼玛都不认得你！            
(3星)	 欢乐            
(3星)	 记不得了            
(5星)	 在这个百无聊赖的春节期间和亲爱的小舅一起重温了这部记忆中的欢乐，比起ccgv来实在是好看很多啊！美达和意灿演的太真实了！现在看来，这也是部激情四射的剧集啊。。。。            
(5星)	 回忆！经典            
(5星)	 喂，你好，我是《跟白英奎学英语》的作者白英奎啊。。。            
(5星)	 爆笑的剧啊，还记得那时候一回家就要看的~~~            
(5星)	 100个人中 一定有看过的            
(5星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(4星)	 我的娘啊            
(5星)	 艹 我为什么突然想起了这个。。            
(5星)	 很赞的一个片~~美达哈哈哈英灿~~~            
(5星)	 不管是你心情好或不好，看这部片子绝对会让你开怀大笑。             
(4星)	 当我想起某男猪他爸放屁搞笑就穿越了！            
(5星)	 每集都很搞笑~~~            
(4星)	 唯一看过的韩剧。            
(4星)	 经典的韩国情景喜剧            
(5星)	 哇咔咔~经典~特别特别爱看~~~            
(5星)	 原来看我过这么多电视剧——大连一套每天五六点时候播的吧。。播了很长时间，很爱看啊~~ 当时没认出来里面有宋慧乔……            
(5星)	 这辈子看过最棒的情景喜剧……            
(NA)	 怎么能那么搞笑？            
(5星)	 哈哈哈哈哈哈哈哈小时候晚上好喜欢看这个！！！            
(5星)	 这绝对是我最乐意看的韩剧了哈哈哈哈哈哈哈哈哈            
(5星)	 怂包大女婿最搞笑！！！！            
(4星)	 当年宋慧乔就是一胖妹子            
(5星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈~~！第一部韩国情景喜剧~~            
(4星)	 当年的宋慧乔啊            
(4星)	 天天看。            
(NA)	 小学啊！那俩小P孩儿！            
(4星)	 这是记忆里看过的第一部韩剧吧            
(5星)	 原来是98的时候看的啊 好早啊 英奎最厉害了 还有那哥俩 哈哈哈~            
(5星)	 这个是经典了吧~~特别喜欢那俩小孩。。。            
(NA)	 好多好多好多集。。。            
(5星)	 童年的回忆            
(4星)	 难得棒棒思密达也会笑的            
