http://movie.douban.com/subject/3873960/	我的青春谁做主
(1星)	 我的青春大学做主 我的青春党做主            
(NA)	 一家的克夫女人和几个衰男人的故事            
(1星)	 边吃午饭边看脑残得我都要喷饭了。。一女生同时兼备聒噪和不好看两点还混什么啊。美剧里的人智商普遍比美国人民高，港剧里的人智商差不多跟香港人民持平吧，大陆剧里的人智商比自己人还低，当然台剧智商是负的那就不提了            
(3星)	 某人看的，我在旁边写东西跟着过了一遍...现实有一些，都是谈钱的...人物在某些方面真实，某些方面假得要命，偶像剧和写实剧的界限很暧昧不清。值得赞扬的是，很多情节发展上的处理，都破了旧有国产连续剧模式化的框子，你以为顺理成章的，不一定是故事的走向。技术上，完全的乏善可陈。            
(4星)	 台词不错，还是小样儿招人稀罕            
(3星)	 赵宝刚别再拍这题材了。            
(4星)	 高齐的笑容很干净            
(3星)	 赵宝刚这两年的戏肤浅到极致  拿着现成的墨迹幼稚剧本 却创造了令人始料不及的 火。但愿别烧了以前那么牛逼的他。             
(NA)	 在奋斗中的米莱是个只求对陆涛好的人，到了这剧里就出现了高齐这么个只求对她好的人。这叫什么，好人有好报么。。。不过王珞丹的身上还是米莱印记太重啊            
(1星)	 三种女的。米莱--钱小样 清楚--夏琳 霹雳--灵山+李小璐演那个什么的混合版 还有一和她爸贷款200万回国第一年赚了50万的女大款在里面是干嘛的。那几个中年的都不靠谱。钱小样她爸挺逗的。奋斗2的事实证明既然当婊子（做电视剧）就要当会赚钱（做会赚钱）的婊子（电视剧）。            
(5星)	 这着实是一个令人心生羡慕的温暖的大家族~~            
(3星)	 其实就像以前的草样年华 这样的青春很适合打发时间 信手拈来 最重要的是好笑            
(NA)	 我喜欢方宇。            
(4星)	 挺不错哒！此片应该叫 奋斗            
(4星)	 忒喜欢高齐            
(5星)	 我再也不说中国没有好编剧了!这片我看贼牛!            
(NA)	 朱雨辰　哎哎哎            
(2星)	 朱雨晨帅了好多            
(3星)	 我妈看 我跟着看过好几集 哩哩啦啦的 又假又扯又轻松 感觉比奋斗强 没装老没装嫩没装深沉 而且演员说台词的风格很喜感            
(5星)	 深刻！感人！经典！            
(3星)	 寝室同学整天在看···            
(1星)	 臭狗屎！~            
(3星)	 SB故事            
(4星)	 赵宝刚台词脱离现实生活化的代表作，正常人有这么说话的么？            
(NA)	 王珞丹太娇憨了。。。我艹我动心了。            
(5星)	 2009年看此剧，剧中朱雨辰扮相特别老实特别帅气！剧中的医生“高齐”我觉得又帅又有内涵，还很聪明，梦中情人！！            
(3星)	 除了不喜欢陆毅 其他的 都很喜欢 尤其是小样 雷蕾 霹雳            
(3星)	 我靠 才看着 原来这部被我好像看了好几年的糙剧不是石康编剧 囧 对不住。。。BS您这么长时间==...            
(4星)	 牧马人-丛珊            
(1星)	 卖弄语文水平的一逼            
(3星)	 王络丹真是个好姑娘            
(NA)	 比《奋斗》更奋斗些 都是铁嘴都能说 那台词能把上海人整得死去活来            
(4星)	 很现实的人生。就是最后结尾陆毅的认错和负责让我觉得这编剧很不实际，我不相信在中国会有这种傻b。            
(2星)	 我的青春党做主，党让你做医生你做，党让你有钱你有，党给你法外开恩你就得恩            
(NA)	 怎么這么像奮鬥啊..每次都是老媽叫我看..她怎么沒從裡面學到什麽啊            
(4星)	 我怎麼就是喜歡方宇呢！！！看完了还是喜欢方宇。            
(3星)	 妈妈奶奶辈那几个味儿感觉挺好的，可惜生活不总是圆满大结局。终于可以不用看到马伊琍和佟大为了            
(3星)	 小样。            
(NA)	 这种片子看几集够了。。又是无奈陪老姐看的呗~            
(4星)	 除了霹靂 沒一個往正道上走的 太懵懂的編劇了 看得我很心痛            
(NA)	 赵宝刚            
(1星)	 研究用，快進了幾集，太恐怖了，這種劇本也寫的出.....            
(3星)	 还是该清醒点 这个世界没有高齐这种完美男二号死乞白赖的就默默喜欢你 没有方宇这样英俊的单纯的小青年专门出现就是为了给你证明你视钱财如粪土 您爸的病也不是那么容易刚好就在电视剧结束的时候就能好喽 北京的房子也没有那么便宜说买下就买下的 这种故事看多了如同毒品 致幻剂 全部都是虚假繁荣             
(3星)	 要没有那仨妈能再降一星。            
(5星)	 總是說電視里的生活太奇妙糾結 其實生活遠比電視更加複雜繁複吧            
(NA)	 我就是喜欢平胸            
(4星)	 囧 我，我跳着看的  凹凸曼你原谅我吧             
(5星)	 从头到尾看了两遍。个人觉得比奋斗好看多了，每个人物性格都那么饱满丰富，台词也经典。我喜欢钱小样，高齐果然就是米莱的翻版，哪都好就是没人要。虽然发现一个穿帮镜头，嘻嘻，不过没关系，真好看。            
(3星)	 情节和人物塑造都太夸张，但台词非常棒，很多东西发人深省，喜欢李霹雳和她妈            
(3星)	 一笑而过。            
(NA)	 看剧本很好~可以想象~~看电视剧，也很好，因为我总不记得演员的脸，一样在想象            
(5星)	 我爱赵青楚。            
(3星)	 http://tv.sohu.com/s2009/qingchun/            
(3星)	 和奋斗果然一个风格            
(3星)	 奋斗差不多            
(5星)	 比奋斗还讨喜            
(2星)	 用感情覆盖理智是幼稚，完全理智是空谈，成熟的标志是把两者分开。可以用感性去看问题，但是必须用理智去解决问题。            
(3星)	 青春（的尾巴）            
(4星)	 我妈就是受了这个电视剧的残害，我问她什么事都让我自己拿主意！！！            
(5星)	 搞不明白这片子为什么能老让我哭            
(4星)	 過。            
