http://movie.douban.com/subject/2156748/	雪山飞狐
(5星)	 龔慈恩是真正當得清麗脫俗稱謂的女子。經典的靈素。            
(4星)	 最好的一版            
(4星)	 当时觉得片头片尾无限好听            
(5星)	 那时候的武侠剧挺有味道的，不想现在，总感觉土不拉吉的……            
(4星)	 片尾是雪中情 我没记错吧~~ 哈哈            
(4星)	 我小时候喜欢的。            
(3星)	 现在就记得那歌了。。。            
(4星)	 主题曲也很好听。            
(5星)	 主题曲啊~真迷            
(5星)	 小时候的经典阿            
(3星)	 片头取《追梦人》            
(NA)	 片尾曲～            
(NA)	 寒风啸啸,飞雪飘零,长路茫茫,踏歌而行......            
(5星)	 龚慈恩！追梦人！            
(4星)	 消魂的胡一刀大哥～            
(NA)	 小时候我也不怎么爱看 就是主题歌好听 雪中情~~~雪中情~~雪中我独行 不是七匹狼吧？            
(NA)	 印象，模糊吧。            
(NA)	 看完了大家老管我们院儿一小胖子叫“二妹”……            
(5星)	 这个NB了            
(5星)	 雪中我独行，哈哈，            
(4星)	 依稀记得袁紫衣很漂亮~            
(5星)	 我记得我为了看此片回到爷爷家。。可是爷爷家停了好长一段时间的电。后来就没有心情看了。            
(4星)	 这版的苗人凤，实在太经典。            
(4星)	 一种怀念            
(4星)	 小时候很认真地看完的金庸作品连续剧，插曲不错~            
(5星)	 美好的童年回忆！尤其是电视剧里那首歌曲《追梦人》，是我最爱啊！！！            
(4星)	 依稀记得紫衣特好看            
(4星)	 巨喜欢这个版本里的程灵素。            
(3星)	 音乐相当强啊。            
(NA)	 补遗                 
(NA)	 这个我也看过。让青春吹动了我的长发让它牵引你的梦。            
(4星)	 可能這輩子都不得再看了！            
(NA)	 追梦人            
(3星)	 记得最清楚的是埋死孩子那段            
(NA)	 小时候觉得那男主角巨帅            
(3星)	 小学            
(4星)	 我的程灵素啊~~~~            
(NA)	 就记得主题曲啦 嘿嘿            
(NA)	 主题曲太好听了            
(4星)	 歌曲印象更深            
(5星)	 全凭当年的感觉            
(NA)	 小时候觉得很诡异的一部片子            
(NA)	 少时很专注地看完            
(3星)	 用乡土台剧手法拍的武侠剧            
(4星)	 我当年的偶像            
(5星)	 不知道为什么很喜欢这一部            
(4星)	 忘记演的是什么了，只记得小时候放学后第一时间冲回家看这电视。            
(3星)	 這是我看過最美的程靈素            
(5星)	 寒风萧萧北雪飘零            
(4星)	 可怜的孟飞叔叔...            
(4星)	 雪中情，那时候有不少人喜欢伍宇娟呢，现在也不明白            
(3星)	 那个时候，算不错了            
(4星)	 犹记当年多少情？             
(NA)	 久远的我都没什么印象了。就记得男主角挺帅的而且死的挺惨            
(3星)	 又是一部完全没印象，但据说小时候疯狂热爱的剧            
(4星)	 和主题曲 罗大佑写的 很衬            
(3星)	 看了很多遍，里面还有伍宇娟，当年真是年轻貌美，龚慈恩在里面简直惊艳            
(5星)	 我就是喜欢程灵素            
(4星)	 那首凤飞飞的《追梦人》真好听！            
(4星)	 【这是为了今年阅片量凑数的！！！这是为了今年阅片量凑数的！！！剧情导演背景都知道啊都知道！！！！】            
(NA)	 雪中情，雪中情……            
(NA)	 程灵素多可爱            
(NA)	 龚慈恩真是美得不成人形啊！！            
(4星)	 只记得披着毛巾被在床上乱跳的季节……            
(5星)	 再也没有程灵素。            
(5星)	 为什么大家念念不忘的都是程灵素？。。。            
(3星)	 歌曲记忆深刻            
(4星)	 里面的歌不错  基本上是家里人坐着看  我睡着～            
(4星)	 主题曲            
(4星)	 就记得那歌了            
(3星)	 雪中情，雪中情            
(5星)	 好听的歌。            
(4星)	 童年模糊的记忆，那时候太小了，还有拍画的雪山飞狐。            
(5星)	 最喜欢的还是这一版。。大概是先入为主。            
(3星)	 美好的主题曲，美好的程灵素            
(NA)	 雪景。。。歌曲。。            
(4星)	 记住的还是主题曲            
(3星)	 歌好听            
(3星)	 念念不忘程灵素            
(NA)	 尽管龚慈恩楚楚可怜，颇有弱柳扶风的气质，然而我依然坚持，伍宇娟才是真正的大美人。而王璐瑶在十几岁的年纪就一脸风尘气，实在离美人的标准很远。            
(4星)	 我和我妈一起看的……那时候我四岁（？）大概……            
(4星)	 经典之作。            
(4星)	 窝心            
(NA)	 我看的第一部电视剧            
(NA)	 十分怀念，男主很帅，女主不算太漂亮但是我还是喜欢            
(4星)	 这是我们家买的那黑白电视机后看到的第一部电视剧~~！            
(4星)	 里面居然有伍宇娟……            
(4星)	 剧情不记得了，只记得片头曲~            
(3星)	 最讨厌坏人            
(5星)	 程灵素和福康安在现实生活中是一对，我很欣慰，哈哈            
(4星)	 突然想起了那首很缭绕的主题歌啊            
(5星)	 只记得小时候放学，天天等着听歌            
(4星)	 小时候不要太迷这部戏哦~记得那时最喜欢袁紫衣~还在墙上画了该剧所有人物的关系图 哈哈~            
(4星)	 小时候最喜欢看了            
(4星)	 我很怀念。            
(4星)	 这个版本很经典～            
(5星)	 为了支持她！            
(NA)	 初衷的时候了吧            
(NA)	 断断续续的看的，主题曲印象更深            
(3星)	 小时候看过 忘了            
(NA)	 其实我已经不记得情节了            
(4星)	 小时候天天晚上守在电视前面看            
(3星)	 喜歡啊  沒道理             
(3星)	 其实我只是喜欢雪中情那首歌。            
(4星)	 小学三年级看的？主角的名字、音乐、故事情节竟然都记得，叹            
(4星)	 雪中情~雪中情~            
(NA)	 那是每天看电视直到“闪芝麻”            
(5星)	 儿时记忆            
(NA)	 雪中情~雪中情~            
(4星)	 这版程灵素最爱！            
(4星)	 那时觉得苗若兰最可爱 真是眼睛瞎了             
(NA)	 童年            
(5星)	 ！！！！！            
(3星)	 印象不是特深了。但记得程灵素深情地死法            
(2星)	 贡献了许多美人.剧情很傻叉.            
(NA)	 挺记得那音乐，刀剑无影，雪太亮了。            
(5星)	 童年回忆            
(NA)	 远的都快想不起来了            
(4星)	 最喜欢这版的程灵素，最讨厌这版的袁紫衣！            
(3星)	 当年很火，歌很流行，不过质量其实一般            
