http://movie.douban.com/subject/2371879/	鹤啸九天
(4星)	 神那！居然被我翻出来！记性不是一般的牛！一直以为是《昆仑奴》张冠李戴了！主题曲至今还倒背如流！当初是俺的“绝唱”            
(3星)	 完全忘了剧情,光记得片头曲了...            
(4星)	 我要我要飞到九天之外~            
(4星)	 哇哦~至今记得主题曲……            
(5星)	 我要 我要翱啸九天之外            
(4星)	 小时候老喜欢看的- -            
(1星)	 我要 我要翱啸九天之外            
(5星)	 第一部看过的武侠剧，还是很小很小的时候            
(4星)	 还可以吧            
(4星)	 古装剧启蒙            
(5星)	 OP赞            
(NA)	 小时候的记忆            
(4星)	 蛮喜欢的一部武侠剧，里面有陈莉萍！其实最喜欢她的爱在女儿乡！可惜douban上还没有555好像再看一遍啊！            
(3星)	 30            
(NA)	 “我要我要飞到九天之外~ ” 这是得有多老(┳＿┳)...             
(NA)	 至今记得主题曲……             
(2星)	 狗血的剧情，连主题曲都如此狗血            
(4星)	 就记着主题曲呢，我要傲笑九天之外            
(NA)	 小时候看的很嗨啊            
(5星)	 这么给力的剧。。。哈哈哈            
(4星)	 只想看看小时候没看懂的感情戏            
(4星)	 小时候老喜欢的            
(4星)	 喜欢主要演员，好久以前看的            
(5星)	 再过个几年这部电视剧就可以暴露女性真实年龄了~~~            
(3星)	 当然是比不了《莲花争霸》，当时觉得陈天文咋啥电视剧都有他。他的撕心裂肺的叫和马景涛有的一拼。            
(4星)	 当时还用可以录音的一个小半导体贴着电视机的麦克风录片头曲来着，“我要我要鹤啸九天之外”。还有潘玲玲饰演的那个女子，继潘迎紫之后又一次的惊为天人。            
(3星)	 我要鹤啸九天之外。哇哈哈。偶尔记起。            
(3星)	 新加坡剧            
(NA)	 long long ago            
(4星)	 当时很郁闷……喜欢的死掉了……            
(4星)	 小时候看的，当时觉得很爽            
(4星)	 悲惨的慕容天峰            
(3星)	 小学的记忆了 只记得里面的一首歌了            
(3星)	 原来是新加坡剧...            
(4星)	 Parts..            
(NA)	 男二死掉，让我和女二都觉得好可惜啊            
(NA)	 又是新加坡的            
(4星)	 今天看电影《新仙鹤神针》，错记成看过其电视剧版，后来发现看过的电视剧是《鹤啸九天》……囧~是因为都有“鹤”么            
(5星)	 我要，我要，鹤啸九天之外……            
(4星)	 暑假有线台7点档全家人围绕着电视边吃晚饭边看电视的日子大概不会再有啦。            
(5星)	 也是不记得多少剧情但是就记得很好看的电视剧，很喜欢还珠郡主这个角色！！！不过现在断不会觉得里面人物造型很好看了吧 O O            
(5星)	 至今记得主题曲 小学五年级的记忆，都15年过去了            
(4星)	 当时好喜欢还珠和云飞            
(4星)	 看第一集搞的我有点晕，前三集全是回忆什么来着。            
(5星)	 雷劈慕容；我这把剑换你这匹马行不行；最后活劈反派魔女。。。            
(NA)	 主题曲还算熟....            
(3星)	 再来一部新加坡剧。这个主题曲我很熟悉。            
(4星)	 小时候            
(4星)	 陈丽萍 曹国辉 都是我的大爱            
(5星)	 还是怀旧，歌我还会唱呢。。。            
(NA)	 好小的时候看得哦，只记得主题曲了。。原来是新加坡剧            
(4星)	 刚记事那会儿看的。。已经没多少印象了。。            
(4星)	 当年超爱的            
(4星)	 什么都不记得了，只记得当时好喜欢郡主！            
(2星)	 好老            
(4星)	 终于找到了！这就是我念念不忘的那部剧！武侠奇情剧，里面的感情、江湖、宫廷都是一等一的好看啊。            
(4星)	   聚合了好过个武侠故事，揉捏而成            
(5星)	 只记得男主角很丑，但是剧很好！            
(NA)	 小时候看过，只模糊记得最后的情景，在天涯一个回忆电视剧的帖子里看到结局的描述才知道原来是这部片子啊！！            
(NA)	 剧情烂的要死，我却看得津津有味~~问世间谁比我更弱智？恐怕找不出第二个呀            
(3星)	 为毛这片子的主题曲永远在我脑海里！！！！我怀疑我是在妈妈肚子里看哒！！！！！            
(NA)	 肯定看过 但忘记了            
(5星)	 找了好久！！！！！！！！！小时候的最爱!!!!!!!!!!!!!!!!!!!!            
(5星)	 突然想起 记忆深处有这样一部片            
(NA)	 太好看            
(4星)	 歌太有感情了。            
(4星)	 剧情不记得了，只记得主题曲了            
(5星)	 嗯 非常小的时候看的            
(4星)	 童年的回忆~            
(5星)	 妈呀！哪儿下载主题曲呀？？到现在常常不自觉地哼哼。。。。            
(3星)	 难听的新加坡口音            
(5星)	 我要，我要鹤啸九天之外            
(4星)	 小时候觉得潘玲玲怎么那么美啊。小时候也不觉得新加坡电视剧配音奇怪。            
(NA)	 额，小时候和我姑姑一起追的            
(3星)	 古装的一直记不住讲的啥，貌似有陈丽萍哈            
(3星)	 新加坡也拍过好多不错的电视剧啊            
(4星)	 剧情记不清了 只记得结局让人很难受 但对那首主题曲印象深刻 极其喜欢            
(4星)	 当时好喜欢，天丰死掉了，云飞很幸福            
(3星)	 云飞很可爱            
(5星)	 小时候最喜欢的~ o(∩_∩)o 哈哈            
(5星)	 又是小时候的经典啊！            
(3星)	 小时候老迷了            
(3星)	 没有莲花争霸好看了            
(4星)	 曾经很喜欢的新加坡剧~陈莉萍很漂亮~~            
